,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
Unnamed: 0,Afghanistan,Albania,Algeria,American Samoa,Angola,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burma (Myanmar),Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Congo (Kinshasa),Cook Islands,Costa Rica,Cote dIvoire (IvoryCoast),Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands (Islas Malvinas),Faroe Islands,Fiji,Finland,Former Czechoslovakia,Former Serbia and Montenegro,Former U.S.S.R.,Former Yugoslavia,France,French Guiana,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,"Germany, East","Germany, West",Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Hawaiian Trade Zone,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, North","Korea, South",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macau,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palestinian Territories,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent/Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste (East Timor),Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,U.S. Pacific Islands,U.S. Territories,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,"Virgin Islands,  U.S.","Virgin Islands, British",Wake Island,Western Sahara,Yemen,Zambia,Zimbabwe
1980,0.87606,2.974,5.915,0.0651,0.736,,0.05208,36.845,,,78.227,33.966,,0.74307,1.44522,1.834,0.261,,45.195,0.04463,0.101,0.28923,0.01988,1.38,,0.41199,121.761,0.424,33.232,0.09114,1.11,0.04179,0.08928,1.325,309.444618632,0.01395,0.05394,0.06231,0.04092,10.41,261.492,16.351,0.00837,0.144,3.921,0.0093,1.869,1.433,,9.493,0.904,,21.959,0.1023,0.01023,2.44,2.7,15.861,1.457,0.01581,,,0.597,0.00186,0.14136,0.2697,37.613,68.54,,1168.60464437,51.044,236.52,0.09858,0.22227,0.506,0.03441,,,93.619,358.439,4.593,0.05,20.306,0.14043,0.019,0.2697,1.00161,1.761,0.33759,0.01209,0.388,0.226,,0.76,10.13,27.385,2.807,97.898,11.299,19.676,10.167,8.446,10.931,164.898,1.432,521.383,0.802,,1.629,0.00465,20.2,32.064,8.096,,0.17324,,2.572,,0.79236,3.332,,3.579,0.22785,,0.38781,0.37651,9.363,0.00372,0.09579,0.47058,0.23994,0.08277,0.41013,56.692,,1.65838,,0.01023,4.409,13.369,,0.02232,0.2,59.916,0.893,1.23132,20.27,0.867,0.20146,4.685,0.00186,-,75.112,0.798,10.157,,1.465,1.10577,0.673,8.65444,16.8,101.03,14.902,12.36993,2.033,0.31527,59.543,,0.15681,0.00186,0.03162,0.05022,0.01488,0.02418,0.03441,0.00837,19.103,0.494,,0.04371,0.17484,6.07,,,0.0186,0.10509,85.519,--,97.187,1.398,0.58,1.446,0.25389,86.396,34.615,2.953,39.227,,1.1,12.916,,0.212,0.00837,1.681,2.264,21.81,,0.00465,0.12183,-,0.30062,,5.456,243.387,2094.442466,2.745,,0.01767,26.837,3.285,0.69657,0.02046,,0.06696,0.471,5.79,6.902
1981,0.92256,2.987,6.713,0.06231,0.737,,0.05487,35.594,,,81.717,33.922,,0.66402,1.58007,2.231,0.265,,45.225,0.04556,0.115,0.2976,0.0246,1.477,,0.47686,124.1185,0.459,34.575,0.10044,1.022,0.04472,0.09579,1.737,319.057011265,0.01395,0.06138,0.06138,0.04464,10.745,268.754,16.661,0.0093,0.156,3.614,0.01023,2.123,1.573,,9.973,0.923,,22.198,0.10695,0.01116,2.887,3.01,17.749,1.491,0.01395,,,0.641,0.00279,0.14601,0.27621,38.975,66.088,,1123.88839216,55.186,239.271,0.10788,0.24366,0.574,0.04185,,,89.256,359.971,4.658,0.052,20.511,0.14322,0.021,0.30039,0.97092,1.445,0.34224,0.01209,0.402,0.223,,0.844,10.724,27.722,2.922,107.442,13.363,21.156,9.813,8.302,11.435,163.16,1.434,522.082,1.037,,1.718,0.00465,20.768,34.657,8.878,,0.32827,,2.589,,0.74493,3.687,,3.372,0.25668,,0.3906,0.37,10.005,0.00465,0.09579,0.51522,0.25947,0.08928,0.40548,64.344,,1.82352,,0.01116,4.774,3.396,,0.02232,0.232,59.286,0.902,1.09368,20.056,0.924,0.24648,5.685,0.00279,-,78.076,0.95,11.417,,1.646,1.08624,0.762,9.2584,15.328,95.604,15.063,12.14394,2.303,0.35805,62.258,,0.15351,0.00186,0.03162,0.05394,0.0186,0.02511,0.03441,0.00837,23.18,0.525,,0.04743,0.19716,6.514,,,0.02232,0.06975,98.892,--,99.202,1.5,0.782,1.254,0.27342,89.634,35.71,3.543,38.709,,1.149,13.633,,0.236,0.01116,1.946,2.416,22.483,,0.00465,0.12648,-,0.3046,,5.309,238.669,2147.149926,3.119,,0.0186,32.284,3.523,0.73563,0.02232,,0.06696,0.506,6.273,7.036
1982,0.88536,2.981,7.733,0.06231,0.815,,0.05766,36.003,,,88.356,34.467,,0.70866,1.74933,2.565,0.277,,44.841,0.04649,0.155,0.30783,0.02746,1.504,,0.53677,131.73256,0.51,36.871,0.10695,1.102,0.04072,0.09951,2.009,319.134289863,0.01953,0.07254,0.0651,0.04557,10.521,285.858,22.267,0.0093,0.2,3.561,0.0093,2.04,1.607,,10.316,0.99,,22.614,0.11439,0.01023,2.268,3.16,18.224,1.571,0.01302,,,0.676,0.00279,0.14973,0.28179,39.369,66.863,,1234.06324487,,242.691,0.11997,0.25296,0.644,0.04092,,,90.562,356.365,4.339,0.054,20.718,0.14787,0.02,0.3441,0.9579,1.363,0.34968,0.01209,0.332,0.304,,0.841,11.526,28.767,3.267,113.695,15.398,23.919,12.186,8.483,12.1,165.652,1.499,528.355,1.274,,1.701,0.00465,22.733,36.97,10.316,,0.36584,,2.747,,0.74958,3.678,,3.407,0.29481,,0.40083,0.39425,10.504,0.00558,0.11811,0.56544,0.29574,0.093,0.39897,69.96,,2.09553,,0.01116,5.13,2.813,,0.02232,0.218,58.135,1.039,0.85374,21.436,0.96,0.24746,5.949,0.00279,-,78.1,1.337,15.41,,1.86,1.1532,0.797,10.12206,15.981,96.679,15.938,10.33602,2.611,0.39804,62.039,,0.15348,0.00186,0.03255,0.05301,0.02232,0.0279,0.03906,0.01023,29.179,0.529,,0.04929,0.20832,6.893,,,0.02232,0.0744,103.266,--,99.632,1.686,0.83,1.231,0.23808,92.36,36.258,4.659,40.069,,1.139,14.861,,0.264,0.01116,2.361,2.594,24.896,,0.00465,0.12648,-,0.31059,,7.724,233.385,2086.377441,2.888,,0.01953,32.123,3.725,0.74493,0.02325,,0.06789,0.607,6.191,7.174
1983,0.93,2.975,8.207,0.06603,0.832,,0.06324,35.484,,,89.591,35.137,,0.76167,1.93719,2.676,0.264,,46.037,0.04835,0.155,0.32085,0.02446,1.463,,0.56362,145.47332,0.653,38.5,0.10881,1.139,0.05925,0.09393,1.952,331.665434106,0.02046,0.08277,0.06324,0.04464,10.773,307.606,22.927,0.01023,0.192,3.864,0.00837,2.191,1.683,,10.443,1.076,,22.777,0.12927,0.01674,2.253,3.338,20.134,1.33,0.01116,,,0.707,0.00279,0.14973,0.28923,42.455,68.842,,1278.40674335,,247.123,0.14322,0.20088,0.705,0.04185,,,92.517,364.09,2.274,0.055,22.154,0.15345,0.022,0.35712,0.85281,1.374,0.36084,0.01209,0.109,0.318,,0.813,13.055,30.007,3.437,117.213,15.555,28.086,14.449,8.435,12.997,164.821,1.684,560.401,1.549,,2.105,0.00465,22.887,41.587,11.06,,0.31073,,2.69,,0.73842,4.351,,3.522,0.35154,,0.42036,0.42587,11.581,0.00651,0.13671,0.575,0.34131,0.09393,0.40827,72.9,,2.23966,,0.01116,5.612,5.286,,0.02325,0.321,59.221,1.066,0.65565,22.421,1.091,0.2712,6.061,0.00279,-,83.115,1.59,16.977,,1.926,1.27224,0.821,9.70922,16.877,102.221,16.902,10.53318,2.825,0.45105,63.398,,0.15222,0.00186,0.03069,0.05952,0.02232,0.0279,0.03534,0.01023,31.986,0.505,,0.05208,0.21204,7.593,,,0.02232,0.093,104.497,--,104.131,1.744,0.878,1.003,0.21762,102.757,37.462,6.317,44.374,,1.147,17.422,,0.252,0.01116,2.405,3.063,26.154,,0.00465,0.12927,-,0.26281,,8.823,235.909,2150.998785,2.999,,0.02139,35.139,3.95,0.76539,0.02232,,0.06789,0.662,6.264,6.95
1984,0.94767,2.977,8.959,0.06417,0.86,,0.06603,37.739,,,95.546,37.073,,0.75702,2.178,2.989,0.305,,48.228,0.05579,0.137,0.33294,0.0276,1.326,,0.59985,161.9008,0.749,40.173,0.10509,1.246,0.07313,0.08928,1.972,356.687173376,0.02418,0.09672,0.06696,0.04557,11.629,330.13,25.191,0.01116,0.294,4.057,0.0093,2.352,1.319,,11.06,1.1,,22.484,0.12741,0.02232,3.15,3.218,25.291,1.617,0.01395,,,0.769,0.00558,0.15717,0.35147,45.822,70.998,,1342.19662158,,260.208,0.15717,0.17856,0.769,0.04371,,,102.835,380.612,1.59,0.055,23.603,0.15903,0.02325,0.40176,0.8742,1.317,0.42501,0.01302,0.093,0.344,,0.839,13.971,31.552,3.615,130.42,17.127,31.261,16.334,8.67,13.376,174.151,1.597,594.275,1.825,,2.307,0.00558,25.827,46.327,12.232,,0.22154,,2.665,,0.64728,5.843,,3.748,0.39514,,0.44268,0.44068,12.634,0.00837,0.15252,0.593,0.35619,0.09207,0.4185,76.982,,2.39604,,0.01116,5.776,0.411,,0.02418,0.336,61.137,0.982,0.81654,24.03,1.108,0.24804,6.044,0.00279,-,89.195,2.023,19.074,,1.9,1.31688,0.978,10.47904,16.931,106.55,17.364,10.95819,3.049,0.47337,65.926,,0.16252,0.00186,0.03069,0.05952,0.0279,0.03162,0.03627,0.01395,37.907,0.534,,0.05208,0.22599,8.242,,,0.02418,0.12276,119.026,--,108.63,1.854,1.053,1.041,0.28551,111.686,39.017,7.244,48.276,,1.141,19.343,,0.252,0.01116,2.458,3.223,29.615,,0.00465,0.1302,-,0.35688,,9.445,238.651,2285.758686,3.144,,0.02232,37.229,4.026,0.76911,0.02511,,0.06789,0.738,6.309,7.106
1985,0.96162,3.039,9.686,0.07719,0.826,,0.06696,37.373,,,99.889,38.578,,0.78678,2.553,3.135,0.312,,50.039,0.05951,0.142,0.3441,0.03123,1.296,,0.64708,171.01608,0.819,39.663,0.10695,1.514,0.08571,0.09858,2.193,372.376748792,0.02511,0.10881,0.07161,0.04743,12.091,351.318,25.488,0.01302,0.228,4.366,0.01023,2.537,1.68,,10.891,1.164,,23.867,0.14322,0.02232,3.125,3.752,25.329,1.513,0.01581,,,0.813,0.00744,0.16926,0.35891,48.989,74.267,,1382.50971363,,278.015,0.18042,0.19344,0.833,0.04464,,,106.223,390.917,2.483,0.057,24.484,0.16182,0.023,0.42966,0.88424772,1.373,0.43338,0.01302,0.152,0.383,,0.994,14.774,32.429,3.537,140.645,23.146,31.582,18.716,9.486,13.822,178.014,1.327,609.585,2.009,,2.514,0.00558,28.608,50.146,13.515,,0.23635,,2.596,,0.6789,7.864,,3.797,0.43481,,0.44919,0.45098,13.699,0.01209,0.15531,0.663,0.38502,0.09579,0.42129,82.03,,2.498,,0.01116,5.884,0.307,,0.02418,0.337,62.092,0.944,0.99975,24.022,1.063,0.26292,6.446,0.00279,-,91.937,2.426,21.82,,1.952,1.37082,1.346,10.73608,18.072,110.953,18.415,10.77498,3.497,0.51429,67.503,,0.17045,0.00186,0.03069,0.06324,0.03069,0.03534,0.0372,0.01395,40.281,0.579,,0.05766,0.15345,8.746,,,0.02511,0.19344,124.624,--,111.885,2.044,1.09,1.116,0.33945,121.716,40.349,7.685,48.242,,1.122,20.955,,0.301,0.01116,2.43,3.444,32.562,,0.00465,0.14415,-,0.37276,,10.615,249.958,2323.949117,3.145,,0.02325,39.397,4.248,0.78678,0.02697,,0.06603,0.783,6.343,7.145
1986,1.05555,3.027,10.343,0.06975,0.886,,0.07533,39.01,,0.25482,106.969,38.996,,0.79143,2.807,3.58,0.322,,51.345,0.0623,0.14,0.35991,0.03772,1.246,,0.74034,186.48024,0.867,39.141,0.11346,1.538,0.08366,0.10695,2.044,389.31513819,0.02604,0.11997,0.08649,0.06045,12.96,385.299,28.29,0.01302,0.369,4.559,0.01116,2.728,1.719,,11.754,1.249,,26.741,0.1488,0.02418,3.477,4.069,29.887,1.503,0.01488,,,0.869,0.00837,0.1674,0.36316,49.895,76.271,,1343.50279884,,292.667,0.19437,0.19809,0.838,0.04929,,,108.359,396.024,3.844,0.059,24.881,0.16647,0.026,0.47499,0.92229588,1.558,0.44082,0.01581,0.132,0.456,,1.342,16.382,33.084,3.67,154.715,26.982,30.702,19.875,9.779,13.645,183.535,1.371,614.008,2.167,,2.307,0.00558,30.08,55.935,14.913,,0.23001,,2.746,,0.72912,9.838,,3.816,0.4884,,0.44826,0.48167,13.766,0.01395,0.18414,0.719,0.41571,0.09672,0.46593,84.808,,2.722,,0.01116,6.568,0.413,,0.02511,0.377,63.018,0.804,0.9858,25.299,0.935,0.29278,8.325,0.00279,-,90.635,3.02,23.855,,2.221,1.48614,1.8,11.41754,17.63,116.003,19.365,11.26137,3.846,0.56079,71.793,,0.16129,0.00279,0.03069,0.0651,0.03255,0.0372,0.03999,0.01302,46.901,0.588,,0.05766,0.13764,9.398,,,0.02604,0.22134,132.13,--,114.244,2.215,1.128,1.105,0.44131,121.296,41.468,7.561,54.327,,1.077,22.981,,0.311,0.01116,2.774,3.43,31.691,,0.00465,0.14787,-,0.36792,,11.149,258.259,2368.449913,3.282,,0.02325,39.753,4.24,0.80445,0.03069,,0.06882,0.949,6.242,7.851
1987,1.13274,3.441,11.119,0.07533,0.894,,0.07905,42.152,,0.27807,111.642,30.42,,0.79329,2.829,3.765,0.364,,53.783,0.06695,0.135,0.38037,0.0431,1.271,,0.85878,190.44162,0.892,40.877,0.12369,1.571,0.10035,0.11625,2.082,405.236064815,0.02883,0.14043,0.08463,0.07347,13.3,425.192,23.565,0.01302,0.387,4.534,0.01209,3.089,2.021,,12.036,1.331,,27.812,0.14973,0.02511,3.035,4.176,31.154,1.631,0.01581,,,1.089,0.00837,0.17112,0.37339,53.466,77.873,,1395.35043051,,301.411,0.21669,0.19809,0.84,0.05394,,,109.512,405.478,4.11,0.058,25.916,0.17019,0.031,0.54195,0.98752701,1.645,0.44361,0.01767,0.329,0.413,,1.296,20.033,34.594,3.667,166.857,28.856,31.105,21.657,10.697,15.111,193.534,1.496,662.783,1.959,,2.453,0.00651,30.698,63.546,15.948,,0.26017,,2.667,,0.7347,12.894,,3.897,0.57661,,0.44454,0.53096,14.834,0.01674,0.19995,0.8,0.46686,0.10602,0.52545,90.966,,2.786,,0.01209,7.018,0.432,,0.02511,0.455,65.872,0.538,0.88629,25.586,1.207,0.31564,7.251,0.00279,-,93.823,3.247,26.011,,2.244,1.5903,2.63,12.12152,16.441,121.092,20.375,12.03792,3.939,0.62124,71.279,,0.17224,0.00372,0.03162,0.06975,0.03348,0.03999,0.04092,0.01395,47.388,0.471,,0.0651,0.13671,10.541,,,0.02604,0.2232,134.021,--,114.256,2.23,1.137,0.623,0.55433,129.085,42.852,7.247,59.606,,1.083,25.828,,0.341,0.01488,2.92,3.759,34.969,,0.00465,0.14694,-,0.39502,,11.883,268.476,2457.505577,3.464,,0.02232,42.965,4.504,0.84165,0.03441,,0.07068,1.059,6.604,8.13
1988,1.0044,3.205,11.954,0.08463,0.893,,0.07998,42.22,,0.28644,120.921,41.961,,0.79515,3.065,4.121,0.385,,56.077,0.07625,0.131,0.40083,0.03876,1.58,,0.816,200.73616,0.998,41.992,0.13299,1.417,0.10872,0.12555,2.253,422.176689023,0.03069,0.15531,0.08556,0.07068,14.266,466.479,25.42,0.01302,0.372,4.672,0.01209,3.029,1.863,,12.767,1.461,,27.759,0.15252,0.02604,3.244,4.271,29.735,1.672,0.01581,,,1.159,0.01023,0.19065,0.36502,48.353,78.902,,1432.73035177,,309.297,0.24645,0.22599,0.845,0.05673,,,111.156,414.331,4.21,0.062,27.344,0.17484,0.037,0.5931,1.07814435,1.722,0.45384,0.01953,0.33,0.412,,1.835,21.387,34.593,3.981,185.918,32.321,39.234,24.601,10.639,16.883,186.856,1.456,695.975,2.022,,2.619,0.00651,32.428,73.367,17.367,,0.23425,,2.733,,0.744,13.469,,3.99,0.62955,,0.4557,0.53661,16.679,0.01767,0.21948,0.873,0.5115,0.10695,0.57009,95.047,,2.899,,0.01209,7.656,0.456,,0.02511,0.497,69.303,0.546,1.05648,26.482,1.161,0.3215,7.278,0.00279,-,94.795,3.697,29.904,,2.244,1.54566,2.804,11.5509,18.354,123.542,20.446,12.60336,3.909,0.68727,74.157,,0.17603,0.00372,0.03255,0.09021,0.03534,0.04371,0.04092,0.01395,52.26,0.45,,0.07254,0.14973,11.644,,,0.02604,0.22506,140.348,--,115.007,2.344,1.022,0.822,0.60526,130.303,44.173,5.354,65.765,,1.118,29.21,,0.349,0.0186,2.955,4.024,40.311,,0.00465,0.15624,-,0.43405,,12.911,277.402,2577.778296,3.722,,0.02232,47.087,5.007,0.84816,0.0372,,0.07161,1.432,6.66,8.308
