,Ecuador,Cuba,El Salvador,Italy,Philippines,Nicaragua,Colombia,Guatemala,Mexico
1961,-1.0,10000.0,5000.0,-1,2600.0,500.0,13500.0,500.0,-1.0
1962,-1.0,10000.0,5000.0,-1,2990.0,500.0,14000.0,500.0,-1.0
1963,-1.0,10000.0,5700.0,-1,2910.0,500.0,14500.0,500.0,-1.0
1964,-1.0,10000.0,5000.0,-1,2520.0,600.0,15000.0,500.0,-1.0
1965,-1.0,10000.0,5000.0,-1,2720.0,600.0,15500.0,500.0,-1.0
1966,-1.0,10000.0,5000.0,-1,3010.0,600.0,15800.0,600.0,-1.0
1967,-1.0,10000.0,5000.0,-1,3040.0,600.0,16900.0,600.0,-1.0
1968,-1.0,10000.0,5000.0,-1,2950.0,600.0,17700.0,700.0,-1.0
1969,-1.0,10000.0,4980.0,-1,2800.0,600.0,17800.0,771.0,-1.0
1970,-1.0,10000.0,4980.0,-1,2790.0,600.0,18800.0,840.0,-1.0
1971,-1.0,10000.0,5000.0,-1,2730.0,1200.0,19300.0,875.0,-1.0
1972,-1.0,10000.0,5245.0,-1,2560.0,1800.0,20500.0,900.0,-1.0
1973,-1.0,10000.0,5500.0,-1,2560.0,2500.0,21200.0,970.0,-1.0
1974,-1.0,10000.0,6167.0,-1,2600.0,3000.0,22000.0,970.0,-1.0
1975,-1.0,10000.0,6294.0,-1,2470.0,3100.0,36200.0,1000.0,-1.0
1976,-1.0,10000.0,8706.0,-1,2438.0,3200.0,28000.0,1100.0,-1.0
1977,2183.0,10000.0,8823.0,-1,2630.0,3500.0,25400.0,1100.0,-1.0
1978,2241.0,10000.0,8950.0,-1,3500.0,3500.0,23900.0,1100.0,-1.0
1979,2456.0,10000.0,9423.0,-1,3800.0,3600.0,23500.0,1100.0,-1.0
1980,3244.0,10000.0,8626.0,-1,3340.0,3500.0,25700.0,1100.0,-1.0
1981,3302.0,10000.0,9423.0,-1,3280.0,3500.0,23500.0,1100.0,-1.0
1982,3525.0,10000.0,10220.0,-1,3290.0,3600.0,22100.0,1000.0,3383.0
1983,3625.0,10000.0,10220.0,-1,3230.0,3700.0,21500.0,800.0,4766.0
1984,3200.0,10000.0,8310.0,-1,3170.0,3800.0,17980.0,600.0,2773.0
1985,3092.0,10000.0,8184.0,-1,3150.0,3800.0,17930.0,400.0,1587.0
1986,3039.0,10000.0,8071.0,-1,3200.0,3900.0,17900.0,300.0,4100.0
1987,2947.0,10000.0,9940.0,-1,3200.0,3900.0,19300.0,300.0,4698.0
1988,3017.0,10000.0,9930.0,-1,3300.0,4000.0,19540.0,300.0,4612.0
1989,3207.0,10000.0,9940.0,-1,3300.0,4200.0,20770.0,115.0,10589.0
1990,1893.0,8863.0,9940.0,-1,3216.0,4300.0,15576.0,120.0,12035.0
1991,2240.0,20809.0,9930.0,-1,4105.0,4400.0,17096.0,118.0,12157.0
1992,2310.0,18825.0,10080.0,-1,4024.0,4500.0,14663.0,124.0,7192.0
1993,1900.0,18381.0,10000.0,-1,3899.0,4600.0,16006.0,130.0,12057.0
1994,2000.0,17944.0,8610.0,-1,2692.0,4700.0,15388.0,131.0,15743.0
1995,1531.0,17514.0,1000.0,-1,3600.0,4800.0,18153.0,140.0,7949.0
1996,1641.0,17089.0,5600.0,-1,3800.0,4882.0,22176.0,150.0,8029.0
1997,1776.0,16669.0,4200.0,-1,3824.0,4900.0,20995.0,160.0,8649.0
1998,2400.0,16253.0,4200.0,-1,3851.0,4978.0,18311.0,160.0,9000.0
1999,2600.0,15841.0,3710.0,-1,3875.0,5000.0,17098.0,170.0,9000.0
2000,2600.0,15431.0,3500.0,-1,3895.0,5056.0,17987.0,160.0,10000.0
2001,2650.0,15022.0,3600.0,-1,3913.0,5100.0,16802.0,165.0,9629.0
2002,2700.0,14613.0,4267.0,-1,3928.0,5150.0,17391.0,166.0,9757.0
2003,2700.0,14131.0,4204.0,-1,3934.0,5200.0,17094.0,168.0,9913.0
2004,2754.0,13650.0,4155.0,-1,3938.0,5300.0,17294.0,170.0,10093.0
2005,2839.0,13168.0,4118.0,-1,3940.0,5302.0,17500.0,171.0,10475.0
2006,2803.0,12685.0,4102.0,-1,3941.0,5400.0,17532.0,170.0,10239.0
2007,2850.0,12200.0,4081.0,-1,3942.0,5327.0,17482.0,171.0,10446.0
2008,2900.0,11713.0,4064.0,-1,3942.0,5355.0,17780.0,172.0,10702.0
2009,3089.0,11226.0,4047.0,-1,3942.0,5399.0,17847.0,172.0,10998.0
2010,3019.0,10628.0,4024.0,-1,3943.0,5464.0,17918.0,172.0,11335.0
2011,3050.0,10213.0,3991.0,-1,3944.0,5553.0,17985.0,173.0,11709.0
2012,3000.0,8600.0,4000.0,-1,4000.0,5560.0,17500.0,180.0,12000.0
2013,3000.0,8600.0,4000.0,-1,4000.0,5600.0,17500.0,180.0,12000.0
2014,3173.0,8500.0,3772.0,-1,4000.0,5930.0,18041.0,200.0,12678.0
