,Yemen,Croatia,Burkina Faso,Tajikistan,Syrian Arab Republic,Nepal,Pakistan,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Iraq,Cyprus,Spain,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Algeria,Slovenia,United Arab Emirates,Kyrgyzstan,Argentina,Ukraine,Georgia,Israel,Morocco,USSR,Mexico,Azerbaijan,Italy,Jordan,Bosnia and Herzegovina,China,Tunisia,Côte d'Ivoire,Libya,Yugoslav SFR,Turkmenistan,Lebanon,Uzbekistan,France,Occupied Palestinian Territory,Chile,Hungary,Kazakhstan,Australia,Portugal,"China, mainland",Gambia,Swaziland,Republic of Moldova,Turkey
1961,-1.0,-1.0,-1.0,-1.0,7391.0,-1.0,28125.0,-1.0,-1.0,-1.0,-1.0,4203.0,10020.0,-1.0,-1.0,16669.0,16000.0,4511.0,-1.0,120000.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1.0,-1.0,10396.0,12500.0,-1.0,-1.0,682.0,-1.0,-1.0,-1.0,-1.0,14706.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4324.0,-1.0,-1.0,-1.0,-1.0,20980.0
1962,-1.0,-1.0,-1.0,-1.0,9600.0,-1.0,27941.0,-1.0,-1.0,-1.0,-1.0,4379.0,6292.0,-1.0,-1.0,11558.0,20000.0,4511.0,-1.0,140000.0,-1.0,-1.0,-1.0,-1.0,2273.0,-1.0,-1.0,-1.0,-1.0,3156.0,12000.0,-1.0,-1.0,684.0,-1.0,-1.0,-1.0,-1.0,11667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4737.0,-1.0,-1.0,-1.0,-1.0,18284.0
1963,-1.0,-1.0,-1.0,-1.0,8000.0,-1.0,27778.0,-1.0,-1.0,-1.0,-1.0,4490.0,7276.0,-1.0,-1.0,13684.0,15385.0,4511.0,-1.0,133333.0,-1.0,-1.0,-1.0,-1.0,3750.0,-1.0,-1.0,-1.0,-1.0,6923.0,12000.0,-1.0,-1.0,682.0,-1.0,-1.0,-1.0,-1.0,12500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3333.0,-1.0,-1.0,-1.0,-1.0,14982.0
1964,-1.0,-1.0,-1.0,-1.0,8400.0,-1.0,27632.0,-1.0,-1.0,-1.0,-1.0,4203.0,7005.0,-1.0,-1.0,16517.0,15385.0,4507.0,-1.0,150000.0,-1.0,-1.0,-1.0,-1.0,4615.0,-1.0,-1.0,-1.0,-1.0,8257.0,12000.0,-1.0,-1.0,592.0,-1.0,-1.0,-1.0,-1.0,16364.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3611.0,-1.0,-1.0,-1.0,-1.0,18349.0
1965,-1.0,-1.0,-1.0,-1.0,4726.0,-1.0,27500.0,-1.0,-1.0,-1.0,-1.0,3859.0,7106.0,-1.0,-1.0,13932.0,17692.0,4493.0,-1.0,142857.0,-1.0,-1.0,-1.0,-1.0,4706.0,-1.0,-1.0,-1.0,-1.0,7375.0,12469.0,-1.0,-1.0,667.0,-1.0,-1.0,-1.0,-1.0,12766.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3684.0,-1.0,-1.0,-1.0,-1.0,14500.0
1966,-1.0,-1.0,-1.0,-1.0,14717.0,-1.0,28049.0,-1.0,-1.0,-1.0,-1.0,4184.0,7356.0,-1.0,-1.0,16126.0,6667.0,4488.0,-1.0,143750.0,-1.0,-1.0,-1.0,-1.0,3947.0,-1.0,-1.0,-1.0,-1.0,7788.0,12203.0,-1.0,-1.0,700.0,-1.0,-1.0,-1.0,-1.0,12002.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1579.0,-1.0,-1.0,-1.0,-1.0,11034.0
1967,-1.0,-1.0,-1.0,-1.0,8398.0,-1.0,28571.0,-1.0,-1.0,-1.0,-1.0,4278.0,10095.0,-1.0,-1.0,13781.0,13333.0,4510.0,-1.0,145000.0,-1.0,-1.0,-1.0,-1.0,5217.0,-1.0,-1.0,-1.0,-1.0,8126.0,12308.0,-1.0,-1.0,700.0,-1.0,-1.0,-1.0,-1.0,69976.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,-1.0,20895.0
1968,-1.0,-1.0,-1.0,-1.0,11756.0,-1.0,28409.0,-1.0,-1.0,-1.0,-1.0,4233.0,6845.0,-1.0,-1.0,12362.0,17000.0,4497.0,-1.0,150000.0,-1.0,-1.0,-1.0,-1.0,7083.0,-1.0,-1.0,-1.0,-1.0,9923.0,40000.0,-1.0,-1.0,683.0,-1.0,-1.0,-1.0,-1.0,88485.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4490.0,-1.0,-1.0,-1.0,-1.0,21012.0
1969,-1.0,-1.0,-1.0,-1.0,9498.0,-1.0,28261.0,-1.0,-1.0,-1.0,-1.0,5347.0,5009.0,-1.0,-1.0,18355.0,14500.0,4484.0,-1.0,145833.0,-1.0,-1.0,-1.0,-1.0,6800.0,-1.0,-1.0,-1.0,-1.0,6472.0,15370.0,-1.0,-1.0,610.0,-1.0,-1.0,-1.0,-1.0,42998.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2244.0,-1.0,-1.0,-1.0,-1.0,15556.0
1970,-1.0,-1.0,-1.0,-1.0,22048.0,-1.0,29167.0,-1.0,-1.0,-1.0,-1.0,4673.0,6194.0,-1.0,-1.0,16360.0,12500.0,4478.0,-1.0,150000.0,-1.0,-1.0,-1.0,-1.0,6923.0,-1.0,-1.0,-1.0,-1.0,7791.0,-1.0,-1.0,-1.0,563.0,-1.0,-1.0,-1.0,-1.0,38313.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5103.0,-1.0,-1.0,-1.0,-1.0,14144.0
1971,-1.0,-1.0,-1.0,-1.0,19314.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,4673.0,5356.0,-1.0,-1.0,15995.0,15667.0,4500.0,-1.0,150000.0,-1.0,-1.0,-1.0,-1.0,7778.0,-1.0,-1.0,-1.0,-1.0,4842.0,24520.0,-1.0,-1.0,691.0,-1.0,-1.0,-1.0,-1.0,34135.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6122.0,-1.0,-1.0,-1.0,-1.0,11569.0
1972,-1.0,-1.0,-1.0,-1.0,23325.0,-1.0,29615.0,-1.0,-1.0,-1.0,-1.0,4340.0,7053.0,-1.0,-1.0,14088.0,19000.0,4514.0,-1.0,150000.0,-1.0,-1.0,-1.0,-1.0,10152.0,-1.0,-1.0,-1.0,-1.0,5149.0,30306.0,-1.0,-1.0,789.0,-1.0,-1.0,-1.0,-1.0,48736.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5716.0,-1.0,-1.0,-1.0,-1.0,16000.0
