,Kenya,Peru,"China, Taiwan Province of",Serbia and Montenegro,Croatia,Cameroon,Serbia,India,Armenia,Syrian Arab Republic,Nepal,Uzbekistan,Yugoslav SFR,Canada,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Zimbabwe,Iraq,Cyprus,South Africa,Japan,New Zealand,Yemen,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Algeria,Pakistan,Morocco,Madagascar,Tajikistan,Kyrgyzstan,Argentina,Ukraine,Georgia,Germany,Guadeloupe,Slovenia,Austria,Turkmenistan,Czechoslovakia,Bhutan,Switzerland,Mexico,USSR,Romania,Azerbaijan,Spain,Egypt,Bosnia and Herzegovina,China,Tunisia,Malta,Libya,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Ecuador,Hungary,Kazakhstan,Chile,Israel,Australia,France,Jordan,Republic of Moldova,Poland,"China, mainland",Russian Federation,Italy,Turkey
1961,10.0,-1.0,2802.0,-1.0,-1.0,-1.0,-1.0,8000.0,-1.0,18428.0,-1.0,-1.0,48800.0,6010.0,-1.0,22295.0,32000.0,-1.0,8000.0,914.0,21802.0,-1.0,3690.0,-1.0,47874.0,44381.0,172183.0,64863.0,12720.0,5100.0,4800.0,300.0,-1.0,-1.0,15400.0,-1.0,-1.0,2900.0,-1.0,-1.0,33952.0,-1.0,30606.0,-1.0,12000.0,5829.0,112000.0,33600.0,-1.0,109900.0,5573.0,-1.0,2802.0,11600.0,-1.0,700.0,900.0,8296.0,-1.0,6000.0,-1.0,-1.0,368.0,130400.0,-1.0,3991.0,900.0,40691.0,93910.0,2600.0,-1.0,-1.0,-1.0,-1.0,60000.0,114900.0
1962,10.0,-1.0,3217.0,-1.0,-1.0,-1.0,-1.0,8300.0,-1.0,43407.0,-1.0,-1.0,24700.0,7031.0,-1.0,22620.0,32000.0,-1.0,8500.0,914.0,28401.0,-1.0,3780.0,-1.0,20119.0,44471.0,150319.0,67494.0,13800.0,5900.0,8955.0,300.0,-1.0,-1.0,13400.0,-1.0,-1.0,2000.0,-1.0,-1.0,19259.0,-1.0,14768.0,-1.0,3000.0,5741.0,120000.0,30300.0,-1.0,108900.0,8177.0,-1.0,3217.0,12450.0,-1.0,600.0,700.0,6840.0,-1.0,4000.0,-1.0,-1.0,191.0,51300.0,-1.0,3991.0,1200.0,40691.0,53220.0,1939.0,-1.0,-1.0,-1.0,-1.0,48300.0,86800.0
1963,10.0,-1.0,4226.0,-1.0,-1.0,-1.0,-1.0,8500.0,-1.0,27634.0,-1.0,-1.0,19200.0,2253.0,-1.0,21216.0,32000.0,-1.0,9500.0,953.0,24523.0,-1.0,5900.0,-1.0,46928.0,47561.0,180075.0,20049.0,12000.0,9700.0,13000.0,400.0,-1.0,-1.0,13450.0,-1.0,-1.0,4198.0,-1.0,-1.0,37412.0,-1.0,25995.0,-1.0,13000.0,6584.0,154000.0,29600.0,-1.0,109700.0,7728.0,-1.0,4226.0,15000.0,-1.0,400.0,600.0,5660.0,-1.0,5000.0,-1.0,-1.0,200.0,104200.0,-1.0,4082.0,1700.0,41661.0,161280.0,2400.0,-1.0,-1.0,-1.0,-1.0,60400.0,75800.0
1964,10.0,-1.0,6877.0,-1.0,-1.0,-1.0,-1.0,8800.0,-1.0,28906.0,-1.0,-1.0,34900.0,8777.0,-1.0,27768.0,39200.0,-1.0,9500.0,508.0,33405.0,-1.0,6000.0,-1.0,27950.0,41044.0,199670.0,37648.0,14900.0,11000.0,16160.0,400.0,-1.0,-1.0,12100.0,-1.0,-1.0,3100.0,-1.0,-1.0,18139.0,-1.0,15035.0,-1.0,6000.0,6866.0,169000.0,40000.0,-1.0,129500.0,6789.0,-1.0,6877.0,9500.0,-1.0,200.0,600.0,4430.0,-1.0,12500.0,-1.0,-1.0,243.0,97900.0,-1.0,3992.0,4500.0,35044.0,34340.0,2144.0,-1.0,-1.0,-1.0,-1.0,64900.0,102000.0
1965,10.0,-1.0,10102.0,-1.0,-1.0,-1.0,-1.0,9200.0,-1.0,9267.0,-1.0,-1.0,17200.0,453.0,-1.0,27244.0,43400.0,-1.0,10000.0,691.0,28632.0,-1.0,4770.0,-1.0,22926.0,47623.0,205023.0,39916.0,13709.0,9100.0,27561.0,500.0,-1.0,-1.0,12700.0,-1.0,-1.0,1751.0,-1.0,-1.0,12976.0,-1.0,11397.0,-1.0,5000.0,7168.0,175000.0,21100.0,-1.0,199500.0,5940.0,-1.0,10102.0,15000.0,-1.0,300.0,600.0,7760.0,-1.0,10600.0,-1.0,-1.0,197.0,68969.0,-1.0,3810.0,8100.0,42853.0,109680.0,2500.0,-1.0,-1.0,-1.0,-1.0,71400.0,88000.0
1966,10.0,-1.0,9775.0,-1.0,-1.0,-1.0,-1.0,9500.0,-1.0,15000.0,-1.0,-1.0,22300.0,6328.0,-1.0,29882.0,48400.0,-1.0,11000.0,1118.0,23640.0,-1.0,4900.0,-1.0,39099.0,43606.0,175539.0,42000.0,11626.0,11600.0,54145.0,500.0,-1.0,-1.0,13000.0,-1.0,-1.0,1588.0,-1.0,-1.0,18611.0,-1.0,21652.0,-1.0,5000.0,7352.0,150000.0,38300.0,-1.0,157800.0,10034.0,-1.0,9775.0,13500.0,-1.0,300.0,600.0,8000.0,-1.0,10915.0,-1.0,-1.0,300.0,80577.0,-1.0,3992.0,10950.0,38706.0,42967.0,2543.0,-1.0,-1.0,-1.0,-1.0,77000.0,38800.0
1967,10.0,-1.0,12408.0,-1.0,-1.0,-1.0,-1.0,9800.0,-1.0,22237.0,-1.0,-1.0,25900.0,2988.0,-1.0,38418.0,58700.0,-1.0,11500.0,1524.0,23097.0,-1.0,5600.0,-1.0,45112.0,57970.0,133832.0,45000.0,13095.0,12200.0,60000.0,500.0,-1.0,-1.0,17500.0,-1.0,-1.0,3593.0,-1.0,-1.0,22233.0,-1.0,27315.0,-1.0,5500.0,7504.0,265000.0,51800.0,-1.0,135200.0,14000.0,-1.0,12408.0,16300.0,-1.0,300.0,500.0,8000.0,-1.0,8120.0,-1.0,-1.0,300.0,107259.0,-1.0,4989.0,13900.0,52370.0,94215.0,2477.0,-1.0,-1.0,-1.0,-1.0,64600.0,118000.0
1968,10.0,-1.0,17513.0,-1.0,-1.0,-1.0,-1.0,10300.0,-1.0,19267.0,-1.0,-1.0,16100.0,3279.0,-1.0,35908.0,59400.0,-1.0,12000.0,1321.0,28747.0,-1.0,4910.0,-1.0,42947.0,37972.0,135424.0,50000.0,11483.0,13500.0,60000.0,400.0,-1.0,-1.0,17600.0,-1.0,-1.0,6621.0,-1.0,-1.0,17280.0,-1.0,17700.0,-1.0,11000.0,7810.0,160000.0,49600.0,-1.0,184500.0,9000.0,-1.0,17513.0,13200.0,-1.0,300.0,600.0,10210.0,-1.0,24503.0,-1.0,-1.0,305.0,50567.0,-1.0,6000.0,16600.0,33062.0,130200.0,2322.0,-1.0,-1.0,-1.0,-1.0,109800.0,131000.0
1969,10.0,-1.0,24166.0,-1.0,-1.0,-1.0,-1.0,10500.0,-1.0,13075.0,-1.0,-1.0,35417.0,37.0,-1.0,28182.0,60000.0,-1.0,12000.0,1219.0,17785.0,-1.0,5000.0,-1.0,46841.0,48634.0,207381.0,55000.0,12476.0,17900.0,60000.0,300.0,-1.0,-1.0,17500.0,-1.0,-1.0,3800.0,-1.0,-1.0,20689.0,-1.0,40781.0,-1.0,12000.0,6917.0,254000.0,81200.0,-1.0,100400.0,11000.0,-1.0,24166.0,16300.0,-1.0,300.0,700.0,3250.0,-1.0,11511.0,-1.0,-1.0,300.0,130434.0,-1.0,7000.0,10900.0,43634.0,56012.0,352.0,-1.0,-1.0,-1.0,-1.0,69270.0,112500.0
1970,10.0,306.0,25967.0,-1.0,-1.0,-1.0,-1.0,10800.0,-1.0,21644.0,-1.0,-1.0,22512.0,3445.0,-1.0,43066.0,58100.0,-1.0,13000.0,2032.0,25140.0,-1.0,6700.0,-1.0,24190.0,46209.0,158757.0,55000.0,14200.0,19100.0,60000.0,200.0,-1.0,-1.0,17000.0,-1.0,-1.0,5725.0,-1.0,-1.0,18897.0,-1.0,34228.0,-1.0,7500.0,8714.0,257000.0,46534.0,-1.0,161800.0,11000.0,-1.0,25967.0,17800.0,-1.0,250.0,900.0,6510.0,-1.0,12952.0,-1.0,-1.0,300.0,85409.0,-1.0,8000.0,14600.0,39509.0,96180.0,-1.0,-1.0,-1.0,-1.0,-1.0,120300.0,95000.0
