,India,Kenya,Peru,"China, Taiwan Province of",Serbia and Montenegro,Croatia,Cameroon,Serbia,Israel,Armenia,Syrian Arab Republic,Nepal,Uzbekistan,Yugoslav SFR,Canada,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Zimbabwe,Iraq,Cyprus,South Africa,Japan,New Zealand,Yemen,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Algeria,Pakistan,Czechoslovakia,Madagascar,Tajikistan,Kyrgyzstan,Argentina,Ukraine,Georgia,Germany,Slovenia,Austria,Turkmenistan,Morocco,Switzerland,Mexico,USSR,Romania,Azerbaijan,Spain,Egypt,Bosnia and Herzegovina,China,Tunisia,Malta,Libya,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Ecuador,Hungary,Kazakhstan,Chile,Australia,France,Jordan,Republic of Moldova,Poland,"China, mainland",Russian Federation,Italy,Turkey
1961,27586.0,50000.0,-1.0,62129.0,-1.0,-1.0,-1.0,-1.0,112500.0,-1.0,18428.0,-1.0,-1.0,-1.0,76076.0,-1.0,35389.0,66390.0,-1.0,-1.0,33603.0,77864.0,-1.0,113538.0,-1.0,106719.0,107747.0,107146.0,46331.0,30286.0,63750.0,-1.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,140120.0,22857.0,-1.0,-1.0,105673.0,59796.0,-1.0,62129.0,9667.0,-1.0,-1.0,-1.0,82960.0,-1.0,66667.0,-1.0,-1.0,-1.0,-1.0,-1.0,53213.0,107251.0,90919.0,52000.0,-1.0,-1.0,-1.0,-1.0,46154.0,27351.0
1962,30741.0,50000.0,-1.0,63078.0,-1.0,-1.0,-1.0,-1.0,120000.0,-1.0,43407.0,-1.0,-1.0,-1.0,75602.0,-1.0,35905.0,66390.0,-1.0,-1.0,32760.0,94670.0,-1.0,112166.0,-1.0,41732.0,107652.0,96730.0,48210.0,30000.0,65556.0,-1.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,143167.0,21818.0,-1.0,-1.0,100833.0,95637.0,-1.0,63078.0,9960.0,-1.0,-1.0,-1.0,68400.0,-1.0,44444.0,-1.0,-1.0,-1.0,-1.0,-1.0,53213.0,107251.0,50450.0,38780.0,-1.0,-1.0,-1.0,-1.0,37154.0,19603.0
1963,30357.0,50000.0,-1.0,53359.0,-1.0,-1.0,-1.0,-1.0,113333.0,-1.0,27634.0,-1.0,-1.0,-1.0,75100.0,-1.0,33676.0,66390.0,-1.0,-1.0,33556.0,81743.0,-1.0,173529.0,-1.0,94480.0,109461.0,115581.0,28641.0,30000.0,88182.0,-1.0,80000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,147623.0,28000.0,-1.0,-1.0,93761.0,89341.0,-1.0,53359.0,10000.0,-1.0,-1.0,-1.0,56600.0,-1.0,52632.0,-1.0,-1.0,-1.0,-1.0,-1.0,52333.0,104022.0,150392.0,48000.0,-1.0,-1.0,-1.0,-1.0,46462.0,17167.0
1964,30345.0,50000.0,-1.0,77010.0,-1.0,-1.0,-1.0,-1.0,150000.0,-1.0,28906.0,-1.0,-1.0,-1.0,75664.0,-1.0,46280.0,76863.0,-1.0,-1.0,17578.0,98250.0,-1.0,161290.0,-1.0,56442.0,92629.0,124560.0,37648.0,35476.0,64706.0,-1.0,80000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,148294.0,30727.0,-1.0,-1.0,100388.0,69346.0,-1.0,77010.0,9500.0,-1.0,-1.0,-1.0,44300.0,-1.0,121359.0,-1.0,-1.0,-1.0,-1.0,-1.0,49900.0,86337.0,32350.0,35733.0,-1.0,-1.0,-1.0,-1.0,52339.0,21912.0
1965,30667.0,50000.0,-1.0,99822.0,-1.0,-1.0,-1.0,-1.0,115714.0,-1.0,15445.0,-1.0,-1.0,-1.0,75500.0,-1.0,46972.0,80819.0,-1.0,-1.0,23584.0,95440.0,-1.0,125526.0,-1.0,46494.0,114204.0,132615.0,39916.0,34273.0,70000.0,-1.0,83333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,148406.0,29167.0,-1.0,-1.0,132119.0,58465.0,-1.0,99822.0,10000.0,-1.0,-1.0,-1.0,77600.0,-1.0,112169.0,-1.0,-1.0,-1.0,-1.0,-1.0,50132.0,113069.0,95607.0,41667.0,-1.0,-1.0,-1.0,-1.0,59500.0,18925.0
1966,30645.0,50000.0,-1.0,94081.0,-1.0,-1.0,-1.0,-1.0,136875.0,-1.0,15723.0,-1.0,-1.0,-1.0,75333.0,-1.0,47432.0,81619.0,-1.0,-1.0,36417.0,84429.0,-1.0,125000.0,-1.0,80733.0,104196.0,115638.0,42000.0,29810.0,63736.0,-1.0,83333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,148525.0,27778.0,-1.0,-1.0,101806.0,80272.0,-1.0,94081.0,9643.0,-1.0,-1.0,-1.0,80000.0,-1.0,118000.0,-1.0,-1.0,-1.0,-1.0,-1.0,49900.0,102046.0,36484.0,38126.0,-1.0,-1.0,-1.0,-1.0,59231.0,8212.0
1967,30625.0,50000.0,-1.0,100470.0,-1.0,-1.0,-1.0,-1.0,173750.0,-1.0,22562.0,-1.0,-1.0,-1.0,74700.0,-1.0,60981.0,88671.0,-1.0,-1.0,48228.0,82489.0,-1.0,133333.0,-1.0,97942.0,136432.0,89640.0,40909.0,29100.0,65591.0,-1.0,83333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,146849.0,53000.0,-1.0,-1.0,95211.0,111111.0,-1.0,100470.0,9588.0,-1.0,-1.0,-1.0,80000.0,-1.0,167078.0,-1.0,-1.0,-1.0,-1.0,-1.0,55433.0,136772.0,93746.0,37304.0,-1.0,-1.0,-1.0,-1.0,49692.0,24712.0
1968,30294.0,50000.0,-1.0,93552.0,-1.0,-1.0,-1.0,-1.0,207500.0,-1.0,18986.0,-1.0,-1.0,-1.0,76256.0,-1.0,50575.0,91667.0,-1.0,-1.0,40646.0,95823.0,-1.0,108389.0,-1.0,103188.0,93920.0,91689.0,41667.0,30218.0,61364.0,-1.0,66667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,148479.0,29091.0,-1.0,-1.0,111818.0,71429.0,-1.0,93552.0,10154.0,-1.0,-1.0,-1.0,99126.0,-1.0,138592.0,-1.0,-1.0,-1.0,-1.0,-1.0,60000.0,92095.0,115641.0,36338.0,-1.0,-1.0,-1.0,-1.0,74694.0,32906.0
1969,30000.0,50000.0,-1.0,124696.0,-1.0,-1.0,-1.0,-1.0,136250.0,-1.0,12237.0,-1.0,-1.0,-1.0,7400.0,-1.0,38084.0,91047.0,-1.0,-1.0,36939.0,65870.0,-1.0,106610.0,-1.0,114582.0,121555.0,140788.0,45082.0,31190.0,107831.0,-1.0,60000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,122425.0,33867.0,-1.0,-1.0,57701.0,87302.0,-1.0,124696.0,9588.0,-1.0,-1.0,-1.0,29817.0,-1.0,61066.0,-1.0,-1.0,-1.0,-1.0,-1.0,63636.0,123539.0,47882.0,21333.0,-1.0,-1.0,-1.0,-1.0,45275.0,28935.0
1970,30000.0,50000.0,74634.0,121796.0,-1.0,-1.0,-1.0,-1.0,182500.0,-1.0,22050.0,-1.0,-1.0,-1.0,74891.0,-1.0,57421.0,87632.0,-1.0,-1.0,61021.0,86690.0,-1.0,133466.0,-1.0,61788.0,117520.0,115376.0,45082.0,35500.0,104945.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,107580.0,29205.0,-1.0,-1.0,71911.0,65476.0,-1.0,121796.0,9889.0,-1.0,-1.0,-1.0,56121.0,-1.0,52205.0,-1.0,-1.0,-1.0,-1.0,-1.0,66667.0,115187.0,80150.0,-1.0,-1.0,-1.0,-1.0,-1.0,77613.0,23506.0
