,"China, Taiwan Province of",Indonesia,Bhutan,China,Sri Lanka,Maldives,Malaysia,Thailand,Nepal,Kenya,Bangladesh,Myanmar,India
1961,3718.0,13000.0,-1.0,3718.0,-1.0,1.0,6500.0,,-1.0,-1.0,62995.0,8000.0,120000.0
1962,4356.0,13000.0,-1.0,4356.0,-1.0,1.0,4000.0,,-1.0,-1.0,55882.0,8000.0,120000.0
1963,4302.0,13000.0,-1.0,4302.0,-1.0,1.0,5000.0,,-1.0,-1.0,58931.0,9000.0,120000.0
1964,4853.0,14000.0,-1.0,4853.0,-1.0,1.0,4000.0,,-1.0,-1.0,56898.0,12000.0,120000.0
1965,5694.0,14000.0,-1.0,5694.0,-1.0,1.0,6000.0,,-1.0,-1.0,46738.0,16300.0,113000.0
1966,8667.0,14000.0,-1.0,8667.0,-1.0,1.0,4000.0,,-1.0,-1.0,24385.0,15139.0,119000.0
1967,8957.0,14000.0,-1.0,8957.0,-1.0,1.0,5000.0,,-1.0,-1.0,26925.0,15342.0,130000.0
1968,11405.0,14000.0,-1.0,11405.0,-1.0,1.0,3500.0,,-1.0,-1.0,28449.0,15546.0,135000.0
1969,9768.0,15000.0,-1.0,9768.0,-1.0,1.0,3000.0,,-1.0,-1.0,26400.0,15342.0,140000.0
1970,8721.0,15000.0,-1.0,8721.0,-1.0,1.0,2500.0,,-1.0,-1.0,26385.0,17273.0,137700.0
1971,10075.0,15000.0,-1.0,10075.0,-1.0,1.0,3000.0,,-1.0,-1.0,23369.0,19203.0,141000.0
1972,12281.0,15000.0,-1.0,12281.0,-1.0,1.0,3500.0,,-1.0,-1.0,21448.0,20931.0,150500.0
1973,10344.0,16000.0,-1.0,10344.0,-1.0,1.0,3200.0,,-1.0,-1.0,21550.0,22150.0,147700.0
1974,13612.0,16000.0,-1.0,13612.0,-1.0,2.0,3900.0,,-1.0,-1.0,21419.0,21845.0,167400.0
1975,14554.0,16000.0,-1.0,14554.0,-1.0,2.0,2400.0,,-1.0,-1.0,22424.0,22150.0,164700.0
1976,15997.0,16000.0,-1.0,15997.0,-1.0,10.0,2500.0,,-1.0,-1.0,23765.0,22200.0,160000.0
1977,16961.0,17000.0,-1.0,16961.0,-1.0,2.0,2050.0,,-1.0,-1.0,25665.0,24577.0,164300.0
1978,21373.0,17000.0,-1.0,21373.0,-1.0,1.0,1900.0,,-1.0,-1.0,25828.0,24610.0,175200.0
1979,17531.0,17000.0,-1.0,17531.0,-1.0,1.0,3000.0,,-1.0,-1.0,26458.0,24698.0,181900.0
1980,19959.0,17000.0,-1.0,19959.0,-1.0,2.0,3000.0,,-1.0,-1.0,23767.0,26149.0,181400.0
1981,24358.0,18000.0,-1.0,24358.0,-1.0,5.0,2500.0,,-1.0,-1.0,25051.0,25807.0,195900.0
1982,27024.0,18000.0,-1.0,27024.0,-1.0,2.0,2000.0,,-1.0,-1.0,24091.0,24600.0,194700.0
1983,30102.0,18000.0,-1.0,30102.0,-1.0,4.0,1500.0,15000.0,-1.0,-1.0,23000.0,37300.0,202200.0
1984,36687.0,18765.0,-1.0,36687.0,-1.0,6.0,1100.0,15000.0,-1.0,-1.0,24200.0,30100.0,189500.0
1985,55723.0,19482.0,-1.0,55723.0,-1.0,8.0,1850.0,18000.0,-1.0,-1.0,22700.0,28100.0,218700.0
1986,61394.0,20666.0,-1.0,61394.0,-1.0,10.0,3500.0,14000.0,-1.0,100.0,23055.0,29400.0,216200.0
1987,61414.0,19259.0,-1.0,61414.0,-1.0,8.0,3500.0,12000.0,-1.0,100.0,21765.0,33100.0,219000.0
1988,91986.0,18355.0,-1.0,91986.0,-1.0,8.0,2000.0,12000.0,-1.0,100.0,22425.0,33200.0,226700.0
1989,107563.0,20934.0,-1.0,107563.0,-1.0,8.0,3000.0,12600.0,-1.0,100.0,23000.0,32500.0,249000.0
1990,104473.0,65723.0,2500.0,104473.0,3100.0,68.0,5000.0,13250.0,2300.0,106.0,22760.0,32215.0,251300.0
1991,111090.0,65177.0,2234.0,111090.0,3000.0,16.0,4000.0,13920.0,2400.0,106.0,24120.0,32270.0,238500.0
1992,115348.0,63470.0,2359.0,115348.0,3213.0,34.0,5000.0,14821.0,2500.0,107.0,24260.0,32712.0,243200.0
1993,137467.0,65670.0,2486.0,137467.0,3500.0,33.0,4019.0,13500.0,2600.0,107.0,23855.0,31564.0,256300.0
1994,132208.0,86305.0,2616.0,132208.0,4286.0,32.0,3000.0,15544.0,2700.0,107.0,26000.0,30700.0,271100.0
1995,156108.0,91802.0,2749.0,156108.0,5000.0,31.0,1000.0,16000.0,2800.0,108.0,26000.0,31500.0,289700.0
1996,160118.0,93717.0,2900.0,160118.0,7000.0,32.0,2000.0,13000.0,2900.0,108.0,27000.0,31600.0,295500.0
