,India,"China, Taiwan Province of",Myanmar,Malaysia,Sri Lanka,Bangladesh,Thailand,Nepal,China,Indonesia,Maldives,Bhutan
1961,8889.0,59679.0,7060.0,10833.0,-1.0,7627.0,-1.0,-1.0,59679.0,2000.0,3333.0,-1.0
1962,8889.0,57926.0,7321.0,10526.0,-1.0,6765.0,-1.0,-1.0,57926.0,2000.0,3333.0,-1.0
1963,8889.0,52400.0,7174.0,9091.0,-1.0,7169.0,-1.0,-1.0,52400.0,2000.0,3333.0,-1.0
1964,8889.0,58329.0,7413.0,8889.0,-1.0,7139.0,-1.0,-1.0,58329.0,2000.0,3333.0,-1.0
1965,8626.0,57573.0,8055.0,12000.0,-1.0,6564.0,-1.0,-1.0,57573.0,2000.0,3333.0,-1.0
1966,8686.0,79660.0,7482.0,8889.0,-1.0,5431.0,-1.0,-1.0,79660.0,2000.0,3333.0,-1.0
1967,9155.0,84103.0,7290.0,10000.0,-1.0,6922.0,-1.0,-1.0,84103.0,2000.0,3333.0,-1.0
1968,9184.0,94647.0,7114.0,11667.0,-1.0,7487.0,-1.0,-1.0,94647.0,2000.0,3333.0,-1.0
1969,8917.0,79221.0,6651.0,12000.0,-1.0,6455.0,-1.0,-1.0,79221.0,2000.0,3333.0,-1.0
1970,8569.0,69159.0,7234.0,12500.0,-1.0,6580.0,-1.0,-1.0,69159.0,2000.0,3333.0,-1.0
1971,8428.0,75581.0,7779.0,12000.0,-1.0,5828.0,-1.0,-1.0,75581.0,2000.0,3333.0,-1.0
1972,8635.0,91173.0,8342.0,12500.0,-1.0,5692.0,-1.0,-1.0,91173.0,2000.0,3333.0,-1.0
1973,8288.0,82030.0,8688.0,10667.0,-1.0,5736.0,-1.0,-1.0,82030.0,2000.0,3333.0,-1.0
1974,9073.0,97229.0,8434.0,13929.0,-1.0,5771.0,-1.0,-1.0,97229.0,2000.0,4000.0,-1.0
1975,8705.0,100372.0,8519.0,10435.0,-1.0,6006.0,-1.0,-1.0,100372.0,2000.0,4000.0,-1.0
1976,9014.0,103206.0,8538.0,11905.0,-1.0,6414.0,-1.0,-1.0,103206.0,2000.0,5556.0,-1.0
1977,9174.0,106006.0,9343.0,10250.0,-1.0,6865.0,-1.0,-1.0,106006.0,2000.0,5000.0,-1.0
1978,10258.0,110913.0,9808.0,10556.0,-1.0,6958.0,-1.0,-1.0,110913.0,2000.0,5000.0,-1.0
1979,10151.0,79650.0,9499.0,15000.0,-1.0,7217.0,-1.0,-1.0,79650.0,2000.0,5000.0,-1.0
1980,10044.0,85808.0,9895.0,11111.0,-1.0,6561.0,-1.0,-1.0,85808.0,2000.0,6667.0,-1.0
1981,10578.0,85798.0,9748.0,19231.0,-1.0,6876.0,-1.0,-1.0,85798.0,2000.0,8333.0,-1.0
