,Kenya,Peru,"China, Taiwan Province of",Zambia,Israel,Philippines,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Zimbabwe,Austria,Spain,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Slovenia,Senegal,Czechia,Argentina,Costa Rica,"China, mainland",Germany,Belgium,Morocco,Finland,Switzerland,Mexico,Slovakia,Ecuador,Jordan,China,Colombia,Chile,Hungary,Greece,Australia,France,Thailand,Lithuania,Poland,Netherlands,Belgium-Luxembourg,Italy,Turkey
1961,-1.0,1000.0,-1.0,-1,-1.0,-1.0,445.0,3180.0,1860.0,-1.0,2500.0,-1.0,35.0,2600.0,750.0,-1.0,2071.0,59751.0,-1.0,-1.0,-1,-1.0,450.0,-1.0,520000.0,6195.0,-1.0,8000.0,-1.0,-1.0,1300.0,-1.0,-1.0,-1,520000.0,-1.0,-1.0,1731.0,-1.0,1321.0,23170.0,-1.0,-1.0,-1.0,-1.0,605.0,5100.0,10.0
1962,-1.0,1000.0,-1.0,-1,-1.0,-1.0,445.0,2550.0,1920.0,-1.0,3000.0,-1.0,38.0,3200.0,747.0,-1.0,2173.0,59071.0,-1.0,-1.0,-1,-1.0,495.0,-1.0,375000.0,6536.0,-1.0,8000.0,-1.0,-1.0,1300.0,-1.0,-1.0,-1,375000.0,-1.0,-1.0,1805.0,-1.0,1426.0,24315.0,-1.0,-1.0,-1.0,-1.0,591.0,5400.0,10.0
1963,-1.0,1000.0,-1.0,-1,-1.0,-1.0,445.0,2550.0,1740.0,-1.0,3500.0,-1.0,33.0,4400.0,795.0,-1.0,2411.0,58747.0,-1.0,-1.0,-1,-1.0,486.0,-1.0,320000.0,6413.0,-1.0,9000.0,-1.0,-1.0,1350.0,-1.0,-1.0,-1,320000.0,-1.0,-1.0,1231.0,-1.0,1616.0,25923.0,-1.0,-1.0,-1.0,-1.0,574.0,5200.0,10.0
1964,-1.0,1000.0,270.0,-1,-1.0,-1.0,445.0,2550.0,1540.0,-1.0,3520.0,-1.0,34.0,4800.0,850.0,-1.0,2496.0,58569.0,-1.0,-1.0,-1,-1.0,473.0,-1.0,290000.0,6817.0,-1.0,12000.0,-1.0,-1.0,1350.0,-1.0,-1.0,-1,290270.0,-1.0,-1.0,958.0,-1.0,1646.0,26683.0,-1.0,-1.0,-1.0,-1.0,513.0,5808.0,10.0
1965,-1.0,1000.0,9553.0,-1,-1.0,-1.0,445.0,1359.0,1546.0,-1.0,5180.0,-1.0,30.0,5000.0,850.0,-1.0,2459.0,53106.0,-1.0,-1.0,-1,-1.0,504.0,-1.0,290000.0,6671.0,-1.0,10000.0,-1.0,-1.0,1350.0,-1.0,-1.0,-1,299553.0,-1.0,-1.0,1177.0,-1.0,1609.0,26163.0,-1.0,-1.0,-1.0,-1.0,425.0,5724.0,10.0
1966,-1.0,1195.0,10877.0,-1,-1.0,-1.0,486.0,1086.0,1546.0,-1.0,6110.0,-1.0,37.0,5800.0,814.0,-1.0,2525.0,51844.0,-1.0,-1.0,-1,-1.0,520.0,-1.0,280000.0,6627.0,-1.0,6400.0,-1.0,-1.0,1400.0,-1.0,-1.0,-1,290877.0,-1.0,-1.0,1151.0,-1.0,1711.0,26879.0,-1.0,-1.0,-1.0,-1.0,365.0,5827.0,10.0
1967,-1.0,1180.0,8002.0,-1,-1.0,-1.0,486.0,882.0,1403.0,-1.0,6940.0,-1.0,32.0,6300.0,886.0,-1.0,2632.0,50957.0,-1.0,-1.0,-1,-1.0,800.0,-1.0,280000.0,6653.0,-1.0,6000.0,-1.0,-1.0,1400.0,-1.0,-1.0,-1,288002.0,-1.0,-1.0,1169.0,-1.0,1746.0,26782.0,-1.0,-1.0,-1.0,-1.0,286.0,6426.0,10.0
1968,-1.0,955.0,6385.0,-1,-1.0,-1.0,445.0,768.0,1227.0,-1.0,7000.0,-1.0,44.0,6700.0,838.0,-1.0,2517.0,49112.0,-1.0,-1.0,-1,-1.0,810.0,-1.0,275000.0,5279.0,-1.0,6000.0,-1.0,-1.0,1400.0,-1.0,-1.0,-1,281385.0,-1.0,-1.0,1251.0,-1.0,1679.0,23222.0,-1.0,-1.0,-1.0,-1.0,238.0,6855.0,10.0
1969,-1.0,940.0,8315.0,-1,-1.0,-1.0,405.0,729.0,1198.0,-1.0,6200.0,-1.0,45.0,7200.0,940.0,-1.0,2597.0,46680.0,-1.0,-1.0,-1,-1.0,834.0,-1.0,275000.0,5956.0,-1.0,4000.0,-1.0,-1.0,1450.0,-1.0,-1.0,-1,283315.0,-1.0,-1.0,563.0,100.0,1657.0,23966.0,-1.0,-1.0,-1.0,-1.0,221.0,6935.0,10.0
1970,-1.0,820.0,12588.0,-1,-1.0,-1.0,445.0,685.0,1279.0,-1.0,6000.0,-1.0,40.0,8000.0,915.0,-1.0,2791.0,45429.0,-1.0,-1.0,-1,-1.0,840.0,-1.0,174000.0,6127.0,-1.0,4000.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1,186588.0,-1.0,-1.0,609.0,500.0,1876.0,21000.0,-1.0,-1.0,-1.0,-1.0,220.0,7130.0,10.0
