,Paraguay,Seychelles,Kenya,Bolivia (Plurinational State of),Peru,Rwanda,Cameroon,Israel,Dominican Republic,Philippines,Guadeloupe,Australia & New Zealand,Cook Islands,Ethiopia,Indonesia,Greece,Zimbabwe,Réunion,Venezuela (Bolivarian Republic of),Cyprus,South Africa,Spain,New Zealand,Guyana,Democratic Republic of the Congo,Bahamas,United States of America,Barbados,Guatemala,French Polynesia,Mauritius,Senegal,Madagascar,French Guiana,Argentina,Haiti,Costa Rica,Cuba,El Salvador,Dominica,Morocco,Congo,Lebanon,Mexico,Grenada,Ecuador,Honduras,Central African Republic,Bosnia and Herzegovina,Sri Lanka,China,Tunisia,Côte d'Ivoire,Colombia,Trinidad and Tobago,Portugal,Jamaica,Micronesia (Federated States of),Occupied Palestinian Territory,Chile,Saint Lucia,Panama,Martinique,Samoa,Australia,France,Brazil,Micronesia,Ghana,Polynesia,"China, mainland",Puerto Rico,Timor-Leste,Swaziland,Guam,Turkey
1961,-1.0,-1.0,1100.0,300.0,3900.0,-1.0,5000.0,170.0,-1.0,4000.0,-1.0,0.0,50.0,-1.0,5500.0,-1.0,-1.0,-1.0,11935.0,55.0,1000.0,35.0,-1.0,-1.0,2100.0,-1.0,10480.0,-1.0,1200.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,1600.0,1100.0,1600.0,-1.0,125.0,900.0,-1.0,8723.0,-1.0,1300.0,697.0,200.0,-1.0,-1.0,-1.0,-1.0,1250.0,1400.0,-1.0,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,-1.0,30.0,-1.0,-1.0,8000.0,-1,1000.0,80.0,-1.0,940.0,-1.0,-1.0,-1,-1.0
1962,-1.0,-1.0,1100.0,300.0,4100.0,-1.0,5000.0,260.0,-1.0,4000.0,-1.0,0.0,50.0,-1.0,5500.0,-1.0,-1.0,-1.0,11962.0,56.0,1200.0,35.0,-1.0,-1.0,2100.0,-1.0,10640.0,-1.0,1300.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,1700.0,1100.0,1800.0,-1.0,125.0,900.0,-1.0,8898.0,-1.0,1599.0,718.0,200.0,-1.0,-1.0,-1.0,-1.0,1250.0,1450.0,-1.0,-1.0,-1.0,-1,-1.0,3100.0,-1.0,-1.0,-1.0,34.0,-1.0,-1.0,9000.0,-1,1000.0,84.0,-1.0,900.0,-1.0,-1.0,-1,-1.0
1963,-1.0,-1.0,1100.0,300.0,4400.0,-1.0,5500.0,340.0,-1.0,4000.0,-1.0,0.0,60.0,-1.0,5500.0,-1.0,-1.0,-1.0,11990.0,57.0,1000.0,35.0,-1.0,-1.0,1800.0,-1.0,10930.0,-1.0,1400.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,1800.0,1100.0,1800.0,-1.0,125.0,900.0,-1.0,9972.0,-1.0,1816.0,746.0,200.0,-1.0,-1.0,-1.0,-1.0,1250.0,1480.0,-1.0,-1.0,-1.0,-1,-1.0,3200.0,-1.0,-1.0,-1.0,38.0,-1.0,-1.0,9500.0,-1,1000.0,98.0,-1.0,950.0,-1.0,-1.0,-1,-1.0
1964,-1.0,-1.0,1100.0,300.0,4630.0,-1.0,5500.0,340.0,-1.0,4000.0,-1.0,0.0,70.0,-1.0,6300.0,-1.0,-1.0,-1.0,12017.0,58.0,1000.0,30.0,-1.0,-1.0,1800.0,-1.0,10840.0,-1.0,1400.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,1900.0,1200.0,1900.0,-1.0,125.0,800.0,-1.0,10055.0,-1.0,1901.0,774.0,200.0,-1.0,-1.0,-1.0,-1.0,1250.0,1480.0,-1.0,-1.0,-1.0,-1,-1.0,3300.0,-1.0,-1.0,-1.0,42.0,-1.0,-1.0,9500.0,-1,1000.0,112.0,-1.0,980.0,-1.0,-1.0,-1,-1.0
1965,-1.0,-1.0,1100.0,300.0,4455.0,-1.0,6000.0,310.0,-1.0,4000.0,-1.0,0.0,70.0,-1.0,6300.0,-1.0,-1.0,-1.0,12045.0,59.0,1000.0,40.0,-1.0,-1.0,2400.0,-1.0,9750.0,-1.0,1500.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,2000.0,900.0,2000.0,-1.0,125.0,800.0,-1.0,12181.0,-1.0,2451.0,788.0,250.0,-1.0,-1.0,-1.0,-1.0,1250.0,1500.0,-1.0,-1.0,-1.0,-1,-1.0,3400.0,-1.0,-1.0,-1.0,47.0,-1.0,-1.0,10260.0,-1,1000.0,117.0,-1.0,980.0,-1.0,-1.0,-1,-1.0
1966,-1.0,-1.0,1100.0,340.0,5420.0,-1.0,6000.0,500.0,-1.0,4000.0,-1.0,0.0,70.0,-1.0,7000.0,-1.0,-1.0,-1.0,12073.0,61.0,1000.0,52.0,-1.0,-1.0,2400.0,-1.0,9670.0,-1.0,1600.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,2000.0,450.0,2100.0,-1.0,125.0,800.0,-1.0,13660.0,-1.0,2280.0,816.0,250.0,-1.0,-1.0,-1.0,-1.0,1500.0,1530.0,-1.0,-1.0,-1.0,-1,-1.0,2600.0,-1.0,-1.0,-1.0,52.0,-1.0,-1.0,11760.0,-1,1000.0,122.0,-1.0,980.0,-1.0,-1.0,-1,-1.0
1967,-1.0,-1.0,1100.0,340.0,5334.0,-1.0,6000.0,600.0,-1.0,4000.0,-1.0,0.0,70.0,-1.0,7000.0,-1.0,-1.0,-1.0,12101.0,63.0,1300.0,62.0,-1.0,-1.0,2400.0,-1.0,9750.0,-1.0,1600.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,2200.0,800.0,2200.0,-1.0,125.0,900.0,-1.0,15034.0,-1.0,3037.0,847.0,250.0,-1.0,-1.0,-1.0,-1.0,1500.0,1530.0,-1.0,-1.0,-1.0,-1,-1.0,2800.0,-1.0,-1.0,-1.0,55.0,-1.0,-1.0,12562.0,-1,1000.0,125.0,-1.0,980.0,-1.0,-1.0,-1,-1.0
1968,-1.0,-1.0,1100.0,340.0,6454.0,-1.0,6500.0,700.0,-1.0,4000.0,-1.0,0.0,70.0,-1.0,7000.0,-1.0,-1.0,-1.0,12130.0,65.0,1500.0,42.0,-1.0,-1.0,2500.0,-1.0,10000.0,-1.0,1600.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,2300.0,495.0,2400.0,-1.0,125.0,900.0,-1.0,16031.0,-1.0,3013.0,879.0,250.0,-1.0,-1.0,-1.0,-1.0,1500.0,1550.0,-1.0,-1.0,-1.0,-1,-1.0,3300.0,-1.0,-1.0,-1.0,57.0,-1.0,-1.0,13584.0,-1,1000.0,127.0,-1.0,1000.0,-1.0,-1.0,-1,-1.0
1969,-1.0,-1.0,1100.0,350.0,8980.0,-1.0,7000.0,900.0,-1.0,4000.0,-1.0,0.0,70.0,-1.0,6500.0,-1.0,-1.0,-1.0,12158.0,66.0,2000.0,63.0,-1.0,-1.0,2600.0,-1.0,9510.0,-1.0,1700.0,-1.0,-1,-1,50.0,-1.0,-1.0,-1.0,2400.0,500.0,2400.0,-1.0,125.0,900.0,-1.0,17104.0,-1.0,2802.0,900.0,250.0,-1.0,-1.0,-1.0,-1.0,1500.0,1550.0,-1.0,-1.0,-1.0,-1,-1.0,3500.0,-1.0,-1.0,-1.0,60.0,-1.0,-1.0,14708.0,-1,1000.0,130.0,-1.0,578.0,-1.0,-1.0,-1,-1.0
1970,-1.0,-1.0,1100.0,350.0,10190.0,-1.0,7500.0,1050.0,-1.0,5000.0,-1.0,0.0,80.0,-1.0,6000.0,-1.0,-1.0,-1.0,12186.0,67.0,1800.0,40.0,-1.0,-1.0,2600.0,-1.0,9630.0,-1.0,1800.0,-1.0,-1,-1,100.0,150.0,-1.0,-1.0,2500.0,500.0,2400.0,-1.0,125.0,900.0,-1.0,19111.0,-1.0,2905.0,938.0,250.0,-1.0,-1.0,-1.0,-1.0,1500.0,1560.0,-1.0,-1.0,-1.0,-1,-1.0,3500.0,-1.0,-1.0,-1.0,64.0,-1.0,-1.0,15784.0,-1,1000.0,144.0,-1.0,1050.0,-1.0,-1.0,-1,-1.0
