,Democratic Republic of the Congo,Niger,Senegal,Cameroon,Burkina Faso,Mali
1961,7600.0,-1.0,-1,7000.0,7000.0,8000.0
1962,7600.0,-1.0,-1,7500.0,7000.0,8000.0
1963,7600.0,-1.0,-1,8000.0,7000.0,8000.0
1964,7600.0,-1.0,-1,8000.0,7000.0,8000.0
1965,7600.0,-1.0,-1,8000.0,7000.0,8000.0
1966,7600.0,-1.0,-1,7000.0,7000.0,8000.0
1967,7600.0,-1.0,-1,5127.0,7000.0,8000.0
1968,7600.0,-1.0,-1,4915.0,7000.0,8000.0
1969,7600.0,-1.0,-1,12120.0,7000.0,8000.0
1970,7600.0,-1.0,-1,11394.0,7000.0,8000.0
1971,7900.0,-1.0,-1,11461.0,7000.0,8000.0
1972,7900.0,-1.0,-1,13454.0,8000.0,8000.0
1973,7900.0,-1.0,-1,10845.0,8000.0,8000.0
1974,7900.0,-1.0,-1,11011.0,8000.0,8000.0
1975,7900.0,-1.0,-1,17335.0,8000.0,8000.0
1976,7900.0,-1.0,-1,18178.0,8000.0,8000.0
1977,7900.0,-1.0,-1,18824.0,8000.0,8000.0
1978,7900.0,-1.0,-1,6350.0,8000.0,8000.0
1979,7900.0,-1.0,-1,5654.0,9000.0,8000.0
1980,7900.0,-1.0,-1,6580.0,9000.0,8261.0
1981,8300.0,-1.0,-1,8900.0,9000.0,6811.0
1982,8300.0,-1.0,-1,9500.0,9000.0,8840.0
1983,8300.0,-1.0,-1,6500.0,9000.0,4653.0
1984,8300.0,-1.0,-1,6909.0,9000.0,10447.0
1985,8300.0,-1.0,-1,4865.0,12161.0,8460.0
1986,8300.0,-1.0,-1,6856.0,9782.0,13248.0
1987,8300.0,-1.0,-1,4180.0,10514.0,12402.0
1988,8700.0,-1.0,-1,6529.0,13487.0,12622.0
1989,8700.0,-1.0,-1,5528.0,19928.0,7305.0
1990,9632.0,-1.0,-1,5000.0,24400.0,16620.0
1991,8900.0,-1.0,-1,5200.0,33600.0,19402.0
1992,6810.0,-1.0,-1,5500.0,30800.0,18452.0
1993,7050.0,-1.0,-1,5800.0,46165.0,13907.0
1994,7300.0,-1.0,-1,6200.0,40415.0,5880.0
1995,7558.0,-1.0,-1,6500.0,33711.0,7165.0
1996,7829.0,-1.0,-1,6800.0,34875.0,8406.0
1997,8025.0,-1.0,-1,7300.0,25100.0,9321.0
1998,8193.0,-1.0,-1,7600.0,39839.0,9809.0
1999,8365.0,-1.0,-1,8980.0,39366.0,21717.0
2000,8541.0,6043.0,-1,8495.0,21979.0,16562.0
2001,8720.0,5739.0,-1,8784.0,37680.0,13000.0
2002,8900.0,14956.0,-1,9082.0,36246.0,11545.0
2003,9100.0,5457.0,-1,9391.0,35184.0,33321.0
2004,9300.0,9759.0,-1,9711.0,27848.0,19000.0
2005,9510.0,10177.0,-1,20801.0,39976.0,17169.0
2006,9720.0,17917.0,-1,19630.0,37731.0,18049.0
2007,9940.0,12168.0,-1,22027.0,37605.0,18884.0
2008,10160.0,20313.0,-1,23882.0,55572.0,26114.0
2009,10378.0,30246.0,-1,25644.0,44712.0,24978.0
2010,9566.0,27472.0,-1,29308.0,59483.0,25956.0
2011,9852.0,22098.0,-1,30876.0,48751.0,23480.0
2012,10134.0,32678.0,-1,34778.0,65119.0,23149.0
2013,10436.0,32784.0,-1,36639.0,56555.0,20939.0
2014,10741.0,32383.0,-1,38075.0,56249.0,22930.0
