,Cameroon,Burkina Faso,Democratic Republic of the Congo,Niger
1961,600.0,280.0,438.0,0.0
1962,650.0,280.0,438.0,0.0
1963,650.0,280.0,438.0,0.0
1964,650.0,280.0,438.0,0.0
1965,550.0,280.0,438.0,0.0
1966,570.0,280.0,438.0,0.0
1967,511.0,280.0,438.0,0.0
1968,769.0,280.0,438.0,0.0
1969,1044.0,280.0,438.0,0.0
1970,989.0,280.0,455.0,0.0
1971,925.0,320.0,455.0,0.0
1972,1040.0,320.0,455.0,0.0
1973,1059.0,320.0,455.0,0.0
1974,1444.0,320.0,455.0,0.0
1975,1613.0,320.0,455.0,0.0
1976,1701.0,320.0,455.0,0.0
1977,500.0,320.0,455.0,0.0
1978,460.0,360.0,455.0,0.0
1979,525.0,360.0,455.0,0.0
1980,725.0,360.0,462.0,0.0
1981,775.0,360.0,462.0,0.0
1982,525.0,360.0,462.0,0.0
1983,550.0,360.0,462.0,0.0
1984,390.0,480.0,462.0,0.0
1985,550.0,400.0,462.0,0.0
1986,335.0,400.0,462.0,0.0
1987,525.0,520.0,473.0,0.0
1988,445.0,800.0,473.0,0.0
1989,400.0,1424.0,523.0,0.0
1990,420.0,1868.0,536.0,0.0
1991,440.0,1594.0,385.0,0.0
1992,470.0,1562.0,403.0,0.0
1993,500.0,1711.0,420.0,0.0
1994,525.0,1416.0,455.0,0.0
1995,550.0,1106.0,551.0,0.0
1996,575.0,1277.0,564.0,0.0
1997,610.0,1321.0,473.0,0.0
1998,447.0,1250.0,444.0,0.0
1999,449.0,980.0,416.0,0.0
2000,575.0,1290.0,391.0,2417.0
2001,604.0,1421.0,630.0,2296.0
2002,634.0,1408.0,636.0,5982.0
2003,666.0,1421.0,779.0,2183.0
2004,810.0,1648.0,796.0,3904.0
2005,800.0,1732.0,814.0,4071.0
2006,1172.0,1732.0,805.0,7167.0
2007,1262.0,2018.0,805.0,4867.0
2008,1490.0,1641.0,840.0,8125.0
2009,1542.0,1838.0,875.0,12098.0
2010,2450.0,1736.0,996.0,10989.0
2011,2148.0,2298.0,1015.0,8839.0
2012,2170.0,1953.0,1015.0,13071.0
2013,2176.0,2017.0,883.0,13120.0
2014,2176.0,2017.0,883.0,12953.0
