,Democratic Republic of the Congo,Cameroon,Burkina Faso,Niger
1961,438.0,600.0,280.0,0.0
1962,438.0,650.0,280.0,0.0
1963,438.0,650.0,280.0,0.0
1964,438.0,650.0,280.0,0.0
1965,438.0,550.0,280.0,0.0
1966,438.0,570.0,280.0,0.0
1967,438.0,511.0,280.0,0.0
1968,438.0,769.0,280.0,0.0
1969,438.0,1044.0,280.0,0.0
1970,455.0,989.0,280.0,0.0
1971,455.0,925.0,320.0,0.0
1972,455.0,1040.0,320.0,0.0
1973,455.0,1059.0,320.0,0.0
1974,455.0,1444.0,320.0,0.0
1975,455.0,1613.0,320.0,0.0
1976,455.0,1701.0,320.0,0.0
1977,455.0,500.0,320.0,0.0
1978,455.0,460.0,360.0,0.0
1979,455.0,525.0,360.0,0.0
1980,462.0,725.0,360.0,0.0
1981,462.0,775.0,360.0,0.0
1982,462.0,525.0,360.0,0.0
1983,462.0,550.0,360.0,0.0
1984,462.0,390.0,480.0,0.0
1985,462.0,550.0,400.0,0.0
1986,462.0,335.0,400.0,0.0
1987,473.0,525.0,520.0,0.0
1988,473.0,445.0,800.0,0.0
1989,523.0,400.0,1424.0,0.0
1990,536.0,420.0,1868.0,0.0
1991,385.0,440.0,1594.0,0.0
1992,403.0,470.0,1562.0,0.0
1993,420.0,500.0,1711.0,0.0
1994,455.0,525.0,1416.0,0.0
1995,551.0,550.0,1106.0,0.0
1996,564.0,575.0,1277.0,0.0
1997,473.0,610.0,1321.0,0.0
1998,444.0,447.0,1250.0,0.0
1999,416.0,449.0,980.0,0.0
2000,391.0,575.0,1290.0,2417.0
2001,630.0,604.0,1421.0,2296.0
2002,636.0,634.0,1408.0,5982.0
2003,779.0,666.0,1421.0,2183.0
2004,796.0,810.0,1648.0,3904.0
2005,814.0,800.0,1732.0,4071.0
2006,805.0,1172.0,1732.0,7167.0
2007,805.0,1262.0,2018.0,4867.0
2008,840.0,1490.0,1641.0,8125.0
2009,875.0,1542.0,1838.0,12098.0
2010,996.0,2450.0,1736.0,10989.0
2011,1015.0,2148.0,2298.0,8839.0
2012,1015.0,2170.0,1953.0,13071.0
2013,883.0,2176.0,2017.0,13120.0
2014,883.0,2176.0,2017.0,12953.0
