,Democratic Republic of the Congo,Cameroon,Burkina Faso,Niger,Mali
1961,6080.0,6364.0,10000.0,,8000.0
1962,6080.0,6250.0,10000.0,,8000.0
1963,6080.0,6154.0,10000.0,,8000.0
1964,6080.0,6154.0,10000.0,,8000.0
1965,6080.0,6154.0,10000.0,,8000.0
1966,6080.0,6364.0,10000.0,,8000.0
1967,6080.0,4501.0,10000.0,,8000.0
1968,6080.0,4813.0,10000.0,,8000.0
1969,6080.0,7882.0,10000.0,,8000.0
1970,6080.0,5458.0,10000.0,,8000.0
1971,6077.0,5797.0,10000.0,,8000.0
1972,6077.0,7272.0,10000.0,,8000.0
1973,6077.0,5214.0,10000.0,,8000.0
1974,6077.0,5200.0,10000.0,,8000.0
1975,6077.0,6003.0,10000.0,,8000.0
1976,6077.0,5635.0,10000.0,,8000.0
1977,6077.0,5532.0,10000.0,,8000.0
1978,6077.0,6350.0,10000.0,,8000.0
1979,6077.0,6146.0,10000.0,,8000.0
1980,6077.0,6267.0,10000.0,,5901.0
1981,6288.0,6138.0,10000.0,,5676.0
1982,6288.0,6129.0,10000.0,,5893.0
1983,6288.0,6190.0,10000.0,,5133.0
1984,6288.0,6281.0,10000.0,,5441.0
1985,6288.0,6237.0,10134.0,,4694.0
1986,6288.0,6233.0,9782.0,,6923.0
1987,6288.0,6239.0,10514.0,,6453.0
1988,6444.0,6218.0,10375.0,,4777.0
1989,6444.0,6211.0,9964.0,,4521.0
1990,6445.0,6250.0,6854.0,,6925.0
1991,6168.0,6190.0,7195.0,,7962.0
1992,6191.0,6250.0,7728.0,,7381.0
1993,6130.0,6170.0,11819.0,,5349.0
1994,6083.0,6200.0,9448.0,,2059.0
1995,5814.0,6190.0,9524.0,,7783.0
1996,5758.0,6182.0,12613.0,,5243.0
1997,5736.0,6348.0,7860.0,,6401.0
1998,6069.0,6230.0,12067.0,,7877.0
1999,5580.0,10051.0,12595.0,,8122.0
2000,5406.0,9466.0,8975.0,4411.0,6831.0
2001,5210.0,7633.0,11687.0,4798.0,6500.0
2002,4944.0,7516.0,10203.0,4507.0,6847.0
2003,4778.0,7401.0,9997.0,2574.0,7347.0
2004,4180.0,7289.0,7837.0,3940.0,9500.0
2005,4180.0,12846.0,9701.0,3382.0,8533.0
2006,4180.0,12265.0,8716.0,5712.0,6254.0
2007,4322.0,9398.0,8687.0,2921.0,8301.0
2008,4417.0,9460.0,11014.0,4174.0,5764.0
2009,4324.0,8604.0,10897.0,4186.0,6337.0
2010,4165.0,9504.0,12946.0,4301.0,6997.0
2011,4238.0,6300.0,11230.0,4288.0,6751.0
2012,4312.0,8096.0,11336.0,4641.0,6663.0
2013,4284.0,8444.0,11582.0,4800.0,5650.0
2014,4256.0,8750.0,11154.0,4593.0,6082.0
