,USSR,Eritrea,Australia & New Zealand,Australia,Pakistan,Democratic Republic of the Congo,Ethiopia,Kenya,Romania,Democratic People's Republic of Korea,Zambia,Lebanon,Yemen,Tunisia,Albania,Brazil,Serbia,Slovenia,Hungary,Argentina,Colombia,Spain,India,Lesotho,Ecuador,Republic of Moldova,Canada,Turkey,Jordan,Belgium-Luxembourg,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Poland,New Zealand,Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Cyprus,Peru,Rwanda,Lithuania,Portugal,Netherlands,Guatemala,Austria,Bhutan,Turkmenistan,Norway,Iraq,Czechia,United Republic of Tanzania,Belgium,Nepal,Luxembourg,Libya,Bangladesh,Italy,Germany,Syrian Arab Republic,Sweden,Uzbekistan,Occupied Palestinian Territory,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Mongolia,Chile,Malta,Uruguay,Denmark,Zimbabwe,Ireland,Egypt,Algeria,Slovakia,Israel,Japan,Belarus,Afghanistan,Switzerland,Thailand,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Bosnia and Herzegovina,Russian Federation,Bolivia (Plurinational State of),Sudan,Latvia,Ukraine,Kuwait,South Africa,Mauritania,Tajikistan,Croatia,Bulgaria,Myanmar,China
1961,2835000.0,,67000.0,63000.0,13062.0,42.0,,1120.0,56357.0,10000.0,0.0,1148.0,10080.0,25520.0,2475.0,2845.0,,,97400.0,98000.0,4410.0,160000.0,259000.0,270.0,15087.0,,187910.0,560000.0,9450.0,16112.0,71250.0,,,25893.0,124910.0,322000.0,43710.0,118700.0,4000.0,,,9632.0,61000.0,79200.0,,501000.0,545055.0,8573.0,15401.0,24.0,,10454.0,16000.0,2.0,39000.0,209.0,,31000.0,118939.0,,8.0,,1000.0,,15960.0,2351.0,55000.0,239172.0,73000.0,75000.0,,0.0,45000.0,,,18.0,93120.0,3450.0,6392.0,118.0,4420.0,149000.0,78.0,22000.0,8000.0,69580.0,,8000.0,37000.0,,28000.0,6200.0,0.0,704.0,,265000.0,,,,6300.0,,,,0.0,4340.0,20.0,,,52973.0,0.0,545055.0
1962,3582250.0,,66000.0,62000.0,13741.0,42.0,,997.0,50423.0,9600.0,0.0,850.0,9920.0,47120.0,2698.0,3044.0,,,90600.0,94000.0,5220.0,159000.0,267000.0,270.0,16479.0,,223360.0,570000.0,6816.0,16823.0,72563.0,,,24490.0,132532.0,396000.0,46724.0,263000.0,4000.0,,,11621.0,57000.0,75600.0,,457000.0,438480.0,9525.0,15376.0,34.0,,11174.0,16000.0,2.0,47000.0,228.0,,31000.0,121851.0,,12.0,,1000.0,,16800.0,2153.0,54000.0,237653.0,80000.0,98000.0,,0.0,60000.0,,,191.0,157333.0,2700.0,5811.0,120.0,5149.0,169000.0,59.0,25000.0,7000.0,66031.0,,7000.0,35000.0,,28000.0,7500.0,0.0,720.0,,311000.0,,,,6350.0,,,,0.0,4900.0,20.0,,,60091.0,0.0,438480.0
1963,3792950.0,,68000.0,63000.0,12348.0,42.0,,880.0,43988.0,8000.0,0.0,1275.0,9680.0,49192.0,2429.0,3116.0,,,94700.0,79000.0,5220.0,159000.0,244000.0,236.0,16376.0,,198400.0,550000.0,8232.0,16159.0,72750.0,,,23380.0,118955.0,341000.0,49102.0,129000.0,5000.0,,,10585.0,64000.0,72000.0,,392000.0,365295.0,9716.0,14352.0,72.0,,10362.0,13000.0,2.0,45000.0,228.0,,34000.0,109764.0,,20.0,,1000.0,,14700.0,1671.0,53000.0,241526.0,76000.0,94000.0,,0.0,56000.0,,,18.0,139734.0,2550.0,6317.0,112.0,4321.0,171000.0,43.0,26000.0,7000.0,40047.0,,7000.0,27000.0,,28000.0,5200.0,0.0,744.0,,335000.0,,,,6350.0,,,,0.0,4130.0,20.0,,,62613.0,0.0,365295.0
1964,3453976.0,,75000.0,70000.0,12971.0,45.0,,745.0,52373.0,8000.0,0.0,1148.0,9520.0,46560.0,2220.0,3355.0,,,99000.0,80000.0,4147.0,155000.0,224000.0,203.0,15704.0,,215930.0,554000.0,7736.0,18560.0,73613.0,,,28459.0,120873.0,357000.0,53753.0,121600.0,5000.0,,,11314.0,67000.0,93600.0,,348000.0,340620.0,10097.0,14095.0,80.0,,9048.0,14000.0,3.0,45000.0,238.0,,40000.0,109728.0,,13.0,,1000.0,,14700.0,1445.0,52000.0,252555.0,69000.0,100000.0,,0.0,59000.0,,,16.0,134040.0,2000.0,5741.0,99.0,2193.0,187000.0,36.0,28000.0,8000.0,45921.0,,8000.0,23000.0,,28000.0,6600.0,0.0,800.0,,357000.0,,,,6400.0,,,,0.0,4900.0,20.0,,,65024.0,0.0,340620.0
1965,3394300.0,,75000.0,71000.0,10822.0,50.0,,715.0,55283.0,7000.0,0.0,1202.0,9360.0,30160.0,2400.0,4118.0,,,96800.0,81000.0,4950.0,155000.0,217000.0,169.0,14322.0,,257410.0,542000.0,5807.0,20455.0,74250.0,,,39810.0,119725.0,400000.0,49853.0,118800.0,4000.0,,,12038.0,67000.0,109512.0,,370000.0,280455.0,11354.0,14260.0,60.0,,10256.0,17000.0,3.0,44000.0,238.0,,35000.0,116919.0,,13.0,,1100.0,,11429.0,1533.0,50000.0,271199.0,37000.0,122000.0,,0.0,68000.0,,,10.0,167040.0,1900.0,5804.0,121.0,4666.0,200000.0,48.0,28000.0,6000.0,49029.0,,6000.0,20000.0,,28000.0,5300.0,0.0,840.0,,406000.0,,,,6800.0,,,,0.0,4340.0,20.0,,,72774.0,0.0,280455.0
1966,3346876.0,,87581.0,83000.0,11333.0,53.0,,766.0,57848.0,7500.0,0.0,1139.0,9280.0,27040.0,3150.0,4176.0,,,86300.0,82000.0,5490.0,150000.0,213000.0,169.0,14404.0,,288760.0,545000.0,5255.0,19692.0,71250.0,,,49174.0,127977.0,414000.0,50994.0,115200.0,4581.0,,,11923.0,65000.0,108000.0,,348000.0,218925.0,11525.0,14810.0,151.0,,9061.0,14000.0,3.0,48000.0,257.0,,33000.0,108680.0,,28.0,,1100.0,,16000.0,1589.0,48000.0,278895.0,65000.0,114000.0,,0.0,73000.0,,,7.0,168320.0,2300.0,7560.0,119.0,3278.0,211000.0,54.0,28000.0,7000.0,51425.0,,7700.0,19000.0,,25280.0,6200.0,0.0,1528.0,,399000.0,,,,6400.0,,,,0.0,5460.0,20.0,,,67714.0,0.0,218925.0
1967,3386776.0,,99262.0,94000.0,12152.0,180.0,,845.0,65691.0,8000.0,0.0,1144.0,9200.0,29200.0,2910.0,3474.0,,,96600.0,89000.0,4208.0,168000.0,228000.0,135.0,13503.0,,316060.0,546000.0,6430.0,19809.0,69750.0,,,46486.0,127707.0,413000.0,51331.0,107300.0,5262.0,,,12591.0,57000.0,117648.0,,370000.0,235830.0,11430.0,13878.0,15.0,,8705.0,14000.0,5.0,48000.0,276.0,,33000.0,90300.0,,28.0,,1000.0,,17000.0,1729.0,49000.0,288316.0,63000.0,111000.0,,0.0,74000.0,,,7.0,170800.0,2100.0,10781.0,117.0,4352.0,233000.0,60.0,27000.0,7000.0,52249.0,,6800.0,22000.0,,25360.0,5600.0,0.0,1765.0,,395000.0,,,,6000.0,,,,0.0,4480.0,21.0,,,70394.0,0.0,235830.0
1968,3934700.0,,113713.0,107000.0,10906.0,198.0,,758.0,69181.0,8000.0,0.0,705.0,9040.0,20000.0,2700.0,2959.0,,,94400.0,83000.0,4734.0,213000.0,272000.0,96.0,12565.0,,340400.0,537400.0,5130.0,20146.0,70500.0,,,39505.0,132370.0,427000.0,49428.0,130500.0,6713.0,,,12248.0,44000.0,115632.0,,348000.0,239505.0,11525.0,14536.0,27.0,,11000.0,13000.0,5.0,55000.0,276.0,,35000.0,84500.0,,12.0,,1050.0,,18660.0,1981.0,44000.0,294268.0,63000.0,114000.0,,0.0,83000.0,,,0.0,165760.0,2300.0,6653.0,107.0,3633.0,240000.0,72.0,28000.0,6000.0,62449.0,,4500.0,18000.0,,25360.0,5500.0,0.0,1440.0,,399000.0,,,,6300.0,,,,0.0,4060.0,21.0,,,72041.0,0.0,239505.0
1969,3726976.0,,146441.0,140000.0,11020.0,150.0,,880.0,64900.0,8000.0,0.0,553.0,8880.0,32800.0,2700.0,2504.0,,,67000.0,72000.0,4599.0,334000.0,223000.0,82.0,13392.0,,349600.0,518000.0,3676.0,22053.0,71250.0,,,48034.0,116444.0,447000.0,47467.0,161400.0,6441.0,,,11203.0,50000.0,111096.0,,348000.0,246960.0,10287.0,14906.0,27.0,,9000.0,13000.0,6.0,58000.0,285.0,,34000.0,67300.0,,12.0,,1100.0,,20726.0,2065.0,45000.0,313926.0,113000.0,121000.0,,0.0,89000.0,,,0.0,153200.0,2300.0,7107.0,98.0,4559.0,247000.0,84.0,30000.0,5000.0,62668.0,,3600.0,14000.0,,25200.0,7200.0,0.0,1200.0,,373000.0,,,,6350.0,,,,0.0,3080.0,21.0,,,70587.0,0.0,246960.0
1970,3780000.0,,186346.0,178000.0,9856.0,150.0,,1600.0,74295.0,8000.0,0.0,615.0,8816.0,27120.0,2700.0,2369.0,,,58000.0,74700.0,5004.0,348000.0,223000.0,68.0,11997.0,,519000.0,520000.0,4737.0,19199.0,71250.0,,,53256.0,123000.0,404000.0,44007.0,153600.0,8346.0,,,11060.0,47000.0,104112.0,,392000.0,233205.0,10287.0,14623.0,0.0,,9000.0,13000.0,6.0,59000.0,285.0,,35000.0,90163.0,,24.0,,1100.0,,3820.0,2604.0,48000.0,329418.0,60000.0,124000.0,,0.0,89000.0,,,0.0,161840.0,3300.0,7877.0,86.0,5717.0,250000.0,96.0,32000.0,4000.0,61358.0,,3100.0,10000.0,,25200.0,6900.0,0.0,776.0,,380000.0,,,,6400.0,,,,0.0,3220.0,21.0,,,75969.0,0.0,233205.0
