,Cuba,USSR,Indonesia,South Africa,Angola,Madagascar,Pakistan,Malaysia,Thailand,Ethiopia,Bangladesh,Democratic Republic of the Congo,Nigeria,Ethiopia PDR,Mali,Russian Federation,Brazil,China,Mozambique,"China, mainland",El Salvador,Chile,Spain,Central African Republic,Myanmar,Guatemala,India
1961,1000.0,25000.0,3000.0,2300.0,1500.0,2000.0,8100.0,,189760.0,,30900.0,9000.0,,,,,9800.0,34000.0,1000.0,34000.0,800.0,,1610.0,,140.0,700.0,629515.0
1962,1000.0,25000.0,3000.0,2300.0,1500.0,2000.0,9700.0,,112000.0,,30900.0,7000.0,,,,,11300.0,32000.0,1000.0,32000.0,800.0,,1020.0,130.0,140.0,800.0,612000.0
1963,2000.0,25000.0,3000.0,2300.0,1500.0,2000.0,10100.0,,152000.0,,31700.0,7000.0,,,,,10700.0,39000.0,1000.0,39000.0,800.0,,440.0,500.0,140.0,1100.0,685000.0
1964,2300.0,25000.0,3500.0,2500.0,1500.0,2245.0,10500.0,,215360.0,,37700.0,5000.0,,,,,10700.0,44000.0,2000.0,44000.0,800.0,,60.0,900.0,5674.0,400.0,564000.0
1965,4000.0,23000.0,3000.0,1500.0,1500.0,2160.0,9700.0,,372960.0,,50700.0,6000.0,,,,,10700.0,59000.0,4000.0,59000.0,1600.0,,90.0,1000.0,3269.0,300.0,526000.0
1966,6600.0,23000.0,4200.0,1000.0,1500.0,2000.0,10100.0,,497600.0,,23500.0,5000.0,,,,,11500.0,117000.0,5000.0,117000.0,2900.0,,110.0,1200.0,2691.0,350.0,501700.0
1967,7193.0,23000.0,7900.0,1100.0,2000.0,2065.0,10500.0,,342560.0,,51100.0,4100.0,,,,,11000.0,118000.0,4000.0,118000.0,2300.0,,36.0,2500.0,2605.0,800.0,494600.0
1968,6537.0,23000.0,6300.0,2000.0,2000.0,2035.0,10900.0,,247840.0,,25205.0,6000.0,,,76.0,,11000.0,99200.0,5000.0,99200.0,2300.0,,,2300.0,1991.0,600.0,445800.0
1969,2018.0,23000.0,6755.0,2000.0,2000.0,4405.0,9300.0,,358400.0,,38731.0,7000.0,,,157.0,,11000.0,93000.0,6000.0,93000.0,2200.0,,,2930.0,1293.0,300.0,486400.0
1970,2000.0,23000.0,7506.0,2000.0,2000.0,3480.0,8989.0,,390240.0,,27305.0,6000.0,,,428.0,,11000.0,90000.0,6000.0,90000.0,1200.0,,,3650.0,1335.0,559.0,492400.0
