,India,El Salvador,Mozambique,Myanmar,Malaysia,Cuba,USSR,China,Central African Republic,Russian Federation,Ethiopia,Indonesia,Pakistan,Spain,Mali,Chile,South Africa,Democratic Republic of the Congo,Bangladesh,Guatemala,Brazil,"China, mainland",Madagascar,Angola,Nigeria,Ethiopia PDR,Thailand
1961,6611.0,17500.0,10000.0,2500.0,-1.0,10000.0,15800.0,19412.0,-1.0,-1.0,-1.0,13333.0,8519.0,17665.0,-1.0,-1.0,10000.0,12121.0,11117.0,7143.0,13398.0,19412.0,12050.0,10000.0,-1.0,-1.0,12611.0
1962,6417.0,17500.0,10000.0,2500.0,-1.0,10000.0,16800.0,11250.0,1231.0,-1.0,-1.0,13333.0,7320.0,17931.0,-1.0,-1.0,10000.0,12297.0,11294.0,7500.0,11639.0,11250.0,5435.0,10000.0,-1.0,-1.0,12000.0
1963,6094.0,17500.0,10000.0,2500.0,-1.0,10000.0,17800.0,13718.0,1400.0,-1.0,-1.0,13333.0,7030.0,17250.0,-1.0,-1.0,10000.0,13196.0,10779.0,7273.0,12284.0,13718.0,8500.0,10000.0,-1.0,-1.0,13928.0
1964,6518.0,17500.0,10000.0,2474.0,-1.0,10000.0,15360.0,14432.0,1333.0,-1.0,-1.0,14286.0,7429.0,16667.0,-1.0,-1.0,10000.0,10728.0,11910.0,17500.0,11862.0,14432.0,10267.0,10000.0,-1.0,-1.0,14074.0
1965,5528.0,18125.0,10000.0,4368.0,-1.0,10000.0,16478.0,12797.0,1200.0,-1.0,-1.0,16667.0,6701.0,16667.0,-1.0,-1.0,10000.0,10930.0,10757.0,16667.0,14674.0,12797.0,9444.0,10000.0,-1.0,-1.0,14187.0
1966,5522.0,18621.0,10000.0,4615.0,-1.0,10000.0,17870.0,8034.0,1500.0,-1.0,-1.0,20000.0,7327.0,18182.0,-1.0,-1.0,11000.0,12020.0,11123.0,8571.0,14957.0,8034.0,8675.0,13333.0,-1.0,-1.0,13312.0
1967,6073.0,18696.0,15000.0,3474.0,-1.0,10010.0,22826.0,9110.0,2480.0,-1.0,-1.0,19873.0,6190.0,64722.0,-1.0,-1.0,10909.0,12495.0,11342.0,8750.0,12606.0,9110.0,9855.0,10000.0,-1.0,-1.0,12313.0
1968,5172.0,18696.0,12000.0,3265.0,-1.0,10020.0,19522.0,10786.0,2478.0,-1.0,-1.0,20000.0,6514.0,-1.0,3026.0,-1.0,10000.0,12500.0,10683.0,8333.0,13863.0,10786.0,10344.0,12000.0,-1.0,-1.0,12750.0
1969,5560.0,18636.0,8333.0,3937.0,-1.0,9911.0,22826.0,10000.0,1365.0,-1.0,-1.0,25019.0,6774.0,-1.0,7643.0,-1.0,10000.0,12571.0,11433.0,7933.0,11826.0,10000.0,9035.0,10000.0,-1.0,-1.0,10419.0
1970,5906.0,18333.0,11333.0,3805.0,-1.0,10000.0,21739.0,9444.0,2186.0,-1.0,-1.0,20798.0,6970.0,-1.0,4977.0,-1.0,10000.0,10000.0,10394.0,7442.0,13611.0,9444.0,8563.0,8500.0,-1.0,-1.0,9761.0
