,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Bhutan,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Uganda,Iran (Islamic Republic of),Malawi,South Africa,Eritrea,Yemen,Rwanda,Portugal,Australia & New Zealand,Barbados,Mozambique,Guatemala,Algeria,Slovenia,Madagascar,Tajikistan,Latvia,Haiti,Luxembourg,Belgium,Chad,Lesotho,Switzerland,Sri Lanka,Grenada,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,Réunion,China,Yugoslav SFR,Malta,Colombia,Libya,Sudan (former),Sweden,Lebanon,Kyrgyzstan,Chile,Hungary,Montenegro,Kazakhstan,Estonia,France,Togo,Kenya,Poland,"China, mainland",Russian Federation,Nicaragua,Timor-Leste,Thailand,Paraguay,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Germany,Armenia,Dominican Republic,South Sudan,Namibia,Benin,Canada,Japan,Pakistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Spain,Belize,Bulgaria,United States of America,Bangladesh,Democratic Republic of the Congo,Sudan,Djibouti,Somalia,Morocco,Cuba,Czechia,Argentina,Cambodia,Ghana,Costa Rica,Georgia,India,El Salvador,Austria,Niger,Czechoslovakia,Ethiopia PDR,Congo,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Puerto Rico,Viet Nam,Ireland,Côte d'Ivoire,Albania,Slovakia,Jamaica,Italy,Australia,Panama,Lithuania,Ukraine,Netherlands,Mauritania,Angola,Turkey,Swaziland,Republic of Moldova,Belgium-Luxembourg
1961,210000.0,27047.0,-1.0,-1.0,274200.0,67140.0,1171.0,2580567.0,2000.0,-1.0,193000.0,13500.0,-1.0,270000.0,-1.0,73843.0,-1.0,30000.0,140000.0,29700.0,62000.0,73000.0,-1.0,-1.0,131100.0,429373.0,809.0,-1.0,-1.0,63600.0,1303.0,-1.0,59000.0,-1.0,-1.0,89000.0,-1.0,-1.0,111000.0,5000.0,-1,5732.0,50.0,4000.0,-1.0,665.0,-1.0,650.0,3127047.0,1071000.0,685.0,82000.0,-1.0,5724.0,1800.0,2000.0,-1.0,77530.0,22700.0,-1.0,-1.0,-1.0,95600.0,43000.0,115000.0,14000.0,3100000.0,-1.0,51600.0,1600.0,35840.0,22000.0,6000.0,44650.0,265000.0,-1.0,100000.0,-1.0,6737.0,-1.0,30000.0,-1.0,-1.0,125920.0,26587.0,223900.0,109000.0,7400.0,89533.0,1200.0,225500.0,219.0,229215.0,581120.0,68798.0,123000.0,-1.0,-1.0,3600.0,5000.0,68000.0,-1.0,31130.0,35037.0,-1.0,41100.0,-1.0,6541248.0,21468.0,682.0,-1.0,1663.0,86700.0,3700.0,36076.0,1617107.0,62000.0,1436100.0,39680.0,69322.0,5816.0,72855.0,-1.0,-1.0,13100.0,-1.0,39.0,365954.0,809.0,19400.0,-1.0,-1.0,4232.0,-1.0,115000.0,114000.0,2121.0,-1.0,380.0
1962,210000.0,23530.0,-1.0,-1.0,295400.0,43000.0,1618.0,2716257.0,2000.0,-1.0,202000.0,14000.0,-1.0,272000.0,-1.0,66001.0,-1.0,31000.0,140000.0,29800.0,65000.0,56000.0,-1.0,-1.0,120088.0,431624.0,809.0,-1.0,-1.0,63500.0,1200.0,-1.0,60000.0,-1.0,-1.0,90000.0,-1.0,-1.0,105000.0,5000.0,-1,8236.0,50.0,5000.0,-1.0,840.0,-1.0,650.0,3523530.0,1062000.0,573.0,87000.0,-1.0,3903.0,1800.0,1500.0,-1.0,75010.0,23800.0,-1.0,-1.0,-1.0,80800.0,43017.0,115000.0,16000.0,3500000.0,-1.0,47904.0,1700.0,49120.0,22300.0,6000.0,46980.0,294000.0,-1.0,100000.0,-1.0,7790.0,-1.0,29000.0,-1.0,-1.0,95902.0,26506.0,225000.0,100800.0,7925.0,68378.0,1300.0,251600.0,642.0,202766.0,581930.0,73654.0,126000.0,-1.0,-1.0,1500.0,5000.0,68000.0,-1.0,22740.0,32686.0,-1.0,44400.0,-1.0,6725782.0,32898.0,602.0,-1.0,1471.0,88000.0,4100.0,35112.0,1673694.0,69000.0,1453059.0,44000.0,71217.0,6044.0,75752.0,-1.0,-1.0,12700.0,-1.0,40.0,344589.0,809.0,25600.0,-1.0,-1.0,2575.0,-1.0,115000.0,112800.0,2000.0,-1.0,333.0
1963,210000.0,22822.0,-1.0,-1.0,381300.0,44200.0,1567.0,2982432.0,2000.0,-1.0,209944.0,14500.0,-1.0,260000.0,-1.0,67270.0,-1.0,30000.0,140000.0,29900.0,69000.0,63000.0,-1.0,-1.0,120000.0,426508.0,2023.0,-1.0,-1.0,75200.0,1700.0,-1.0,62305.0,-1.0,-1.0,95000.0,-1.0,-1.0,105000.0,5000.0,-1,7366.0,50.0,5000.0,-1.0,2100.0,-1.0,650.0,2822822.0,1066000.0,866.0,75122.0,-1.0,5633.0,1630.0,2000.0,-1.0,70780.0,23300.0,-1.0,-1.0,-1.0,81865.0,49720.0,115000.0,23000.0,2800000.0,-1.0,47900.0,1800.0,98880.0,22000.0,8548.0,45080.0,343000.0,-1.0,100000.0,-1.0,8001.0,-1.0,29000.0,-1.0,-1.0,97700.0,28651.0,217100.0,102200.0,8525.0,80788.0,1000.0,251600.0,732.0,209778.0,563719.0,67988.0,128000.0,-1.0,-1.0,2200.0,7295.0,65000.0,-1.0,28352.0,50000.0,-1.0,51799.0,-1.0,7040000.0,27783.0,460.0,-1.0,1974.0,88000.0,4400.0,36668.0,1710767.0,80000.0,1640800.0,44619.0,76988.0,5440.0,77970.0,-1.0,-1.0,20000.0,-1.0,40.0,322947.0,2023.0,25300.0,-1.0,-1.0,2556.0,-1.0,115000.0,105000.0,1643.0,-1.0,315.0
1964,230000.0,25921.0,-1.0,-1.0,401400.0,41400.0,1833.0,3130562.0,2000.0,-1.0,230743.0,15000.0,-1.0,270000.0,-1.0,64510.0,-1.0,30000.0,150000.0,31000.0,73000.0,65000.0,-1.0,-1.0,108139.0,438850.0,1214.0,-1.0,-1.0,92000.0,2040.0,-1.0,62700.0,-1.0,-1.0,95000.0,-1.0,-1.0,105000.0,8000.0,-1,6566.0,50.0,5000.0,-1.0,5880.0,-1.0,650.0,2825921.0,1045000.0,639.0,76000.0,-1.0,7183.0,950.0,2200.0,-1.0,64060.0,16900.0,-1.0,-1.0,-1.0,62767.0,54000.0,115000.0,27000.0,2800000.0,-1.0,55400.0,2000.0,99680.0,25000.0,8712.0,46250.0,355000.0,-1.0,90000.0,-1.0,5682.0,-1.0,35000.0,-1.0,-1.0,62800.0,33669.0,212900.0,106400.0,10757.0,87163.0,1400.0,229100.0,947.0,245418.0,570194.0,66773.0,130000.0,-1.0,-1.0,3000.0,6390.0,62000.0,-1.0,30383.0,45000.0,-1.0,43728.0,-1.0,7332400.0,21379.0,487.0,-1.0,1675.0,89000.0,4500.0,37156.0,2091025.0,70000.0,1683000.0,56532.0,86954.0,4323.0,79510.0,-1.0,-1.0,18300.0,-1.0,38.0,299998.0,1214.0,19500.0,-1.0,-1.0,3410.0,-1.0,120000.0,110000.0,1845.0,-1.0,472.0
1965,230000.0,21441.0,-1.0,-1.0,363300.0,39000.0,2100.0,3272525.0,2000.0,-1.0,176644.0,15300.0,-1.0,280000.0,-1.0,68710.0,-1.0,35000.0,150000.0,31100.0,77000.0,66000.0,-1.0,-1.0,126925.0,410456.0,1214.0,-1.0,-1.0,87500.0,1770.0,-1.0,60310.0,-1.0,-1.0,94000.0,-1.0,-1.0,102000.0,5700.0,-1,9648.0,50.0,5000.0,-1.0,4620.0,-1.0,400.0,2821441.0,1020000.0,638.0,76000.0,-1.0,7072.0,900.0,2500.0,-1.0,58447.0,22100.0,-1.0,-1.0,-1.0,55274.0,56985.0,115000.0,36000.0,2800000.0,-1.0,58800.0,2800.0,118240.0,31500.0,8757.0,53975.0,340000.0,-1.0,90000.0,-1.0,3459.0,-1.0,34000.0,-1.0,-1.0,63677.0,38485.0,200600.0,105100.0,11777.0,87703.0,1000.0,224600.0,1031.0,198896.0,610257.0,67583.0,133000.0,-1.0,-1.0,6500.0,5722.0,60000.0,-1.0,37453.0,47200.0,-1.0,52390.0,-1.0,7088400.0,23520.0,515.0,-1.0,2220.0,90000.0,4700.0,40304.0,2116858.0,56000.0,1513125.0,54673.0,62683.0,4363.0,81300.0,-1.0,-1.0,12000.0,-1.0,35.0,281082.0,1214.0,14800.0,-1.0,-1.0,3669.0,-1.0,119000.0,110000.0,1500.0,-1.0,569.0
1966,230000.0,22307.0,-1.0,-1.0,373800.0,38500.0,1817.0,3324592.0,2000.0,-1.0,234056.0,15500.0,-1.0,280000.0,-1.0,65770.0,-1.0,40000.0,163000.0,31200.0,80000.0,65000.0,-1.0,-1.0,154000.0,422259.0,2023.0,-1.0,-1.0,78000.0,1520.0,-1.0,60225.0,-1.0,-1.0,95000.0,-1.0,-1.0,103000.0,6300.0,-1,7944.0,50.0,3165.0,-1.0,4620.0,-1.0,500.0,2522307.0,249425.0,285.0,64000.0,200.0,6610.0,1140.0,2450.0,-1.0,64744.0,36700.0,-1.0,-1.0,-1.0,48694.0,55573.0,115000.0,41000.0,2500000.0,-1.0,62900.0,2900.0,132960.0,32200.0,8757.0,74540.0,312000.0,-1.0,90000.0,-1.0,4458.0,-1.0,44000.0,-1.0,-1.0,63388.0,47752.0,214100.0,100200.0,10000.0,91194.0,700.0,225500.0,1410.0,177749.0,610287.0,78915.0,135000.0,-1.0,-1.0,7300.0,8210.0,60000.0,-1.0,28332.0,47900.0,-1.0,43200.0,-1.0,7247400.0,26433.0,439.0,-1.0,2817.0,63000.0,4900.0,48045.0,2240022.0,48000.0,1525700.0,81662.0,69788.0,3930.0,80050.0,-1.0,-1.0,17700.0,-1.0,64.0,269317.0,2023.0,22100.0,-1.0,-1.0,3752.0,-1.0,119000.0,110000.0,1861.0,-1.0,669.0
1967,250000.0,22944.0,-1.0,-1.0,395300.0,33300.0,2127.0,3650568.0,2000.0,-1.0,250000.0,15800.0,-1.0,270000.0,-1.0,61044.0,-1.0,40000.0,219000.0,31300.0,83000.0,77000.0,-1.0,-1.0,155000.0,373444.0,2428.0,-1.0,-1.0,80900.0,1470.0,-1.0,61685.0,-1.0,-1.0,95000.0,-1.0,-1.0,100000.0,7900.0,-1,7098.0,50.0,3200.0,-1.0,3780.0,-1.0,400.0,2522944.0,203061.0,315.0,69000.0,200.0,5947.0,1100.0,1117.0,-1.0,68400.0,30500.0,-1.0,-1.0,-1.0,46718.0,61130.0,115000.0,32000.0,2500000.0,-1.0,65600.0,2500.0,129440.0,32200.0,8571.0,84815.0,312000.0,-1.0,63010.0,-1.0,3355.0,-1.0,34406.0,-1.0,-1.0,84200.0,34802.0,192300.0,126300.0,12500.0,93376.0,611.0,220500.0,898.0,150806.0,501399.0,74058.0,138000.0,-1.0,-1.0,7600.0,8781.0,60000.0,-1.0,28707.0,53900.0,-1.0,37000.0,-1.0,7548200.0,28417.0,433.0,-1.0,3323.0,64000.0,5000.0,50620.0,1929967.0,45000.0,1483400.0,79402.0,73387.0,3930.0,90560.0,-1.0,-1.0,19100.0,-1.0,70.0,254861.0,2428.0,21600.0,-1.0,-1.0,4282.0,-1.0,119380.0,106000.0,1942.0,-1.0,686.0
1968,260000.0,24701.0,-1.0,-1.0,364300.0,33800.0,2356.0,3663301.0,2000.0,-1.0,219771.0,16000.0,-1.0,210000.0,-1.0,54030.0,-1.0,40000.0,270000.0,31400.0,86700.0,70000.0,-1.0,-1.0,156300.0,355300.0,4053.0,-1.0,-1.0,100900.0,4260.0,-1.0,63165.0,-1.0,-1.0,90000.0,-1.0,-1.0,97000.0,9323.0,-1,9685.0,50.0,3400.0,-1.0,4620.0,-1.0,400.0,2424701.0,201150.0,378.0,70000.0,200.0,4335.0,1400.0,1163.0,-1.0,53380.0,13100.0,-1.0,-1.0,-1.0,42566.0,65000.0,115000.0,26000.0,2400000.0,-1.0,66600.0,3500.0,187520.0,30000.0,8701.0,65985.0,312000.0,-1.0,69006.0,-1.0,2285.0,-1.0,27676.0,-1.0,-1.0,82700.0,36785.0,169400.0,104900.0,11500.0,100787.0,519.0,211300.0,1624.0,129035.0,576264.0,78834.0,140000.0,-1.0,-1.0,7600.0,9000.0,45000.0,-1.0,38321.0,61800.0,-1.0,27600.0,-1.0,7406700.0,31689.0,396.0,-1.0,1962.0,65000.0,5200.0,51460.0,1790669.0,35000.0,1360270.0,86344.0,72803.0,700.0,81405.0,-1.0,-1.0,21100.0,-1.0,71.0,229932.0,4053.0,18500.0,-1.0,-1.0,2731.0,-1.0,119380.0,107000.0,1800.0,-1.0,446.0
1969,260000.0,24328.0,-1.0,-1.0,375300.0,32500.0,3004.0,3633264.0,2000.0,-1.0,206701.0,16500.0,-1.0,220000.0,-1.0,53290.0,-1.0,40000.0,240000.0,31500.0,90500.0,61000.0,-1.0,-1.0,162360.0,353000.0,5266.0,-1.0,-1.0,85300.0,5210.0,-1.0,66640.0,-1.0,-1.0,92000.0,-1.0,-1.0,94815.0,12183.0,-1,8514.0,55.0,3500.0,-1.0,4620.0,-1.0,400.0,2324328.0,179200.0,291.0,66500.0,120.0,2941.0,700.0,1359.0,-1.0,44019.0,13300.0,-1.0,-1.0,-1.0,38879.0,70000.0,125000.0,23000.0,2300000.0,-1.0,65600.0,3500.0,202720.0,26860.0,8700.0,81444.0,315000.0,-1.0,86290.0,-1.0,3230.0,-1.0,35000.0,-1.0,-1.0,78100.0,36421.0,155500.0,90100.0,11000.0,103765.0,618.0,207800.0,1921.0,116402.0,594475.0,78951.0,135000.0,-1.0,-1.0,10000.0,5000.0,35000.0,-1.0,56685.0,53300.0,-1.0,38000.0,-1.0,7461100.0,32875.0,213.0,-1.0,1641.0,67000.0,5400.0,52133.0,1655520.0,32000.0,1205700.0,84875.0,72219.0,700.0,73000.0,-1.0,-1.0,18000.0,-1.0,129.0,211825.0,5266.0,17200.0,-1.0,-1.0,3178.0,-1.0,120000.0,110000.0,2266.0,-1.0,545.0
1970,275000.0,25126.0,-1.0,-1.0,344800.0,38500.0,2409.0,3484778.0,2000.0,-1.0,262250.0,16800.0,-1.0,244000.0,-1.0,53100.0,-1.0,38000.0,270000.0,31600.0,94300.0,58000.0,-1.0,-1.0,159560.0,354500.0,4644.0,-1.0,-1.0,150700.0,6610.0,-1.0,65900.0,-1.0,-1.0,92000.0,-1.0,-1.0,95000.0,16346.0,-1,7471.0,55.0,4364.0,-1.0,5461.0,-1.0,400.0,2325126.0,177340.0,258.0,66400.0,137.0,3361.0,1500.0,1123.0,-1.0,57230.0,12400.0,-1.0,-1.0,-1.0,39669.0,73449.0,150000.0,20000.0,2300000.0,-1.0,61390.0,5000.0,224160.0,54404.0,1200.0,77470.0,315000.0,-1.0,98180.0,-1.0,3265.0,-1.0,28000.0,-1.0,-1.0,82500.0,33224.0,163600.0,109700.0,12500.0,90685.0,446.0,192500.0,3049.0,108002.0,570194.0,75392.0,139200.0,-1.0,-1.0,23600.0,4000.0,35000.0,-1.0,41300.0,30600.0,-1.0,30000.0,-1.0,7796000.0,36120.0,207.0,-1.0,1392.0,69000.0,5500.0,49530.0,1746947.0,40000.0,1196700.0,81635.0,71699.0,700.0,70000.0,-1.0,-1.0,18700.0,-1.0,208.0,194700.0,4644.0,17500.0,-1.0,-1.0,4019.0,-1.0,120000.0,98000.0,2300.0,-1.0,509.0
