,India,Ukraine,Kenya,Melanesia,Croatia,Serbia,Israel,Armenia,Tunisia,Iran (Islamic Republic of),United Kingdom,Uzbekistan,Pakistan,"China, mainland",Greece,Afghanistan,Zimbabwe,Australia,Belgium,Papua New Guinea,South Africa,Spain,Norway,Bulgaria,Australia & New Zealand,United States of America,Bangladesh,Slovenia,Kyrgyzstan,Costa Rica,Georgia,Germany,Austria,Morocco,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Egypt,Bosnia and Herzegovina,China,Ireland,Malta,Latvia,Yugoslav SFR,Slovakia,Czechia,Azerbaijan,Montenegro,Kazakhstan,Estonia,Réunion,Viet Nam,Lithuania,Finland,Netherlands,Russian Federation,Turkey,New Zealand,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,47619.0,-1.0,-1.0,-1.0,-1.0,-1.0,29787.0,50800.0,-1.0,-1.0,22222.0,-1.0,88235.0,-1.0,71991.0,-1.0,47619.0,46650.0,-1.0,-1.0,-1.0,71341.0,65685.0,40000.0,-1.0,-1.0,-1.0,-1.0,-1.0,46512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37853.0,-1.0,-1.0,-1.0,-1.0,70001.0,66667.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,48571.0,-1.0,-1.0,-1.0,-1.0,-1.0,29787.0,60960.0,-1.0,-1.0,26667.0,-1.0,88235.0,-1.0,52379.0,-1.0,48571.0,39950.0,-1.0,-1.0,-1.0,53269.0,69112.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,46512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38176.0,-1.0,-1.0,-1.0,-1.0,65801.0,59394.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,49524.0,-1.0,-1.0,-1.0,-1.0,-1.0,31250.0,44700.0,-1.0,-1.0,33333.0,-1.0,88235.0,-1.0,48603.0,-1.0,49524.0,44100.0,-1.0,-1.0,-1.0,49222.0,57756.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,46512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38607.0,-1.0,-1.0,-1.0,-1.0,60507.0,52683.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,48182.0,-1.0,-1.0,-1.0,-1.0,-1.0,31250.0,58940.0,-1.0,-1.0,26667.0,-1.0,88235.0,-1.0,44785.0,-1.0,48182.0,38325.0,-1.0,-1.0,-1.0,44599.0,65009.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,46512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38405.0,-1.0,-1.0,-1.0,-1.0,70657.0,43922.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,47826.0,-1.0,-1.0,-1.0,-1.0,-1.0,32000.0,56900.0,-1.0,-1.0,31111.0,-1.0,88235.0,-1.0,46609.0,-1.0,47826.0,36825.0,-1.0,-1.0,-1.0,47660.0,70298.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,46512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31111.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39100.0,-1.0,-1.0,-1.0,-1.0,73873.0,50656.0,-1.0,-1.0
1966,-1.0,-1.0,-1.0,49565.0,-1.0,-1.0,-1.0,-1.0,-1.0,32000.0,56900.0,-1.0,-1.0,33333.0,-1.0,88235.0,-1.0,45130.0,-1.0,49565.0,40050.0,-1.0,-1.0,-1.0,45847.0,92496.0,46250.0,-1.0,-1.0,-1.0,-1.0,-1.0,46512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38632.0,-1.0,-1.0,-1.0,-1.0,76967.0,49070.0,-1.0,-1.0
1967,-1.0,-1.0,-1.0,49167.0,-1.0,-1.0,-1.0,-1.0,-1.0,33333.0,48780.0,-1.0,-1.0,33333.0,-1.0,88235.0,-1.0,50671.0,-1.0,49167.0,44450.0,-1.0,-1.0,-1.0,52551.0,67154.0,37500.0,-1.0,-1.0,-1.0,-1.0,-1.0,46512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38591.0,-1.0,-1.0,-1.0,-1.0,82597.0,58511.0,-1.0,-1.0
1968,-1.0,-1.0,-1.0,49600.0,-1.0,-1.0,-1.0,-1.0,-1.0,32727.0,54860.0,-1.0,-1.0,35556.0,-1.0,87681.0,-1.0,45466.0,-1.0,49600.0,55200.0,-1.0,-1.0,-1.0,51111.0,64866.0,55000.0,-1.0,-1.0,-1.0,-1.0,-1.0,46512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35556.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19633.0,-1.0,-1.0,-1.0,-1.0,85161.0,67636.0,-1.0,-1.0
1969,-1.0,-1.0,-1.0,52000.0,-1.0,-1.0,-1.0,-1.0,-1.0,32727.0,48780.0,-1.0,-1.0,44444.0,-1.0,87681.0,-1.0,47703.0,-1.0,52000.0,60700.0,-1.0,-1.0,-1.0,50091.0,68365.0,48257.0,-1.0,-1.0,-1.0,-1.0,-1.0,46512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44444.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12800.0,-1.0,-1.0,-1.0,-1.0,83910.0,55070.0,-1.0,-1.0
1970,-1.0,-1.0,-1.0,51538.0,-1.0,-1.0,-1.0,-1.0,-1.0,33929.0,46740.0,-1.0,-1.0,25714.0,-1.0,84615.0,-1.0,53333.0,-1.0,51538.0,47900.0,-1.0,-1.0,-1.0,57112.0,75404.0,40000.0,-1.0,-1.0,-1.0,-1.0,-1.0,46512.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25714.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5250.0,-1.0,-1.0,-1.0,-1.0,84509.0,64024.0,-1.0,-1.0
