,"China, Taiwan Province of",USSR,Japan,Poland,Norway,Denmark,Switzerland,Mexico,Portugal,France,Romania,Italy,Hungary,Germany,Russian Federation,Bulgaria,Sweden,Peru,China,United States of America,Latvia,Australia & New Zealand,Morocco,Slovenia,Uzbekistan,Canada,Australia,Spain,Lithuania,Kyrgyzstan,Netherlands,Ukraine,New Zealand
1961,-1.0,-1.0,-1.0,15000.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,525.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,1372.0,,,,,,8194.0,,-1.0,,,,,
1962,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,435.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,1347.0,,,,,,8266.0,,-1.0,,,,,
1963,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,13000.0,-1.0,449.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,1937.0,,,,,,10865.0,,-1.0,,,,,
1964,-1.0,-1.0,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,-1.0,13000.0,-1.0,387.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,1520.0,,,,,,9463.0,,-1.0,,,,,
1965,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,13000.0,-1.0,500.0,-1.0,-1.0,,-1.0,,-1.0,-1.0,1686.0,,,,,,8230.0,,-1.0,,,,,
1966,-1.0,-1.0,-1.0,13000.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,-1.0,453.0,-1.0,-1.0,,-1.0,1200.0,-1.0,-1.0,1700.0,,,,,,17014.0,,-1.0,,,,,
1967,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,-1.0,364.0,-1.0,-1.0,,-1.0,1220.0,-1.0,-1.0,1700.0,,,,,,14120.0,,-1.0,,,,,
1968,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,-1.0,301.0,-1.0,-1.0,,-1.0,1220.0,-1.0,-1.0,1700.0,,,,,,7159.0,,-1.0,,,,,
1969,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,246.0,-1.0,-1.0,,-1.0,1250.0,-1.0,-1.0,31814.0,,,,,,13018.0,,-1.0,,,,,
1970,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,430.0,-1.0,-1.0,,-1.0,1300.0,-1.0,-1.0,30060.0,,,,,,12959.0,,-1.0,,,,,
1971,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,396.0,-1.0,-1.0,,-1.0,1300.0,-1.0,-1.0,39627.0,,,,,,10192.0,,-1.0,,,,,
1972,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,420.0,-1.0,-1.0,,-1.0,2400.0,-1.0,-1.0,30744.0,,1.0,,,,11894.0,,-1.0,,,,,1.0
1973,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,12000.0,-1.0,493.0,-1.0,-1.0,,-1.0,2200.0,-1.0,-1.0,44969.0,,3.0,,,,16335.0,,-1.0,,,,,3.0
1974,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,378.0,-1.0,-1.0,,-1.0,2500.0,-1.0,-1.0,40435.0,,8.0,,,,8843.0,,-1.0,,,,,8.0
1975,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,299.0,-1.0,-1.0,,-1.0,2400.0,-1.0,-1.0,35116.0,,1.0,,,,14389.0,,-1.0,,,,,1.0
1976,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,340.0,-1.0,-1.0,,-1.0,2500.0,-1.0,-1.0,40670.0,,4.0,,,,11311.0,,-1.0,,,,,4.0
1977,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,421.0,-1.0,-1.0,,-1.0,3200.0,-1.0,-1.0,27326.0,,5.0,,,,15861.0,,-1.0,,,,,5.0
1978,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,327.0,-1.0,-1.0,,-1.0,3200.0,-1.0,-1.0,37324.0,,7.0,,,,14564.0,,-1.0,,,,,7.0
1979,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,467.0,-1.0,-1.0,,-1.0,3300.0,-1.0,-1.0,41896.0,,18.0,,,,15606.0,,-1.0,,,,,18.0
1980,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,523.0,-1.0,-1.0,,-1.0,3200.0,-1.0,-1.0,46381.0,,18.0,,,,13647.0,,-1.0,,,,,18.0
1981,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,1075.0,-1.0,-1.0,,-1.0,3100.0,-1.0,-1.0,53069.0,,33.0,,,,18033.0,,-1.0,,,,,33.0
1982,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,1450.0,-1.0,-1.0,,-1.0,3000.0,-1.0,-1.0,55200.0,,50.0,,,,23235.0,,-1.0,,,,,50.0
