,Ukraine,Germany,Sweden,Morocco,Switzerland,Mexico,USSR,Romania,Italy,Denmark,Canada,Latvia,Uzbekistan,Peru,New Zealand,Bulgaria,Australia & New Zealand,United States of America,France,Lithuania,Poland,Netherlands,Russian Federation,Norway
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29264.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61525.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30058.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61507.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27859.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78421.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29028.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60558.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28979.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66378.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27892.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64639.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,-1.0,4067.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28816.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64639.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25031.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64639.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,-1.0,4032.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27996.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23920.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,-1.0,4127.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28991.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22602.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
