,Morocco,Gambia,Ghana,Peru
1961,-1,-1,-1,1800.0
1962,-1,-1,-1,1800.0
1963,-1,-1,-1,1200.0
1964,-1,-1,-1,1800.0
1965,-1,-1,-1,1700.0
1966,-1,-1,-1,1600.0
1967,-1,-1,-1,1450.0
1968,-1,-1,-1,1300.0
1969,-1,-1,-1,1400.0
1970,-1,-1,-1,1700.0
1971,-1,-1,-1,1650.0
1972,-1,-1,-1,1250.0
1973,-1,-1,-1,1350.0
1974,-1,-1,-1,1380.0
1975,-1,-1,-1,1390.0
1976,-1,-1,-1,1300.0
1977,-1,-1,-1,1320.0
1978,-1,-1,-1,1250.0
1979,-1,-1,-1,1180.0
1980,-1,-1,-1,1120.0
1981,-1,-1,-1,1300.0
1982,-1,-1,-1,1480.0
1983,-1,-1,-1,1550.0
1984,-1,-1,-1,1680.0
1985,-1,-1,-1,4100.0
1986,-1,-1,-1,5100.0
1987,-1,-1,-1,7100.0
1988,-1,-1,-1,5100.0
1989,-1,-1,-1,6500.0
1990,-1,-1,-1,3000.0
1991,-1,-1,-1,3200.0
1992,-1,-1,-1,3017.0
1993,-1,-1,-1,2900.0
1994,-1,-1,-1,3500.0
1995,-1,-1,-1,3850.0
1996,-1,-1,-1,3100.0
1997,-1,-1,-1,3100.0
1998,-1,-1,-1,3850.0
1999,-1,-1,-1,8500.0
2000,-1,-1,-1,7800.0
2001,-1,-1,-1,8000.0
2002,-1,-1,-1,8200.0
2003,-1,-1,-1,9000.0
2004,-1,-1,-1,9300.0
2005,-1,-1,-1,9500.0
2006,-1,-1,-1,10800.0
2007,-1,-1,-1,11500.0
2008,-1,-1,-1,12000.0
2009,-1,-1,-1,12000.0
2010,-1,-1,-1,11500.0
2011,-1,-1,-1,11500.0
2012,-1,-1,-1,11300.0
2013,-1,-1,-1,11300.0
2014,-1,-1,-1,11300.0
