,Jamaica,Eritrea,Israel,Australia & New Zealand,Australia,Iraq,Guyana,Slovakia,South Sudan,Nepal,Ethiopia,Czechia,Switzerland,Italy,Germany,Syrian Arab Republic,Uzbekistan,Occupied Palestinian Territory,Paraguay,Sudan (former),Morocco,Slovenia,Malta,Argentina,Colombia,Spain,Lebanon,Libya,Cyprus,Austria,Ecuador,Japan,Canada,Jordan,Belgium-Luxembourg,Ethiopia PDR,Egypt,Greece,Czechoslovakia,France,Tunisia,China,Turkey,Bulgaria,Bolivia (Plurinational State of),Peru,Mexico,Guatemala,"China, mainland",Sierra Leone,Algeria,Uruguay,Portugal,Netherlands,Brazil
1961,4.0,,46.0,20.0,20.0,591.0,0.0,,,0.0,,,0.0,70400.0,8672.0,1180.0,,0.0,162.0,261.0,7500.0,,70.0,182.0,0.0,15000.0,180.0,160.0,643.0,108.0,1400.0,1878.0,0.0,384.0,430.0,18400.0,25000.0,5069.0,676.0,3630.0,2850.0,441000.0,8000.0,45.0,1050.0,1443.0,1207.0,936.0,441000.0,9.0,1400.0,24.0,3815.0,108.0,10237.0
1962,5.0,,38.0,20.0,20.0,625.0,0.0,,,0.0,,,0.0,78400.0,8909.0,1134.0,,0.0,192.0,354.0,7500.0,,88.0,196.0,0.0,15000.0,100.0,160.0,657.0,294.0,1247.0,1593.0,0.0,266.0,314.0,19200.0,23000.0,4599.0,749.0,2870.0,3700.0,336000.0,8200.0,84.0,1050.0,1513.0,1397.0,1116.0,336000.0,9.0,1400.0,24.0,4030.0,123.0,12047.0
1963,4.0,,32.0,10.0,10.0,678.0,0.0,,,0.0,,,0.0,77200.0,9283.0,1227.0,,0.0,222.0,300.0,8000.0,,74.0,238.0,0.0,14000.0,130.0,120.0,615.0,289.0,1884.0,1477.0,0.0,367.0,296.0,20000.0,27000.0,3992.0,791.0,2850.0,4000.0,336000.0,7600.0,57.0,1000.0,1629.0,1404.0,1074.0,336000.0,9.0,1145.0,24.0,3250.0,170.0,11894.0
1964,4.0,,37.0,10.0,10.0,771.0,0.0,,,0.0,,,0.0,69800.0,9225.0,1392.0,,0.0,246.0,298.0,7800.0,,74.0,245.0,0.0,13800.0,150.0,120.0,559.0,314.0,1849.0,1380.0,0.0,468.0,254.0,20000.0,28000.0,3473.0,605.0,2490.0,2800.0,336000.0,7000.0,21.0,1000.0,1113.0,1411.0,1098.0,336000.0,9.0,1181.0,24.0,3830.0,65.0,13380.0
1965,8.0,,34.0,10.0,10.0,855.0,0.0,,,0.0,,,0.0,68100.0,9463.0,1512.0,,0.0,276.0,284.0,8300.0,,20.0,252.0,0.0,14200.0,149.0,119.0,552.0,629.0,1770.0,1193.0,0.0,430.0,210.0,20800.0,27000.0,3359.0,805.0,2170.0,5000.0,325500.0,7000.0,8.0,985.0,1155.0,1431.0,930.0,325500.0,9.0,1085.0,26.0,3100.0,47.0,13954.0
1966,8.0,,41.0,10.0,10.0,914.0,0.0,,,0.0,,,0.0,65500.0,9622.0,1404.0,,0.0,288.0,309.0,8250.0,,0.0,223.0,0.0,13700.0,63.0,119.0,308.0,638.0,1680.0,997.0,0.0,260.0,217.0,21200.0,22000.0,3182.0,691.0,2170.0,5400.0,325500.0,7000.0,5.0,938.0,1239.0,1408.0,828.0,325500.0,10.0,1159.0,24.0,3040.0,31.0,16547.0
1967,8.0,,38.0,10.0,10.0,871.0,0.0,,,0.0,,,0.0,62000.0,8570.0,1091.0,,0.0,252.0,384.0,5725.0,,0.0,204.0,0.0,14000.0,67.0,139.0,461.0,527.0,1680.0,828.0,0.0,279.0,176.0,22000.0,22000.0,2768.0,560.0,2150.0,5000.0,325500.0,6600.0,6.0,947.0,1048.0,1300.0,852.0,325500.0,10.0,1152.0,24.0,3335.0,20.0,15900.0
1968,20.0,,35.0,10.0,10.0,839.0,0.0,,,0.0,,,0.0,60600.0,8735.0,892.0,,0.0,242.0,386.0,8350.0,,0.0,207.0,0.0,13700.0,63.0,159.0,391.0,102.0,1037.0,685.0,0.0,177.0,174.0,22000.0,24000.0,2408.0,495.0,2110.0,5000.0,315000.0,7000.0,4.0,975.0,1182.0,1585.0,921.0,315000.0,10.0,1195.0,24.0,3225.0,12.0,15464.0
1969,16.0,,34.0,10.0,10.0,890.0,0.0,,,0.0,,,0.0,60100.0,6962.0,973.0,,0.0,217.0,386.0,9050.0,,0.0,153.0,0.0,13300.0,46.0,158.0,503.0,88.0,1200.0,623.0,0.0,140.0,108.0,22400.0,21000.0,2250.0,357.0,2000.0,5000.0,325500.0,5800.0,4.0,985.0,1315.0,1592.0,880.0,325500.0,9.0,1465.0,23.0,2755.0,5.0,14388.0
1970,12.0,,24.0,10.0,10.0,988.0,0.0,,,0.0,,,0.0,54200.0,7004.0,892.0,,0.0,348.0,454.0,9500.0,,0.0,126.0,0.0,11300.0,54.0,80.0,475.0,74.0,1136.0,579.0,0.0,140.0,114.0,22800.0,19000.0,2475.0,347.0,1920.0,5200.0,273000.0,6200.0,1.0,1050.0,1261.0,1906.0,922.0,273000.0,11.0,1488.0,23.0,2675.0,5.0,16929.0
