,Jamaica,Eritrea,Israel,Australia & New Zealand,Australia,Iraq,Czechia,Slovakia,Belgium,Nepal,Ethiopia,Luxembourg,Libya,Switzerland,Italy,Ukraine,Lebanon,Syrian Arab Republic,Portugal,Albania,Uzbekistan,Brazil,Paraguay,Sudan (former),Morocco,Slovenia,Sierra Leone,Malta,Argentina,Colombia,Spain,Germany,Cyprus,Austria,Ecuador,Japan,Poland,Canada,Belgium-Luxembourg,Turkey,Jordan,Denmark,Ethiopia PDR,Egypt,Sudan,Greece,Czechoslovakia,France,Tunisia,Yemen,Hungary,Russian Federation,Dominican Republic,Cameroon,Bolivia (Plurinational State of),Occupied Palestinian Territory,Guyana,Peru,Mexico,China,"China, mainland",Azerbaijan,Algeria,United Kingdom,Uruguay,Lithuania,Bulgaria,Netherlands,Guatemala
1961,7500.0,,2857.0,3925.0,3925.0,12399.0,,,,,,,4000.0,,7214.0,,7500.0,9447.0,3657.0,,,4902.0,7000.0,9197.0,4000.0,,10000.0,11675.0,38233.0,,7228.0,23147.0,5634.0,24810.0,5900.0,12629.0,,,33099.0,12195.0,4167.0,23581.0,8913.0,10622.0,,9216.0,16815.0,14569.0,2257.0,,,,7347.0,,6667.0,,,9651.0,7213.0,9471.0,9471.0,,4079.0,33333.0,25000.0,,10173.0,27641.0,4502.0
1962,7419.0,,3509.0,12198.0,12198.0,12517.0,,,,,,,2750.0,,8320.0,,8889.0,12318.0,5276.0,,,4458.0,7037.0,20757.0,6667.0,,10000.0,11920.0,40453.0,,9413.0,25120.0,5763.0,22977.0,6429.0,10664.0,,,32801.0,13250.0,4688.0,16057.0,9130.0,20395.0,,9118.0,14048.0,14346.0,5404.0,,,,7451.0,,6667.0,,,12573.0,7407.0,10476.0,10476.0,,2462.0,,25000.0,,6724.0,28180.0,4513.0
1963,7385.0,,4167.0,8864.0,8864.0,11197.0,,,,,,,2250.0,,9860.0,,9000.0,11300.0,5329.0,,,4632.0,5938.0,9375.0,8000.0,,10000.0,6824.0,39604.0,,9205.0,23410.0,5219.0,26129.0,6297.0,4642.0,,,29083.0,12927.0,6306.0,19977.0,9167.0,16408.0,,7271.0,15784.0,17616.0,5135.0,,,,7654.0,,6667.0,,,12694.0,7866.0,10938.0,10938.0,,2615.0,,25000.0,,7916.0,30808.0,4507.0
1964,7500.0,,5000.0,9010.0,9010.0,7232.0,,,,,,,2667.0,,8787.0,,9077.0,11595.0,4711.0,,,3666.0,7000.0,11110.0,8125.0,,10000.0,16808.0,39204.0,,8915.0,22868.0,4772.0,30592.0,5189.0,10663.0,,,24166.0,11579.0,6705.0,24466.0,9600.0,20344.0,,8643.0,12553.0,13609.0,4650.0,,,,7841.0,,6667.0,,,11925.0,7973.0,11719.0,11719.0,,9211.0,,25000.0,,9572.0,35123.0,4507.0
1965,7273.0,,6522.0,11188.0,11188.0,10567.0,,,,,,,2667.0,,10633.0,,10000.0,10222.0,3780.0,,,4381.0,7488.0,14102.0,8974.0,,10000.0,20282.0,38915.0,,8689.0,25360.0,8220.0,30829.0,6393.0,11032.0,,,23573.0,12857.0,6775.0,22422.0,9600.0,18907.0,,9798.0,19664.0,16647.0,8714.0,,,,7871.0,,6667.0,,,10272.0,8060.0,11672.0,11672.0,,6734.0,,25000.0,,5184.0,21497.0,4514.0
1966,7417.0,,4651.0,12621.0,12621.0,10526.0,,,,,,,3015.0,,9861.0,,10498.0,10164.0,4588.0,,,4483.0,7065.0,14286.0,5901.0,,10323.0,,39339.0,,9385.0,25578.0,10399.0,30796.0,5845.0,11343.0,,,25799.0,12286.0,5587.0,10000.0,10577.0,21687.0,,11174.0,12670.0,17986.0,3300.0,,,,7617.0,,7021.0,,,9746.0,8100.0,9032.0,9032.0,,6406.0,,25256.0,,9489.0,24177.0,4516.0
1967,7500.0,,3922.0,6238.0,6238.0,10342.0,,,,,,,3020.0,,10544.0,,15468.0,11966.0,6020.0,,,4775.0,7000.0,15967.0,6500.0,,10313.0,,34395.0,,10201.0,28401.0,9351.0,32938.0,5881.0,9643.0,,,28404.0,12286.0,24885.0,26667.0,10566.0,14927.0,,11355.0,16314.0,18901.0,3333.0,,,,7694.0,,6944.0,,,9942.0,8312.0,9032.0,9032.0,,6533.0,,25000.0,,7363.0,28393.0,4554.0
1968,7438.0,,5000.0,4950.0,4950.0,11630.0,,,,,,,2878.0,,8663.0,,11004.0,8353.0,6202.0,,,4472.0,5952.0,13497.0,14847.0,,10625.0,,36111.0,,10985.0,29620.0,5511.0,29061.0,5956.0,11613.0,,,27426.0,13030.0,7385.0,38186.0,10545.0,21808.0,,9209.0,13294.0,18910.0,4340.0,,,,8148.0,,6734.0,,,8891.0,7898.0,8065.0,8065.0,,5989.0,,25000.0,,9569.0,22487.0,4561.0
1969,6536.0,,5909.0,4653.0,4653.0,10532.0,,,,,,,3023.0,,10956.0,,9072.0,12406.0,5136.0,,,4637.0,6005.0,12420.0,9299.0,,10938.0,,35172.0,,9915.0,27334.0,9100.0,30663.0,5286.0,11299.0,,,30138.0,12857.0,3855.0,29007.0,10727.0,20934.0,,10607.0,15698.0,19936.0,4000.0,,,,8323.0,,4000.0,,,9359.0,5688.0,8000.0,8000.0,,6050.0,,25000.0,,9231.0,23190.0,4351.0
1970,8009.0,,5581.0,5743.0,5743.0,11301.0,,,,,,,2525.0,,10392.0,,10302.0,10834.0,5873.0,,,4338.0,6011.0,15525.0,10492.0,,11076.0,,30476.0,,10480.0,28919.0,8263.0,32794.0,6252.0,11429.0,,,25203.0,13448.0,4465.0,37198.0,10714.0,21913.0,,12696.0,18320.0,20232.0,3600.0,,,,8645.0,,8947.0,,,8798.0,5785.0,8710.0,8710.0,,5883.0,,26720.0,,9692.0,20408.0,4693.0
1971,7341.0,,6667.0,5500.0,5500.0,9365.0,,,,,,,14818.0,30000.0,10913.0,,10092.0,13585.0,7326.0,,,5059.0,7069.0,15870.0,12768.0,,11429.0,,32000.0,,10918.0,28177.0,10499.0,27521.0,6544.0,11231.0,,,31722.0,13548.0,,28211.0,10877.0,23351.0,,12169.0,17740.0,21314.0,4231.0,,,,8825.0,,7143.0,,,8770.0,6270.0,10000.0,10000.0,,8503.0,,26842.0,,10000.0,,4617.0
1972,6749.0,,5957.0,5750.0,5750.0,9996.0,,,,,,,11906.0,33333.0,11760.0,,9799.0,15590.0,6616.0,,,5900.0,7778.0,20102.0,10304.0,,11429.0,,24645.0,,10034.0,26376.0,8087.0,25799.0,7149.0,11136.0,,,31501.0,14242.0,4549.0,33937.0,10847.0,25571.0,,12905.0,23685.0,21757.0,5817.0,,,,9031.0,,8333.0,,,8697.0,6058.0,9600.0,9600.0,,5987.0,35217.0,26842.0,,8182.0,,4574.0
1973,6467.0,,5882.0,6438.0,6438.0,8719.0,,,,,,,11633.0,34722.0,10890.0,,11661.0,10556.0,6120.0,,,4675.0,8462.0,13955.0,6778.0,,11111.0,,28000.0,,8522.0,26481.0,7496.0,29736.0,7079.0,10938.0,,,,14839.0,2457.0,24000.0,11000.0,23892.0,,12643.0,20415.0,22767.0,5692.0,,,,9281.0,,8333.0,,,8885.0,6409.0,10000.0,10000.0,,6625.0,35217.0,26000.0,,10753.0,,4572.0
1974,6414.0,,5882.0,6349.0,6349.0,10572.0,,,,,,,10268.0,38168.0,11901.0,,12194.0,15098.0,6829.0,,,4084.0,8748.0,15148.0,15200.0,,11111.0,,23684.0,,9954.0,27292.0,7381.0,29066.0,7846.0,10370.0,,,,15882.0,15066.0,36589.0,8700.0,22740.0,,13298.0,18676.0,22078.0,4000.0,,,,9375.0,,8140.0,,,9023.0,5140.0,10435.0,10435.0,,6699.0,33750.0,26000.0,,9432.0,,4576.0
1975,6264.0,,5882.0,6344.0,6344.0,8954.0,,,,,,,10362.0,33119.0,12042.0,,14000.0,16027.0,6575.0,,,3770.0,8856.0,18175.0,9663.0,,11111.0,,24700.0,,9923.0,29162.0,12124.0,29570.0,8280.0,10879.0,,,15997.0,16129.0,4230.0,26878.0,8552.0,22286.0,,14920.0,20107.0,25455.0,6125.0,,,,9375.0,,8421.0,,,9205.0,8280.0,10435.0,10435.0,,9700.0,35152.0,26500.0,,9667.0,,4556.0
1976,5251.0,,5882.0,3677.0,3677.0,9988.0,,,,,,,11199.0,20000.0,11132.0,,9091.0,16685.0,6603.0,,,3479.0,8895.0,23885.0,12034.0,,11000.0,,35106.0,,10316.0,20239.0,12356.0,30548.0,8976.0,10988.0,,,12003.0,16379.0,5613.0,26552.0,9098.0,22973.0,,14186.0,9321.0,19953.0,6588.0,,,,9375.0,,8880.0,,,9224.0,8080.0,10870.0,10870.0,,9437.0,32500.0,26500.0,,7778.0,,4542.0
1977,6162.0,,4545.0,4497.0,4497.0,10701.0,,,,,,,8953.0,36364.0,11943.0,,14000.0,15796.0,5793.0,,,3469.0,9151.0,13784.0,4926.0,,11000.0,,36000.0,,9133.0,27133.0,11675.0,29730.0,5298.0,11585.0,,,32890.0,16667.0,11167.0,34146.0,12579.0,21998.0,,17232.0,19546.0,23922.0,5869.0,,,,9571.0,,10920.0,,,9200.0,5456.0,10435.0,10435.0,,8100.0,33000.0,25714.0,,10328.0,,4558.0
