,Ukraine,Georgia,Tajikistan,Austria,Belarus,Croatia,Bhutan,Poland,USSR,Slovakia,Brazil,Bosnia and Herzegovina,United Republic of Tanzania,Nepal,China,Canada,Uzbekistan,Japan,Latvia,Republic of Korea,Czechia,South Africa,Hungary,Kazakhstan,Estonia,Bulgaria,United States of America,Yugoslav SFR,Serbia and Montenegro,France,Lithuania,Slovenia,Czechoslovakia,"China, mainland",Russian Federation,Kyrgyzstan,Republic of Moldova
1961,-1.0,-1.0,-1.0,11429.0,-1.0,-1.0,6977.0,9219.0,3940.0,-1.0,11111.0,-1.0,-1.0,-1.0,6000.0,11387.0,-1.0,9839.0,-1.0,2842.0,-1.0,7333.0,-1.0,-1.0,-1.0,-1.0,10887.0,7416.0,-1.0,12314.0,-1.0,-1.0,7132.0,6000.0,-1.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,11495.0,-1.0,-1.0,7045.0,7719.0,3279.0,-1.0,12632.0,-1.0,-1.0,-1.0,5152.0,13289.0,-1.0,9418.0,-1.0,3010.0,-1.0,7333.0,-1.0,-1.0,-1.0,-1.0,11738.0,6119.0,-1.0,11200.0,-1.0,-1.0,7088.0,5152.0,-1.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,10521.0,-1.0,-1.0,6957.0,7255.0,2346.0,-1.0,11000.0,-1.0,-1.0,-1.0,5185.0,12603.0,-1.0,10800.0,-1.0,3768.0,-1.0,7333.0,-1.0,-1.0,-1.0,-1.0,11995.0,7498.0,-1.0,10270.0,-1.0,-1.0,6996.0,5185.0,-1.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,11964.0,-1.0,-1.0,7021.0,7907.0,4440.0,-1.0,10625.0,-1.0,-1.0,-1.0,5600.0,11386.0,-1.0,7810.0,-1.0,3926.0,-1.0,7500.0,-1.0,-1.0,-1.0,-1.0,11567.0,7961.0,-1.0,9477.0,-1.0,-1.0,7003.0,5600.0,-1.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,11806.0,-1.0,-1.0,7010.0,9038.0,4554.0,-1.0,10656.0,-1.0,-1.0,-1.0,6800.0,8671.0,-1.0,9617.0,-1.0,4690.0,-1.0,7059.0,-1.0,-1.0,-1.0,-1.0,11875.0,7084.0,-1.0,10127.0,-1.0,-1.0,6976.0,6800.0,-1.0,-1.0,-1.0
1966,-1.0,-1.0,-1.0,11241.0,-1.0,-1.0,7000.0,9184.0,4360.0,-1.0,10606.0,-1.0,-1.0,-1.0,5714.0,11469.0,-1.0,9858.0,-1.0,4321.0,-1.0,6667.0,-1.0,-1.0,-1.0,-1.0,11957.0,6797.0,-1.0,10756.0,-1.0,-1.0,9506.0,5714.0,-1.0,-1.0,-1.0
1967,-1.0,-1.0,-1.0,11081.0,-1.0,-1.0,6990.0,8333.0,5804.0,-1.0,12791.0,-1.0,-1.0,-1.0,6667.0,9226.0,-1.0,10956.0,-1.0,3976.0,-1.0,7222.0,-1.0,-1.0,-1.0,-1.0,11935.0,7638.0,-1.0,12059.0,-1.0,-1.0,14229.0,6667.0,-1.0,-1.0,-1.0
1968,-1.0,-1.0,-1.0,11667.0,-1.0,-1.0,6981.0,9333.0,7434.0,-1.0,11316.0,-1.0,-1.0,-1.0,6818.0,9145.0,-1.0,9286.0,-1.0,4611.0,-1.0,8164.0,-1.0,-1.0,-1.0,-1.0,11935.0,7787.0,-1.0,12196.0,-1.0,-1.0,12000.0,6818.0,-1.0,-1.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7170.0,8413.0,5776.0,-1.0,11458.0,-1.0,-1.0,-1.0,6911.0,9135.0,-1.0,10683.0,-1.0,5154.0,-1.0,8160.0,-1.0,-1.0,-1.0,-1.0,11912.0,8434.0,-1.0,12134.0,-1.0,-1.0,11888.0,6911.0,-1.0,-1.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7222.0,8525.0,4949.0,-1.0,10938.0,-1.0,-1.0,-1.0,7510.0,9991.0,-1.0,9297.0,-1.0,5097.0,-1.0,7706.0,-1.0,-1.0,-1.0,-1.0,11905.0,8828.0,-1.0,11715.0,-1.0,-1.0,11787.0,7510.0,-1.0,-1.0,-1.0
