,Turkey,Canada,Australia & New Zealand,Australia,Morocco,Thailand,Mexico,Uruguay,Argentina,Czechia,Spain,Netherlands,Hungary
1961,10000.0,,4123.0,4123.0,3000.0,4000.0,8439.0,6152.0,6813.0,,11264.0,21345.0,
1962,6216.0,,6659.0,6659.0,3000.0,4000.0,9100.0,5134.0,8036.0,,10711.0,22918.0,
1963,7591.0,,6274.0,6274.0,3000.0,4000.0,9359.0,4388.0,7431.0,,10618.0,20777.0,
1964,10000.0,,7707.0,7707.0,3000.0,4000.0,9401.0,6897.0,8739.0,,11860.0,24947.0,
1965,8333.0,,6632.0,6632.0,4000.0,4000.0,9652.0,6553.0,9221.0,,14477.0,19167.0,
1966,8000.0,,9053.0,9053.0,4000.0,4000.0,9351.0,6017.0,8468.0,,9649.0,15000.0,
1967,8696.0,,5261.0,5261.0,4000.0,4000.0,10636.0,5568.0,9200.0,,10124.0,20000.0,
1968,6000.0,,6300.0,6300.0,4667.0,4000.0,11828.0,6858.0,7795.0,,11467.0,20000.0,
1969,6742.0,,6506.0,6506.0,4211.0,4000.0,13666.0,5505.0,7723.0,,9783.0,20134.0,
1970,9745.0,,5638.0,5638.0,4633.0,4000.0,11820.0,5562.0,9122.0,,14318.0,18519.0,
1971,10811.0,,6390.0,6390.0,6789.0,4000.0,12822.0,5262.0,5771.0,,13184.0,,
1972,10286.0,,5796.0,5796.0,6708.0,4000.0,15195.0,5857.0,6591.0,,10870.0,,
1973,10319.0,,7032.0,7032.0,6024.0,4000.0,15290.0,5129.0,8206.0,,12535.0,,
1974,13636.0,,9228.0,9228.0,6407.0,4000.0,12809.0,5556.0,7889.0,,13971.0,,
1975,13125.0,,8711.0,8711.0,7564.0,4000.0,11109.0,7692.0,6883.0,,14167.0,,
1976,14599.0,,9624.0,9624.0,4491.0,4000.0,11922.0,7692.0,7754.0,,14088.0,,
1977,13333.0,,4368.0,4368.0,2517.0,4000.0,11456.0,7407.0,9630.0,,11680.0,,
1978,15000.0,,11916.0,11916.0,4225.0,4000.0,12375.0,7407.0,8571.0,,10129.0,,
1979,13333.0,,7999.0,7999.0,6800.0,4000.0,12669.0,7488.0,8947.0,,10233.0,,
1980,14000.0,10952.0,4241.0,4241.0,7477.0,4000.0,9072.0,7500.0,7721.0,,16872.0,,
1981,12000.0,10333.0,6677.0,6677.0,2667.0,4000.0,9974.0,7500.0,7521.0,,9230.0,,
1982,12739.0,11042.0,6842.0,6842.0,5941.0,4000.0,18557.0,7500.0,6421.0,,11745.0,,
1983,10949.0,11034.0,9680.0,9680.0,7770.0,4000.0,14256.0,7500.0,11014.0,,5446.0,,
1984,13429.0,11184.0,8037.0,8037.0,7907.0,4000.0,11808.0,7500.0,8347.0,,23182.0,,
1985,12160.0,12476.0,11226.0,11226.0,10793.0,4000.0,10050.0,7500.0,9331.0,,16721.0,,
1986,15000.0,14137.0,6966.0,6966.0,13429.0,4000.0,11965.0,7619.0,9289.0,,15086.0,,
1987,14286.0,12014.0,8462.0,8462.0,9400.0,4000.0,9208.0,7619.0,9914.0,,14496.0,,
1988,15520.0,5804.0,7263.0,7263.0,6000.0,4000.0,10580.0,7727.0,10365.0,,10453.0,,
1989,15190.0,9673.0,7529.0,7529.0,7000.0,4000.0,12284.0,7727.0,10032.0,,11217.0,,
1990,14696.0,14240.0,6985.0,6985.0,10667.0,4000.0,11001.0,8500.0,9800.0,,11904.0,,
1991,15500.0,10540.0,8829.0,8829.0,,4000.0,9387.0,8500.0,10765.0,,11741.0,,13462.0
1992,15789.0,13489.0,3916.0,3916.0,,3670.0,8768.0,8500.0,9704.0,,12118.0,,10000.0
1993,16393.0,10390.0,13144.0,13144.0,,3542.0,8485.0,8502.0,11552.0,,11685.0,,10000.0
1994,15000.0,11767.0,5714.0,5714.0,,4000.0,6943.0,8500.0,10867.0,,11321.0,,10561.0
1995,15135.0,10618.0,5000.0,5000.0,,3932.0,8404.0,8500.0,11188.0,,4595.0,,10000.0
1996,15217.0,12126.0,6754.0,6754.0,,3935.0,8827.0,8500.0,9471.0,,12118.0,,12254.0
1997,12332.0,10150.0,6756.0,6756.0,,4059.0,7371.0,8500.0,10413.0,,13750.0,,10028.0
1998,13600.0,11291.0,6000.0,6000.0,,3979.0,8495.0,8502.0,12122.0,,8421.0,,12232.0
1999,15238.0,11393.0,6250.0,6250.0,,4000.0,8567.0,8500.0,9160.0,,12653.0,,9174.0
2000,13526.0,10421.0,6471.0,6471.0,,3984.0,6711.0,8500.0,9488.0,,12000.0,,5621.0
2001,13548.0,6971.0,6616.0,6616.0,,4000.0,8963.0,8500.0,9712.0,,11957.0,,9058.0
2002,15000.0,7833.0,6602.0,6602.0,,4000.0,7018.0,8500.0,10697.0,,11905.0,,9376.0
2003,12000.0,9173.0,6569.0,6569.0,,4000.0,15241.0,8500.0,9868.0,,11842.0,,5010.0
2004,16716.0,9462.0,6585.0,6585.0,,3471.0,9761.0,8500.0,10825.0,35000.0,11765.0,,17586.0
