,Ukraine,Israel,Cyprus,Spain,Morocco,Lebanon,Mexico,Malta,Slovakia,Italy,Portugal,Jordan,Algeria,Croatia,Tunisia,Greece,Turkey
1961,-1.0,1900.0,26570.0,162600.0,-1.0,-1.0,-1.0,200.0,-1,17000.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,4352.0
1962,-1.0,2000.0,26800.0,159300.0,-1.0,-1.0,-1.0,180.0,-1,17000.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,4343.0
1963,-1.0,2000.0,27030.0,156600.0,-1.0,-1.0,-1.0,190.0,-1,17000.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,4399.0
1964,-1.0,2000.0,27150.0,143200.0,-1.0,-1.0,-1.0,195.0,-1,17000.0,-1.0,-1.0,9700.0,-1.0,-1.0,-1.0,4408.0
1965,-1.0,2100.0,27370.0,146800.0,-1.0,-1.0,-1.0,202.0,-1,17000.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,4390.0
1966,-1.0,2700.0,27890.0,159000.0,-1.0,-1.0,-1.0,202.0,-1,17000.0,-1.0,-1.0,8500.0,-1.0,-1.0,-1.0,4418.0
1967,-1.0,3200.0,28350.0,159200.0,-1.0,-1.0,-1.0,161.0,-1,17000.0,-1.0,-1.0,8300.0,-1.0,-1.0,-1.0,4548.0
1968,-1.0,3200.0,29150.0,120600.0,-1.0,-1.0,-1.0,202.0,-1,17000.0,-1.0,-1.0,7800.0,-1.0,-1.0,-1.0,4360.0
1969,-1.0,3200.0,29260.0,152200.0,-1.0,-1.0,-1.0,161.0,-1,17000.0,-1.0,-1.0,8500.0,-1.0,-1.0,-1.0,4700.0
1970,-1.0,3200.0,29432.0,160200.0,-1.0,-1.0,-1.0,194.0,-1,17000.0,-1.0,-1.0,8800.0,-1.0,-1.0,-1.0,4750.0
1971,-1.0,3200.0,29432.0,156200.0,-1.0,-1.0,-1.0,176.0,-1,17000.0,-1.0,-1.0,7700.0,-1.0,-1.0,-1.0,4100.0
1972,-1.0,3200.0,28094.0,153000.0,-1.0,-1.0,-1.0,178.0,-1,17000.0,-1.0,4.0,7200.0,-1.0,-1.0,-1.0,4000.0
1973,-1.0,3200.0,26756.0,152100.0,-1.0,-1.0,-1.0,138.0,-1,17000.0,-1.0,-1.0,6700.0,-1.0,-1.0,-1.0,4170.0
1974,-1.0,3200.0,17391.0,151200.0,-1.0,-1.0,-1.0,185.0,-1,17000.0,-1.0,1.0,5500.0,-1.0,-1.0,-1.0,4200.0
1975,-1.0,3200.0,17391.0,144100.0,-1.0,-1.0,-1.0,206.0,-1,17000.0,-1.0,5.0,6000.0,-1.0,-1.0,-1.0,4350.0
1976,-1.0,3200.0,17391.0,138700.0,-1.0,-1.0,-1.0,171.0,-1,17000.0,-1.0,-1.0,4400.0,-1.0,-1.0,-1.0,4350.0
1977,-1.0,2000.0,17391.0,134800.0,-1.0,-1.0,-1.0,154.0,-1,17000.0,-1.0,-1.0,4200.0,-1.0,-1.0,-1.0,4350.0
1978,-1.0,2000.0,8027.0,127500.0,-1.0,-1.0,-1.0,164.0,-1,17000.0,-1.0,-1.0,3700.0,-1.0,-1.0,-1.0,4260.0
1979,-1.0,2000.0,8027.0,115600.0,-1.0,-1.0,-1.0,153.0,-1,17000.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,4280.0
1980,-1.0,2000.0,8027.0,115600.0,-1.0,-1.0,48.0,136.0,-1,17000.0,-1.0,-1.0,1000.0,-1.0,-1.0,-1.0,4120.0
