,Slovakia,Israel,Portugal,Tunisia,Cyprus,Turkey,Jordan,Mexico,Morocco,Greece,Algeria,Ukraine,Spain,Croatia,Lebanon,Italy,Malta
1961,,1900.0,-1.0,-1.0,26570.0,4352.0,,,-1.0,-1.0,11000.0,,162600.0,,-1.0,17000.0,200.0
1962,,2000.0,-1.0,-1.0,26800.0,4343.0,,,-1.0,-1.0,9000.0,,159300.0,,-1.0,17000.0,180.0
1963,,2000.0,-1.0,-1.0,27030.0,4399.0,,,-1.0,-1.0,9000.0,,156600.0,,-1.0,17000.0,190.0
1964,,2000.0,-1.0,-1.0,27150.0,4408.0,,,-1.0,-1.0,9700.0,,143200.0,,-1.0,17000.0,195.0
1965,,2100.0,-1.0,-1.0,27370.0,4390.0,,,-1.0,-1.0,10000.0,,146800.0,,-1.0,17000.0,202.0
1966,,2700.0,-1.0,-1.0,27890.0,4418.0,,,-1.0,-1.0,8500.0,,159000.0,,-1.0,17000.0,202.0
1967,,3200.0,-1.0,-1.0,28350.0,4548.0,,,-1.0,-1.0,8300.0,,159200.0,,-1.0,17000.0,161.0
1968,,3200.0,-1.0,-1.0,29150.0,4360.0,,,-1.0,-1.0,7800.0,,120600.0,,-1.0,17000.0,202.0
1969,,3200.0,-1.0,-1.0,29260.0,4700.0,,,-1.0,-1.0,8500.0,,152200.0,,-1.0,17000.0,161.0
1970,,3200.0,-1.0,-1.0,29432.0,4750.0,,,-1.0,-1.0,8800.0,,160200.0,,-1.0,17000.0,194.0
1971,,3200.0,-1.0,-1.0,29432.0,4100.0,,,-1.0,-1.0,7700.0,,156200.0,,-1.0,17000.0,176.0
1972,,3200.0,-1.0,-1.0,28094.0,4000.0,4.0,,-1.0,-1.0,7200.0,,153000.0,,-1.0,17000.0,178.0
1973,,3200.0,-1.0,-1.0,26756.0,4170.0,,,-1.0,-1.0,6700.0,,152100.0,,-1.0,17000.0,138.0
1974,,3200.0,-1.0,-1.0,17391.0,4200.0,1.0,,-1.0,-1.0,5500.0,,151200.0,,-1.0,17000.0,185.0
1975,,3200.0,-1.0,-1.0,17391.0,4350.0,5.0,,-1.0,-1.0,6000.0,,144100.0,,-1.0,17000.0,206.0
1976,,3200.0,-1.0,-1.0,17391.0,4350.0,,,-1.0,-1.0,4400.0,,138700.0,,-1.0,17000.0,171.0
1977,,2000.0,-1.0,-1.0,17391.0,4350.0,,,-1.0,-1.0,4200.0,,134800.0,,-1.0,17000.0,154.0
1978,,2000.0,-1.0,-1.0,8027.0,4260.0,,,-1.0,-1.0,3700.0,,127500.0,,-1.0,17000.0,164.0
1979,,2000.0,-1.0,-1.0,8027.0,4280.0,,,-1.0,-1.0,3500.0,,115600.0,,-1.0,17000.0,153.0
1980,,2000.0,-1.0,-1.0,8027.0,4120.0,,48.0,-1.0,-1.0,1000.0,,115600.0,,-1.0,17000.0,136.0
1981,,2000.0,-1.0,-1.0,8027.0,3950.0,,70.0,-1.0,-1.0,850.0,,112800.0,,-1.0,17000.0,117.0
1982,,2000.0,-1.0,-1.0,8027.0,4000.0,,70.0,-1.0,-1.0,850.0,,109800.0,,-1.0,17000.0,116.0
1983,,2000.0,-1.0,-1.0,7759.0,4170.0,,70.0,-1.0,-1.0,1000.0,,108000.0,,-1.0,17000.0,104.0
1984,,2000.0,-1.0,-1.0,7625.0,4160.0,,70.0,-1.0,-1.0,1000.0,,105300.0,,-1.0,17000.0,104.0
1985,,2000.0,9100.0,325.0,4415.0,4120.0,,50.0,12500.0,17100.0,900.0,,101200.0,,-1.0,17000.0,100.0
1986,,1500.0,9100.0,335.0,4415.0,3800.0,,,13400.0,16110.0,970.0,,101000.0,,-1.0,17000.0,90.0
1987,,1500.0,9100.0,380.0,4415.0,3040.0,,,8600.0,16110.0,1500.0,,98200.0,,-1.0,17000.0,85.0
1988,,1500.0,9100.0,390.0,4200.0,3020.0,,70.0,12600.0,16110.0,1600.0,,94100.0,,-1.0,17000.0,80.0
1989,,1500.0,9100.0,390.0,4200.0,3010.0,,70.0,8500.0,18000.0,2700.0,,90900.0,,-1.0,17000.0,75.0
1990,,1500.0,8097.0,410.0,4000.0,3160.0,0.0,70.0,12500.0,15210.0,1960.0,,95600.0,,-1.0,17792.0,1.0
1991,,1500.0,10031.0,415.0,3900.0,3110.0,0.0,70.0,8500.0,14850.0,1850.0,,91400.0,,-1.0,25544.0,0.0
1992,,1529.0,10012.0,460.0,3800.0,3160.0,0.0,70.0,10500.0,13770.0,1770.0,100.0,88600.0,-1.0,-1.0,20946.0,0.0
1993,,1528.0,9992.0,446.0,3700.0,3170.0,0.0,70.0,10201.0,12000.0,1720.0,100.0,82000.0,-1.0,-1.0,20215.0,-1.0
1994,-1.0,1528.0,9974.0,440.0,2500.0,3190.0,0.0,70.0,10690.0,11840.0,1670.0,100.0,86400.0,550.0,-1.0,11877.0,-1.0
1995,,1528.0,9955.0,441.0,2500.0,3140.0,0.0,70.0,10871.0,11093.0,1250.0,100.0,70500.0,549.0,-1.0,18542.0,-1.0
1996,,1527.0,9936.0,446.0,2500.0,3120.0,0.0,70.0,10467.0,11781.0,1280.0,100.0,68700.0,549.0,-1.0,18216.0,-1.0
1997,,1527.0,9917.0,450.0,2500.0,3140.0,0.0,70.0,10801.0,12677.0,1270.0,100.0,69500.0,549.0,-1.0,17450.0,-1.0
1998,,1500.0,9899.0,460.0,2500.0,3100.0,0.0,70.0,11053.0,11568.0,1270.0,100.0,68300.0,549.0,700.0,18865.0,-1.0
1999,,1500.0,9881.0,460.0,2400.0,3090.0,0.0,70.0,10791.0,12720.0,1240.0,100.0,67771.0,548.0,700.0,17218.0,-1.0
2000,,1500.0,9862.0,460.0,2400.0,3080.0,0.0,70.0,11000.0,13227.0,1210.0,100.0,66981.0,548.0,650.0,16816.0,-1.0
2001,,1500.0,9844.0,460.0,2400.0,3040.0,0.0,70.0,11570.0,12000.0,1160.0,100.0,63862.0,547.0,650.0,8804.0,-1.0
2002,,1500.0,9826.0,460.0,2350.0,3060.0,0.0,10.0,10918.0,12000.0,1160.0,100.0,61200.0,546.0,325.0,8789.0,-1.0
2003,,1500.0,9799.0,460.0,1531.0,3150.0,0.0,0.0,12000.0,5000.0,1140.0,100.0,62700.0,544.0,360.0,8789.0,-1.0
2004,,1500.0,9764.0,460.0,1907.0,3160.0,0.0,0.0,11035.0,4689.0,1066.0,100.0,61600.0,541.0,400.0,8779.0,-1.0
2005,,1500.0,9902.0,460.0,1931.0,2820.0,0.0,10.0,12000.0,4861.0,1048.0,100.0,61600.0,537.0,330.0,8704.0,-1.0
2006,,1500.0,10000.0,460.0,1997.0,2830.0,0.0,70.0,10892.0,4613.0,1028.0,100.0,38100.0,500.0,302.0,8754.0,-1.0
2007,,1500.0,9000.0,460.0,1247.0,2390.0,0.0,56.0,10846.0,5000.0,982.0,100.0,38100.0,531.0,302.0,8675.0,-1.0
2008,,1450.0,9500.0,430.0,1227.0,2850.0,0.0,56.0,10792.0,4805.0,911.0,100.0,46404.0,528.0,310.0,11000.0,-1.0
2009,,1400.0,9700.0,428.0,2094.0,2850.0,0.0,0.0,10728.0,4260.0,921.0,100.0,46700.0,524.0,243.0,10819.0,-1.0
2010,,1450.0,9534.0,409.0,1286.0,2570.0,0.0,76.0,9700.0,3942.0,868.0,100.0,46243.0,600.0,241.0,10823.0,-1.0
2011,,1500.0,9800.0,414.0,1791.0,2910.0,0.0,76.0,9750.0,3716.0,827.0,100.0,43883.0,517.0,242.0,9183.0,-1.0
2012,,1500.0,9480.0,413.0,1709.0,630.0,0.0,30.0,10302.0,3509.0,831.0,100.0,43647.0,500.0,245.0,5672.0,-1.0
2013,,1550.0,9467.0,418.0,1147.0,512.0,0.0,0.0,10533.0,3318.0,813.0,100.0,43695.0,500.0,246.0,5768.0,-1.0
2014,,1500.0,9439.0,416.0,1629.0,631.0,0.0,0.0,10481.0,3143.0,788.0,100.0,36731.0,507.0,240.0,5769.0,-1.0
