,Guinea,India,El Salvador,Kenya,Peru,Mozambique,Myanmar,Burkina Faso,Malaysia,Mexico,Dominican Republic,Nigeria,Honduras,Guadeloupe,Benin,United Republic of Tanzania,Thailand,China,Indonesia,Côte d'Ivoire,Sri Lanka,Gambia,Togo,Viet Nam,Philippines,Guinea-Bissau,Belize,Bangladesh,Brazil,Mali,Ghana,"China, mainland",Madagascar,Angola,Kyrgyzstan,Senegal
1961,-1.0,200000.0,1750.0,10000.0,-1.0,180000.0,-1.0,-1.0,2000.0,-1.0,-1.0,15000.0,-1.0,-1,2000.0,83000.0,500.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,1000.0,-1.0,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,10000.0,3000.0,-1,-1.0
1962,-1.0,200000.0,1750.0,20000.0,-1.0,180000.0,-1.0,-1.0,2000.0,-1.0,-1.0,24000.0,-1.0,-1,2000.0,108000.0,500.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,1000.0,5500.0,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,10000.0,3000.0,-1,-1.0
1963,-1.0,215000.0,1800.0,20000.0,-1.0,230000.0,-1.0,-1.0,2000.0,-1.0,-1.0,25000.0,-1.0,-1,2000.0,80000.0,600.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,1000.0,4500.0,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,10000.0,3000.0,-1,-1.0
1964,-1.0,215000.0,1800.0,26000.0,-1.0,230000.0,-1.0,-1.0,2000.0,-1.0,-1.0,31000.0,-1.0,-1,2000.0,100000.0,700.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,1000.0,3800.0,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,10000.0,3000.0,-1,-1.0
1965,-1.0,230000.0,1850.0,26000.0,-1.0,210000.0,-1.0,-1.0,2000.0,-1.0,-1.0,35500.0,-1.0,-1,2000.0,113000.0,800.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,1000.0,3800.0,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,10000.0,3000.0,-1,-1.0
1966,-1.0,241314.0,1850.0,28000.0,-1.0,190000.0,-1.0,-1.0,2000.0,-1.0,-1.0,37000.0,-1.0,-1,2000.0,120000.0,900.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,3000.0,3300.0,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,10000.0,3000.0,-1,-1.0
1967,-1.0,249024.0,1900.0,34000.0,-1.0,180000.0,-1.0,-1.0,2000.0,-1.0,-1.0,38500.0,-1.0,-1,5000.0,140000.0,1000.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,3000.0,3800.0,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,10000.0,3000.0,-1,-1.0
1968,-1.0,257107.0,1950.0,24000.0,-1.0,300000.0,-1.0,-1.0,2100.0,-1.0,-1.0,40000.0,-1.0,-1,7000.0,163000.0,1100.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,3000.0,3800.0,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,10200.0,3000.0,-1,-1.0
1969,-1.0,265698.0,2000.0,20000.0,-1.0,250000.0,-1.0,-1.0,2200.0,-1.0,-1.0,40000.0,-1.0,-1,8500.0,183000.0,1200.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,3000.0,3700.0,10000.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,10200.0,3000.0,-1,-1.0
1970,-1.0,281171.0,2050.0,68000.0,-1.0,290000.0,-1.0,-1.0,2398.0,-1.0,-1.0,40000.0,-1.0,-1,9148.0,186000.0,1300.0,-1.0,-1.0,8215.0,-1.0,-1.0,-1.0,3000.0,4400.0,12000.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,10200.0,3000.0,-1,-1.0
