,Indonesia,Philippines,Angola,Madagascar,Togo,United Republic of Tanzania,Malaysia,Thailand,Belize,Kenya,Nigeria,Viet Nam,Bangladesh,Senegal,Mali,Dominican Republic,Brazil,Mexico,Benin,Peru,China,Ghana,Mozambique,Burkina Faso,Guinea,"China, mainland",El Salvador,Guadeloupe,Sri Lanka,Honduras,Guinea-Bissau,Côte d'Ivoire,Kyrgyzstan,Myanmar,Gambia,India
1961,,7500.0,1000.0,1600.0,,50000.0,3600.0,500.0,-1.0,3000.0,7000.0,700.0,,,,775.0,9670.0,-1.0,50.0,-1.0,2000.0,-1.0,107000.0,,-1.0,2000.0,1500.0,,4240.0,,2000.0,400.0,,-1.0,-1.0,85000.0
1962,,8000.0,1000.0,1700.0,,70000.0,3600.0,500.0,-1.0,7000.0,14000.0,700.0,,,,738.0,11987.0,-1.0,50.0,-1.0,2200.0,-1.0,108000.0,,-1.0,2200.0,1500.0,,3520.0,,2000.0,400.0,,-1.0,-1.0,88000.0
1963,,6500.0,1000.0,1800.0,,50000.0,3600.0,600.0,-1.0,7000.0,15000.0,700.0,,,,777.0,13621.0,-1.0,50.0,-1.0,2400.0,-1.0,149000.0,,-1.0,2400.0,1550.0,,1090.0,,2000.0,400.0,,-1.0,-1.0,92000.0
1964,,5500.0,1000.0,1800.0,,71000.0,3600.0,700.0,-1.0,9400.0,19000.0,700.0,,,,784.0,9643.0,-1.0,50.0,-1.0,2600.0,-1.0,156000.0,,-1.0,2600.0,1550.0,,2710.0,,2000.0,400.0,,-1.0,-1.0,95000.0
1965,,5475.0,1000.0,1900.0,,76000.0,3600.0,800.0,-1.0,9000.0,22000.0,700.0,,,,789.0,13789.0,-1.0,50.0,-1.0,2400.0,-1.0,136000.0,,-1.0,2400.0,1600.0,,8800.0,,2000.0,400.0,,-1.0,-1.0,100000.0
1966,,4766.0,1100.0,2000.0,,83200.0,3600.0,900.0,-1.0,9900.0,23000.0,2100.0,,,,827.0,13677.0,-1.0,60.0,-1.0,2750.0,-1.0,119000.0,,-1.0,2750.0,1600.0,,6620.0,,2000.0,400.0,,-1.0,-1.0,103818.0
1967,,5510.0,1200.0,2000.0,,83800.0,3600.0,1000.0,-1.0,11800.0,24000.0,2100.0,,,,821.0,24181.0,-1.0,182.0,-1.0,2800.0,-1.0,101000.0,,-1.0,2800.0,1650.0,,5550.0,,2000.0,400.0,,-1.0,-1.0,114182.0
1968,,5562.0,1200.0,2200.0,,92500.0,3700.0,1100.0,-1.0,8500.0,25000.0,2100.0,,,,816.0,23683.0,-1.0,305.0,-1.0,3000.0,-1.0,185900.0,,-1.0,3000.0,1650.0,,5380.0,,2000.0,400.0,,-1.0,-1.0,118542.0
1969,,5335.0,1200.0,2300.0,,95700.0,3900.0,1200.0,-1.0,7200.0,25000.0,2100.0,,,,810.0,23443.0,-1.0,410.0,-1.0,3000.0,-1.0,154200.0,,-1.0,3000.0,1700.0,,2340.0,,2000.0,400.0,,-1.0,-1.0,120438.0
1970,,6315.0,1300.0,2400.0,,107445.0,4300.0,1300.0,-1.0,22200.0,25000.0,2100.0,,,,804.0,20309.0,-1.0,627.0,-1.0,3250.0,-1.0,184000.0,,-1.0,3250.0,1700.0,,2770.0,,2500.0,300.0,,-1.0,-1.0,123319.0
1971,,5014.0,1300.0,2500.0,,126409.0,3600.0,1400.0,-1.0,19200.0,25000.0,3500.0,,,,798.0,28602.0,-1.0,550.0,-1.0,4000.0,-1.0,202000.0,,-1.0,4000.0,1750.0,,3100.0,,2500.0,400.0,,-1.0,-1.0,127223.0
1972,,5379.0,1300.0,2600.0,,125559.0,3700.0,1500.0,-1.0,11976.0,25000.0,3500.0,,,,793.0,35000.0,-1.0,600.0,-1.0,3800.0,-1.0,200000.0,,-1.0,3800.0,1750.0,15.0,2790.0,,2500.0,380.0,,-1.0,-1.0,130000.0
1973,,4746.0,1400.0,2700.0,,145080.0,3300.0,1600.0,-1.0,15184.0,25000.0,3500.0,,,,787.0,36936.0,-1.0,650.0,-1.0,4000.0,-1.0,240000.0,,-1.0,4000.0,1800.0,15.0,5160.0,,2500.0,224.0,,-1.0,-1.0,129766.0
1974,,3708.0,1400.0,2800.0,,121704.0,10000.0,1700.0,-1.0,15970.0,25000.0,3500.0,,,,800.0,34901.0,-1.0,727.0,-1.0,4500.0,-1.0,213400.0,,-1.0,4500.0,1850.0,15.0,4970.0,,2500.0,350.0,,-1.0,-1.0,135451.0
1975,9122.0,3727.0,1400.0,2900.0,,115840.0,11200.0,1800.0,-1.0,21600.0,25000.0,3500.0,,,,810.0,20490.0,-1.0,345.0,-1.0,4800.0,-1.0,188000.0,,-1.0,4800.0,1702.0,15.0,4330.0,,2500.0,450.0,,-1.0,-1.0,144254.0
