,Ukraine,Burundi,Peru,"China, Taiwan Province of",Serbia and Montenegro,Myanmar,Dominican Republic,Philippines,South Sudan,Brazil,Benin,Ethiopia,Indonesia,Pakistan,Bangladesh,Republic of Korea,Togo,Bulgaria,United States of America,Iran (Islamic Republic of),Mozambique,Thailand,El Salvador,Madagascar,Argentina,Cambodia,Haiti,Paraguay,India,Cabo Verde,Morocco,Ethiopia PDR,USSR,Mexico,Romania,Ecuador,Sudan (former),China,Angola,Libya,Yugoslav SFR,United Republic of Tanzania,Viet Nam,South Africa,Hungary,Syrian Arab Republic,Sudan,Kenya,"China, mainland",Russian Federation,Nicaragua,Uganda,Italy
1961,-1.0,2600.0,4150.0,-1,-1,-1.0,330.0,600.0,-1,283405.0,1945.0,-1.0,6000.0,8000.0,405.0,2474.0,2000.0,1765.0,12000.0,13000.0,3700.0,35360.0,100.0,10000.0,9636.0,3000.0,5400.0,12000.0,486000.0,80.0,600.0,20000.0,73000.0,11021.0,24300.0,21100.0,5377.0,100000.0,13300.0,5000.0,5320.0,18800.0,6200.0,17000.0,2271.0,100.0,-1.0,2300.0,100000.0,-1.0,-1.0,3700.0,5.0
1962,-1.0,2000.0,4300.0,-1,-1,-1.0,332.0,800.0,-1,284180.0,1940.0,-1.0,6000.0,9500.0,405.0,5713.0,1934.0,999.0,16000.0,17000.0,6400.0,44000.0,120.0,8000.0,7500.0,4733.0,3600.0,12500.0,469000.0,80.0,300.0,20000.0,101000.0,12340.0,20800.0,23300.0,4761.0,100000.0,13400.0,5000.0,4190.0,15600.0,4900.0,33000.0,1639.0,100.0,-1.0,12000.0,100000.0,-1.0,-1.0,5700.0,3.0
1963,-1.0,1500.0,4300.0,-1,-1,-1.0,335.0,250.0,-1,307187.0,1600.0,-1.0,6000.0,10100.0,405.0,7568.0,1655.0,672.0,30000.0,17000.0,9700.0,44640.0,150.0,6000.0,8770.0,3000.0,3200.0,10000.0,484000.0,80.0,300.0,21000.0,110000.0,12320.0,22100.0,24400.0,6839.0,110000.0,13400.0,5000.0,3010.0,17300.0,3400.0,15000.0,1191.0,100.0,-1.0,13000.0,110000.0,-1.0,-1.0,5600.0,3.0
1964,-1.0,1000.0,4450.0,-1,-1,-1.0,335.0,180.0,-1,347600.0,750.0,-1.0,6000.0,12200.0,405.0,5526.0,1100.0,107.0,28000.0,17000.0,4000.0,37920.0,120.0,6440.0,8350.0,2800.0,2300.0,10000.0,441000.0,80.0,300.0,21000.0,150000.0,12134.0,21600.0,28900.0,9447.0,130000.0,13500.0,3000.0,2900.0,17000.0,4000.0,22000.0,1.0,100.0,-1.0,13000.0,130000.0,-1.0,-1.0,4100.0,4.0
1965,-1.0,500.0,3900.0,-1,-1,-1.0,336.0,160.0,-1,394146.0,1220.0,-1.0,6000.0,12500.0,405.0,4265.0,1200.0,112.0,27000.0,17000.0,6000.0,33120.0,100.0,6510.0,6953.0,1000.0,2200.0,11200.0,405000.0,90.0,200.0,21300.0,179000.0,9492.0,18393.0,21100.0,7779.0,180000.0,13000.0,1500.0,1720.0,25000.0,4000.0,25000.0,-1.0,100.0,-1.0,14000.0,180000.0,-1.0,-1.0,4000.0,2.0
1966,-1.0,700.0,3900.0,-1,-1,-1.0,370.0,165.0,-1,347133.0,600.0,-1.0,6000.0,17600.0,405.0,3483.0,1312.0,80.0,23000.0,17000.0,5800.0,41600.0,100.0,6485.0,6100.0,1000.0,1000.0,8700.0,400900.0,100.0,300.0,21300.0,165000.0,9434.0,21000.0,23697.0,13529.0,220000.0,13000.0,500.0,2650.0,23000.0,4000.0,6600.0,-1.0,100.0,-1.0,18000.0,220000.0,-1.0,-1.0,4000.0,2.0
1967,-1.0,700.0,3900.0,-1,-1,-1.0,370.0,165.0,-1,360622.0,600.0,-1.0,6000.0,17000.0,405.0,3047.0,850.0,27.0,14200.0,17000.0,7700.0,45760.0,120.0,6560.0,6350.0,200.0,1500.0,4170.0,439400.0,90.0,200.0,21500.0,173000.0,8939.0,22500.0,21597.0,13842.0,220000.0,13000.0,1500.0,3130.0,22000.0,4000.0,6900.0,-1.0,100.0,-1.0,13000.0,220000.0,-1.0,-1.0,4000.0,2.0
1968,-1.0,450.0,3900.0,-1,-1,-1.0,370.0,280.0,-1,377048.0,600.0,-1.0,6000.0,16000.0,425.0,2892.0,570.0,486.0,42000.0,17000.0,7500.0,36640.0,150.0,6475.0,5675.0,100.0,1600.0,5400.0,393800.0,80.0,200.0,21700.0,184000.0,9282.0,21950.0,15835.0,10502.0,200000.0,13000.0,500.0,2660.0,21000.0,4000.0,5200.0,-1.0,50.0,-1.0,15000.0,200000.0,-1.0,-1.0,4200.0,-1.0
1969,-1.0,200.0,20.0,-1,-1,-1.0,370.0,700.0,-1,377636.0,600.0,-1.0,8875.0,16000.0,426.0,2952.0,700.0,963.0,19600.0,17000.0,4000.0,35520.0,160.0,6500.0,9870.0,350.0,1700.0,8610.0,401900.0,90.0,170.0,21900.0,175000.0,9563.0,21657.0,23442.0,18904.0,180000.0,11000.0,500.0,1438.0,15000.0,4000.0,8000.0,-1.0,55.0,-1.0,15000.0,180000.0,-1.0,-1.0,4650.0,-1.0
1970,-1.0,100.0,20.0,-1,-1,-1.0,380.0,300.0,-1,380986.0,500.0,-1.0,13096.0,17000.0,439.0,1958.0,700.0,808.0,9000.0,17000.0,4000.0,44000.0,200.0,6500.0,6200.0,400.0,1400.0,13330.0,438600.0,85.0,170.0,22100.0,220000.0,9166.0,20058.0,15560.0,14283.0,180000.0,11000.0,200.0,719.0,22000.0,4000.0,8000.0,-1.0,50.0,-1.0,9000.0,180000.0,-1.0,-1.0,4000.0,-1.0
1971,-1.0,75.0,25.0,-1,-1,-1.0,390.0,390.0,-1,361000.0,900.0,-1.0,8837.0,17000.0,389.0,1203.0,200.0,428.0,4000.0,17000.0,6000.0,41600.0,250.0,5050.0,3835.0,100.0,1000.0,13846.0,453300.0,50.0,170.0,22300.0,196000.0,9429.0,16200.0,30562.0,13863.0,180000.0,12000.0,400.0,348.0,20000.0,4000.0,7000.0,-1.0,20.0,-1.0,9000.0,180000.0,-1.0,-1.0,4000.0,-1.0
1972,-1.0,50.0,40.0,-1,-1,-1.0,400.0,320.0,-1,376726.0,1000.0,-1.0,15855.0,17000.0,350.0,1676.0,400.0,223.0,4000.0,17000.0,6000.0,42000.0,300.0,5000.0,1690.0,100.0,1200.0,19346.0,426400.0,50.0,170.0,8000.0,212000.0,10458.0,18800.0,25584.0,15543.0,175000.0,12000.0,275.0,58.0,25000.0,4000.0,8000.0,-1.0,32.0,-1.0,8300.0,175000.0,-1.0,-1.0,4000.0,-1.0
1973,-1.0,50.0,40.0,-1,-1,-1.0,420.0,950.0,-1,496026.0,1000.0,-1.0,12004.0,17000.0,346.0,2000.0,200.0,77.0,6000.0,14000.0,4000.0,45120.0,400.0,5100.0,945.0,100.0,1400.0,19259.0,546600.0,50.0,170.0,8000.0,206000.0,10471.0,18500.0,45890.0,15900.0,170000.0,12000.0,0.0,123.0,18000.0,4000.0,8000.0,-1.0,270.0,-1.0,8300.0,170000.0,-1.0,-1.0,4000.0,-1.0
1974,-1.0,0.0,40.0,-1,-1,-1.0,430.0,5000.0,-1,640781.0,1000.0,-1.0,13692.0,17300.0,276.0,4000.0,250.0,4.0,800.0,10000.0,2000.0,31680.0,500.0,7000.0,1789.0,100.0,2500.0,23527.0,590300.0,50.0,180.0,10000.0,197000.0,10298.0,20500.0,43952.0,17832.0,170000.0,12000.0,-1.0,468.0,15000.0,4000.0,8000.0,-1.0,178.0,-1.0,8300.0,170000.0,-1.0,-1.0,3800.0,-1.0
1975,-1.0,0.0,25.0,-1,-1,-1.0,440.0,9500.0,-1,398709.0,1000.0,-1.0,10563.0,11050.0,282.0,3000.0,300.0,0.0,-1.0,7000.0,2500.0,36992.0,750.0,3000.0,804.0,100.0,2500.0,18000.0,374900.0,50.0,180.0,13000.0,210000.0,10331.0,19800.0,3227.0,19366.0,170000.0,12000.0,-1.0,83.0,15000.0,4000.0,8000.0,-1.0,307.0,-1.0,8280.0,170000.0,-1.0,-1.0,2400.0,-1.0
1976,-1.0,0.0,10.0,-1,-1,-1.0,450.0,6000.0,-1,266776.0,1000.0,-1.0,2087.0,15243.0,344.0,3041.0,300.0,0.0,-1.0,7000.0,4500.0,44960.0,600.0,5000.0,268.0,95.0,2500.0,21071.0,495800.0,50.0,200.0,10000.0,183000.0,10326.0,17100.0,16720.0,5880.0,165000.0,12000.0,-1.0,12.0,14000.0,4000.0,8000.0,-1.0,66.0,-1.0,8350.0,165000.0,-1.0,270.0,2400.0,-1.0
1977,-1.0,0.0,5.0,-1,-1,-1.0,450.0,20000.0,-1,254335.0,1000.0,-1.0,3657.0,17327.0,372.0,995.0,600.0,-1.0,-1.0,7000.0,1300.0,38544.0,500.0,4500.0,14.0,100.0,2500.0,21800.0,379700.0,50.0,200.0,10000.0,181000.0,10203.0,12500.0,9520.0,8800.0,170000.0,12000.0,-1.0,2.0,13500.0,4000.0,8000.0,-1.0,80.0,-1.0,8570.0,170000.0,-1.0,350.0,2400.0,-1.0
1978,-1.0,0.0,5.0,-1,-1,-1.0,450.0,10500.0,-1,350336.0,1000.0,-1.0,1833.0,45986.0,372.0,500.0,600.0,-1.0,-1.0,7000.0,1300.0,43424.0,500.0,5000.0,10.0,150.0,2500.0,19845.0,446900.0,80.0,220.0,11000.0,152000.0,8240.0,12300.0,9261.0,10000.0,190000.0,12000.0,-1.0,0.0,11000.0,4000.0,8000.0,-1.0,80.0,-1.0,8720.0,190000.0,-1.0,220.0,2400.0,-1.0
1979,-1.0,0.0,7.0,-1,-1,-1.0,450.0,13000.0,-1,374798.0,1000.0,-1.0,1527.0,23148.0,350.0,400.0,600.0,-1.0,-1.0,3500.0,1300.0,49840.0,500.0,5000.0,2.0,250.0,2500.0,22166.0,440500.0,50.0,240.0,11000.0,184000.0,7757.0,11800.0,10050.0,10000.0,190000.0,12000.0,-1.0,-1.0,10500.0,4000.0,8000.0,-1.0,80.0,-1.0,9000.0,190000.0,-1.0,500.0,2400.0,-1.0
1980,-1.0,0.0,130.0,-1,-1,-1.0,450.0,21500.0,-1,440511.0,1000.0,-1.0,1276.0,23460.0,490.0,100.0,600.0,-1.0,-1.0,2000.0,1300.0,42240.0,500.0,5000.0,0.0,400.0,2500.0,23302.0,497500.0,50.0,240.0,12000.0,185000.0,3663.0,12500.0,6716.0,10000.0,200000.0,12000.0,-1.0,-1.0,10000.0,4000.0,8000.0,-1.0,20.0,-1.0,9200.0,200000.0,-1.0,370.0,2400.0,-1.0
1981,-1.0,0.0,180.0,-1,-1,-1.0,460.0,27500.0,-1,447364.0,1000.0,-1.0,1297.0,22475.0,437.0,100.0,600.0,-1.0,-1.0,2000.0,1300.0,44336.0,550.0,5000.0,-1.0,500.0,2500.0,13888.0,557500.0,150.0,250.0,12000.0,139000.0,464.0,16300.0,13500.0,10000.0,200000.0,12000.0,-1.0,61.0,10000.0,4000.0,8000.0,-1.0,20.0,-1.0,9200.0,200000.0,-1.0,1270.0,2400.0,-1.0
1982,-1.0,0.0,250.0,-1,-1,-1.0,460.0,23000.0,-1,461824.0,1000.0,-1.0,1190.0,31499.0,480.0,100.0,600.0,-1.0,-1.0,1700.0,1300.0,44080.0,550.0,5000.0,-1.0,600.0,2700.0,27000.0,580200.0,120.0,260.0,12000.0,149000.0,548.0,18900.0,13000.0,10000.0,200000.0,12000.0,-1.0,356.0,10000.0,4000.0,8000.0,-1.0,10.0,-1.0,9500.0,200000.0,-1.0,1940.0,2400.0,-1.0
1983,-1.0,0.0,200.0,-1,-1,-1.0,460.0,17000.0,-1,270130.0,1000.0,-1.0,881.0,29873.0,461.0,50.0,600.0,-1.0,-1.0,1300.0,1300.0,42800.0,600.0,5000.0,-1.0,850.0,2800.0,27000.0,623400.0,150.0,260.0,12000.0,142000.0,6000.0,20100.0,13500.0,10000.0,215000.0,12000.0,-1.0,900.0,10000.0,4000.0,8000.0,-1.0,10.0,-1.0,9700.0,215000.0,-1.0,600.0,2500.0,-1.0
1984,-1.0,0.0,200.0,-1,-1,-1.0,460.0,22000.0,-1,412955.0,1000.0,-1.0,1748.0,26545.0,475.0,50.0,600.0,-1.0,-1.0,700.0,1300.0,42768.0,600.0,5380.0,-1.0,1000.0,2800.0,27700.0,670600.0,60.0,300.0,12000.0,137000.0,1868.0,19400.0,14500.0,10000.0,207000.0,12000.0,-1.0,1048.0,10000.0,4000.0,8000.0,-1.0,10.0,-1.0,9900.0,207000.0,-1.0,0.0,2500.0,-1.0
1985,-1.0,0.0,-1.0,-1,-1,-1.0,0.0,23000.0,-1,496844.0,1000.0,-1.0,8726.0,26833.0,475.0,50.0,600.0,-1.0,-1.0,350.0,1600.0,42768.0,600.0,5800.0,-1.0,1000.0,2800.0,20600.0,636600.0,120.0,310.0,12000.0,134000.0,1861.0,19500.0,6000.0,10000.0,233000.0,12000.0,-1.0,954.0,10000.0,4000.0,8000.0,-1.0,10.0,-1.0,9900.0,233000.0,-1.0,-1.0,2500.0,-1.0
1986,-1.0,0.0,-1.0,-1,-1,-1.0,-1.0,14100.0,-1,456215.0,1000.0,-1.0,3004.0,15102.0,500.0,50.0,600.0,-1.0,-1.0,350.0,3000.0,44640.0,0.0,6000.0,-1.0,1100.0,3000.0,19100.0,577600.0,120.0,310.0,12000.0,132000.0,2435.0,22300.0,8000.0,11000.0,255000.0,12000.0,-1.0,896.0,10000.0,4500.0,8000.0,-1.0,10.0,-1.0,9900.0,255000.0,-1.0,-1.0,3000.0,-1.0
1987,-1.0,0.0,-1.0,-1,-1,-1.0,-1.0,8900.0,-1,262900.0,1000.0,-1.0,3965.0,573.0,485.0,22.0,600.0,-1.0,-1.0,230.0,4500.0,42139.0,-1.0,6100.0,-1.0,1100.0,3000.0,16900.0,479500.0,50.0,300.0,12000.0,130000.0,2450.0,19300.0,7000.0,11500.0,267000.0,12000.0,-1.0,428.0,10000.0,4500.0,8000.0,-1.0,10.0,-1.0,12700.0,267000.0,-1.0,-1.0,3000.0,-1.0
1988,-1.0,0.0,-1.0,-1,-1,-1.0,-1.0,9800.0,-1,273153.0,1000.0,-1.0,3618.0,13102.0,554.0,15.0,600.0,-1.0,-1.0,318.0,6000.0,60960.0,-1.0,6200.0,-1.0,1100.0,2800.0,20100.0,631300.0,50.0,350.0,12000.0,119000.0,2460.0,24500.0,7000.0,11600.0,270000.0,12500.0,-1.0,156.0,10000.0,5000.0,8000.0,-1.0,12.0,-1.0,13000.0,270000.0,-1.0,-1.0,3000.0,-1.0
1989,-1.0,0.0,-1.0,-1,-1,5000.0,-1.0,9000.0,-1,268618.0,1000.0,-1.0,5610.0,15696.0,475.0,11.0,600.0,-1.0,-1.0,0.0,9000.0,47167.0,-1.0,6400.0,-1.0,1200.0,2800.0,19300.0,702200.0,50.0,450.0,13000.0,85000.0,814.0,26300.0,7000.0,12000.0,270000.0,13000.0,-1.0,153.0,10000.0,5000.0,8000.0,-1.0,14.0,-1.0,13200.0,270000.0,-1.0,-1.0,3000.0,-1.0
1990,-1.0,0.0,0.0,-1,-1,5000.0,-1.0,9000.0,-1,286703.0,1178.0,-1.0,6690.0,15111.0,406.0,5.0,611.0,0.0,0.0,0.0,16000.0,43840.0,0.0,6600.0,0.0,1300.0,2600.0,17600.0,810000.0,55.0,550.0,14165.0,68000.0,850.0,5500.0,8000.0,12500.0,275000.0,12500.0,0.0,23.0,10497.0,5029.0,8125.0,0.0,20.0,-1.0,13400.0,275000.0,-1.0,-1.0,3083.0,0.0
1991,-1.0,0.0,0.0,-1,-1,4500.0,-1.0,9000.0,-1,233555.0,1104.0,-1.0,6086.0,3050.0,279.0,0.0,380.0,0.0,0.0,0.0,21047.0,44800.0,0.0,6507.0,0.0,1400.0,2294.0,15800.0,711800.0,83.0,200.0,13500.0,33400.0,1016.0,1000.0,8000.0,13000.0,280000.0,14000.0,0.0,54.0,6520.0,5200.0,6135.0,0.0,22.0,-1.0,13600.0,280000.0,-1.0,-1.0,3068.0,0.0
