,Ukraine,Burundi,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Serbia,Armenia,Ethiopia,Greece,Tunisia,Zimbabwe,Republic of Korea,Spain,New Zealand,Niger,Bulgaria,Australia & New Zealand,United States of America,Mongolia,Togo,Slovenia,Czechoslovakia,Senegal,Madagascar,Czechia,Argentina,Luxembourg,Georgia,Botswana,Austria,Chad,Morocco,Bhutan,Poland,Congo,Qatar,Mexico,Switzerland,Romania,Italy,USSR,Bosnia and Herzegovina,Russian Federation,China,Ireland,Uzbekistan,Gambia,Latvia,Slovakia,United Republic of Tanzania,Yemen,Occupied Palestinian Territory,South Africa,Guinea-Bissau,Kazakhstan,Sierra Leone,Hungary,France,Thailand,Lithuania,Finland,"China, mainland",Oman,Mali,Eritrea,Republic of Moldova,Ethiopia PDR
1961,-1.0,-1.0,200.0,-1.0,1000.0,-1.0,-1.0,6100.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,5000.0,-1.0,8000.0,5000.0,-1,3000.0,2000.0,-1.0,-1.0,6500.0,-1,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,7100.0,30500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,65000.0,-1,-1.0,1000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,800.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1,1140000.0
1962,-1.0,-1.0,200.0,-1.0,1000.0,-1.0,-1.0,6100.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,-1.0,5000.0,-1.0,15000.0,5000.0,-1,3000.0,9938.0,-1.0,-1.0,6000.0,-1,-1.0,14000.0,-1.0,-1.0,-1.0,-1.0,7200.0,36000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16670.0,61000.0,-1,-1.0,1000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,850.0,12000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1,1170000.0
1963,-1.0,-1.0,200.0,-1.0,2000.0,-1.0,-1.0,8100.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,5000.0,-1.0,25000.0,5000.0,-1,3600.0,11940.0,-1.0,-1.0,5500.0,-1,-1.0,15000.0,-1.0,-1.0,-1.0,-1.0,7300.0,32000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13050.0,51000.0,-1,-1.0,2000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,850.0,13000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1,1200000.0
1964,-1.0,-1.0,200.0,-1.0,2000.0,-1.0,-1.0,8700.0,-1.0,-1.0,-1.0,-1.0,41000.0,-1.0,-1.0,-1.0,5000.0,-1.0,40000.0,5000.0,-1,4700.0,7000.0,-1.0,-1.0,3000.0,-1,-1.0,17000.0,-1.0,-1.0,-1.0,-1.0,7400.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12430.0,71000.0,-1,-1.0,2000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,900.0,13000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1,1243700.0
1965,-1.0,-1.0,200.0,-1.0,3000.0,-1.0,-1.0,7100.0,-1.0,-1.0,-1.0,-1.0,80000.0,-1.0,-1.0,-1.0,5000.0,-1.0,67368.0,5000.0,-1,4200.0,8000.0,-1.0,-1.0,3000.0,-1,-1.0,20000.0,-1.0,-1.0,-1.0,-1.0,7500.0,33000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13460.0,42000.0,-1,-1.0,3000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,950.0,13800.0,-1.0,-1.0,-1.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1,1255500.0
1966,-1.0,-1.0,300.0,-1.0,5000.0,-1.0,-1.0,9100.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,-1.0,-1.0,10000.0,-1.0,2920.0,10000.0,-1,1900.0,5000.0,-1.0,413.0,4700.0,-1,-1.0,16800.0,-1.0,-1.0,-1.0,-1.0,7800.0,26000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13200.0,63000.0,-1,-1.0,5000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,1000.0,13800.0,-1.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,-1.0,-1,1267000.0
1967,-1.0,-1.0,300.0,-1.0,7000.0,-1.0,-1.0,10200.0,-1.0,-1.0,-1.0,-1.0,36000.0,-1.0,-1.0,-1.0,10000.0,-1.0,3272.0,10000.0,-1,2000.0,1930.0,-1.0,3429.0,6100.0,-1,-1.0,24400.0,-1.0,-1.0,-1.0,-1.0,7900.0,32000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12510.0,46000.0,-1,-1.0,7000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,950.0,14500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1850.0,-1.0,-1.0,-1,1285500.0
1968,-1.0,-1.0,300.0,-1.0,9000.0,-1.0,-1.0,11648.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,-1.0,-1.0,10000.0,-1.0,5123.0,10000.0,-1,1000.0,1000.0,-1.0,3775.0,3400.0,-1,-1.0,19900.0,-1.0,-1.0,-1.0,-1.0,7900.0,43000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10660.0,35000.0,-1,-1.0,9000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,950.0,14500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1850.0,-1.0,-1.0,-1,1304300.0
1969,-1.0,-1.0,300.0,-1.0,15000.0,-1.0,-1.0,16726.0,-1.0,-1.0,-1.0,-1.0,19000.0,-1.0,-1.0,-1.0,10000.0,-1.0,2012.0,10000.0,-1,300.0,2000.0,-1.0,4240.0,4370.0,-1,-1.0,24900.0,-1.0,-1.0,-1.0,-1.0,8000.0,33000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8220.0,23000.0,-1,-1.0,15000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,950.0,14683.0,-1.0,300.0,-1.0,-1.0,-1.0,1850.0,-1.0,-1.0,-1,1323300.0
1970,-1.0,-1.0,300.0,-1.0,15000.0,-1.0,-1.0,13453.0,-1.0,-1.0,-1.0,-1.0,22000.0,-1.0,-1.0,-1.0,4000.0,-1.0,12257.0,4000.0,-1,1700.0,3000.0,-1.0,3738.0,3391.0,-1,-1.0,26700.0,-1.0,-1.0,-1.0,-1.0,8000.0,48300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7200.0,25000.0,-1,-1.0,15000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,3000.0,-1.0,-1.0,923.0,21851.0,-1.0,600.0,-1.0,-1.0,-1.0,1900.0,-1.0,-1.0,-1,1342600.0
