,"China, Taiwan Province of",Bhutan,Eritrea,USSR,Australia & New Zealand,Republic of Korea,United Republic of Tanzania,Togo,Armenia,Burundi,Thailand,Ethiopia,Luxembourg,Czechia,Switzerland,Romania,Italy,Serbia,Qatar,Senegal,Botswana,South Africa,Slovenia,Uzbekistan,Occupied Palestinian Territory,Finland,Slovakia,Niger,Morocco,Mongolia,Hungary,Chad,Spain,Ireland,New Zealand,Austria,Poland,Argentina,Belarus,Ethiopia PDR,Georgia,Greece,Czechoslovakia,France,Oman,Tunisia,Mali,Zimbabwe,Congo,Russian Federation,Guinea-Bissau,Bolivia (Plurinational State of),Peru,Gambia,Mexico,Ukraine,"China, mainland",Sierra Leone,Kazakhstan,Lithuania,Bulgaria,Myanmar,China
1961,14286.0,,,8553.0,25000.0,,,1333.0,,,,,,,,,25510.0,,,4063.0,,6000.0,,,,,,,10167.0,7500.0,15000.0,5071.0,,,25000.0,,,8421.0,,5758.0,,,,,9375.0,5000.0,,,,,,3333.0,,,,,,6400.0,,,8000.0,1815.0,14286.0
1962,14286.0,,,8841.0,25000.0,,,4020.0,,,,,,,,,17359.0,,,3750.0,,6000.0,,,,,,,10286.0,6000.0,15000.0,5143.0,,,25000.0,,,7368.0,,5485.0,,,,,9375.0,5000.0,,,,,,3333.0,,,,,,6538.0,,,10000.0,1930.0,14286.0
1963,14286.0,,,7846.0,25000.0,,,4776.0,,,,,,,,,17916.0,,,3667.0,,6000.0,,,,,,,9143.0,6000.0,15294.0,5214.0,,,25000.0,,,7895.0,,5714.0,,,,,9375.0,5000.0,,,,,,3333.0,,,,,,6538.0,,,12500.0,1588.0,14286.0
1964,14286.0,,,8765.0,25000.0,,,2593.0,,,,,,,,,17414.0,,,3000.0,,6000.0,,,,,,,9677.0,5875.0,15294.0,5286.0,,,25000.0,,,8095.0,,5900.0,,,,,9412.0,5125.0,,,,,,3333.0,,,,,,6667.0,,,13333.0,1545.0,14286.0
1965,14286.0,,,7925.0,25000.0,,,2963.0,,,,,,,,,18726.0,,,3000.0,,6000.0,,,,,,,8250.0,4667.0,15333.0,5172.0,,,25000.0,,,8000.0,,5950.0,,,,,9412.0,7273.0,,,,,,3333.0,,,,,,6786.0,,,13309.0,1868.0,14286.0
1966,14286.0,,,11667.0,43478.0,,,1613.0,,,,,,,,,18493.0,,,3701.0,,6000.0,,,,,,,7647.0,4750.0,15333.0,5200.0,,,43478.0,,,7000.0,,6000.0,,,12987.0,,9444.0,6000.0,,,,,,3000.0,,,,,,6667.0,,,11429.0,1550.0,14286.0
1967,14286.0,,,13529.0,43478.0,,,2751.0,,,,,,,,,19050.0,,,3813.0,,6000.0,,,,,,,9412.0,5000.0,15263.0,5267.0,,,43478.0,,,9349.0,,6028.0,,,19428.0,,9737.0,5143.0,,,,,,3000.0,,,,,,6786.0,,,10907.0,1969.0,14286.0
1968,14286.0,,,14000.0,43478.0,,,2000.0,,,,,,,,,16729.0,,,3366.0,,6000.0,,,,,,,18298.0,5882.0,15263.0,5267.0,,,43478.0,,,7316.0,,6055.0,,,22444.0,,9737.0,6000.0,,,,,,3000.0,,,,,,6786.0,,,11384.0,2085.0,14286.0
1969,14286.0,,,13529.0,43478.0,,,3333.0,,,25000.0,,,,,,16433.0,,,3635.0,,6000.0,,,,,,,10313.0,1765.0,15314.0,5333.0,,,43478.0,,,9222.0,,6083.0,,,23740.0,,9737.0,4750.0,,,,,,3000.0,,,,,,6786.0,,,8794.0,2722.0,14286.0
1970,14286.0,,,16667.0,20000.0,,,2727.0,,,25000.0,,,,,,16386.0,,,4345.0,,6000.0,,,,,,,7547.0,5667.0,13446.0,5000.0,,,20000.0,,,10191.0,,6110.0,,,26305.0,,9500.0,5500.0,,,,,,3000.0,,,,,,6727.0,,,27662.0,2458.0,14286.0
1971,14286.0,,,10000.0,20000.0,,,3636.0,,,25000.0,,,,,,20546.0,,,3621.0,,6000.0,,,,,,,5788.0,2500.0,18853.0,5125.0,,,20000.0,,,10417.0,,6142.0,,,23592.0,,9500.0,5152.0,,,,,,3000.0,,,,,,6538.0,,,13273.0,2469.0,14286.0
1972,14286.0,,,12500.0,20000.0,,,5000.0,,,25000.0,,,,,,21492.0,,,3360.0,,6000.0,,,,,,,10711.0,4333.0,17064.0,4882.0,,,20000.0,,,10417.0,,6171.0,,,20518.0,,9286.0,5000.0,,,,,,3000.0,,,,,,6154.0,,,14174.0,2712.0,14286.0
