,"China, Taiwan Province of",Zambia,Syrian Arab Republic,Brazil,Nepal,Ethiopia,Indonesia,Liberia,Greece,Bangladesh,Malawi,Eritrea,New Caledonia,Bahamas,Mongolia,Guatemala,Latvia,Slovenia,Madagascar,Luxembourg,Guinea,Botswana,Saudi Arabia,Fiji,Sweden,Pacific Islands Trust Territory,Switzerland,Sri Lanka,Azerbaijan,Central African Republic,Bosnia and Herzegovina,China,Colombia,Libya,Brunei Darussalam,Guinea-Bissau,Montenegro,Kazakhstan,Estonia,Mauritius,Saint Vincent and the Grenadines,Hungary,France,Togo,Mali,Paraguay,Melanesia,Georgia,Serbia and Montenegro,Cameroon,Grenada,Dominican Republic,Guadeloupe,Denmark,Canada,Spain,Afghanistan,Iraq,The former Yugoslav Republic of Macedonia,New Zealand,Belize,Djibouti,Czechia,Czechoslovakia,Cuba,Egypt,Kyrgyzstan,Argentina,Democratic People's Republic of Korea,Germany,El Salvador,Morocco,Ethiopia PDR,Gabon,Romania,Ecuador,Jordan,Mexico,Albania,Slovakia,Jamaica,Trinidad and Tobago,Montserrat,Thailand,Lithuania,Finland,Netherlands,Oman,Angola,Nigeria,Norway,Guam,Turkey,Burundi,"China, Hong Kong SAR",Belarus,Croatia,Myanmar,Burkina Faso,Philippines,Viet Nam,Lao People's Democratic Republic,Australia,United Republic of Tanzania,Maldives,Tunisia,Zimbabwe,Yugoslav SFR,Republic of Korea,Australia & New Zealand,Papua New Guinea,Rwanda,Mozambique,Barbados,Algeria,Senegal,Saint Lucia,Haiti,Sao Tome and Principe,Dominica,Belgium,Chad,Lesotho,Comoros,Uruguay,Italy,Panama,Sudan (former),Armenia,Lebanon,Uzbekistan,Micronesia (Federated States of),Occupied Palestinian Territory,Chile,Portugal,Micronesia,Kenya,Poland,"China, mainland",Russian Federation,Nicaragua,Uganda,India,Ukraine,Bolivia (Plurinational State of),Peru,Yemen,Vanuatu,Serbia,Malaysia,Israel,Malta,South Sudan,Namibia,Benin,United Kingdom,Japan,Pakistan,Somalia,Venezuela (Bolivarian Republic of),Cyprus,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Kuwait,French Guiana,Suriname,Cambodia,Timor-Leste,Costa Rica,Tajikistan,Austria,Niger,Bhutan,Congo,USSR,Honduras,Ireland,Côte d'Ivoire,Gambia,Turkmenistan,Solomon Islands,South Africa,Sierra Leone,Réunion,Sudan,Ghana,Mauritania,Swaziland,Republic of Moldova,Belgium-Luxembourg
1961,51007.0,25644.0,206594.0,509555.0,81440.0,-1.0,259000.0,10500.0,241329.0,879322.0,27314.0,-1.0,48.0,7.0,32250.0,24242.0,-1.0,-1.0,71030.0,-1.0,11597.0,1324.0,17778.0,1148.0,326000.0,8.0,36800.0,74460.0,-1.0,5580.0,-1.0,12137340.0,84998.0,28050.0,140.0,5200.0,-1.0,-1.0,-1.0,3.0,2.0,467595.0,1442667.0,9185.0,61710.0,3037.0,1287.0,-1.0,-1.0,31784.0,13.0,6815.0,21.0,266678.0,1728710.0,729056.0,267270.0,294125.0,-1.0,17132.0,219.0,0.0,-1.0,425453.0,15114.0,214000.0,-1.0,1030692.0,89800.0,1246782.0,4900.0,266504.0,235170.0,213.0,576367.0,42179.0,31444.0,420967.0,60889.0,-1.0,461.0,405.0,0.0,406198.0,-1.0,240965.0,70100.0,228.0,14060.0,206818.0,45300.0,1.0,1854950.0,3949.0,678.0,-1.0,-1.0,508634.0,34176.0,259990.0,276473.0,32640.0,617130.0,30378.0,5.0,91082.0,32969.0,612885.0,104726.0,634262.0,46.0,4232.0,16876.0,11.0,220840.0,32125.0,1.0,13170.0,8.0,2.0,-1.0,20293.0,11203.0,1093.0,69178.0,1006100.0,7674.0,20374.0,-1.0,12473.0,-1.0,-1.0,0.0,149031.0,164216.0,9.0,41118.0,1564005.0,12085655.0,-1.0,6333.0,27517.0,5178000.0,-1.0,23128.0,49780.0,39387.0,35.0,-1.0,15934.0,18267.0,444.0,-1.0,1968.0,11071.0,588153.0,217656.0,440825.0,11650.0,8473.0,19449.0,10518.0,357830.0,3729000.0,563220.0,27697.0,0.0,21.0,3813.0,150175.0,660.0,4625.0,-1.0,172011.0,37542.0,3313.0,234.0,19706379.0,6013.0,80105.0,38300.0,3604.0,-1.0,11.0,161935.0,26324.0,152.0,-1.0,11200.0,5036.0,3958.0,-1.0,81879.0
1962,51069.0,26278.0,222565.0,558081.0,81435.0,-1.0,232000.0,11950.0,238782.0,911694.0,27625.0,-1.0,45.0,10.0,34300.0,26742.0,-1.0,-1.0,70950.0,-1.0,11732.0,1324.0,16541.0,1093.0,322000.0,4.0,37700.0,77550.0,-1.0,5650.0,-1.0,12236022.0,75364.0,28140.0,140.0,5200.0,-1.0,-1.0,-1.0,3.0,2.0,448110.0,1638048.0,9269.0,57568.0,3039.0,1231.0,-1.0,-1.0,31785.0,13.0,7021.0,22.0,273367.0,1810910.0,771160.0,267300.0,310650.0,-1.0,19159.0,230.0,0.0,-1.0,461469.0,13220.0,222000.0,-1.0,976005.0,90300.0,1177247.0,4351.0,350966.0,236848.0,189.0,644861.0,41890.0,29875.0,461520.0,45611.0,-1.0,389.0,397.0,0.0,404516.0,-1.0,295563.0,68025.0,238.0,13930.0,208644.0,45285.0,1.0,2097018.0,4419.0,473.0,-1.0,-1.0,531541.0,33848.0,253951.0,299230.0,30802.0,615613.0,36862.0,6.0,133050.0,30674.0,642938.0,108130.0,634772.0,46.0,2111.0,17732.0,11.0,223485.0,35295.0,0.0,13170.0,8.0,2.0,-1.0,20065.0,11763.0,1239.0,64554.0,1037900.0,8321.0,20981.0,-1.0,9956.0,-1.0,-1.0,0.0,145650.0,175423.0,5.0,44544.0,1681525.0,12184480.0,-1.0,5762.0,27006.0,5145000.0,-1.0,24457.0,47249.0,40217.0,35.0,-1.0,16253.0,14196.0,414.0,-1.0,1972.0,10418.0,590249.0,206049.0,484439.0,11730.0,9054.0,19000.0,11019.0,352607.0,3753000.0,541020.0,25489.0,0.0,3.0,3859.0,148150.0,634.0,4546.0,-1.0,176215.0,38679.0,3420.0,259.0,20246614.0,5899.0,79100.0,37600.0,3302.0,-1.0,11.0,176801.0,27252.0,152.0,-1.0,10481.0,5189.0,3353.0,-1.0,80324.0
1963,49549.0,26912.0,233096.0,591147.0,84330.0,-1.0,266000.0,12750.0,234847.0,931559.0,27760.0,-1.0,43.0,11.0,38050.0,26912.0,-1.0,-1.0,72325.0,-1.0,12240.0,1114.0,17849.0,912.0,310000.0,4.0,34100.0,79060.0,-1.0,5055.0,-1.0,12723862.0,84103.0,26040.0,132.0,6310.0,-1.0,-1.0,-1.0,1.0,2.0,488885.0,1412455.0,10892.0,48905.0,4528.0,1050.0,-1.0,-1.0,31285.0,13.0,7524.0,15.0,273205.0,1815300.0,768306.0,268895.0,290709.0,-1.0,19166.0,305.0,0.0,-1.0,399765.0,7863.0,224000.0,-1.0,1112486.0,91150.0,1187819.0,4682.0,320119.0,237605.0,204.0,648998.0,42909.0,24840.0,486351.0,58623.0,-1.0,274.0,391.0,0.0,403535.0,-1.0,257121.0,68008.0,246.0,13680.0,222255.0,47280.0,1.0,2359630.0,4705.0,518.0,-1.0,-1.0,538455.0,33796.0,262455.0,295105.0,31440.0,654370.0,36165.0,7.0,127532.0,30715.0,696661.0,113577.0,673536.0,49.0,2845.0,17534.0,9.0,204988.0,38185.0,0.0,13410.0,8.0,2.0,-1.0,19618.0,12529.0,1259.0,79892.0,1011000.0,9735.0,20928.0,-1.0,12804.0,-1.0,-1.0,0.0,144523.0,177312.0,6.0,47029.0,1591990.0,12673795.0,-1.0,6234.0,28813.0,5377000.0,-1.0,26966.0,46928.0,40849.0,35.0,-1.0,16328.0,15463.0,409.0,-1.0,2192.0,10499.0,616717.0,194530.0,514128.0,11490.0,10976.0,19142.0,8023.0,355115.0,3704000.0,577800.0,25817.0,0.0,3.0,4213.0,157390.0,597.0,5022.0,-1.0,168216.0,36432.0,3501.0,261.0,20928530.0,6528.0,72111.0,40460.0,3397.0,-1.0,12.0,161616.0,27260.0,152.0,-1.0,11113.0,5189.0,3361.0,-1.0,81101.0
1964,49645.0,27223.0,218495.0,644346.0,82805.0,-1.0,246000.0,12850.0,238966.0,944162.0,34664.0,-1.0,40.0,13.0,47400.0,26257.0,-1.0,-1.0,71879.0,-1.0,12191.0,1019.0,18022.0,729.0,320000.0,3.0,36700.0,80030.0,-1.0,4290.0,-1.0,12403627.0,98876.0,28286.0,124.0,4910.0,-1.0,-1.0,-1.0,5.0,2.0,505080.0,1425468.0,11892.0,48034.0,4403.0,863.0,-1.0,-1.0,30797.0,13.0,8710.0,8.0,280931.0,1753130.0,746197.0,268920.0,299237.0,-1.0,18165.0,364.0,0.0,-1.0,425734.0,5530.0,208000.0,-1.0,1111536.0,90900.0,1181010.0,5169.0,327262.0,241822.0,203.0,716555.0,41520.0,31678.0,505088.0,52396.0,-1.0,236.0,378.0,0.0,405111.0,-1.0,263809.0,68001.0,246.0,13290.0,238839.0,51284.0,1.0,2071590.0,4764.0,512.0,-1.0,-1.0,530187.0,34278.0,260122.0,297846.0,44400.0,658171.0,32783.0,8.0,133390.0,30181.0,640297.0,119865.0,676336.0,46.0,2751.0,17640.0,9.0,215278.0,39869.0,0.0,13500.0,8.0,2.0,-1.0,19665.0,10447.0,1487.0,84852.0,1013350.0,10750.0,22256.0,-1.0,13677.0,-1.0,-1.0,0.0,139894.0,166482.0,4.0,51201.0,1568425.0,12353470.0,-1.0,6898.0,32293.0,5485000.0,-1.0,27518.0,46822.0,40697.0,35.0,-1.0,17071.0,17466.0,351.0,-1.0,2492.0,9787.0,651424.0,185890.0,497692.0,11410.0,12582.0,19394.0,15028.0,346388.0,3611000.0,728820.0,27295.0,0.0,3.0,4706.0,156255.0,455.0,4767.0,-1.0,166330.0,37105.0,3597.0,267.0,20534606.0,6422.0,69085.0,39660.0,3436.0,-1.0,12.0,157196.0,30892.0,152.0,-1.0,9726.0,6289.0,3330.0,-1.0,84728.0
1965,50057.0,27903.0,158084.0,592510.0,82600.0,-1.0,286000.0,6650.0,248334.0,915817.0,35365.0,-1.0,38.0,19.0,47400.0,24396.0,-1.0,-1.0,81150.0,-1.0,12155.0,1491.0,18515.0,755.0,325000.0,3.0,33900.0,73600.0,-1.0,4000.0,-1.0,12778080.0,94273.0,26147.0,120.0,4085.0,-1.0,-1.0,-1.0,5.0,2.0,513400.0,1388690.0,13670.0,52358.0,4017.0,889.0,-1.0,-1.0,31303.0,12.0,8645.0,7.0,282534.0,1840810.0,768247.0,269075.0,309536.0,-1.0,19180.0,336.0,0.0,-1.0,422019.0,5090.0,213000.0,-1.0,1007809.0,92000.0,1176615.0,5958.0,384456.0,244905.0,200.0,757851.0,39649.0,28251.0,524948.0,55213.0,-1.0,190.0,371.0,0.0,462609.0,-1.0,267913.0,67000.0,264.0,13410.0,196086.0,45191.0,0.0,2091660.0,4885.0,568.0,-1.0,-1.0,531078.0,35325.0,259858.0,287779.0,44660.0,744853.0,44493.0,9.0,96235.0,32476.0,739069.0,115015.0,764032.0,48.0,4182.0,19480.0,12.0,214513.0,36893.0,0.0,13680.0,9.0,2.0,-1.0,17699.0,10240.0,1635.0,69801.0,983500.0,11100.0,20203.0,-1.0,12416.0,-1.0,-1.0,0.0,149134.0,162629.0,3.0,45812.0,1538930.0,12727455.0,-1.0,7075.0,32713.0,4858000.0,-1.0,23549.0,50480.0,37974.0,35.0,-1.0,16801.0,16070.0,373.0,-1.0,2708.0,9308.0,670349.0,181275.0,529341.0,11260.0,13264.0,19917.0,12321.0,340667.0,3565000.0,850256.0,30157.0,0.0,6.0,4105.0,143323.0,508.0,5014.0,-1.0,165761.0,37723.0,3689.0,240.0,20121678.0,6109.0,66074.0,39930.0,3445.0,-1.0,12.0,144076.0,33354.0,172.0,-1.0,12445.0,5282.0,3908.0,-1.0,82705.0
1966,60801.0,28230.0,151323.0,638051.0,85142.0,-1.0,255000.0,6700.0,256339.0,998597.0,30282.0,-1.0,36.0,19.0,46700.0,25874.0,-1.0,-1.0,82672.0,-1.0,12494.0,3476.0,19364.0,806.0,315000.0,4.0,35100.0,81620.0,-1.0,4630.0,-1.0,12801105.0,80195.0,33331.0,172.0,3345.0,-1.0,-1.0,-1.0,7.0,3.0,525360.0,1393501.0,12277.0,59728.0,4818.0,942.0,-1.0,-1.0,29244.0,12.0,9108.0,13.0,290640.0,1806242.0,747027.0,239350.0,315371.0,-1.0,19014.0,347.0,0.0,-1.0,436839.0,5776.0,209000.0,-1.0,1117043.0,92350.0,1189436.0,6421.0,401302.0,245007.0,200.0,759565.0,43832.0,27662.0,497357.0,56341.0,-1.0,107.0,354.0,0.0,414674.0,-1.0,265082.0,63000.0,272.0,13854.0,208609.0,44283.0,0.0,2275444.0,4902.0,379.0,-1.0,-1.0,524890.0,40510.0,275958.0,259655.0,45520.0,791085.0,40678.0,6.0,92088.0,36761.0,750292.0,115965.0,810099.0,50.0,4454.0,20280.0,13.0,226138.0,44015.0,0.0,13920.0,9.0,3.0,-1.0,17855.0,10596.0,1497.0,47207.0,985250.0,11113.0,24062.0,-1.0,11996.0,-1.0,-1.0,0.0,140929.0,172001.0,4.0,52607.0,1555325.0,12739925.0,-1.0,7630.0,32929.0,4691000.0,-1.0,23478.0,56493.0,37081.0,38.0,-1.0,17485.0,18007.0,369.0,-1.0,2928.0,10221.0,680511.0,178597.0,554268.0,12080.0,13807.0,19818.0,14022.0,321858.0,3891000.0,746990.0,31609.0,0.0,3.0,4707.0,141390.0,588.0,5173.0,-1.0,169858.0,39394.0,3802.0,240.0,19714367.0,6070.0,59074.0,45332.0,2825.0,-1.0,13.0,173636.0,35612.0,120.0,-1.0,14252.0,5281.0,4156.0,-1.0,80179.0
1967,61037.0,28866.0,184691.0,670765.0,87916.0,-1.0,256000.0,7000.0,251961.0,985582.0,36668.0,-1.0,32.0,20.0,48500.0,26762.0,-1.0,-1.0,84899.0,-1.0,12517.0,1764.0,19306.0,836.0,302000.0,5.0,36300.0,82780.0,-1.0,4360.0,-1.0,12479965.0,79991.0,34184.0,172.0,2935.0,-1.0,-1.0,-1.0,8.0,3.0,562750.0,1405518.0,11430.0,50656.0,6653.0,1036.0,-1.0,-1.0,29321.0,12.0,9851.0,8.0,313144.0,1810356.0,801176.0,236790.0,280700.0,-1.0,23349.0,342.0,0.0,-1.0,443093.0,7673.0,229000.0,-1.0,1189151.0,93350.0,1209631.0,6563.0,391441.0,246578.0,200.0,751894.0,40594.0,28235.0,502586.0,61841.0,-1.0,106.0,344.0,0.0,449241.0,-1.0,255017.0,62000.0,272.0,14250.0,215152.0,45274.0,0.0,2340380.0,5000.0,597.0,-1.0,-1.0,530137.0,31120.0,278122.0,281627.0,48940.0,908486.0,43353.0,4.0,94727.0,30732.0,644425.0,113205.0,931834.0,51.0,3985.0,18907.0,18.0,226188.0,37345.0,1.0,13770.0,9.0,3.0,-1.0,17659.0,11500.0,1250.0,83644.0,945800.0,11502.0,32097.0,-1.0,12267.0,-1.0,-1.0,0.0,147135.0,143454.0,5.0,58979.0,1555215.0,12418330.0,-1.0,8510.0,33140.0,5522000.0,-1.0,21049.0,53743.0,36495.0,40.0,-1.0,19358.0,18797.0,336.0,-1.0,3078.0,9554.0,683178.0,183207.0,570707.0,11650.0,14025.0,19655.0,11018.0,317714.0,3813000.0,852098.0,36774.0,0.0,1.0,4906.0,153417.0,628.0,5394.0,-1.0,167050.0,41376.0,3930.0,260.0,19748157.0,6133.0,61042.0,45833.0,3665.0,-1.0,78.0,203806.0,32602.0,120.0,-1.0,13570.0,5324.0,4327.0,-1.0,79214.0
1968,60552.0,29553.0,153062.0,720908.0,93738.0,-1.0,319000.0,7350.0,244081.0,1046974.0,37023.0,-1.0,29.0,20.0,39700.0,26310.0,-1.0,-1.0,82688.0,-1.0,13096.0,2599.0,17790.0,895.0,318000.0,5.0,34300.0,87995.0,-1.0,4920.0,-1.0,12755441.0,71801.0,38937.0,180.0,2810.0,-1.0,-1.0,-1.0,30.0,3.0,554550.0,1412436.0,8330.0,49358.0,6352.0,1122.0,-1.0,-1.0,33440.0,12.0,9454.0,12.0,314555.0,1680805.0,807577.0,239880.0,271762.0,-1.0,26184.0,348.0,0.0,-1.0,459566.0,11391.0,221000.0,-1.0,1267645.0,95700.0,1201164.0,4980.0,388687.0,249822.0,178.0,745762.0,41121.0,22683.0,480531.0,62625.0,-1.0,108.0,326.0,0.0,469814.0,-1.0,270653.0,60036.0,272.0,15010.0,282986.0,46249.0,0.0,2228757.0,4616.0,484.0,-1.0,-1.0,521122.0,37930.0,272392.0,257035.0,46540.0,838175.0,43502.0,2.0,78235.0,42178.0,760187.0,113922.0,864358.0,65.0,3927.0,19474.0,22.0,253278.0,40047.0,1.0,14136.0,9.0,3.0,-1.0,16442.0,12166.0,1253.0,72821.0,978100.0,11430.0,27390.0,-1.0,7815.0,-1.0,-1.0,0.0,142767.0,137536.0,6.0,58517.0,1582415.0,12694405.0,-1.0,8238.0,38090.0,6304000.0,-1.0,25090.0,48875.0,35642.0,40.0,-1.0,20056.0,18412.0,308.0,-1.0,3198.0,9216.0,665469.0,177636.0,608990.0,11750.0,14271.0,19818.0,8521.0,312647.0,3509000.0,804302.0,36273.0,0.0,2.0,4505.0,129854.0,490.0,4691.0,-1.0,171020.0,46991.0,4010.0,245.0,19822366.0,6213.0,64042.0,45796.0,3520.0,-1.0,92.0,214426.0,31570.0,100.0,-1.0,14200.0,5914.0,4472.0,-1.0,77992.0
1969,45741.0,30428.0,236047.0,794423.0,95283.0,-1.0,293000.0,7700.0,252131.0,1007146.0,35054.0,-1.0,27.0,21.0,39900.0,25262.0,-1.0,-1.0,83027.0,-1.0,13482.0,3001.0,17733.0,984.0,331000.0,6.0,36200.0,86335.0,-1.0,4930.0,-1.0,13199813.0,64767.0,32568.0,164.0,2810.0,-1.0,-1.0,-1.0,38.0,3.0,583350.0,1369379.0,9627.0,46666.0,7798.0,1184.0,-1.0,-1.0,32509.0,12.0,9361.0,14.0,317781.0,1219853.0,1037934.0,248180.0,261989.0,-1.0,28017.0,446.0,0.0,-1.0,430528.0,16416.0,222000.0,-1.0,1215745.0,97000.0,1237923.0,5359.0,375168.0,253191.0,202.0,657967.0,38426.0,27340.0,503163.0,63368.0,-1.0,101.0,310.0,0.0,472630.0,-1.0,275601.0,54009.0,280.0,13660.0,243641.0,50248.0,0.0,2366328.0,4735.0,412.0,-1.0,-1.0,523230.0,36651.0,272555.0,270293.0,54030.0,678215.0,47732.0,5.0,112304.0,39301.0,730109.0,113054.0,706232.0,67.0,4668.0,17481.0,20.0,242554.0,36922.0,1.0,14190.0,9.0,3.0,-1.0,16230.0,11357.0,1253.0,64485.0,962750.0,9183.0,34872.0,-1.0,8388.0,-1.0,-1.0,0.0,143291.0,132964.0,6.0,54043.0,1692350.0,13153660.0,-1.0,8292.0,34762.0,6369000.0,-1.0,25431.0,53553.0,35650.0,43.0,-1.0,20618.0,18527.0,294.0,-1.0,3198.0,9384.0,675315.0,169191.0,616508.0,10870.0,15496.0,18355.0,9526.0,308417.0,3407000.0,826714.0,36132.0,0.0,3.0,5403.0,156034.0,522.0,4193.0,-1.0,170020.0,47584.0,4107.0,185.0,19374132.0,6277.0,62042.0,45266.0,3643.0,-1.0,64.0,216609.0,33245.0,100.0,-1.0,21517.0,5349.0,4508.0,-1.0,75083.0
1970,45260.0,33768.0,195007.0,827350.0,96488.0,-1.0,310000.0,8100.0,257123.0,946494.0,37636.0,-1.0,23.0,21.0,50700.0,25269.0,-1.0,-1.0,83435.0,-1.0,13884.0,3435.0,20632.0,812.0,324000.0,7.0,34200.0,94620.0,-1.0,5080.0,-1.0,13973594.0,69129.0,7859.0,140.0,2790.0,-1.0,-1.0,-1.0,29.0,3.0,539150.0,1410225.0,9586.0,46806.0,8396.0,1067.0,-1.0,-1.0,34963.0,11.0,8460.0,15.0,321017.0,1629922.0,1034334.0,264500.0,297679.0,-1.0,26743.0,556.0,0.0,-1.0,404399.0,14447.0,210000.0,-1.0,991542.0,98350.0,1251190.0,5689.0,390575.0,256243.0,205.0,751069.0,35253.0,23298.0,486387.0,59577.0,-1.0,104.0,329.0,0.0,472849.0,-1.0,276367.0,52000.0,280.0,13850.0,230940.0,52248.0,0.0,2253378.0,4702.0,279.0,-1.0,-1.0,523877.0,34994.0,282085.0,311102.0,54786.0,742716.0,49123.0,2.0,100784.0,42893.0,746900.0,108705.0,769459.0,84.0,4405.0,17750.0,18.0,234860.0,36666.0,1.0,14310.0,9.0,3.0,-1.0,17994.0,12081.0,1253.0,63079.0,933350.0,5500.0,38479.0,-1.0,8585.0,-1.0,-1.0,0.0,142875.0,152978.0,8.0,52065.0,1558770.0,13928055.0,-1.0,8504.0,38230.0,6669000.0,-1.0,24264.0,53873.0,36223.0,45.0,-1.0,21452.0,17369.0,261.0,-1.0,3418.0,8543.0,689010.0,152223.0,615926.0,10008.0,13498.0,20932.0,10527.0,314492.0,3689392.0,786347.0,36739.0,0.0,6.0,5603.0,125394.0,442.0,3459.0,-1.0,171021.0,48039.0,4196.0,233.0,19180806.0,6342.0,65042.0,44921.0,3673.0,-1.0,103.0,213659.0,36167.0,112.0,-1.0,20947.0,5581.0,3021.0,-1.0,74290.0
1971,44436.0,35961.0,185400.0,812443.0,94316.0,-1.0,414000.0,8500.0,260593.0,979264.0,39824.0,-1.0,23.0,22.0,50800.0,26104.0,-1.0,-1.0,84762.0,-1.0,14274.0,1626.0,8136.0,805.0,334000.0,9.0,31800.0,86515.0,-1.0,5445.0,-1.0,14020859.0,72888.0,17391.0,120.0,2935.0,-1.0,-1.0,-1.0,38.0,3.0,550650.0,1389363.0,6736.0,46380.0,10404.0,973.0,-1.0,-1.0,33180.0,10.0,7740.0,15.0,323030.0,1586791.0,1035507.0,311084.0,286018.0,-1.0,28116.0,601.0,0.0,-1.0,414354.0,15126.0,203000.0,-1.0,1062258.0,101300.0,1258468.0,5312.0,385164.0,252778.0,163.0,854820.0,36090.0,24960.0,475979.0,63376.0,-1.0,78.0,379.0,0.0,461475.0,-1.0,281055.0,47000.0,288.0,13980.0,175485.0,52244.0,0.0,2823252.0,4641.0,228.0,-1.0,-1.0,511687.0,33964.0,271012.0,319298.0,48988.0,810410.0,51354.0,1.0,111800.0,43601.0,752805.0,107572.0,838526.0,62.0,4426.0,19150.0,23.0,265249.0,33034.0,1.0,14622.0,10.0,3.0,-1.0,17259.0,12230.0,1268.0,42906.0,888600.0,5700.0,38493.0,-1.0,8983.0,-1.0,-1.0,0.0,143795.0,143834.0,9.0,55593.0,1582595.0,13976195.0,-1.0,7143.0,36445.0,7262000.0,-1.0,24177.0,51371.0,34191.0,48.0,-1.0,22381.0,18017.0,242.0,-1.0,3468.0,9335.0,685321.0,140013.0,582343.0,14454.0,8364.0,21578.0,9030.0,306999.0,3525000.0,841904.0,36685.0,1.0,5.0,5203.0,93934.0,488.0,3278.0,-1.0,170017.0,45389.0,4286.0,336.0,19529570.0,6407.0,65047.0,44921.0,3331.0,-1.0,36.0,215944.0,35373.0,112.0,-1.0,19264.0,4416.0,3067.0,-1.0,74831.0
