,Slovakia,Romania,Syrian Arab Republic,USSR,Norway,Australia,Czechia,Pakistan,Belgium,Turkey,Luxembourg,Guyana,Republic of Moldova,Italy,Serbia,Germany,South Africa,Latvia,Tunisia,Slovenia,Albania,Uzbekistan,China,Serbia and Montenegro,Armenia,Australia & New Zealand,Morocco,Jordan,Chile,Montenegro,Argentina,Belgium-Luxembourg,Spain,Kyrgyzstan,India,Cyprus,Austria,Israel,Japan,Poland,Canada,Sweden,Belarus,Denmark,Switzerland,Estonia,The former Yugoslav Republic of Macedonia,Georgia,Greece,Czechoslovakia,Suriname,Bosnia and Herzegovina,France,New Zealand,Croatia,Hungary,Lebanon,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Mexico,Ukraine,"China, mainland",Azerbaijan,Algeria,Peru,United Kingdom,Lithuania,Bulgaria,Netherlands,Occupied Palestinian Territory
1961,,,8438.0,22500.0,,59171.0,,,,44211.0,,,,,,,27875.0,,,,,,,,,60015.0,,,27273.0,,,113000.0,206087.0,,25000.0,18288.0,,,60391.0,,50985.0,,,,,,,,36148.0,,,,63965.0,80755.0,,,127273.0,,105714.0,15714.0,,50000.0,,58772.0,,,,,,,37848.0,,195874.0,,
1962,,,9956.0,21818.0,,59171.0,,,,34432.0,,,,,,,21375.0,,,,,,,,,59501.0,,,27273.0,,,153000.0,175600.0,,25833.0,15852.0,,,50780.0,,50851.0,,,,,,,,39946.0,,,,67346.0,66667.0,,,100000.0,,111786.0,16429.0,,50820.0,,61328.0,,,,,,,48996.0,,156162.0,,
1963,,,7850.0,27727.0,,47568.0,,,,36745.0,,,,,,,21357.0,,,,,,,,,48509.0,,,27273.0,,,103000.0,177500.0,,25600.0,16755.0,,,46400.0,,50756.0,,,,,,,,37444.0,,,,85623.0,65000.0,,,100000.0,,105517.0,15625.0,,51613.0,,36432.0,,,,,,,32768.0,,147654.0,,
1964,,,14511.0,27200.0,,56202.0,,,,38825.0,,,,,,,31250.0,,,,,,,,,56538.0,,,34783.0,,,128500.0,148286.0,,25385.0,18372.0,,,38038.0,,50712.0,,,,,,,,43835.0,,,,80892.0,64063.0,,,128713.0,,119655.0,15882.0,,52381.0,,59678.0,,,,,,,35308.0,,144164.0,,
1965,,,12220.0,29167.0,,55911.0,,,,40916.0,,,,,,,37158.0,,,,,,,,,56204.0,,,27273.0,,,24000.0,141714.0,,25185.0,8125.0,,,47500.0,,50611.0,,,,,,,,39954.0,,,,83017.0,62500.0,,,150000.0,,126000.0,16111.0,,54839.0,,42989.0,,,,,,,32513.0,,125963.0,,
1966,,,13125.0,26500.0,,58367.0,,,,38394.0,,,,,,,26733.0,,,,,,,,,58777.0,,,29483.0,,,37500.0,133514.0,,26923.0,33302.0,,,43529.0,,50908.0,,,,,,,,48883.0,,,,73475.0,68689.0,,,90992.0,,120690.0,16667.0,,55556.0,,54819.0,,,,,,,33867.0,,153046.0,,
1967,,,9813.0,33000.0,,41492.0,,,,42492.0,,,,,,,36733.0,,,,,,,,,42428.0,,,30480.0,,,36500.0,119744.0,,27692.0,35872.0,,,53125.0,,50907.0,,,,,,,,49035.0,,,,102214.0,65574.0,,,54343.0,,102740.0,16667.0,,56250.0,,49890.0,,,,,,,33013.0,,140959.0,,
1968,,,9586.0,34400.0,,52607.0,,,,51838.0,,,,,,,21733.0,,,,,,,,,53151.0,,,30000.0,,,103000.0,117923.0,,27407.0,37079.0,,,53125.0,,50662.0,,,,,,,,51352.0,,,,105636.0,65152.0,,,81484.0,,74315.0,16667.0,,56923.0,,39794.0,,,,,,,45725.0,,137202.0,,
1969,,,5680.0,21200.0,,47725.0,,,,49632.0,,,,53742.0,,,38200.0,,,,,,,,,48445.0,,,29167.0,,,94000.0,103400.0,,27143.0,20525.0,,,67470.0,,50685.0,,,,,,,,51393.0,,,,81870.0,63478.0,,,43488.0,,82474.0,16667.0,,57576.0,,54674.0,,,,,,,44000.0,,140844.0,,
1970,,,11518.0,26765.0,,48907.0,,,,52273.0,,,,66794.0,,,37800.0,,,,,,,,,50146.0,,,28333.0,,,126000.0,79697.0,,27857.0,47655.0,,,76163.0,,51365.0,,,,,,,,55189.0,,,,83276.0,75616.0,,,57884.0,,73038.0,16667.0,,58209.0,,52292.0,,,,,,62295.0,45161.0,,150172.0,,
1971,,,8244.0,28205.0,,56803.0,,,,47361.0,,,,74426.0,,,28000.0,,,,,,,,,56784.0,,20000.0,28333.0,,,154667.0,91818.0,,26667.0,28486.0,,,28940.0,,50854.0,,,,,,,,54968.0,,,,81808.0,56420.0,,,44137.0,,80808.0,16667.0,,58824.0,,60689.0,,,,,,61753.0,46000.0,,121841.0,,
1972,,,19523.0,20333.0,,64769.0,,,,54931.0,,,,64543.0,,,38882.0,,,,,,,,,63717.0,,20000.0,28333.0,,,62333.0,80556.0,,26667.0,42729.0,,,41797.0,,50727.0,,,,,,,,46145.0,,,,74822.0,46275.0,,,61121.0,,81347.0,16667.0,,59420.0,,40928.0,,,,,,60112.0,45000.0,,107429.0,,
