,Ukraine,Georgia,Germany,Serbia,Bolivia (Plurinational State of),Austria,Belarus,Croatia,Poland,USSR,Armenia,Slovakia,Azerbaijan,Bosnia and Herzegovina,Denmark,Canada,The former Yugoslav Republic of Macedonia,Greece,Albania,Yugoslav SFR,Uzbekistan,Peru,Chile,Hungary,Spain,Kazakhstan,Bulgaria,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Portugal,Republic of Moldova,Slovenia,Czechoslovakia,Russian Federation,Czechia,Italy,Turkey
1961,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2070.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,460.0,28080.0,600.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6353.0
1962,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27000.0,-1.0,-1.0,-1.0,-1.0,-1.0,840.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,600.0,27720.0,600.0,-1.0,1400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6197.0
1963,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1360.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,680.0,27070.0,700.0,-1.0,1400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6373.0
1964,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,2380.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,740.0,26420.0,700.0,-1.0,1400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6467.0
1965,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1750.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,26300.0,800.0,-1.0,1400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6473.0
1966,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1040.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,25980.0,800.0,-1.0,700.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6667.0
1967,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1800.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,25330.0,900.0,-1.0,720.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6867.0
1968,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1270.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1500.0,24850.0,900.0,-1.0,770.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5850.0
1969,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1670.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,24520.0,950.0,-1.0,750.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6273.0
1970,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1150.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,24000.0,950.0,-1.0,750.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6343.0
