,Slovakia,USSR,Japan,Romania,Cameroon,The former Yugoslav Republic of Macedonia,Latvia,Azerbaijan,France,Republic of Korea,Italy,Hungary,Turkey,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Slovenia,Albania,Peru,China,Serbia and Montenegro,Greece,Democratic People's Republic of Korea,"China, mainland",Chile,Spain,Bosnia and Herzegovina,Bulgaria,Ukraine
1961,,,25000.0,,,,,,,14286.0,,,7914.0,20000.0,,,,,,,,,12500.0,,,,,,
1962,,,22846.0,,,,,,,14286.0,,,7234.0,20000.0,,,,,,,,,14000.0,,,,,,
1963,,,14658.0,,,,,,,14000.0,,,6481.0,19394.0,,,,,,,,,15000.0,,,,,,
1964,,,12611.0,,,,,,,13333.0,,,6531.0,21951.0,,,,,,,,,16500.0,,,,,,
1965,,,9668.0,,,,,,,14286.0,,,6600.0,10682.0,,,,,,,,,17000.0,,,,,,
1966,,,11275.0,,,,,,,14175.0,,,6383.0,18779.0,,,,,,,,,17500.0,,,,,,
1967,,,11851.0,,,,,,,15013.0,,,7149.0,17244.0,,,,,,,,,18000.0,,,,,,
1968,,,13352.0,,,,,,,14942.0,,,11559.0,13429.0,,,,,,,,,14800.0,,,,,,
1969,,,12891.0,,,,,,,14450.0,,,12166.0,15134.0,,,,,,,,,15200.0,,,,,,
1970,,,12385.0,,,,,,,15553.0,,,12189.0,16975.0,,,,,,,,,16000.0,,,,,,
1971,,,12321.0,,,,,,,15494.0,,,12195.0,8633.0,,,,,,,,,16400.0,,,,,,
1972,,,13381.0,,,,,,,15289.0,,,12372.0,15500.0,,,,,,,,,16800.0,,,,,,
1973,,,14606.0,,,,,,,15521.0,,,12935.0,15600.0,,,,,,,,,17200.0,,,,,,
1974,,,13348.0,,,,,,,17245.0,,,12000.0,14087.0,,,,,,,,,15000.0,,,,,,
1975,,,13499.0,,,,,,,17104.0,,,11059.0,14228.0,,,,,,,,,15333.0,,,,,,
1976,,,12890.0,,,,,,,17622.0,,,11042.0,14512.0,,,,,,,,,15667.0,,,,,,
1977,,,13649.0,,,,,,,20783.0,,,10905.0,12480.0,,,,,,,,,16000.0,,,,,,
1978,,,14028.0,,,,,,,23270.0,,,10417.0,12231.0,,,,,,,,,16667.0,,,,,,
1979,,,14909.0,,,,,,,23123.0,,,10648.0,13890.0,,,,,,,,,17333.0,,,,,,
1980,,,10658.0,,,,,,,22830.0,,,18056.0,12640.0,,,,,,,,,15714.0,,,,,,
1981,,,13493.0,,,,,,,22482.0,,,18438.0,12133.0,,,,,,,,,14500.0,,,,,,
1982,,,11839.0,,,,,,,21340.0,,,18644.0,11527.0,,,,,,,,,13333.0,,,,,,
1983,,,12356.0,,,,,,,21818.0,,,18333.0,12564.0,,,,,,,,,14444.0,,,,,,
1984,,,12657.0,,,,,,,21290.0,,,17273.0,11934.0,,,,,,,,,13333.0,,,,,,
1985,,20833.0,11422.0,,10000.0,,,,8987.0,22154.0,25058.0,31373.0,20996.0,11337.0,13333.0,18750.0,,,,21333.0,,12616.0,13000.0,21333.0,,39381.0,,,
1986,,22222.0,12971.0,,10000.0,,,,9012.0,20142.0,29303.0,33871.0,19126.0,11346.0,13889.0,28235.0,,,,24455.0,,13062.0,10600.0,24455.0,,37499.0,,,
1987,,25000.0,11872.0,,10000.0,,,,10000.0,19671.0,29306.0,31609.0,24510.0,12339.0,14444.0,26471.0,,,,25739.0,,11960.0,10400.0,25739.0,,48130.0,,,
1988,,23256.0,11894.0,,10000.0,,,,11027.0,22906.0,27524.0,29714.0,24390.0,11765.0,15000.0,26923.0,,,,23276.0,,10847.0,14000.0,23276.0,,51030.0,,,
1989,,22917.0,10313.0,,10000.0,,,,12034.0,23162.0,26459.0,30571.0,19550.0,13841.0,15244.0,23077.0,,,9661.0,23044.0,,15320.0,14400.0,23044.0,,36560.0,,,
1990,,25918.0,10691.0,,10000.0,,,,10935.0,23623.0,26206.0,22868.0,20975.0,13424.0,9426.0,21325.0,,,9644.0,26367.0,,12366.0,16297.0,26367.0,,33530.0,,21000.0,
1991,,27380.0,8828.0,,9959.0,,,,15890.0,25050.0,28331.0,18449.0,20684.0,9882.0,12790.0,21180.0,,,9667.0,41452.0,,17291.0,16276.0,41452.0,,13370.0,,15000.0,
1992,,,9465.0,,9962.0,8000.0,,20000.0,20000.0,26088.0,26294.0,17530.0,21750.0,8949.0,12815.0,,36535.0,,9657.0,43846.0,35310.0,15427.0,16057.0,43846.0,,13488.0,14615.0,23731.0,
1993,,,7878.0,100000.0,9964.0,10668.0,,10000.0,17995.0,26998.0,25930.0,16647.0,20408.0,7109.0,12669.0,,33333.0,,9645.0,42059.0,27058.0,13766.0,15838.0,42059.0,,13607.0,14528.0,33333.0,
1994,,,9880.0,100000.0,9967.0,8000.0,,15000.0,16968.0,27071.0,25568.0,15754.0,19299.0,9975.0,12723.0,,33333.0,,23014.0,45000.0,26367.0,14744.0,15620.0,45000.0,,13726.0,13889.0,25000.0,
1995,,,11429.0,100000.0,9970.0,15000.0,,16667.0,15090.0,26177.0,25209.0,14865.0,19376.0,10049.0,13012.0,,33333.0,,22150.0,44709.0,25672.0,15453.0,15401.0,44709.0,,13844.0,14364.0,25000.0,
1996,,,10308.0,91128.0,9973.0,20000.0,,13333.0,15426.0,25797.0,24855.0,13754.0,16565.0,10452.0,13188.0,,33333.0,22500.0,24467.0,39583.0,24607.0,16072.0,14948.0,39583.0,,13963.0,14545.0,33333.0,
