,Romania,Eritrea,Bahrain,Australia & New Zealand,Australia,Iraq,Libya,Pakistan,United Republic of Tanzania,South Sudan,Nepal,Ethiopia,Kenya,Czechia,Bangladesh,Italy,Lebanon,Uganda,Togo,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Niger,Sudan (former),Morocco,Chile,Argentina,Colombia,Spain,Syrian Arab Republic,Malawi,India,Cyprus,Slovakia,Israel,Republic of Moldova,Canada,Turkey,Jordan,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Sudan,Greece,Yemen,Zimbabwe,Tunisia,Bosnia and Herzegovina,Hungary,Russian Federation,Dominican Republic,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Mexico,Ukraine,"China, mainland",Algeria,Peru,Lithuania,Portugal,Myanmar,China
1961,-1.0,,-1.0,,,4147.0,150.0,609600.0,3300.0,,16000.0,,-1.0,,36576.0,41500.0,800.0,1300.0,-1.0,,-1.0,,-1.0,680.0,40000.0,3579.0,5650.0,13400.0,129800.0,14150.0,9000.0,6250000.0,350.0,,950.0,,-1.0,90000.0,3833.0,110000.0,4644.0,,,13365.0,,-1.0,6400.0,,-1.0,,124.0,820.0,500.0,3946.0,60000.0,,-1.0,135056.0,,-1.0,5390.0,4130.0,,26892.0,35819.0,-1.0
1962,-1.0,,-1.0,,,3884.0,200.0,622800.0,2400.0,,16000.0,,-1.0,,37592.0,37720.0,1800.0,1400.0,-1.0,,-1.0,,-1.0,144.0,56000.0,3784.0,4450.0,13700.0,136300.0,24074.0,10000.0,5785000.0,390.0,,1000.0,,-1.0,87400.0,3056.0,112000.0,7037.0,,,11468.0,,-1.0,9100.0,,-1.0,,132.0,1577.0,500.0,2000.0,60800.0,,-1.0,129108.0,,-1.0,5000.0,4250.0,,20835.0,45970.0,-1.0
1963,-1.0,,-1.0,,,2702.0,200.0,681770.0,4301.0,,16500.0,,-1.0,,34544.0,43790.0,900.0,1500.0,-1.0,,-1.0,,-1.0,2750.0,70000.0,3228.0,4900.0,13900.0,146100.0,16757.0,10000.0,5362000.0,370.0,,950.0,,-1.0,87000.0,1500.0,115000.0,8181.0,,,14125.0,,-1.0,8800.0,,-1.0,,139.0,1510.0,500.0,2000.0,61500.0,,-1.0,97166.0,,-1.0,9200.0,4330.0,,26360.0,72512.0,-1.0
1964,-1.0,,-1.0,,,1838.0,260.0,609600.0,3318.0,,16500.0,,-1.0,,33528.0,40610.0,1400.0,1500.0,-1.0,,-1.0,,-1.0,1625.0,65000.0,3727.0,5650.0,14300.0,125150.0,28644.0,11000.0,4502000.0,400.0,,1000.0,,-1.0,90000.0,4213.0,118000.0,9764.0,,,15363.0,,-1.0,9000.0,,-1.0,,103.0,1178.0,500.0,2000.0,62600.0,,-1.0,123799.0,,-1.0,9347.0,4241.0,,23223.0,77666.0,-1.0
1965,-1.0,,-1.0,,,3298.0,260.0,671600.0,1204.0,,16500.0,,-1.0,,37592.0,40820.0,1350.0,1600.0,-1.0,,-1.0,,-1.0,2485.0,94000.0,4998.0,6000.0,14600.0,82000.0,45726.0,11000.0,5777000.0,559.0,,2000.0,,-1.0,89000.0,6500.0,120000.0,8512.0,,,18272.0,,-1.0,5500.0,,-1.0,,113.0,1775.0,500.0,2000.0,63800.0,,-1.0,135361.0,,-1.0,15427.0,2756.0,,15324.0,54925.0,-1.0
1966,-1.0,,-1.0,,,3045.0,200.0,539500.0,3741.0,,17500.0,,-1.0,,43700.0,40300.0,2360.0,2000.0,-1.0,,-1.0,,-1.0,102.0,74900.0,4909.0,3850.0,14000.0,127400.0,15750.0,12000.0,4224000.0,406.0,,1650.0,,-1.0,89000.0,1500.0,120000.0,5645.0,,,18805.0,,-1.0,8500.0,,-1.0,,162.0,4092.0,500.0,2000.0,64900.0,,-1.0,151760.0,,-1.0,10142.0,1433.0,,23271.0,49227.0,-1.0
1967,-1.0,,-1.0,,,3274.0,200.0,635000.0,5732.0,,17800.0,,-1.0,,48800.0,40300.0,3311.0,2200.0,-1.0,,-1.0,,-1.0,1762.0,73600.0,8000.0,3500.0,15000.0,150100.0,63600.0,13000.0,3622000.0,610.0,,2000.0,,-1.0,97000.0,3100.0,123000.0,6000.0,,,14688.0,,-1.0,9300.0,,-1.0,,170.0,4378.0,500.0,2000.0,66300.0,,-1.0,165342.0,,-1.0,11781.0,2918.0,,30287.0,43838.0,-1.0
1968,-1.0,,-1.0,,,3847.0,250.0,480600.0,19959.0,,19000.0,,-1.0,,47800.0,35780.0,1661.0,2300.0,-1.0,,-1.0,,-1.0,1933.0,118190.0,7650.0,4000.0,15000.0,141300.0,36109.0,13000.0,5971500.0,508.0,,2400.0,,-1.0,102000.0,900.0,125000.0,7000.0,,,11025.0,,-1.0,10000.0,,-1.0,,177.0,767.0,500.0,2000.0,67900.0,,-1.0,179277.0,,-1.0,16707.0,271.0,,26132.0,52665.0,-1.0
1969,-1.0,,-1.0,,,3899.0,250.0,528300.0,10947.0,,19000.0,,-1.0,,54900.0,37870.0,1671.0,2400.0,-1.0,,-1.0,,-1.0,5000.0,72600.0,3478.0,4840.0,16000.0,106700.0,50003.0,13000.0,4309500.0,457.0,,2580.0,,-1.0,111000.0,650.0,127000.0,4000.0,,,10398.0,,-1.0,10000.0,,-1.0,,185.0,1023.0,500.0,2000.0,69700.0,,-1.0,183240.0,,-1.0,11980.0,2803.0,,21402.0,81139.0,-1.0
1970,-1.0,,-1.0,,,3537.0,100.0,506000.0,10437.0,,21000.0,,-1.0,,57900.0,35270.0,1602.0,2400.0,-1.0,,-1.0,,-1.0,1000.0,137200.0,5403.0,4530.0,17000.0,89300.0,15103.0,14000.0,5545600.0,305.0,,2280.0,,-1.0,109000.0,282.0,130000.0,5000.0,,,15175.0,,-1.0,8000.0,,-1.0,,193.0,1342.0,500.0,2100.0,71600.0,,-1.0,185575.0,,-1.0,10745.0,5967.0,,19606.0,61062.0,-1.0
