,Romania,Eritrea,Australia & New Zealand,Australia,Iraq,Pakistan,United Republic of Tanzania,Nepal,Ethiopia,Kenya,Libya,Bangladesh,Italy,Lebanon,Uganda,Occupied Palestinian Territory,Sudan (former),Morocco,Chile,Argentina,South Sudan,Spain,Syrian Arab Republic,Malawi,India,Cyprus,Israel,Jordan,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Turkey,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Peru,Mexico,Algeria,Kazakhstan,Colombia,Bosnia and Herzegovina,Portugal,Myanmar
1961,0.0,,0.0,0.0,306.0,59712.0,200.0,1800.0,,0.0,32.0,2873.0,5600.0,84.0,160.0,0.0,3.0,7000.0,535.0,350.0,,28500.0,2007.0,1050.0,388000.0,63.0,234.0,509.0,9900.0,300.0,,2117.0,1620.0,10560.0,46.0,73.0,112.0,11730.0,218.0,5113.0,750.0,,1188.0,,3376.0,5292.0
1962,0.0,,0.0,0.0,215.0,61311.0,280.0,1800.0,,0.0,32.0,2792.0,5400.0,70.0,160.0,0.0,115.0,7000.0,538.0,275.0,,28000.0,1561.0,1050.0,359000.0,65.0,219.0,280.0,10080.0,400.0,,2237.0,1890.0,9840.0,51.0,71.0,108.0,11850.0,231.0,3668.0,850.0,,1200.0,,3524.0,6345.0
1963,0.0,,0.0,0.0,168.0,55665.0,220.0,1800.0,,0.0,40.0,2590.0,5100.0,102.0,160.0,0.0,119.0,6500.0,503.0,393.0,,25000.0,2059.0,1190.0,332000.0,67.0,224.0,510.0,10080.0,5000.0,,2284.0,2250.0,10200.0,54.0,70.0,112.0,11970.0,238.0,4793.0,912.0,,1220.0,,3583.0,6860.0
1964,0.0,,0.0,0.0,245.0,60521.0,85.0,1800.0,,0.0,40.0,2570.0,4900.0,113.0,160.0,0.0,142.0,6700.0,586.0,385.0,,24000.0,3286.0,1190.0,279000.0,69.0,352.0,765.0,10200.0,6000.0,,2843.0,1350.0,10200.0,70.0,70.0,112.0,12080.0,223.0,5431.0,1540.0,,1240.0,,3704.0,4927.0
1965,0.0,,0.0,0.0,229.0,53480.0,220.0,1800.0,,0.0,64.0,2730.0,4700.0,233.0,160.0,0.0,5.0,7800.0,608.0,235.0,,26000.0,1260.0,1330.0,358000.0,71.0,297.0,312.0,10200.0,400.0,,2494.0,2160.0,9960.0,103.0,71.0,120.0,12210.0,95.0,5716.0,1058.0,,1200.0,,3635.0,5276.0
1966,0.0,,0.0,0.0,239.0,62201.0,300.0,1800.0,,0.0,64.0,2955.0,4500.0,202.0,160.0,0.0,74.0,7375.0,651.0,210.0,,26500.0,2580.0,1400.0,262000.0,57.0,295.0,330.0,10380.0,530.0,,1944.0,2340.0,10200.0,119.0,71.0,120.0,12310.0,156.0,6748.0,1232.0,,1280.0,,3855.0,5272.0
1967,0.0,,0.0,0.0,253.0,56029.0,1458.0,1900.0,,0.0,80.0,3075.0,4200.0,208.0,160.0,0.0,148.0,6055.0,1130.0,232.0,,25000.0,2352.0,1400.0,225000.0,73.0,407.0,168.0,10500.0,690.0,,1536.0,1845.0,10800.0,29.0,73.0,120.0,12430.0,14.0,7077.0,1787.0,,1280.0,,3565.0,4962.0
1968,0.0,,0.0,0.0,267.0,47950.0,1368.0,1900.0,,0.0,80.0,3420.0,3800.0,192.0,160.0,0.0,202.0,4250.0,609.0,352.0,,19000.0,3010.0,1470.0,370000.0,84.0,379.0,168.0,10620.0,625.0,,1637.0,2340.0,10800.0,33.0,74.0,108.0,12550.0,196.0,7216.0,1447.0,,1360.0,,3045.0,7471.0
1969,0.0,,0.0,0.0,276.0,46398.0,1413.0,1900.0,,0.0,40.0,3500.0,3300.0,162.0,160.0,0.0,67.0,7900.0,790.0,240.0,,17000.0,1243.0,1505.0,267000.0,63.0,344.0,115.0,10800.0,375.0,,1812.0,2340.0,12000.0,38.0,74.0,124.0,12670.0,331.0,7290.0,1189.0,,1440.0,,2730.0,6374.0
1970,0.0,,0.0,0.0,247.0,45711.0,1460.0,1900.0,,0.0,38.0,3660.0,2400.0,144.0,160.0,0.0,84.0,5400.0,1126.0,166.0,,15000.0,1448.0,1540.0,344000.0,42.0,186.0,64.0,11100.0,375.0,,2028.0,2700.0,13200.0,56.0,74.0,120.0,12790.0,182.0,7518.0,1070.0,,1280.0,,2035.0,6521.0
1971,0.0,,0.0,0.0,293.0,48222.0,2000.0,1900.0,,0.0,47.0,3583.0,1900.0,178.0,80.0,0.0,84.0,2640.0,1421.0,200.0,,17000.0,2215.0,1540.0,322000.0,140.0,308.0,278.0,10800.0,620.0,,3156.0,3600.0,21360.0,76.0,74.0,120.0,13390.0,166.0,8660.0,1146.0,,1280.0,,1905.0,8319.0
1972,0.0,,0.0,0.0,415.0,50868.0,1600.0,1900.0,,0.0,32.0,4500.0,1500.0,194.0,200.0,0.0,84.0,4205.0,1086.0,110.0,,17000.0,3424.0,1540.0,285000.0,154.0,592.0,661.0,10200.0,625.0,,3174.0,3600.0,22320.0,89.0,74.0,120.0,13210.0,158.0,7567.0,1523.0,,1200.0,,1954.0,8177.0
1973,0.0,,0.0,0.0,478.0,55400.0,1000.0,2000.0,,0.0,33.0,5500.0,1400.0,93.0,240.0,0.0,84.0,7905.0,965.0,230.0,,15000.0,4535.0,1540.0,315000.0,70.0,479.0,1124.0,9900.0,500.0,,2472.0,3870.0,21000.0,70.0,77.0,120.0,13010.0,122.0,8683.0,1645.0,,1200.0,,2245.0,6906.0
1974,0.0,,0.0,0.0,577.0,49823.0,600.0,2000.0,,0.0,41.0,6500.0,1300.0,224.0,256.0,0.0,61.0,4925.0,547.0,400.0,,12000.0,2759.0,1610.0,254000.0,112.0,200.0,323.0,9108.0,440.0,,1704.0,3600.0,16800.0,80.0,63.0,41.0,12810.0,106.0,6672.0,1699.0,,1000.0,,1995.0,6790.0
1975,0.0,,0.0,0.0,684.0,53423.0,380.0,2100.0,,0.0,42.0,8000.0,1300.0,84.0,280.0,0.0,110.0,4980.0,497.0,188.0,,12000.0,3378.0,1645.0,249000.0,56.0,185.0,147.0,10878.0,375.0,,1344.0,3600.0,16560.0,31.0,60.0,24.0,12610.0,150.0,3710.0,1663.0,,1000.0,,2059.0,7010.0
1976,0.0,,0.0,0.0,748.0,54724.0,440.0,2100.0,,0.0,30.0,9550.0,1400.0,105.0,176.0,0.0,112.0,2120.0,579.0,116.0,,11000.0,2057.0,1750.0,366000.0,56.0,252.0,123.0,9174.0,558.0,,1152.0,3330.0,16560.0,12.0,60.0,25.0,12410.0,145.0,8831.0,1699.0,,840.0,,1745.0,7895.0
1977,0.0,,0.0,0.0,1309.0,54955.0,500.0,2100.0,,0.0,36.0,7000.0,1200.0,70.0,184.0,0.0,116.0,3395.0,771.0,290.0,,13000.0,2315.0,1750.0,336000.0,70.0,617.0,113.0,8298.0,900.0,,1176.0,4230.0,20160.0,34.0,32.0,40.0,12410.0,122.0,6935.0,2059.0,,1000.0,,2035.0,8058.0
1978,0.0,,0.0,0.0,908.0,61220.0,520.0,2300.0,,0.0,36.0,6350.0,1200.0,140.0,120.0,0.0,116.0,3115.0,1177.0,180.0,,12000.0,862.0,1750.0,335000.0,70.0,799.0,235.0,8496.0,913.0,,1956.0,4626.0,24000.0,71.0,35.0,79.0,11540.0,107.0,10610.0,2068.0,,920.0,,1849.0,7710.0
1979,0.0,,0.0,0.0,1221.0,56425.0,540.0,2500.0,,0.0,34.0,6400.0,1100.0,175.0,120.0,0.0,34.0,3275.0,1440.0,268.0,,10000.0,4569.0,1890.0,356000.0,126.0,630.0,258.0,10280.0,982.0,,1958.0,7020.0,28800.0,70.0,31.0,80.0,13060.0,100.0,4994.0,2105.0,,920.0,,1996.0,5137.0
1980,0.0,,0.0,0.0,838.0,42145.0,540.0,2700.0,,0.0,32.0,6400.0,1050.0,140.0,160.0,0.0,34.0,1600.0,1136.0,260.0,,9000.0,4262.0,1890.0,203000.0,112.0,307.0,178.0,8945.0,1200.0,,1368.0,6390.0,24000.0,70.0,31.0,52.0,17810.0,86.0,5318.0,2162.0,,920.0,,1459.0,7427.0
1981,0.0,,0.0,0.0,785.0,45080.0,620.0,2800.0,,0.0,30.0,5800.0,1050.0,154.0,200.0,0.0,30.0,3025.0,708.0,77.0,,9000.0,2809.0,1995.0,268000.0,38.0,302.0,182.0,8285.0,1350.0,,1176.0,5517.0,29400.0,70.0,29.0,80.0,15480.0,95.0,5734.0,1723.0,,920.0,,1499.0,9693.0
1982,0.0,,93.0,93.0,818.0,44645.0,800.0,2700.0,,0.0,29.0,5900.0,950.0,161.0,200.0,0.0,28.0,3235.0,547.0,85.0,,10400.0,4711.0,2121.0,288000.0,28.0,462.0,284.0,8080.0,1770.0,,972.0,5391.0,40140.0,69.0,29.0,111.0,26232.0,118.0,5719.0,2023.0,,920.0,,1434.0,7280.0
1983,0.0,,192.0,192.0,686.0,45980.0,1200.0,2500.0,,0.0,27.0,5665.0,900.0,168.0,200.0,0.0,28.0,3000.0,834.0,255.0,,10500.0,2660.0,2226.0,327980.0,25.0,441.0,119.0,9637.0,1100.0,,600.0,3330.0,41400.0,69.0,24.0,93.0,26399.0,127.0,4942.0,2395.0,,920.0,,1324.0,9906.0
1984,0.0,,792.0,792.0,739.0,50685.0,1400.0,1500.0,,0.0,24.0,5445.0,800.0,140.0,400.0,0.0,40.0,3825.0,792.0,350.0,,10300.0,3965.0,2310.0,294562.0,17.0,441.0,260.0,10765.0,1200.0,,565.0,3510.0,47880.0,69.0,25.0,90.0,29893.0,132.0,5165.0,2529.0,,920.0,,1281.0,8945.0
1985,0.0,,2031.0,2031.0,826.0,51665.0,900.0,1600.0,,0.0,23.0,5182.0,705.0,140.0,160.0,0.0,58.0,4110.0,883.0,370.0,,10400.0,1909.0,2658.0,281914.0,17.0,780.0,104.0,7920.0,1400.0,,600.0,3960.0,64080.0,69.0,25.0,61.0,31711.0,151.0,4986.0,2887.0,,920.0,,332.0,9812.0
1986,0.0,,1646.0,1646.0,173.0,54105.0,1400.0,1700.0,,0.0,20.0,5185.0,617.0,279.0,200.0,0.0,60.0,3860.0,1035.0,265.0,,10400.0,4208.0,4243.0,360000.0,18.0,809.0,142.0,5928.0,1900.0,,703.0,3600.0,79800.0,68.0,27.0,52.0,23538.0,167.0,7514.0,3481.0,,920.0,,318.0,9069.0
1987,0.0,,2026.0,2026.0,125.0,41030.0,1400.0,1500.0,,0.0,17.0,5152.0,614.0,289.0,240.0,0.0,62.0,3630.0,991.0,425.0,,8900.0,4174.0,4358.0,281000.0,28.0,784.0,151.0,8208.0,1400.0,,577.0,2039.0,93360.0,68.0,28.0,53.0,27762.0,138.0,3219.0,2614.0,,920.0,,314.0,8781.0
1988,0.0,,2792.0,2792.0,133.0,48970.0,1600.0,1781.0,,0.0,14.0,5138.0,550.0,295.0,240.0,0.0,64.0,3120.0,548.0,200.0,,8400.0,1700.0,3387.0,225000.0,20.0,738.0,268.0,7559.0,700.0,,393.0,2705.0,98160.0,68.0,28.0,66.0,27830.0,117.0,4366.0,2040.0,,920.0,,316.0,6219.0
1989,0.0,,5323.0,5323.0,354.0,51770.0,1360.0,1730.0,,0.0,12.0,5143.0,500.0,307.0,280.0,0.0,60.0,3850.0,607.0,200.0,,5646.0,3500.0,7976.0,318000.0,14.0,806.0,221.0,7777.0,560.0,,258.0,2817.0,106800.0,184.0,31.0,55.0,25342.0,111.0,4968.0,1678.0,,1144.0,,320.0,7135.0
1990,0.0,,7490.0,7490.0,34.0,54575.0,1420.0,1691.0,,0.0,14.0,4836.0,400.0,307.0,286.0,0.0,62.0,4210.0,851.0,110.0,,6100.0,4200.0,7000.0,261000.0,19.0,757.0,293.0,7054.0,500.0,,315.0,4009.0,105360.0,312.0,33.0,54.0,62947.0,99.0,4470.0,2227.0,,929.0,,319.0,8053.0
1991,0.0,,4524.0,4524.0,600.0,49845.0,1000.0,1622.0,,0.0,20.0,4607.0,400.0,317.0,200.0,0.0,64.0,3945.0,902.0,115.0,,4729.0,2606.0,5950.0,322000.0,12.0,649.0,518.0,6626.0,590.0,,260.0,3150.0,102720.0,116.0,30.0,54.0,67929.0,113.0,5173.0,2092.0,,882.0,,189.0,8356.0
1992,0.0,,4405.0,4405.0,1000.0,50380.0,1240.0,1618.0,,0.0,19.0,4524.0,400.0,322.0,240.0,0.0,66.0,4535.0,752.0,110.0,,2643.0,4920.0,6090.0,256000.0,13.0,922.0,326.0,6626.0,900.0,16.0,251.0,3330.0,98400.0,96.0,32.0,,65962.0,133.0,4436.0,2080.0,1500.0,840.0,38.0,163.0,7573.0
1993,0.0,69.0,6266.0,6266.0,1750.0,52250.0,1000.0,1400.0,7875.0,0.0,20.0,4270.0,300.0,323.0,250.0,0.0,67.0,3300.0,595.0,105.0,,6600.0,4800.0,7183.0,274000.0,10.0,862.0,325.0,,700.0,14.0,219.0,1863.0,91200.0,78.0,31.0,,57924.0,134.0,3112.0,2300.0,2000.0,420.0,38.0,148.0,5991.0
1994,0.0,78.0,6492.0,6492.0,2500.0,53225.0,1200.0,1300.0,10733.0,0.0,21.0,4250.0,300.0,333.0,260.0,0.0,101.0,3130.0,663.0,100.0,,8300.0,3851.0,9790.0,304000.0,5.0,870.0,346.0,,610.0,24.0,217.0,1697.0,89400.0,152.0,32.0,,72098.0,159.0,3944.0,1893.0,1500.0,420.0,39.0,128.0,5864.0
1995,0.0,66.0,7245.0,7245.0,3500.0,55945.0,1500.0,1200.0,9024.0,0.0,22.0,4270.0,300.0,336.0,200.0,414.0,185.0,2215.0,652.0,95.0,,8520.0,3323.0,6160.0,284640.0,5.0,922.0,325.0,,570.0,33.0,213.0,3150.0,93600.0,240.0,32.0,,90601.0,158.0,6109.0,1662.0,200.0,0.0,48.0,135.0,7470.0
1996,0.0,52.0,8190.0,8190.0,4710.0,55010.0,1200.0,1200.0,7133.0,860.0,23.0,4222.0,300.0,241.0,240.0,305.0,235.0,2950.0,564.0,90.0,,9500.0,4723.0,4855.0,273868.0,6.0,820.0,254.0,,500.0,34.0,222.0,1350.0,86520.0,136.0,33.0,,68356.0,157.0,5329.0,1541.0,200.0,0.0,56.0,127.0,6264.0
1997,0.0,202.0,9255.0,9255.0,4010.0,55115.0,1255.0,1148.0,10793.0,940.0,25.0,4201.0,300.0,168.0,244.0,295.0,470.0,3475.0,305.0,85.0,,8200.0,5401.0,5079.0,302528.0,7.0,856.0,241.0,,888.0,29.0,205.0,1530.0,79800.0,123.0,32.0,,59206.0,65.0,2768.0,1478.0,180.0,0.0,68.0,126.0,5409.0
1998,0.0,235.0,6540.0,6540.0,3360.0,53845.0,1220.0,1157.0,10059.0,1036.0,26.0,911.0,400.0,161.0,248.0,205.0,554.0,3544.0,159.0,80.0,,7970.0,2535.0,6230.0,338764.0,6.0,866.0,40.0,,900.0,34.0,197.0,1260.0,75000.0,100.0,33.0,,57456.0,84.0,4821.0,1386.0,100.0,0.0,60.0,98.0,5085.0
1999,0.0,479.0,7860.0,7860.0,4275.0,48590.0,1240.0,963.0,11087.0,1035.0,28.0,911.0,400.0,182.0,252.0,196.0,825.0,3305.0,258.0,78.0,,6700.0,5072.0,6160.0,245852.0,11.0,1048.0,108.0,,1205.0,12.0,183.0,1228.0,76320.0,100.0,33.0,,64552.0,90.0,4956.0,974.0,100.0,0.0,72.0,86.0,5882.0
2000,0.0,827.0,5850.0,5850.0,7500.0,45250.0,1280.0,900.0,12715.0,23.0,28.0,850.0,400.0,140.0,261.0,250.0,725.0,2900.0,296.0,68.0,,6700.0,4357.0,6230.0,207412.0,7.0,978.0,29.0,,1017.0,20.0,192.0,1076.0,77400.0,117.0,33.0,,75171.0,180.0,6892.0,965.0,150.0,0.0,88.0,94.0,7484.0
2001,0.0,1411.0,6035.0,6035.0,9050.0,46695.0,1400.0,900.0,11699.0,17.0,26.0,769.0,400.0,204.0,272.0,235.0,504.0,3580.0,227.0,68.0,,6900.0,5108.0,6265.0,256648.0,8.0,1247.0,149.0,,904.0,26.0,204.0,684.0,79200.0,140.0,33.0,,71210.0,91.0,5270.0,967.0,100.0,0.0,60.0,96.0,8834.0
2002,0.0,282.0,6024.0,6024.0,9000.0,48150.0,1337.0,900.0,9257.0,17.0,26.0,749.0,450.0,139.0,277.0,243.0,432.0,3545.0,269.0,70.0,,7500.0,4977.0,6668.0,236256.0,10.0,1064.0,149.0,,910.0,24.0,180.0,923.0,75600.0,232.0,82.0,,64139.0,74.0,4091.0,1143.0,130.0,0.0,62.0,132.0,8667.0
2003,33.0,1038.0,3305.0,3305.0,5000.0,49115.0,1180.0,900.0,10865.0,19.0,26.0,688.0,450.0,127.0,287.0,237.0,218.0,3600.0,258.0,73.0,,7815.0,3791.0,6128.0,281924.0,2.0,851.0,58.0,,800.0,28.0,246.0,887.0,72720.0,178.0,84.0,,57294.0,77.0,2627.0,1154.0,150.0,0.0,61.0,129.0,9324.0
2004,15.0,1115.0,3159.0,3159.0,750.0,54690.0,1458.0,900.0,12689.0,3.0,28.0,654.0,450.0,133.0,292.0,202.0,269.0,3815.0,216.0,78.0,,6000.0,4315.0,6833.0,268584.0,2.0,1025.0,126.0,,900.0,32.0,264.0,846.0,66936.0,24.0,86.0,,53752.0,47.0,3854.0,1167.0,200.0,0.0,65.0,68.0,9216.0
