,Romania,Eritrea,Australia & New Zealand,Australia,Iraq,Libya,Pakistan,United Republic of Tanzania,Nepal,Ethiopia,Kenya,Czechia,Bangladesh,Italy,Lebanon,Uganda,Togo,Uzbekistan,Occupied Palestinian Territory,Niger,Sudan (former),Morocco,Chile,Argentina,Colombia,Spain,Syrian Arab Republic,Malawi,India,Cyprus,Slovakia,Israel,Republic of Moldova,Canada,Turkey,Jordan,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Sudan,Greece,Yemen,Zimbabwe,Tunisia,Hungary,Russian Federation,Dominican Republic,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Mexico,"China, mainland",Algeria,Peru,Bosnia and Herzegovina,Portugal,Myanmar,China
1961,,,,,6129.0,3750.0,5514.0,3300.0,5000.0,,,,6066.0,5761.0,4444.0,3250.0,,,,,4982.0,2963.0,4381.0,9250.0,4621.0,4917.0,5697.0,6429.0,6738.0,5833.0,,5108.0,,,10112.0,7085.0,6875.0,15357.0,,,6124.0,,,3048.0,,,10333.0,6961.0,5000.0,8126.0,5168.0,,,8631.0,,3620.0,7705.0,,3717.0,3250.0,
1962,,,,,6339.0,5000.0,5215.0,2400.0,5000.0,,,,6542.0,5504.0,15000.0,3500.0,,,,,16552.0,4000.0,4953.0,8882.0,4613.0,5492.0,5999.0,6667.0,6047.0,6290.0,,7042.0,,,9932.0,5399.0,6788.0,16271.0,,,6500.0,,,5056.0,,,10560.0,13630.0,4808.0,7143.0,5183.0,,,8838.0,,3333.0,7798.0,,3086.0,4339.0,
1963,,,,,6285.0,5000.0,5560.0,3072.0,5156.0,,,,6185.0,6588.0,9000.0,3750.0,,,,,9529.0,5000.0,4203.0,9691.0,4633.0,5971.0,5367.0,6667.0,5833.0,5781.0,,7170.0,,,10610.0,4823.0,6845.0,16872.0,,,7578.0,,,4190.0,,,11120.0,11862.0,4902.0,7407.0,5190.0,,,9270.0,,5412.0,7504.0,,3740.0,5554.0,
1964,,,,,5462.0,5200.0,5476.0,3016.0,5000.0,,,,6473.0,6490.0,9655.0,3750.0,,,,,5449.0,5000.0,5191.0,8039.0,4689.0,5669.0,6956.0,6471.0,4813.0,6061.0,,7380.0,,,10588.0,7430.0,7024.0,16817.0,,,8073.0,,,3600.0,,,10300.0,8765.0,5000.0,7143.0,5230.0,,,9040.0,,5127.0,7140.0,,3241.0,5584.0,
1965,,,,,6722.0,5200.0,5548.0,2840.0,5000.0,,,,7314.0,6812.0,8333.0,4000.0,,,,,7012.0,7015.0,5972.0,9804.0,4710.0,3975.0,6958.0,6471.0,6513.0,8196.0,,9368.0,,,10471.0,7647.0,7059.0,16602.0,,,7713.0,,,3667.0,,,11300.0,10080.0,5000.0,7143.0,5281.0,,,8724.0,,5010.0,4948.0,,2069.0,5592.0,
1966,,,,,6644.0,2500.0,5044.0,3401.0,5147.0,,,,8004.0,7029.0,7100.0,5000.0,,,,,8226.0,4801.0,5655.0,9506.0,4667.0,5675.0,6251.0,6316.0,5270.0,7409.0,,9167.0,,,10723.0,4323.0,7059.0,15910.0,,,9050.0,,,3542.0,,,10800.0,15842.0,4902.0,6667.0,5315.0,,,9292.0,,4795.0,6059.0,,3201.0,5124.0,
1967,,,,,6855.0,2500.0,5104.0,3821.0,5235.0,,,,8257.0,7399.0,11477.0,5500.0,,,,,9494.0,4990.0,8602.0,8730.0,4688.0,6487.0,12326.0,6500.0,4526.0,8714.0,,11173.0,,,11412.0,8447.0,7110.0,12984.0,,,9067.0,,,3577.0,,,11333.0,14751.0,4902.0,6667.0,5386.0,,,8576.0,,4783.0,7463.0,,3928.0,4428.0,
1968,,,,,7594.0,2500.0,4289.0,2738.0,5429.0,,,,7772.0,7046.0,5596.0,5750.0,,,,,5220.0,9760.0,4740.0,8715.0,4688.0,6536.0,7678.0,6500.0,7232.0,6350.0,,9736.0,,,11333.0,4813.0,7143.0,16667.0,,,8613.0,,,4878.0,,,11063.0,10536.0,4808.0,6667.0,5463.0,,,8867.0,,4675.0,7528.0,,3665.0,5403.0,
1969,,,,,7307.0,2500.0,5509.0,1600.0,5429.0,,,,8026.0,8171.0,6083.0,6000.0,,,,,9919.0,8541.0,3998.0,7870.0,4706.0,6478.0,8306.0,6190.0,6065.0,7617.0,,11242.0,,,12361.0,3483.0,7175.0,15873.0,,,7623.0,,,3846.0,,,10882.0,12281.0,4762.0,7407.0,5554.0,,,8888.0,,4141.0,5720.0,,3514.0,5274.0,
1970,,,,,6399.0,2000.0,5453.0,1477.0,5833.0,,,,8271.0,8668.0,6902.0,6000.0,,,,,5952.0,8684.0,4786.0,10342.0,4722.0,5871.0,6077.0,6512.0,7154.0,7606.0,,10935.0,,,10900.0,2210.0,7222.0,19841.0,,,10050.0,,,3077.0,,,10158.0,14067.0,4762.0,6774.0,5651.0,,,8909.0,,4519.0,7211.0,,3591.0,4836.0,
