,Ukraine,Slovakia,Belgium,South Africa,Czechoslovakia,Kazakhstan,Serbia,Croatia,Qatar,Yugoslav SFR,USSR,Romania,Philippines,France,Bosnia and Herzegovina,Poland,Netherlands,Puerto Rico,Belgium-Luxembourg,Spain,Haiti
1961,-1.0,-1.0,-1.0,25476.0,17406.0,-1.0,-1.0,-1.0,-1.0,200000.0,140000.0,138500.0,-1.0,348313.0,-1.0,-1.0,-1.0,-1.0,400000.0,172289.0,-1.0
1962,-1.0,-1.0,-1.0,16285.0,27408.0,-1.0,-1.0,-1.0,-1.0,200000.0,150000.0,115714.0,-1.0,351020.0,-1.0,-1.0,-1.0,-1.0,400000.0,135872.0,-1.0
1963,-1.0,-1.0,-1.0,18407.0,28409.0,-1.0,-1.0,-1.0,-1.0,200000.0,133333.0,86000.0,-1.0,344620.0,-1.0,-1.0,-1.0,-1.0,400821.0,165597.0,-1.0
1964,-1.0,-1.0,-1.0,21193.0,51993.0,-1.0,-1.0,-1.0,-1.0,200000.0,123333.0,80000.0,-1.0,357587.0,-1.0,-1.0,-1.0,-1.0,445644.0,134001.0,-1.0
1965,-1.0,-1.0,-1.0,21466.0,34642.0,-1.0,-1.0,-1.0,-1.0,200000.0,116923.0,99000.0,-1.0,345323.0,-1.0,-1.0,-1.0,-1.0,396276.0,145189.0,-1.0
1966,-1.0,-1.0,-1.0,24093.0,35461.0,-1.0,-1.0,-1.0,-1.0,200000.0,131343.0,138000.0,-1.0,378640.0,-1.0,-1.0,-1.0,-1.0,392699.0,151102.0,-1.0
1967,-1.0,-1.0,-1.0,20600.0,36352.0,-1.0,-1.0,-1.0,-1.0,200000.0,151515.0,95000.0,-1.0,353650.0,-1.0,-1.0,-1.0,-1.0,408458.0,124741.0,-1.0
1968,-1.0,-1.0,-1.0,22606.0,45045.0,-1.0,-1.0,-1.0,-1.0,200000.0,142857.0,130556.0,-1.0,373481.0,-1.0,-1.0,-1.0,-1.0,399085.0,153243.0,-1.0
1969,-1.0,-1.0,-1.0,20803.0,35997.0,-1.0,-1.0,-1.0,-1.0,200000.0,143333.0,82308.0,-1.0,340033.0,-1.0,-1.0,-1.0,-1.0,395344.0,171791.0,-1.0
1970,-1.0,-1.0,-1.0,21642.0,30454.0,-1.0,-1.0,-1.0,-1.0,200000.0,139063.0,91111.0,-1.0,369940.0,-1.0,-1.0,-1.0,-1.0,402247.0,175041.0,-1.0
1971,-1.0,-1.0,-1.0,37243.0,34270.0,-1.0,-1.0,-1.0,-1.0,162019.0,141270.0,90000.0,-1.0,371802.0,-1.0,-1.0,-1.0,-1.0,448347.0,190805.0,-1.0
