,Slovakia,Ghana,Bhutan,Syrian Arab Republic,Madagascar,Pakistan,French Guiana,United Republic of Tanzania,Thailand,Japan,Ethiopia,Kenya,Czechia,United States of America,Bangladesh,Senegal,Serbia,Lao People's Democratic Republic,Zambia,Uganda,Papua New Guinea,Portugal,Togo,Benin,Uzbekistan,China,Cambodia,Serbia and Montenegro,Niger,Sudan (former),Morocco,Slovenia,Sierra Leone,Argentina,South Sudan,Spain,Central African Republic,Malawi,India,Jamaica,Cabo Verde,Indonesia,Maldives,Myanmar,Turkey,Réunion,Ethiopia PDR,Egypt,"China, Macao SAR",Melanesia,The former Yugoslav Republic of Macedonia,Malaysia,Grenada,Greece,Czechoslovakia,Viet Nam,Timor-Leste,Democratic Republic of the Congo,Nigeria,Sudan,Mali,Zimbabwe,Hungary,Martinique,Bulgaria,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Romania,Djibouti,Mexico,"China, mainland",Nepal,Algeria,Peru,Côte d'Ivoire,Bosnia and Herzegovina,Cameroon,Kyrgyzstan,South Africa
1961,,4500.0,-1.0,-1.0,2100.0,23100.0,,4500.0,23760.0,,,3200.0,,-1.0,70800.0,500.0,,500.0,-1.0,3700.0,-1.0,,6000.0,1000.0,,19000.0,-1.0,,700.0,-1.0,850.0,,1000.0,1300.0,,8500.0,-1.0,-1.0,616000.0,1170.0,90.0,,2.0,35000.0,5000.0,-1.0,210000.0,7500.0,,0.0,,700.0,-1.0,290.0,1700.0,20000.0,,3000.0,20000.0,,,-1.0,6000.0,-1.0,1000.0,-1.0,3020.0,900.0,,11000.0,-1.0,23443.0,19000.0,-1.0,-1.0,-1.0,-1.0,,5000.0,,4600.0
1962,,4500.0,-1.0,-1.0,2200.0,25500.0,,4600.0,28368.0,,,3200.0,,-1.0,70000.0,500.0,,500.0,-1.0,3700.0,-1.0,,6000.0,1000.0,,19000.0,-1.0,,700.0,-1.0,850.0,,1000.0,1300.0,,9700.0,-1.0,-1.0,637000.0,1170.0,80.0,,2.0,50182.0,5000.0,-1.0,215000.0,7500.0,,0.0,,500.0,-1.0,290.0,1700.0,20000.0,,3100.0,20300.0,,,-1.0,6000.0,-1.0,1400.0,-1.0,3700.0,900.0,,11000.0,-1.0,22374.0,19000.0,-1.0,-1.0,-1.0,-1.0,,5000.0,,4700.0
1963,,4500.0,-1.0,-1.0,2200.0,21000.0,,4700.0,27296.0,,,3200.0,,-1.0,73200.0,500.0,,1000.0,-1.0,3800.0,-1.0,,6000.0,1000.0,,18000.0,-1.0,,730.0,-1.0,850.0,,1000.0,1300.0,,10200.0,-1.0,-1.0,748000.0,1170.0,80.0,,2.0,46135.0,5000.0,-1.0,220000.0,7600.0,,0.0,,900.0,-1.0,340.0,1700.0,20000.0,,3100.0,20600.0,,,-1.0,8000.0,-1.0,900.0,-1.0,5050.0,900.0,,11000.0,-1.0,24045.0,18000.0,-1.0,-1.0,-1.0,-1.0,,5000.0,,4800.0
1964,,4500.0,-1.0,-1.0,2300.0,20600.0,,4800.0,24336.0,,,3300.0,,-1.0,78500.0,500.0,,1000.0,-1.0,3800.0,-1.0,,6000.0,1000.0,,20000.0,-1.0,,930.0,-1.0,850.0,,1000.0,1500.0,,9900.0,-1.0,-1.0,716000.0,1170.0,80.0,,2.0,42897.0,5000.0,-1.0,221000.0,7800.0,,0.0,,400.0,-1.0,290.0,1729.0,22000.0,,3200.0,20900.0,,,-1.0,9000.0,-1.0,1000.0,-1.0,6060.0,900.0,,11000.0,-1.0,25179.0,20000.0,-1.0,-1.0,-1.0,-1.0,,5800.0,,4900.0
1965,,4500.0,-1.0,-1.0,2300.0,29100.0,,4900.0,24896.0,,,3400.0,,-1.0,78500.0,500.0,,1000.0,-1.0,3900.0,-1.0,,6000.0,1000.0,,20500.0,-1.0,,1100.0,-1.0,850.0,,1000.0,1500.0,,8500.0,-1.0,-1.0,634000.0,1170.0,80.0,,2.0,54633.0,5000.0,-1.0,224500.0,9000.0,,0.0,,400.0,-1.0,310.0,1394.0,22000.0,,3250.0,21200.0,,,-1.0,8000.0,-1.0,1100.0,-1.0,4630.0,900.0,,11000.0,-1.0,23496.0,20500.0,-1.0,-1.0,-1.0,-1.0,,5800.0,,5000.0
1966,,5670.0,-1.0,-1.0,2400.0,18600.0,,5000.0,33680.0,,,3400.0,,-1.0,77700.0,500.0,,1000.0,-1.0,3900.0,-1.0,,6000.0,1000.0,,20000.0,-1.0,,700.0,-1.0,850.0,,1000.0,1500.0,,7800.0,-1.0,-1.0,721000.0,1170.0,80.0,,2.0,55443.0,4800.0,-1.0,228000.0,9600.0,,0.0,,900.0,-1.0,260.0,1639.0,22500.0,,3300.0,21500.0,,,-1.0,10000.0,-1.0,1100.0,-1.0,2280.0,900.0,,8700.0,-1.0,24384.0,20000.0,-1.0,-1.0,-1.0,-1.0,,5800.0,,5000.0
1967,,8500.0,-1.0,-1.0,2400.0,17800.0,,5000.0,29648.0,,,3000.0,,-1.0,80500.0,500.0,,1000.0,-1.0,4000.0,-1.0,,6000.0,1000.0,,20000.0,-1.0,,783.0,-1.0,850.0,,1000.0,1700.0,,9600.0,-1.0,-1.0,788000.0,1170.0,80.0,,2.0,40874.0,5000.0,-1.0,230000.0,10000.0,,0.0,,1250.0,-1.0,210.0,1835.0,22500.0,,3300.0,21800.0,,,-1.0,10000.0,-1.0,1400.0,-1.0,5530.0,920.0,,11300.0,-1.0,20586.0,20000.0,-1.0,-1.0,-1.0,-1.0,,6600.0,,5100.0
1968,,8903.0,-1.0,-1.0,2500.0,24300.0,,5100.0,27568.0,,,3000.0,,-1.0,86200.0,500.0,,1000.0,-1.0,4100.0,-1.0,,6000.0,1000.0,,21000.0,-1.0,,842.0,-1.0,850.0,,1000.0,1700.0,,7400.0,-1.0,-1.0,663000.0,1170.0,80.0,,2.0,43707.0,5000.0,-1.0,233200.0,10000.0,,0.0,,1250.0,-1.0,180.0,2009.0,23000.0,,3400.0,22100.0,,,-1.0,10000.0,-1.0,1200.0,-1.0,6910.0,920.0,,10200.0,-1.0,21382.0,21000.0,-1.0,-1.0,-1.0,-1.0,,6600.0,,5200.0
1969,,8900.0,-1.0,-1.0,2500.0,29500.0,,5100.0,30304.0,,,3300.0,,-1.0,87400.0,500.0,,1000.0,-1.0,4100.0,-1.0,,6000.0,1000.0,,22000.0,-1.0,,786.0,-1.0,850.0,,1000.0,1720.0,,7100.0,-1.0,-1.0,682000.0,1170.0,80.0,,2.0,44516.0,5000.0,-1.0,236500.0,10000.0,,0.0,,1600.0,-1.0,230.0,2129.0,23000.0,,3500.0,22400.0,,,-1.0,9270.0,-1.0,900.0,-1.0,5861.0,920.0,,11700.0,-1.0,19672.0,22000.0,-1.0,-1.0,-1.0,-1.0,,6600.0,,5300.0
1970,,8900.0,-1.0,-1.0,2600.0,29900.0,,5200.0,40368.0,,,3300.0,,-1.0,89000.0,500.0,,1000.0,-1.0,4000.0,-1.0,,6000.0,1000.0,,20500.0,-1.0,,400.0,-1.0,850.0,,950.0,1520.0,,7700.0,-1.0,-1.0,783400.0,1160.0,80.0,,2.0,61918.0,6000.0,-1.0,239900.0,10000.0,,0.0,,1600.0,-1.0,200.0,2075.0,24000.0,,3300.0,22700.0,,,-1.0,8346.0,-1.0,1000.0,-1.0,4550.0,940.0,,12900.0,-1.0,18768.0,20500.0,-1.0,-1.0,-1.0,-1.0,,7500.0,,5400.0
