,Kenya,Cameroon,Serbia and Montenegro,Myanmar,Serbia,Malaysia,Grenada,Melanesia,Zambia,South Sudan,Martinique,Lao People's Democratic Republic,Benin,United Republic of Tanzania,Nepal,Ethiopia,Maldives,The former Yugoslav Republic of Macedonia,Greece,Pakistan,Zimbabwe,Bangladesh,Malawi,Togo,Peru,Papua New Guinea,Uzbekistan,Spain,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Djibouti,Algeria,Slovenia,Morocco,Nigeria,Madagascar,Kyrgyzstan,French Guiana,Ethiopia PDR,Cambodia,Uganda,India,Cabo Verde,Niger,Czechoslovakia,Bhutan,Syrian Arab Republic,Mexico,Romania,Senegal,Central African Republic,Bosnia and Herzegovina,China,Tunisia,Côte d'Ivoire,Yugoslav SFR,Jamaica,Czechia,Viet Nam,South Africa,Hungary,Kazakhstan,Sierra Leone,Argentina,Réunion,Egypt,Ghana,"China, mainland",Sudan (former),Mali,Thailand,Turkey
1961,7813.0,12000.0,-1.0,3600.0,-1.0,10714.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,1000.0,6444.0,-1.0,-1.0,5000.0,-1.0,26931.0,12771.0,-1.0,6638.0,-1.0,3333.0,-1.0,-1.0,-1.0,15529.0,43320.0,-1.0,14667.0,36667.0,-1.0,-1.0,-1.0,-1.0,58824.0,15000.0,8571.0,-1.0,-1.0,4000.0,-1.0,8108.0,6315.0,88889.0,7143.0,11176.0,-1.0,-1.0,7327.0,8182.0,60000.0,-1.0,-1.0,33158.0,-1.0,-1.0,13907.0,18803.0,-1.0,12500.0,10217.0,41617.0,-1.0,20000.0,11538.0,-1.0,26667.0,14222.0,33158.0,-1.0,-1.0,11532.0,20000.0
1962,7813.0,12000.0,-1.0,4819.0,-1.0,11000.0,-1.0,-1.0,-1.0,-1.0,-1.0,40000.0,1000.0,6522.0,-1.0,-1.0,5000.0,-1.0,19931.0,12745.0,-1.0,6857.0,-1.0,2808.0,-1.0,-1.0,-1.0,18660.0,42979.0,-1.0,14778.0,36774.0,-1.0,-1.0,-1.0,-1.0,70588.0,15025.0,8409.0,-1.0,-1.0,4000.0,-1.0,8378.0,6672.0,100000.0,7143.0,11176.0,-1.0,-1.0,7389.0,8182.0,60000.0,-1.0,-1.0,34211.0,-1.0,-1.0,20108.0,27350.0,-1.0,12500.0,10213.0,42775.0,-1.0,20000.0,11538.0,-1.0,28000.0,14222.0,34211.0,-1.0,-1.0,12972.0,20000.0
1963,7813.0,12000.0,-1.0,5043.0,-1.0,11111.0,-1.0,-1.0,-1.0,-1.0,-1.0,23000.0,1000.0,6809.0,-1.0,-1.0,5000.0,-1.0,21500.0,12095.0,-1.0,6653.0,-1.0,3333.0,-1.0,-1.0,-1.0,16078.0,53644.0,-1.0,14889.0,37419.0,-1.0,-1.0,-1.0,-1.0,70588.0,15049.0,8636.0,-1.0,-1.0,4000.0,-1.0,8421.0,6551.0,100000.0,7534.0,11176.0,-1.0,-1.0,7708.0,8182.0,60000.0,-1.0,-1.0,36667.0,-1.0,-1.0,14475.0,26496.0,-1.0,12500.0,10417.0,55804.0,-1.0,21000.0,11538.0,-1.0,28947.0,14222.0,36667.0,-1.0,-1.0,14691.0,20000.0
1964,7879.0,12069.0,-1.0,4216.0,-1.0,12500.0,-1.0,-1.0,-1.0,-1.0,-1.0,23000.0,1000.0,6875.0,-1.0,-1.0,5000.0,-1.0,26862.0,12330.0,-1.0,6777.0,-1.0,3667.0,-1.0,-1.0,-1.0,18788.0,55710.0,-1.0,15000.0,37500.0,-1.0,-1.0,-1.0,-1.0,70588.0,15072.0,8478.0,-1.0,-1.0,4000.0,-1.0,8684.0,6634.0,100000.0,7527.0,11064.0,-1.0,-1.0,8195.0,8182.0,60000.0,-1.0,-1.0,35000.0,-1.0,-1.0,14917.0,17094.0,-1.0,11818.0,10408.0,57343.0,-1.0,22000.0,11333.0,-1.0,29487.0,14222.0,35000.0,-1.0,-1.0,13190.0,20000.0
1965,7941.0,12069.0,-1.0,3775.0,-1.0,12500.0,-1.0,-1.0,-1.0,-1.0,-1.0,23000.0,1000.0,6939.0,-1.0,-1.0,5000.0,-1.0,49935.0,10481.0,-1.0,6586.0,-1.0,3333.0,-1.0,-1.0,-1.0,19412.0,49073.0,-1.0,15111.0,37538.0,-1.0,-1.0,-1.0,-1.0,70588.0,15094.0,8696.0,-1.0,-1.0,3964.0,-1.0,8718.0,5741.0,100000.0,7273.0,5911.0,-1.0,-1.0,9535.0,8182.0,60000.0,-1.0,-1.0,38049.0,-1.0,-1.0,12678.0,24786.0,-1.0,11818.0,10400.0,48036.0,-1.0,23000.0,11333.0,-1.0,26667.0,14222.0,38049.0,-1.0,-1.0,14299.0,20000.0
1966,7941.0,12069.0,-1.0,3115.0,-1.0,11111.0,-1.0,-1.0,-1.0,-1.0,-1.0,24000.0,1000.0,7000.0,-1.0,-1.0,5000.0,-1.0,23269.0,12581.0,-1.0,6795.0,-1.0,3333.0,-1.0,-1.0,-1.0,23333.0,60600.0,-1.0,15222.0,35758.0,-1.0,-1.0,-1.0,-1.0,70588.0,15116.0,8542.0,-1.0,-1.0,4079.0,-1.0,8974.0,5798.0,100000.0,8200.0,11513.0,-1.0,-1.0,9225.0,11494.0,60000.0,-1.0,-1.0,40000.0,-1.0,-1.0,29956.0,27350.0,-1.0,12000.0,10600.0,60530.0,-1.0,24000.0,11333.0,-1.0,26042.0,14286.0,40000.0,-1.0,-1.0,15232.0,20833.0
1967,7667.0,12121.0,-1.0,3778.0,-1.0,10400.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,1000.0,7200.0,-1.0,-1.0,5000.0,-1.0,21762.0,12584.0,-1.0,6944.0,-1.0,3333.0,-1.0,-1.0,-1.0,20729.0,54850.0,-1.0,15000.0,38182.0,-1.0,-1.0,-1.0,-1.0,70588.0,15138.0,8750.0,-1.0,-1.0,4100.0,-1.0,9000.0,6358.0,100000.0,8940.0,11341.0,-1.0,-1.0,10186.0,8230.0,60000.0,-1.0,-1.0,40000.0,-1.0,-1.0,14231.0,38462.0,-1.0,12000.0,10588.0,61558.0,-1.0,24000.0,11765.0,-1.0,26000.0,15529.0,40000.0,-1.0,-1.0,14436.0,20000.0
1968,7667.0,12121.0,-1.0,3603.0,-1.0,10400.0,-1.0,-1.0,-1.0,-1.0,-1.0,26000.0,2000.0,7255.0,-1.0,-1.0,5000.0,-1.0,23278.0,12963.0,-1.0,6949.0,-1.0,3333.0,-1.0,-1.0,-1.0,21486.0,61983.0,-1.0,15109.0,37647.0,-1.0,-1.0,-1.0,-1.0,70588.0,15158.0,8600.0,-1.0,-1.0,4099.0,-1.0,9024.0,6018.0,100000.0,7862.0,8795.0,-1.0,-1.0,10836.0,5784.0,60000.0,-1.0,-1.0,40476.0,-1.0,-1.0,14761.0,41026.0,-1.0,12174.0,10769.0,63158.0,-1.0,24000.0,11765.0,-1.0,26000.0,14826.0,40476.0,-1.0,-1.0,15271.0,26000.0
1969,7576.0,12121.0,-1.0,4496.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,26000.0,2000.0,7451.0,-1.0,-1.0,5000.0,-1.0,21217.0,12746.0,-1.0,7094.0,-1.0,3333.0,-1.0,-1.0,-1.0,18732.0,70678.0,-1.0,15217.0,37143.0,-1.0,-1.0,-1.0,-1.0,70588.0,15179.0,8800.0,-1.0,-1.0,4114.0,-1.0,9268.0,5792.0,100000.0,6031.0,16125.0,-1.0,-1.0,11607.0,6838.0,60000.0,-1.0,-1.0,40000.0,-1.0,-1.0,15117.0,32479.0,-1.0,12174.0,10755.0,71273.0,-1.0,24000.0,14535.0,-1.0,26000.0,14831.0,40000.0,-1.0,-1.0,14652.0,18000.0
1970,7576.0,12000.0,-1.0,4119.0,-1.0,10625.0,-1.0,-1.0,-1.0,-1.0,-1.0,25000.0,2000.0,7500.0,-1.0,-1.0,5000.0,-1.0,21500.0,13244.0,-1.0,7539.0,-1.0,3333.0,-1.0,-1.0,-1.0,23896.0,60960.0,-1.0,15000.0,39697.0,-1.0,-1.0,-1.0,-1.0,70588.0,15198.0,8654.0,-1.0,-1.0,4148.0,-1.0,9250.0,6643.0,100000.0,6250.0,11147.0,-1.0,-1.0,11089.0,7287.0,60000.0,-1.0,-1.0,43902.0,-1.0,-1.0,19044.0,23026.0,-1.0,12083.0,10926.0,58519.0,-1.0,24211.0,12632.0,-1.0,27000.0,14831.0,43902.0,-1.0,-1.0,15557.0,15000.0
