,Kenya,"China, Taiwan Province of",Croatia,Burkina Faso,Philippines,Syrian Arab Republic,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,Maldives,Slovenia,Greece,Yugoslav SFR,Republic of Korea,Melanesia,Cuba,Yemen,Rwanda,Portugal,Australia & New Zealand,Barbados,Guatemala,French Polynesia,Algeria,El Salvador,United Arab Emirates,Senegal,Mauritius,Ukraine,Israel,Fiji,Belgium,Switzerland,Sri Lanka,Uruguay,Azerbaijan,Czechoslovakia,Egypt,Bosnia and Herzegovina,China,Uzbekistan,Colombia,Libya,Lebanon,Czechia,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Saint Vincent and the Grenadines,France,"China, mainland",Mali,Thailand,Paraguay,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Germany,Sudan (former),Dominican Republic,South Sudan,Namibia,Benin,United Kingdom,Canada,Japan,Iraq,The former Yugoslav Republic of Macedonia,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,New Zealand,Bahrain,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Kuwait,Nigeria,Turkey,Kyrgyzstan,Argentina,Costa Rica,Georgia,India,Guadeloupe,Austria,Niger,Morocco,Bhutan,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Tunisia,Côte d'Ivoire,Albania,Slovakia,Jamaica,Brunei Darussalam,Trinidad and Tobago,Italy,Polynesia,Panama,Australia,Montserrat,Ghana,Finland,Netherlands,Oman,Guyana,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,150.0,-1.0,-1.0,920.0,1900.0,-1.0,-1.0,-1.0,-1.0,48000.0,1.0,-1.0,2650.0,19600.0,14732.0,0.0,500.0,-1.0,-1.0,170.0,-1.0,-1.0,410.0,1.0,-1.0,160.0,-1.0,-1,80.0,-1.0,900.0,-1.0,-1.0,-1.0,11000.0,641.0,-1.0,1510.0,3781.0,-1.0,280150.0,-1.0,325.0,100.0,-1.0,-1.0,-1.0,1900.0,12200.0,-1.0,-1.0,3.0,343.0,280000.0,-1.0,600.0,2200.0,-1.0,1500.0,2400.0,8200.0,-1.0,-1.0,-1.0,-1.0,-1.0,300.0,450.0,-1,-1.0,6000.0,-1.0,400.0,1000.0,800.0,-1.0,700.0,30.0,-1.0,20300.0,-1.0,-1.0,-1.0,13178.0,19113.0,-1.0,-1,-1.0,-1.0,48500.0,20900.0,-1.0,10000.0,-1.0,-1.0,2850.0,-1.0,257.0,-1.0,2000.0,-1.0,-1.0,34117.0,5600.0,14000.0,100.0,-1.0,800.0,641.0,7000.0,1500.0,-1.0,-1.0,90.0,-1.0,35.0,11300.0,1.0,115.0,-1.0,6.0,20000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,180.0,-1.0,-1.0,970.0,1900.0,-1.0,-1.0,-1.0,-1.0,48000.0,1.0,-1.0,2520.0,20700.0,16326.0,0.0,500.0,-1.0,-1.0,170.0,-1.0,-1.0,410.0,1.0,-1.0,160.0,-1.0,-1,100.0,-1.0,922.0,-1.0,-1.0,-1.0,12000.0,600.0,-1.0,1500.0,4201.0,-1.0,200180.0,-1.0,330.0,100.0,-1.0,-1.0,-1.0,1900.0,13800.0,-1.0,-1.0,3.0,459.0,200000.0,-1.0,610.0,2300.0,-1.0,1500.0,2220.0,8400.0,-1.0,-1.0,-1.0,-1.0,-1.0,300.0,450.0,-1,-1.0,6700.0,-1.0,400.0,1000.0,800.0,-1.0,710.0,30.0,-1.0,21900.0,-1.0,-1.0,-1.0,12714.0,17515.0,-1.0,-1,-1.0,-1.0,50000.0,21700.0,-1.0,11000.0,-1.0,-1.0,2870.0,-1.0,269.0,-1.0,2050.0,-1.0,-1.0,37409.0,5600.0,15000.0,110.0,-1.0,1500.0,688.0,7000.0,1500.0,-1.0,-1.0,90.0,-1.0,40.0,12000.0,1.0,130.0,-1.0,6.0,21000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,200.0,-1.0,-1.0,1010.0,1900.0,-1.0,-1.0,-1.0,-1.0,64000.0,1.0,-1.0,2710.0,22200.0,15950.0,0.0,500.0,-1.0,-1.0,170.0,-1.0,-1.0,410.0,1.0,-1.0,170.0,-1.0,-1,100.0,-1.0,828.0,-1.0,-1.0,-1.0,13000.0,600.0,-1.0,2100.0,4201.0,-1.0,170200.0,-1.0,335.0,100.0,-1.0,-1.0,-1.0,1910.0,16200.0,-1.0,-1.0,3.0,532.0,170000.0,-1.0,620.0,2400.0,-1.0,1500.0,2150.0,8500.0,-1.0,-1.0,-1.0,-1.0,-1.0,320.0,450.0,-1,-1.0,7000.0,-1.0,500.0,1100.0,815.0,-1.0,720.0,30.0,1.0,22900.0,-1.0,-1.0,-1.0,13032.0,17850.0,-1.0,-1,-1.0,-1.0,51000.0,22200.0,-1.0,10000.0,-1.0,-1.0,2890.0,-1.0,313.0,-1.0,2100.0,-1.0,-1.0,40129.0,5600.0,16000.0,110.0,-1.0,1300.0,698.0,7000.0,1600.0,-1.0,-1.0,90.0,-1.0,45.0,15100.0,1.0,145.0,-1.0,6.0,22000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,249.0,-1.0,-1.0,1060.0,1800.0,-1.0,-1.0,-1.0,-1.0,67000.0,1.0,-1.0,2560.0,22900.0,19247.0,0.0,500.0,-1.0,-1.0,170.0,-1.0,-1.0,420.0,1.0,-1.0,170.0,-1.0,-1,100.0,-1.0,844.0,-1.0,-1.0,-1.0,14402.0,600.0,-1.0,2100.0,4621.0,-1.0,150249.0,-1.0,340.0,100.0,-1.0,-1.0,-1.0,1920.0,11100.0,-1.0,-1.0,3.0,552.0,150000.0,-1.0,630.0,2500.0,-1.0,1500.0,2360.0,8500.0,-1.0,-1.0,-1.0,-1.0,-1.0,350.0,480.0,-1,-1.0,7200.0,-1.0,300.0,1150.0,1065.0,-1.0,740.0,35.0,1.0,20800.0,-1.0,-1.0,-1.0,13962.0,17421.0,-1.0,-1,-1.0,-1.0,52000.0,23000.0,-1.0,8601.0,-1.0,-1.0,3100.0,-1.0,331.0,-1.0,1700.0,-1.0,-1.0,41517.0,5600.0,15000.0,150.0,-1.0,1500.0,829.0,7000.0,1600.0,-1.0,-1.0,110.0,-1.0,50.0,15318.0,1.0,150.0,-1.0,6.0,23000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,366.0,-1.0,-1.0,1110.0,1940.0,-1.0,-1.0,-1.0,-1.0,80000.0,1.0,-1.0,2570.0,23700.0,19417.0,0.0,500.0,-1.0,-1.0,170.0,-1.0,-1.0,420.0,1.0,-1.0,170.0,-1.0,-1,107.0,-1.0,1200.0,-1.0,-1.0,-1.0,19669.0,600.0,-1.0,1000.0,4621.0,-1.0,150366.0,-1.0,345.0,100.0,-1.0,-1.0,-1.0,1940.0,12000.0,-1.0,-1.0,4.0,683.0,150000.0,-1.0,640.0,2600.0,-1.0,1500.0,2865.0,8600.0,-1.0,-1.0,-1.0,-1.0,-1.0,350.0,550.0,-1,-1.0,7400.0,-1.0,300.0,2740.0,1165.0,-1.0,760.0,43.0,2.0,21600.0,-1.0,-1.0,-1.0,12067.0,18425.0,-1.0,-1,-1.0,-1.0,53000.0,23700.0,-1.0,10884.0,-1.0,-1.0,3200.0,-1.0,241.0,-1.0,1950.0,-1.0,-1.0,41751.0,5600.0,15000.0,120.0,-1.0,1500.0,904.0,7000.0,1700.0,-1.0,-1.0,130.0,-1.0,55.0,15904.0,1.0,160.0,-1.0,6.0,24000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,366.0,-1.0,-1.0,1160.0,1850.0,-1.0,-1.0,-1.0,-1.0,90000.0,1.0,-1.0,2670.0,26800.0,22958.0,0.0,600.0,-1.0,-1.0,170.0,-1.0,-1.0,430.0,1.0,600.0,180.0,-1.0,-1,97.0,-1.0,1285.0,-1.0,-1.0,-1.0,19180.0,612.0,-1.0,1730.0,5789.0,-1.0,145366.0,-1.0,350.0,110.0,-1.0,-1.0,-1.0,1950.0,13600.0,-1.0,-1.0,4.0,696.0,145000.0,-1.0,650.0,2700.0,-1.0,1750.0,3530.0,8800.0,-1.0,-1.0,-1.0,-1.0,-1.0,370.0,900.0,-1,-1.0,7600.0,-1.0,300.0,3480.0,1553.0,-1.0,790.0,47.0,2.0,22700.0,-1.0,-1.0,-1.0,16469.0,19615.0,-1.0,-1,-1.0,-1.0,55000.0,24200.0,-1.0,10617.0,-1.0,-1.0,3200.0,-1.0,655.0,-1.0,2250.0,-1.0,-1.0,42502.0,5900.0,17000.0,661.0,-1.0,1200.0,943.0,8000.0,1700.0,-1.0,-1.0,130.0,-1.0,55.0,17287.0,1.0,160.0,-1.0,6.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,509.0,-1.0,-1.0,1160.0,3921.0,-1.0,-1.0,-1.0,-1.0,90000.0,2.0,-1.0,2610.0,27200.0,28584.0,0.0,1382.0,-1.0,-1.0,170.0,-1.0,-1.0,430.0,1.0,1200.0,180.0,2.0,-1,135.0,-1.0,1345.0,-1.0,-1.0,-1.0,23888.0,610.0,-1.0,1915.0,6360.0,-1.0,145509.0,-1.0,355.0,120.0,-1.0,-1.0,-1.0,1960.0,14600.0,-1.0,-1.0,4.0,759.0,145000.0,-1.0,660.0,2800.0,-1.0,1750.0,3765.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,380.0,1000.0,-1,-1.0,7600.0,-1.0,600.0,3540.0,1335.0,-1.0,790.0,60.0,3.0,23500.0,-1.0,-1.0,-1.0,16166.0,19016.0,-1.0,-1,-1.0,-1.0,56000.0,22400.0,-1.0,10593.0,-1.0,-1.0,3250.0,-1.0,913.0,-1.0,2250.0,-1.0,-1.0,37801.0,5900.0,17000.0,538.0,-1.0,1071.0,747.0,8000.0,1800.0,-1.0,-1.0,130.0,-1.0,55.0,18175.0,1.0,200.0,-1.0,16.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,749.0,-1.0,-1.0,1210.0,1949.0,-1.0,-1.0,-1.0,-1.0,83569.0,1.0,-1.0,3000.0,28000.0,33796.0,0.0,676.0,-1.0,-1.0,170.0,-1.0,-1.0,490.0,1.0,2400.0,190.0,2.0,-1,185.0,-1.0,1380.0,-1.0,-1.0,-1.0,24953.0,610.0,-1.0,1986.0,7141.0,-1.0,135749.0,-1.0,360.0,140.0,-1.0,-1.0,-1.0,1970.0,13600.0,-1.0,-1.0,4.0,737.0,135000.0,-1.0,670.0,2900.0,-1.0,2000.0,3675.0,9300.0,-1.0,-1.0,-1.0,-1.0,-1.0,380.0,1000.0,-1,-1.0,7700.0,-1.0,700.0,3590.0,1654.0,-1.0,774.0,90.0,4.0,23500.0,-1.0,-1.0,-1.0,16664.0,20890.0,-1.0,-1,-1.0,-1.0,57000.0,22400.0,-1.0,10330.0,-1.0,-1.0,3250.0,-1.0,967.0,-1.0,2000.0,-1.0,-1.0,38259.0,5900.0,21000.0,648.0,-1.0,668.0,590.0,8000.0,1800.0,-1.0,-1.0,120.0,-1.0,60.0,18780.0,1.0,260.0,-1.0,12.0,25000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,803.0,-1.0,-1.0,1260.0,1919.0,-1.0,-1.0,-1.0,-1.0,100000.0,1.0,-1.0,2380.0,28852.0,31823.0,0.0,874.0,-1.0,-1.0,120.0,-1.0,-1.0,460.0,1.0,3000.0,190.0,3.0,-1,212.0,-1.0,1380.0,-1.0,-1.0,-1.0,22077.0,610.0,-1.0,2106.0,9500.0,-1.0,135803.0,-1.0,365.0,150.0,-1.0,-1.0,-1.0,1980.0,14100.0,-1.0,-1.0,5.0,993.0,135000.0,-1.0,680.0,3000.0,-1.0,2000.0,3620.0,9600.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,1200.0,-1,-1.0,7900.0,-1.0,800.0,3840.0,1717.0,-1.0,752.0,80.0,5.0,22265.0,-1.0,-1.0,-1.0,15729.0,20881.0,-1.0,-1,-1.0,-1.0,59000.0,23400.0,-1.0,11360.0,-1.0,-1.0,3260.0,-1.0,1017.0,-1.0,2000.0,-1.0,-1.0,35588.0,5900.0,21000.0,700.0,-1.0,570.0,747.0,9000.0,2000.0,-1.0,-1.0,120.0,-1.0,55.0,18923.0,1.0,200.0,-1.0,6.0,27000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,845.0,-1.0,-1.0,1280.0,2142.0,-1.0,-1.0,-1.0,-1.0,100000.0,1.0,-1.0,2300.0,30635.0,36983.0,0.0,800.0,-1.0,-1.0,120.0,-1.0,-1.0,440.0,1.0,3400.0,200.0,8.0,-1,133.0,-1.0,1190.0,-1.0,-1.0,-1.0,20249.0,610.0,-1.0,2109.0,7141.0,-1.0,90845.0,-1.0,370.0,160.0,-1.0,-1.0,-1.0,1990.0,14000.0,-1.0,-1.0,5.0,1350.0,90000.0,-1.0,690.0,3100.0,-1.0,2000.0,3940.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,400.0,1200.0,-1,-1.0,8000.0,-1.0,600.0,4630.0,1650.0,-1.0,731.0,54.0,6.0,24200.0,-1.0,-1.0,-1.0,16537.0,19287.0,-1.0,-1,-1.0,-1.0,60000.0,26000.0,-1.0,8584.0,-1.0,-1.0,3270.0,-1.0,1013.0,-1.0,2000.0,-1.0,-1.0,36291.0,5900.0,19400.0,700.0,-1.0,537.0,550.0,9500.0,2000.0,-1.0,-1.0,83.0,-1.0,55.0,19620.0,1.0,100.0,-1.0,15.0,27900.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
