,"China, mainland",Seychelles,Viet Nam,Dominica,Sao Tome and Principe,Indonesia,China,Madagascar,Sri Lanka
1961,-1.0,1614.0,5000.0,-1.0,2500.0,5556.0,-1.0,8333.0,4727.0
1962,-1.0,1550.0,5000.0,-1.0,2500.0,5455.0,-1.0,8333.0,4727.0
1963,-1.0,1750.0,5000.0,-1.0,2500.0,5526.0,-1.0,10000.0,4727.0
1964,-1.0,1643.0,7000.0,-1.0,3000.0,5000.0,-1.0,10000.0,4773.0
1965,-1.0,1563.0,5000.0,-1.0,3000.0,5000.0,-1.0,10000.0,4781.0
1966,-1.0,1600.0,3000.0,-1.0,2857.0,3500.0,-1.0,10909.0,4760.0
1967,-1.0,1707.0,3000.0,-1.0,2778.0,5904.0,-1.0,10909.0,4768.0
1968,-1.0,1771.0,3000.0,-1.0,3000.0,3520.0,-1.0,11667.0,4780.0
1969,-1.0,1718.0,3000.0,-1.0,3000.0,4681.0,-1.0,15556.0,4769.0
1970,-1.0,1756.0,4000.0,-1.0,3125.0,3528.0,-1.0,12727.0,4785.0
1971,-1.0,1806.0,2667.0,-1.0,3125.0,3471.0,-1.0,14429.0,4777.0
1972,-1.0,1783.0,2667.0,-1.0,3000.0,3620.0,-1.0,14380.0,4775.0
1973,-1.0,1798.0,2667.0,-1.0,3182.0,3480.0,-1.0,14532.0,4776.0
1974,-1.0,1800.0,1333.0,-1.0,3000.0,3610.0,-1.0,14545.0,4778.0
1975,-1.0,1797.0,6667.0,-1.0,3000.0,4694.0,-1.0,14598.0,4772.0
1976,-1.0,1818.0,8000.0,-1.0,3000.0,3772.0,-1.0,14667.0,4767.0
1977,-1.0,1809.0,9333.0,-1.0,3000.0,5126.0,-1.0,12917.0,4773.0
1978,-1.0,1771.0,6667.0,-1.0,3000.0,5357.0,-1.0,14583.0,4770.0
1979,-1.0,1797.0,5333.0,-1.0,3000.0,3881.0,-1.0,26351.0,4767.0
1980,-1.0,1797.0,6000.0,-1.0,3000.0,3681.0,-1.0,18784.0,4777.0
1981,-1.0,1774.0,4500.0,-1.0,3000.0,3026.0,-1.0,21081.0,4780.0
1982,-1.0,1813.0,6500.0,-1.0,3000.0,2578.0,-1.0,21600.0,4777.0
1983,-1.0,1827.0,8000.0,-1.0,3000.0,3514.0,-1.0,22133.0,4776.0
1984,-1.0,1800.0,7500.0,-1.0,3000.0,4504.0,-1.0,23158.0,4646.0
1985,5143.0,1788.0,7200.0,3143.0,3000.0,5505.0,5143.0,22222.0,4652.0
1986,5714.0,2034.0,5000.0,3714.0,3000.0,5636.0,5714.0,21818.0,4506.0
1987,5714.0,1769.0,5143.0,3714.0,3000.0,7838.0,5714.0,21250.0,4449.0
1988,6286.0,1778.0,6024.0,4000.0,3000.0,6994.0,6286.0,22000.0,4743.0
1989,5714.0,1750.0,5263.0,4000.0,3000.0,6200.0,5714.0,22778.0,5012.0
1990,8689.0,1636.0,5246.0,3158.0,3010.0,6532.0,8689.0,20000.0,5175.0
1991,7110.0,1711.0,5330.0,6539.0,2905.0,6197.0,7110.0,22727.0,4862.0
1992,7483.0,1644.0,5484.0,6200.0,2892.0,6722.0,7483.0,21000.0,5211.0
1993,7856.0,1613.0,5469.0,6500.0,2879.0,6886.0,7856.0,20413.0,5045.0
1994,8229.0,1737.0,5634.0,6706.0,2866.0,7383.0,8229.0,20129.0,4924.0
1995,8602.0,1824.0,5867.0,6923.0,2853.0,7320.0,8602.0,18889.0,4948.0
1996,8975.0,1943.0,4813.0,6807.0,2840.0,7305.0,8975.0,18750.0,4926.0
1997,9348.0,1673.0,3500.0,7143.0,2828.0,6305.0,9348.0,19479.0,4996.0
1998,9652.0,1542.0,3800.0,6898.0,2815.0,6774.0,9652.0,19467.0,4790.0
1999,9814.0,1375.0,3600.0,6896.0,2802.0,5984.0,9814.0,19470.0,4974.0
2000,10278.0,1034.0,3500.0,6903.0,2789.0,6854.0,10278.0,19664.0,4994.0
2001,10811.0,1048.0,3062.0,6912.0,2776.0,5805.0,10811.0,19712.0,5136.0
2002,11842.0,964.0,3438.0,6922.0,2764.0,6302.0,11842.0,19741.0,5252.0
2003,11899.0,800.0,3529.0,7333.0,2750.0,8881.0,11899.0,20257.0,4987.0
2004,12308.0,750.0,3571.0,6960.0,2735.0,12433.0,12308.0,20136.0,5106.0
2005,12500.0,667.0,3622.0,6956.0,2720.0,12597.0,12500.0,19993.0,5126.0
2006,12791.0,667.0,3750.0,6914.0,2740.0,12559.0,12791.0,19825.0,5070.0
2007,12222.0,618.0,3750.0,7500.0,2716.0,9735.0,12222.0,20625.0,5186.0
2008,13653.0,606.0,3750.0,6746.0,2727.0,10008.0,13653.0,18750.0,5017.0
2009,14493.0,630.0,3774.0,6594.0,2691.0,10354.0,14493.0,18947.0,5198.0
2010,15750.0,622.0,3612.0,6429.0,2719.0,8872.0,15750.0,18519.0,5471.0
2011,16118.0,600.0,3561.0,6256.0,2627.0,8844.0,16118.0,17692.0,5466.0
2012,17250.0,600.0,3638.0,5000.0,2500.0,8802.0,17250.0,17778.0,5288.0
2013,16951.0,609.0,3634.0,5972.0,2477.0,8720.0,16951.0,17778.0,5273.0
2014,17250.0,615.0,3629.0,6370.0,2555.0,8339.0,17250.0,17820.0,5680.0
