,Seychelles,United Republic of Tanzania,Kenya,Morocco,Malaysia,Comoros,Mexico,Grenada,China,Togo,Sri Lanka,Indonesia,"China, mainland",Madagascar
1961,-1,9500.0,-1.0,-1,50.0,70.0,-1,-1.0,-1.0,-1,150.0,7000.0,-1.0,11000.0
1962,-1,9000.0,-1.0,-1,30.0,160.0,-1,-1.0,-1.0,-1,100.0,6600.0,-1.0,3200.0
1963,-1,13000.0,-1.0,-1,90.0,180.0,-1,-1.0,-1.0,-1,100.0,7900.0,-1.0,5200.0
1964,-1,10000.0,-1.0,-1,40.0,180.0,-1,-1.0,-1.0,-1,100.0,14000.0,-1.0,5060.0
1965,-1,11000.0,-1.0,-1,30.0,200.0,-1,-1.0,-1.0,-1,100.0,8600.0,-1.0,6585.0
1966,-1,17000.0,-1.0,-1,45.0,200.0,-1,-1.0,-1.0,-1,100.0,17500.0,-1.0,815.0
1967,-1,17000.0,20.0,-1,50.0,230.0,-1,-1.0,-1.0,-1,100.0,8821.0,-1.0,13540.0
1968,-1,15500.0,20.0,-1,50.0,250.0,-1,-1.0,-1.0,-1,100.0,17156.0,-1.0,920.0
1969,-1,7428.0,20.0,-1,50.0,250.0,-1,-1.0,-1.0,-1,300.0,11038.0,-1.0,4790.0
1970,-1,4821.0,20.0,-1,75.0,280.0,-1,-1.0,-1.0,-1,300.0,15447.0,-1.0,13430.0
1971,-1,11000.0,20.0,-1,100.0,375.0,-1,-1.0,-1.0,-1,200.0,11331.0,-1.0,6345.0
1972,-1,13000.0,20.0,-1,65.0,250.0,-1,-1.0,-1.0,-1,200.0,15130.0,-1.0,5810.0
1973,-1,13000.0,20.0,-1,100.0,250.0,-1,-1.0,-1.0,-1,650.0,27446.0,-1.0,4305.0
1974,-1,5000.0,20.0,-1,125.0,370.0,-1,-1.0,-1.0,-1,600.0,14998.0,-1.0,23000.0
1975,-1,13341.0,20.0,-1,125.0,521.0,-1,-1.0,-1.0,-1,400.0,19294.0,-1.0,4500.0
1976,-1,10159.0,20.0,-1,150.0,764.0,-1,-1.0,-1.0,-1,500.0,20032.0,-1.0,12930.0
1977,-1,9441.0,20.0,-1,150.0,212.0,-1,-1.0,-1.0,-1,1300.0,39923.0,-1.0,13555.0
1978,-1,3769.0,20.0,-1,175.0,250.0,-1,-1.0,-1.0,-1,1000.0,21554.0,-1.0,12790.0
1979,-1,12573.0,20.0,-1,175.0,350.0,-1,-1.0,-1.0,-1,1000.0,18208.0,-1.0,4180.0
1980,-1,6484.0,20.0,-1,225.0,1200.0,-1,-1.0,-1.0,-1,1300.0,34218.0,-1.0,12250.0
1981,-1,6144.0,20.0,-1,200.0,500.0,-1,-1.0,-1.0,-1,1400.0,29352.0,-1.0,10800.0
1982,-1,2931.0,20.0,-1,210.0,700.0,-1,-1.0,-1.0,-1,1200.0,32809.0,-1.0,9905.0
1983,-1,6843.0,20.0,-1,200.0,1200.0,-1,-1.0,-1.0,-1,1800.0,41828.0,-1.0,4230.0
1984,-1,10815.0,20.0,-1,175.0,950.0,-1,-1.0,-1.0,-1,1700.0,48888.0,-1.0,18000.0
1985,-1,1548.0,20.0,-1,200.0,1200.0,-1,-1.0,-1.0,-1,737.0,41900.0,-1.0,14000.0
1986,-1,11300.0,20.0,-1,210.0,1500.0,-1,-1.0,500.0,-1,710.0,50628.0,500.0,7100.0
1987,-1,1880.0,20.0,-1,225.0,1300.0,-1,23.0,500.0,-1,651.0,71002.0,500.0,6500.0
1988,-1,12700.0,20.0,-1,230.0,1300.0,-1,20.0,500.0,-1,1052.0,81224.0,500.0,10100.0
1989,-1,4065.0,20.0,-1,230.0,1300.0,-1,21.0,400.0,-1,1179.0,56398.0,400.0,7100.0
1990,-1,2078.0,21.0,-1,235.0,1350.0,-1,21.0,500.0,-1,1351.0,66912.0,500.0,9500.0
1991,-1,15393.0,468.0,-1,240.0,1090.0,-1,21.0,400.0,-1,1354.0,80253.0,400.0,14644.0
1992,-1,1700.0,403.0,-1,250.0,900.0,-1,22.0,200.0,-1,1799.0,73124.0,200.0,11534.0
1993,-1,1900.0,339.0,-1,255.0,1586.0,-1,21.0,265.0,-1,1500.0,67366.0,265.0,16500.0
1994,-1,4927.0,274.0,-1,230.0,2755.0,-1,23.0,293.0,-1,1400.0,78379.0,293.0,14000.0
1995,-1,1576.0,98.0,-1,224.0,1500.0,-1,24.0,300.0,-1,1500.0,90007.0,300.0,13000.0
1996,-1,10339.0,30.0,-1,218.0,2000.0,-1,20.0,343.0,-1,1977.0,59479.0,343.0,13000.0
1997,-1,2506.0,40.0,-1,200.0,2000.0,-1,24.0,358.0,-1,2500.0,59194.0,358.0,14500.0
1998,-1,6300.0,50.0,-1,210.0,2294.0,-1,25.0,350.0,-1,2466.0,67177.0,350.0,13500.0
1999,-1,8027.0,70.0,-1,208.0,2438.0,-1,25.0,400.0,-1,3500.0,52903.0,400.0,12460.0
2000,-1,9000.0,550.0,-1,206.0,2582.0,-1,26.0,500.0,-1,1500.0,59879.0,500.0,11790.0
2001,-1,9200.0,700.0,-1,205.0,2725.0,-1,26.0,521.0,-1,2000.0,72685.0,521.0,11830.0
2002,-1,8018.0,1000.0,-1,204.0,2869.0,-1,27.0,550.0,-1,4100.0,79010.0,550.0,11770.0
2003,-1,9500.0,1000.0,-1,214.0,3013.0,-1,27.0,600.0,-1,3350.0,116415.0,600.0,18950.0
2004,-1,9900.0,1000.0,-1,215.0,3200.0,-1,28.0,700.0,-1,3270.0,73837.0,700.0,18055.0
2005,-1,10200.0,1000.0,-1,215.0,1500.0,-1,28.0,627.0,-1,3260.0,78350.0,627.0,9873.0
2006,-1,9800.0,1096.0,-1,216.0,2500.0,-1,29.0,696.0,-1,3140.0,61408.0,696.0,9900.0
