,Malaysia,"China, mainland",Comoros,Indonesia,Sri Lanka,Kenya,China,Madagascar,United Republic of Tanzania
1961,2500.0,,,3500.0,2500.0,,,3143.0,3800.0
1962,2308.0,,,3300.0,3333.0,,,1143.0,3600.0
1963,2571.0,,,3435.0,3333.0,,,1857.0,3714.0
1964,2667.0,,,3500.0,3333.0,,,1791.0,3333.0
1965,2308.0,,,3185.0,3333.0,,,2229.0,3438.0
1966,2500.0,,,3365.0,3333.0,,,284.0,4250.0
1967,2632.0,,,3267.0,3333.0,3077.0,,4320.0,4250.0
1968,2500.0,,,3237.0,3333.0,3077.0,,321.0,4429.0
1969,2500.0,,,3246.0,4286.0,3077.0,,1652.0,3714.0
1970,2500.0,,,3218.0,4286.0,3077.0,,4228.0,3214.0
1971,2500.0,,,3148.0,2857.0,3077.0,,1861.0,3667.0
1972,2407.0,,,3289.0,2857.0,3077.0,,1408.0,3714.0
1973,2500.0,,,4832.0,4643.0,3077.0,,922.0,3714.0
1974,2500.0,,,2155.0,4000.0,3077.0,,5627.0,3333.0
1975,2500.0,,,2717.0,2667.0,3077.0,,995.0,3812.0
1976,2500.0,,,2536.0,3125.0,3077.0,,2755.0,3386.0
1977,2500.0,,,4328.0,5000.0,3077.0,,2145.0,3372.0
1978,2500.0,,,2145.0,3704.0,3077.0,,1856.0,2513.0
1979,2500.0,,,1646.0,3571.0,3077.0,,598.0,3592.0
1980,2500.0,,,2479.0,4483.0,3077.0,,1703.0,2594.0
1981,2500.0,,,1697.0,4667.0,3077.0,,1490.0,2458.0
1982,2471.0,,,1713.0,3871.0,3077.0,,1340.0,2255.0
1983,2500.0,,,1893.0,5625.0,3077.0,,560.0,2737.0
1984,2500.0,,,1831.0,4857.0,3077.0,,2346.0,3605.0
1985,2500.0,,2000.0,1445.0,1856.0,3077.0,,1814.0,2211.0
1986,2471.0,3333.0,2500.0,1596.0,1434.0,3077.0,3333.0,920.0,3229.0
1987,2500.0,3333.0,2167.0,2242.0,1127.0,3077.0,3333.0,842.0,2848.0
1988,2527.0,3333.0,2167.0,2308.0,1784.0,3077.0,3333.0,1348.0,4097.0
1989,2527.0,2667.0,2167.0,1524.0,1949.0,3077.0,2667.0,882.0,2904.0
1990,2554.0,4095.0,2265.0,1612.0,2253.0,3182.0,4095.0,1188.0,2474.0
1991,2553.0,3636.0,2539.0,1745.0,2304.0,1412.0,3636.0,1829.0,5131.0
1992,2551.0,3333.0,2542.0,1806.0,2927.0,1661.0,3333.0,1440.0,2125.0
1993,2550.0,3973.0,2644.0,1754.0,2500.0,1933.0,3973.0,2063.0,3406.0
1994,2556.0,4352.0,2755.0,1999.0,2414.0,2113.0,4352.0,1795.0,3942.0
1995,2523.0,4773.0,2500.0,2338.0,2700.0,2712.0,4773.0,1733.0,2251.0
1996,2510.0,5230.0,2500.0,1648.0,2877.0,3000.0,5230.0,1733.0,5170.0
1997,2500.0,5718.0,2587.0,1605.0,3125.0,3077.0,5718.0,1822.0,3133.0
1998,2481.0,6226.0,2699.0,1770.0,3195.0,2941.0,6226.0,1696.0,5727.0
1999,2468.0,6731.0,2438.0,1701.0,3500.0,3182.0,6731.0,1565.0,6689.0
2000,2455.0,7211.0,2543.0,1535.0,3000.0,3143.0,7211.0,1475.0,6062.0
2001,2441.0,7707.0,2477.0,1817.0,3030.0,3784.0,7707.0,1487.0,6255.0
2002,2428.0,8839.0,2586.0,2120.0,3727.0,4167.0,8839.0,1486.0,6726.0
2003,2413.0,8967.0,2613.0,2772.0,4095.0,4294.0,8967.0,2401.0,7600.0
2004,2399.0,9320.0,2667.0,1893.0,4057.0,4255.0,9320.0,2288.0,7615.0
2005,2385.0,9648.0,2727.0,1959.0,4090.0,5344.0,9648.0,2652.0,7752.0
2006,2371.0,9949.0,2778.0,2052.0,4057.0,6264.0,9949.0,2700.0,7840.0
2007,2356.0,10667.0,2692.0,2649.0,4234.0,7521.0,10667.0,2686.0,7920.0
2008,2342.0,10313.0,2727.0,2262.0,5377.0,8718.0,10313.0,2751.0,8861.0
2009,2327.0,10620.0,2747.0,2572.0,5163.0,8696.0,10620.0,2700.0,9389.0
2010,2312.0,10933.0,2761.0,3065.0,5164.0,8621.0,10933.0,2712.0,9893.0
2011,2296.0,11295.0,2782.0,2184.0,5181.0,8718.0,11295.0,2822.0,10360.0
2012,2200.0,11500.0,2798.0,2023.0,5743.0,8750.0,11500.0,2903.0,11417.0
2013,2259.0,12000.0,2814.0,2186.0,5348.0,9000.0,12000.0,2972.0,11417.0
2014,2291.0,12476.0,2830.0,2417.0,7657.0,9473.0,12476.0,3040.0,11742.0
