,USSR,Finland,Vanuatu,Fiji,French Guiana,Kenya,Guyana,Papua New Guinea,Somalia,Micronesia,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Spain,Grenada,New Zealand,Honduras,Jamaica,Cabo Verde,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,Sao Tome and Principe,Pakistan,Greece,Tajikistan,Haiti,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Puerto Rico,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,"China, Taiwan Province of",Pacific Islands Trust Territory,Turkmenistan,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Montserrat,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Malta,Denmark,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Trinidad and Tobago,Belarus,Afghanistan,Switzerland,Sudan,Mauritius,Georgia,Lithuania,Russian Federation,Tunisia,Western Sahara,Paraguay,Venezuela (Bolivarian Republic of),Djibouti,Guadeloupe,South Africa,Myanmar,Eritrea,Australia & New Zealand,Australia,Panama,Togo,Thailand,Belize,Ethiopia,Bhutan,United Arab Emirates,Lao People's Democratic Republic,Zambia,Botswana,Yemen,Suriname,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Antigua and Barbuda,Ethiopia PDR,Estonia,Melanesia,Malaysia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Peru,United States of America,"China, mainland",The former Yugoslav Republic of Macedonia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Cuba,Lesotho,Romania,Micronesia (Federated States of),Norway,Philippines,Iraq,Swaziland,Burundi,Belgium,Luxembourg,Czechia,Senegal,Qatar,Italy,Ireland,Uganda,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Jordan,Sierra Leone,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Austria,Japan,Maldives,Timor-Leste,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Oman,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,Mexico,Guinea,Kuwait,Mauritania,Czechoslovakia,Sri Lanka,Guam,Côte d'Ivoire,Croatia,Bulgaria,Montenegro,Ukraine
1961,54850000.0,792723.0,700.0,110.0,40.0,998997.0,1320.0,209.0,521000.0,157.0,218297.0,6972370.0,,288200.0,40.0,6740264.0,761070.0,2977280.0,630.0,48786.0,292415.0,6475.0,20000.0,,44000.0,316153.0,614000.0,187500.0,270.0,2005083.0,577930.0,,420000.0,1379505.0,2288566.0,35320.0,846130.0,3485143.0,15422.0,1183000.0,59714.0,507000.0,1126179.0,62743.0,,154553.0,,1192481.0,24261.0,107.0,,110.0,84000.0,1170100.0,517000.0,383000.0,54800.0,99159.0,5364291.0,2200.0,,529675.0,10.0,0.0,88080.0,,216790.0,1580.0,1431214.0,21600.0,865000.0,1017469.0,,91975.0,3800.0,800.0,,873500.0,63795.0,,119.0,,,,275063.0,,95100.0,388720.0,,677.0,4684000.0,241460.0,,2512299.0,2463513.0,91800.0,359000.0,307204.0,6961.0,,44900.0,0.0,10000.0,932000.0,181700.0,1173277.0,711.0,660000.0,2097194.0,844000.0,,,1010.0,150000.0,150.0,331118.0,2462000.0,7644900.0,1252500.0,,4970000.0,,2029.0,6664.0,5110000.0,869714.0,628700.0,10463000.0,2000.0,484792.0,43439720.0,37916000.0,,44618016.0,36000.0,807000.0,398931.0,652330.0,125000.0,204527.0,4049100.0,,218435.0,2016270.0,914339.0,104964.0,127600.0,,,,888667.0,0.0,1918492.0,295901.0,989464.0,,37940261.0,1723557.0,,1825235.0,2177884.0,104477.0,33421.0,420363.0,1375465.0,,5500.0,626267.0,907780.0,179.0,16000.0,916415.0,5820600.0,85000.0,2321601.0,,219800.0,1600.0,260200.0,380.0,4959800.0,327397.0,100.0,6725148.0,220000.0,,245300.0,1839159.0,43621.0,50.0,265000.0,,1187991.0,,
1962,53916100.0,773491.0,700.0,110.0,43.0,1162997.0,911.0,228.0,515000.0,200.0,190330.0,7429046.0,,291600.0,40.0,7487807.0,749150.0,2927340.0,630.0,50196.0,308357.0,5261.0,20000.0,,60000.0,310070.0,617000.0,197800.0,270.0,1982114.0,546804.0,,420000.0,1399000.0,2221803.0,33000.0,850326.0,3360183.0,9039.0,1133000.0,64035.0,492000.0,1077611.0,69566.0,,175806.0,,1238335.0,27846.0,150.0,,110.0,84000.0,1140100.0,522500.0,403000.0,60200.0,102778.0,5403285.0,2100.0,,583910.0,10.0,0.0,101069.0,,216800.0,1630.0,1388045.0,22800.0,870000.0,1036000.0,,84036.0,3800.0,845.0,,874500.0,76030.0,,114.0,,,,316346.0,,98200.0,483259.0,,700.0,4831000.0,311486.0,,2519834.0,2469638.0,83100.0,363701.0,330641.0,4283.0,,46400.0,0.0,12000.0,934000.0,49608.0,1206668.0,659.0,635000.0,2307405.0,831000.0,,,910.0,150000.0,180.0,370997.0,3175000.0,7384800.0,1253000.0,,5174000.0,,1948.0,6461.0,4807020.0,892046.0,605700.0,10407000.0,2000.0,501225.0,42223243.0,37951000.0,,44587000.0,36000.0,900000.0,376671.0,666035.0,129862.0,204700.0,3614526.0,,219778.0,1949500.0,1011402.0,101735.0,117600.0,,,,922000.0,0.0,1811855.0,305028.0,994896.0,,37978846.0,1805978.0,,1973531.0,1820652.0,115737.0,32890.0,397915.0,1350647.0,,5500.0,627443.0,818130.0,240.0,20000.0,1015482.0,4901460.0,88000.0,2288027.0,,228900.0,1600.0,262020.0,358.0,4953000.0,335227.0,100.0,6771093.0,220000.0,,245300.0,1823364.0,41362.0,50.0,314000.0,,1185978.0,,
1963,54394100.0,817600.0,700.0,123.0,10.0,1265189.0,954.0,237.0,520000.0,115.0,208194.0,8049994.0,,268780.0,24.0,7400188.0,752160.0,2918597.0,630.0,49026.0,305646.0,6070.0,20000.0,,46000.0,296675.0,607000.0,204000.0,270.0,1904497.0,547001.0,,420000.0,1515759.0,2140276.0,31400.0,919611.0,3289275.0,9039.0,1083000.0,53035.0,465382.0,1147553.0,71171.0,,94470.0,,1233341.0,29177.0,65.0,,115.0,100000.0,1300150.0,523500.0,353000.0,57150.0,88626.0,5360674.0,2250.0,,551083.0,10.0,0.0,115000.0,,209700.0,1668.0,1435087.0,17900.0,886000.0,980705.0,,79408.0,3800.0,825.0,,875500.0,69920.0,,114.0,,,,592000.0,,99400.0,426718.0,,720.0,5092000.0,292294.0,,2551305.0,2502279.0,94100.0,407950.0,397698.0,4283.0,,48000.0,0.0,10000.0,957000.0,48300.0,1239363.0,435.0,637000.0,2375985.0,861000.0,,,860.0,150000.0,240.0,418397.0,2559000.0,7296100.0,1224000.0,,5185700.0,,1920.0,9237.0,5280715.0,939178.0,582300.0,10570000.0,5000.0,499070.0,43331744.0,38936000.0,,44172008.0,36000.0,890000.0,361995.0,728040.0,123000.0,204700.0,3820615.0,,225343.0,1897570.0,912699.0,81600.0,129900.0,,,,1007000.0,0.0,1789991.0,308577.0,983606.0,,38965177.0,1907725.0,,2018946.0,2672300.0,83321.0,34941.0,376080.0,1250494.0,,5500.0,613547.0,749800.0,292.0,18000.0,976683.0,5739810.0,88000.0,2481715.0,,201600.0,1600.0,272750.0,376.0,4979700.0,340397.0,100.0,7486953.0,215000.0,,251800.0,1771348.0,47377.0,50.0,341000.0,,1223693.0,,
1964,54600108.0,856400.0,700.0,202.0,12.0,1314678.0,1159.0,362.0,511000.0,125.0,209571.0,8191944.0,,252873.0,12.0,6646782.0,853600.0,2841314.0,630.0,54862.0,342169.0,4139.0,20000.0,,57000.0,281365.0,610000.0,211300.0,270.0,2158837.0,478470.0,,425000.0,1105685.0,2103641.0,31600.0,873028.0,3312418.0,11594.0,1035000.0,53850.0,472019.0,1119755.0,73579.0,,124753.0,,1165729.0,30110.0,75.0,,115.0,133125.0,1273250.0,528000.0,353000.0,73000.0,77633.0,5405744.0,2500.0,,554200.0,10.0,0.0,127000.0,,208690.0,1561.0,1439472.0,23100.0,893000.0,618140.0,,105295.0,3800.0,780.0,,881500.0,67683.0,,25.0,,,,537000.0,,162000.0,444025.0,,500.0,5069000.0,282280.0,,2601361.0,2546499.0,98800.0,426000.0,550640.0,5557.0,,49300.0,0.0,12000.0,980000.0,41538.0,1259962.0,636.0,637000.0,2235805.0,836000.0,,,810.0,125000.0,280.0,471178.0,3646000.0,7142700.0,1183174.0,,5235300.0,,2074.0,8928.0,4808325.0,987232.0,591700.0,11101000.0,5000.0,550250.0,40182902.0,37127000.0,,44345008.0,40000.0,875000.0,330020.0,745745.0,108000.0,204200.0,3714100.0,,235530.0,1922750.0,814046.0,80923.0,137300.0,,,,1080000.0,0.0,1717215.0,301194.0,1042000.0,,37157110.0,1899300.0,,1963513.0,2403680.0,99658.0,34938.0,296087.0,1250356.0,,5500.0,613132.0,645930.0,343.0,15000.0,959005.0,6091910.0,99000.0,2534053.0,,222400.0,1700.0,257000.0,284.0,4886000.0,339274.0,100.0,8043302.0,222000.0,,251800.0,1701163.0,35822.0,50.0,347000.0,,1241743.0,,
1965,50842708.0,863900.0,700.0,204.0,12.0,1453488.0,1376.0,262.0,507000.0,74.0,213763.0,8862389.0,,304164.0,16.0,7172128.0,944947.0,2774772.0,630.0,56822.0,334700.0,3197.0,35000.0,,56200.0,288238.0,562000.0,219000.0,270.0,2161180.0,497670.0,,425000.0,1050650.0,2082152.0,27000.0,786053.0,3472090.0,9628.0,1337000.0,53850.0,448374.0,1116207.0,81098.0,,121632.0,,1200837.0,30814.0,44.0,,120.0,133660.0,1312160.0,575000.0,275123.0,55680.0,78495.0,5326904.0,2800.0,,517164.0,10.0,0.0,136500.0,,203269.0,1380.0,1470485.0,21100.0,1104000.0,672460.0,,83452.0,3800.0,530.0,,877500.0,64470.0,,180.0,,,,545000.0,,164800.0,463504.0,,250.0,5051000.0,261934.0,,2790674.0,2733852.0,105400.0,497745.0,592581.0,5261.0,,50800.0,0.0,15000.0,991000.0,35012.0,1254014.0,283.0,659000.0,2280155.0,817000.0,,,760.0,105000.0,330.0,469195.0,2507000.0,6888500.0,1185500.0,,5266300.0,,1926.0,8349.0,4827570.0,1054136.0,588833.0,12046000.0,5000.0,549310.0,39680876.0,36609000.0,,44385016.0,40000.0,865000.0,325855.0,724750.0,107000.0,216900.0,3764481.0,,236048.0,2106080.0,1015608.0,81307.0,137500.0,,,,1146285.0,0.0,1641679.0,303530.0,1157700.0,,36639814.0,1930000.0,,1969619.0,2291110.0,92935.0,31400.0,348804.0,1215304.0,,5500.0,591087.0,568613.0,394.0,15000.0,788595.0,5197000.0,114000.0,2631704.0,,245300.0,1700.0,277400.0,300.0,4881000.0,336987.0,100.0,8354134.0,210000.0,,306800.0,1633532.0,41063.0,30.0,352000.0,,1152893.0,,
1966,48673500.0,923100.0,700.0,202.0,15.0,1307718.0,1073.0,378.0,502000.0,46.0,206764.0,8801437.0,,315221.0,20.0,7583575.0,930770.0,2704514.0,620.0,55214.0,315578.0,5058.0,39000.0,,55500.0,318617.0,567000.0,225500.0,290.0,2103216.0,567820.0,,425000.0,1158555.0,2072573.0,28000.0,421816.0,3398620.0,8351.0,1552000.0,54000.0,561200.0,1183312.0,82275.0,,182652.0,,1108617.0,39017.0,44.0,,120.0,138780.0,1610160.0,576700.0,304062.0,67000.0,78509.0,5334393.0,3000.0,,491008.0,10.0,0.0,88900.0,,192397.0,1699.0,1510990.0,21845.0,1112000.0,438000.0,,53814.0,4300.0,500.0,,878500.0,63690.0,,181.0,,,,373000.0,,153890.0,471445.0,,243.0,4985000.0,282821.0,,3106747.0,3051533.0,108400.0,617075.0,655240.0,6275.0,,52100.0,0.0,13000.0,1016000.0,80429.0,1148200.0,274.0,699000.0,2292925.0,824000.0,,,710.0,99000.0,470.0,416055.0,3778000.0,6727000.0,1037162.0,12.0,5301700.0,,1990.0,7843.0,5174015.0,948652.0,650007.0,9931000.0,8000.0,555365.0,40351957.0,38471000.0,,44906808.0,50000.0,870000.0,314182.0,710613.0,108000.0,208300.0,3765500.0,,230370.0,2157900.0,1017202.0,95094.0,142690.0,,,,1033464.0,0.0,1584608.0,285583.0,1175100.0,,38510017.0,1984000.0,,1898932.0,2762500.0,69690.0,25300.0,404672.0,1286974.0,,5500.0,587016.0,515610.0,465.0,15000.0,920474.0,5861680.0,125000.0,2885247.0,,248000.0,1800.0,267500.0,400.0,4839750.0,320867.0,120.0,9184576.0,198000.0,,256800.0,1664630.0,49680.0,2.0,366000.0,,1173984.0,,
1967,49405008.0,928800.0,750.0,1052.0,15.0,1499956.0,1117.0,436.0,535000.0,48.0,208417.0,9371228.0,,295746.0,20.0,7613689.0,891000.0,2884691.0,620.0,51891.0,311679.0,3110.0,45000.0,,62900.0,317442.0,590000.0,239098.0,300.0,2267744.0,621706.0,,430000.0,1343200.0,1997174.0,28000.0,742816.0,3334472.0,6878.0,1537000.0,54500.0,595600.0,1141001.0,81740.0,,189090.0,,1013515.0,37716.0,44.0,,125.0,141410.0,1510350.0,540800.0,368552.0,70900.0,79309.0,5339175.0,3200.0,,541415.0,10.0,0.0,117000.0,,217400.0,1663.0,1547385.0,18613.0,956000.0,600130.0,,54153.0,3000.0,480.0,,888500.0,63180.0,,268.0,,,,353800.0,,176640.0,622899.0,,448.0,5578000.0,308282.0,,2824669.0,2772778.0,112800.0,505745.0,619560.0,6026.0,,53700.0,0.0,14000.0,1027000.0,206585.0,1111500.0,332.0,739000.0,2400721.0,830000.0,,,660.0,116000.0,480.0,513397.0,2547000.0,6687400.0,1056000.0,8.0,5340200.0,,2898.0,6567.0,5347545.0,954513.0,668510.0,10362000.0,8000.0,570275.0,41501726.0,36285000.0,,46786600.0,48500.0,815000.0,283423.0,741839.0,102000.0,217500.0,3668391.0,,225180.0,2247900.0,1019043.0,101000.0,141500.0,,,,1242965.0,0.0,1613175.0,279357.0,1178600.0,,36322716.0,2252574.0,,2619487.0,2797660.0,58812.0,23900.0,342693.0,1461414.0,,5500.0,586437.0,459340.0,308.0,16000.0,912358.0,6312240.0,136000.0,2893117.0,,279800.0,1900.0,230000.0,430.0,4841600.0,316391.0,125.0,8582476.0,198000.0,,256800.0,1651132.0,39315.0,4.0,397300.0,,1135122.0,,
1968,48877008.0,951200.0,800.0,1938.0,10.0,1674864.0,890.0,487.0,515000.0,49.0,175142.0,9690891.0,,313495.0,26.0,7932781.0,909750.0,3356049.0,620.0,84657.0,314019.0,3580.0,25000.0,,64300.0,308503.0,611000.0,306116.0,300.0,1998943.0,589730.0,,425000.0,1158390.0,1928925.0,30676.0,730672.0,3237481.0,2750.0,1677000.0,56500.0,562500.0,1197491.0,82275.0,,173792.0,,1061595.0,38598.0,44.0,,125.0,142285.0,1529350.0,555200.0,403551.0,63400.0,111397.0,5397367.0,3200.0,,506184.0,10.0,0.0,113100.0,,275700.0,1636.0,1588628.0,18853.0,1163000.0,792720.0,,48597.0,3000.0,450.0,,799500.0,61390.0,,174.0,,,,409000.0,1095.0,184000.0,635601.0,,253.0,5290000.0,310733.0,,3330090.0,3245433.0,100300.0,400000.0,636759.0,6621.0,,56000.0,0.0,14000.0,1048000.0,98970.0,1092500.0,303.0,673000.0,2495227.0,828000.0,,,610.0,104000.0,500.0,395811.0,3220010.0,6613900.0,1042000.0,12.0,5395700.0,,3835.0,8806.0,5193655.0,995585.0,686000.0,10793000.0,8000.0,497035.0,40002335.0,35146000.0,,46858408.0,46000.0,824000.0,266353.0,737054.0,102000.0,229739.0,3815001.0,,227834.0,2256100.0,815096.0,105123.0,143000.0,,,,1100145.0,0.0,1518858.0,271986.0,1195000.0,,35184598.0,1687193.0,,1763147.0,2774800.0,72360.0,23900.0,331000.0,1210915.0,,5500.0,605508.0,410600.0,204.0,12500.0,945000.0,6500430.0,143000.0,2835127.0,,296600.0,1900.0,239000.0,610.0,4734500.0,330732.0,125.0,8806380.0,187000.0,2.0,257020.0,1629986.0,39667.0,5.0,412700.0,,1093251.0,,
1969,50762000.0,953400.0,800.0,1100.0,15.0,1639091.0,1051.0,729.0,519000.0,54.0,171386.0,9746220.0,,307913.0,28.0,8233499.0,822800.0,3517102.0,600.0,88771.0,316361.0,3240.0,16000.0,,67000.0,306172.0,691000.0,252918.0,305.0,1924300.0,536090.0,,442000.0,1215940.0,1909207.0,31600.0,708910.0,3129744.0,3140.0,1647000.0,57000.0,600182.0,1221630.0,73846.0,,170133.0,,1026026.0,39392.0,44.0,,130.0,143710.0,1534150.0,570400.0,360062.0,61400.0,114000.0,5444593.0,3300.0,,490415.0,10.0,0.0,102200.0,,192016.0,1447.0,1605933.0,12023.0,1168000.0,812810.0,,33180.0,2500.0,295.0,,805500.0,67925.0,,245.0,,,,254400.0,1266.0,131500.0,646409.0,,400.0,4921000.0,301920.0,,3350817.0,3262046.0,102500.0,298000.0,715893.0,7102.0,,57100.0,0.0,14000.0,1072000.0,161465.0,1068800.0,226.0,731776.0,2870540.0,828000.0,,,560.0,112000.0,500.0,423030.0,2434820.0,6704400.0,942240.0,20.0,5450600.0,,3189.0,9077.0,5318435.0,911059.0,693300.0,14131000.0,7000.0,570280.0,39392288.0,35741000.0,,47234192.0,39000.0,925000.0,250799.0,742486.0,94000.0,215927.0,3775052.0,,240666.0,2419600.0,758583.0,107735.0,142000.0,,,,1104737.0,0.0,1535234.0,275385.0,1360000.0,,35780392.0,2100332.0,,2379424.0,2674600.0,57933.0,22484.0,322490.0,1674442.0,,5500.0,671459.0,360320.0,106.0,14000.0,887028.0,6606000.0,149000.0,2866345.0,,312900.0,1900.0,242000.0,730.0,4629950.0,333850.0,135.0,8279621.0,194000.0,3.0,287020.0,1615668.0,45651.0,10.0,442750.0,,1099800.0,,
1970,48611008.0,1021400.0,850.0,767.0,165.0,1492000.0,1276.0,895.0,479000.0,54.0,174905.0,9947286.0,,330120.0,25.0,8479259.0,766100.0,3611600.0,600.0,87177.0,318701.0,3258.0,3000.0,,70100.0,308858.0,593000.0,268000.0,310.0,2105424.0,610700.0,,445000.0,1021400.0,1712651.0,29900.0,1210198.0,3059289.0,1560.0,1583000.0,58000.0,944200.0,1274512.0,73846.0,,198234.0,,971332.0,42061.0,44.0,,130.0,110010.0,1537150.0,586845.0,218802.0,69600.0,113601.0,5379040.0,3300.0,,490526.0,10.0,0.0,86200.0,,202190.0,1316.0,1624699.0,10425.0,1100000.0,929840.0,,23285.0,2500.0,353.0,,800000.0,74100.0,,254.0,,,,372700.0,1420.0,171310.0,591074.0,,450.0,4924500.0,285989.0,,4166738.0,4079561.0,64946.0,372000.0,785240.0,10117.0,,58400.0,0.0,15000.0,1100000.0,182189.0,1040421.0,129.0,599000.0,2906370.0,835000.0,,,510.0,116700.0,520.0,432590.0,2938610.0,6361200.0,913000.0,25.0,5509900.0,,3022.0,7629.0,5600600.0,859990.0,665800.0,12158000.0,7000.0,590415.0,40920528.0,35127500.0,,46159808.0,39000.0,907000.0,220204.0,713408.0,108000.0,213731.0,3551919.0,,253712.0,2430250.0,611907.0,109818.0,142500.0,,,,1033847.0,0.0,1552503.0,282593.0,1193000.0,,35169561.0,2021583.0,,2836801.0,2613200.0,41188.0,22302.0,386300.0,1509087.0,,5500.0,686618.0,289720.0,269.0,16100.0,880488.0,7419110.0,149000.0,2706984.0,,315100.0,2000.0,233700.0,660.0,4477950.0,335100.0,135.0,8703477.0,194000.0,4.0,256920.0,1548417.0,44403.0,10.0,425200.0,,1141987.0,,
