,USSR,Finland,Vanuatu,Fiji,French Guiana,Kenya,Guyana,Papua New Guinea,Somalia,Micronesia,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Spain,Grenada,New Zealand,Honduras,Jamaica,Cabo Verde,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,Sao Tome and Principe,Pakistan,Greece,Tajikistan,Haiti,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Puerto Rico,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,"China, Taiwan Province of",Pacific Islands Trust Territory,Turkmenistan,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Montserrat,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Malta,Denmark,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Trinidad and Tobago,Belarus,Afghanistan,Switzerland,Sudan,Mauritius,Georgia,Lithuania,Russian Federation,Tunisia,Western Sahara,Paraguay,Venezuela (Bolivarian Republic of),Djibouti,Guadeloupe,South Africa,Myanmar,Eritrea,Australia & New Zealand,Australia,Panama,Togo,Thailand,Belize,Ethiopia,Bhutan,United Arab Emirates,Lao People's Democratic Republic,Zambia,Botswana,Yemen,Suriname,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Antigua and Barbuda,Ethiopia PDR,Estonia,Melanesia,Malaysia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Peru,United States of America,"China, mainland",The former Yugoslav Republic of Macedonia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Cuba,Lesotho,Romania,Micronesia (Federated States of),Norway,Philippines,Iraq,Swaziland,Burundi,Belgium,Luxembourg,Czechia,Senegal,Qatar,Italy,Ireland,Uganda,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Jordan,Sierra Leone,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Austria,Japan,Maldives,Timor-Leste,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Oman,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,Mexico,Guinea,Kuwait,Mauritania,Czechoslovakia,Sri Lanka,Guam,Côte d'Ivoire,Croatia,Bulgaria,Montenegro,Ukraine
1961,56052008.0,1478756.0,350.0,240.0,200.0,1252288.0,1300.0,250.0,255000.0,355.0,191529.0,9099018.0,,260730.0,50.0,9017306.0,861221.0,3669813.0,550.0,135356.0,305275.0,3556.0,13000.0,,26000.0,1098187.0,495000.0,233000.0,400.0,1225680.0,634759.0,,411000.0,917800.0,4200923.0,51233.0,385299.0,5835090.0,15082.0,834000.0,60857.0,406000.0,3051850.0,47041.0,,132090.0,,876248.0,38132.0,245.0,,130.0,119920.0,915100.0,924000.0,75000.0,58413.0,65000.0,12180633.0,2300.0,,289678.0,10.0,0.0,174300.0,,341311.0,2120.0,4764843.0,28000.0,855000.0,242361.0,,105700.0,15000.0,2400.0,,1097000.0,201800.0,,180.0,,,,96618.0,,113800.0,419508.0,,1354.0,5823095.0,95438.0,,2440046.0,2304690.0,73982.0,154900.0,618676.0,4000.0,,56408.0,0.0,17000.0,766000.0,61761.0,904400.0,1225.0,548000.0,1053984.0,1689000.0,,,1280.0,65000.0,100.0,228740.0,2283100.0,13331000.0,731100.0,,3553000.0,,2120.0,8000.0,11095265.0,1778757.0,430267.0,7742000.0,1500.0,584663.0,127803950.0,39110000.0,,22885000.0,29000.0,700000.0,1443895.0,534150.0,124400.0,169108.0,6591000.0,,609453.0,1266270.0,921402.0,45991.0,123000.0,,,,445013.0,0.0,4932400.0,898019.0,892000.0,,39148132.0,695908.0,,1654510.0,802830.0,69806.0,33619.0,318522.0,1264646.0,,8500.0,1562338.0,2377220.0,159.0,17500.0,2431040.0,8638100.0,35000.0,7107851.0,,190163.0,1500.0,292200.0,716.0,5360800.0,332150.0,400.0,6781880.0,250000.0,,90400.0,4043872.0,28844.0,110.0,138000.0,,2327845.0,,
1962,57414608.0,1022861.0,350.0,240.0,405.0,1421317.0,857.0,291.0,250000.0,318.0,161418.0,9655883.0,,302200.0,50.0,13868250.0,869500.0,4062433.0,550.0,133824.0,330589.0,3861.0,13000.0,,39000.0,1174664.0,500000.0,250200.0,400.0,1272600.0,636318.0,,412500.0,974700.0,4820007.0,51464.0,863490.0,6295570.0,9149.0,797000.0,65817.0,390000.0,2726690.0,93472.0,,239901.0,,945509.0,48897.0,208.0,,130.0,105700.0,910100.0,930705.0,90800.0,66794.0,63984.0,15260196.0,2300.0,,286060.0,10.0,0.0,151800.0,,341738.0,2236.0,5139417.0,31100.0,895000.0,854800.0,,101000.0,15000.0,2700.0,,1098000.0,277600.0,,203.0,,,,174367.0,,127000.0,540475.0,,1400.0,6382164.0,123495.0,,2785560.0,2651736.0,71887.0,167742.0,685829.0,2495.0,,58278.0,0.0,18000.0,748000.0,16500.0,928100.0,1173.0,512000.0,1257075.0,1741000.0,,,1280.0,80000.0,150.0,249100.0,3242900.0,11345000.0,670200.0,,3624000.0,,2161.0,8000.0,11121105.0,1664917.0,414706.0,8051000.0,1500.0,586594.0,129903068.0,37990000.0,,25360000.0,29500.0,680000.0,1575364.0,575060.0,125100.0,168800.0,5603500.0,,455400.0,1272900.0,1133731.0,44860.0,119900.0,,,,460800.0,0.0,4273310.0,1000216.0,898000.0,,38038897.0,849828.0,,1585900.0,1994979.0,41001.0,33879.0,251852.0,1222921.0,,8500.0,1599731.0,2077050.0,210.0,20000.0,2808835.0,8079300.0,36586.0,7816944.0,,198990.0,1500.0,314085.0,899.0,5873000.0,339750.0,400.0,6861564.0,258000.0,,92600.0,4112371.0,32634.0,110.0,222000.0,,2337608.0,,
1963,46013500.0,1503700.0,350.0,270.0,70.0,1587645.0,879.0,271.0,243000.0,218.0,222551.0,10484464.0,,298377.0,30.0,14431299.0,911280.0,4155007.0,550.0,134426.0,335942.0,3942.0,13000.0,,31200.0,1137186.0,470000.0,256500.0,400.0,1250300.0,628744.0,,414000.0,890200.0,4837917.0,50583.0,842578.0,6481680.0,9149.0,772000.0,50606.0,359834.0,2818580.0,91554.0,,137183.0,,907044.0,43199.0,101.0,,140.0,111300.0,1170200.0,935000.0,94300.0,65717.0,63016.0,14834339.0,2300.0,,277677.0,10.0,0.0,183200.0,,346528.0,2550.0,5008870.0,24700.0,776000.0,727892.0,,84500.0,15000.0,2800.0,,1112000.0,212000.0,,147.0,,,,393300.0,,123000.0,430163.0,,1440.0,6577000.0,137166.0,,2882233.0,2747807.0,75851.0,196715.0,878143.0,2631.0,,60258.0,0.0,15000.0,676000.0,18150.0,941600.0,764.0,539000.0,1325582.0,1887000.0,,,1280.0,80000.0,200.0,326336.0,2357800.0,12111000.0,913300.0,,3643000.0,,2171.0,15000.0,15000957.0,1159585.0,394049.0,7992000.0,5100.0,589120.0,140510501.0,42480000.0,,24100000.0,30000.0,690000.0,1416764.0,613070.0,120000.0,168400.0,6585900.0,,581036.0,1292710.0,800568.0,38751.0,120000.0,,,,514300.0,0.0,4633560.0,958216.0,911000.0,,42523199.0,893153.0,,1760538.0,2396071.0,26364.0,33887.0,283254.0,1026524.0,,8500.0,1539943.0,2105980.0,262.0,18372.0,2730362.0,8212900.0,36608.0,8318849.0,,183578.0,1500.0,253840.0,708.0,7133400.0,351650.0,400.0,7539715.0,210000.0,,93900.0,3949333.0,30723.0,117.0,221600.0,,2570951.0,,
1964,61507400.0,1316000.0,350.0,440.0,95.0,1570508.0,1234.0,288.0,237000.0,236.0,217763.0,9481291.0,,279354.0,18.0,12155578.0,1141649.0,3927708.0,550.0,182926.0,385902.0,4572.0,13000.0,,35800.0,1142012.0,525000.0,264800.0,400.0,1378300.0,679882.0,,417000.0,787900.0,4740777.0,49198.0,689941.0,8027900.0,12927.0,754000.0,51050.0,357344.0,3400360.0,67056.0,,170684.0,,884740.0,53141.0,101.0,,140.0,136430.0,958407.0,941000.0,90200.0,72324.0,53872.0,16186128.0,2600.0,,293525.0,10.0,0.0,203900.0,,416935.0,2251.0,5671636.0,29500.0,962000.0,320036.0,,202900.0,15000.0,2800.0,,1122000.0,243800.0,,25.0,,,,232000.0,,209680.0,477195.0,,1000.0,4777000.0,102828.0,,3001540.0,2818614.0,81902.0,200000.0,955500.0,3039.0,,61933.0,0.0,19000.0,773000.0,11106.0,961200.0,1382.0,548000.0,1333209.0,1938000.0,,,1580.0,81000.0,250.0,213003.0,3768600.0,11050000.0,729400.0,,3799900.0,,2658.0,12000.0,12090870.0,1846506.0,400552.0,7865000.0,5000.0,708663.0,122817696.0,45590000.0,,24891000.0,29500.0,680000.0,1403704.0,670280.0,105000.0,168000.0,7229200.0,,609851.0,1312680.0,638187.0,33481.0,138400.0,,,,576000.0,0.0,4797720.0,864799.0,921000.0,,45643141.0,976600.0,,1520674.0,1938305.0,105856.0,33627.0,221829.0,1022334.0,,8400.0,1598778.0,1479280.0,313.0,15362.0,2816026.0,9371300.0,39000.0,9006102.0,,205231.0,1600.0,319600.0,508.0,5848000.0,277250.0,400.0,9233037.0,255000.0,,94210.0,3498940.0,26093.0,135.0,230900.0,,3080842.0,,
1965,50067400.0,1770202.0,350.0,450.0,95.0,1607958.0,1388.0,386.0,235000.0,135.0,205340.0,12185760.0,,308617.0,20.0,14554771.0,1030755.0,3803568.0,550.0,179715.0,387166.0,3556.0,17000.0,,32200.0,1063614.0,510000.0,267200.0,400.0,1301500.0,764473.0,,421000.0,827700.0,5020515.0,44500.0,742700.0,7149290.0,12927.0,973000.0,49050.0,356328.0,3358560.0,138755.0,,177214.0,,846225.0,57161.0,55.0,,150.0,125255.0,1016919.0,1002000.0,98688.0,83785.0,67056.0,14470800.0,3000.0,,285293.0,10.0,0.0,139000.0,,424714.0,2485.0,5649318.0,25905.0,945000.0,404691.0,,138000.0,15000.0,2000.0,,1123000.0,205500.0,,296.0,,,,341500.0,,213800.0,524665.0,,500.0,5186000.0,100474.0,,2638711.0,2458996.0,84374.0,221809.0,1094668.0,3447.0,,63713.0,0.0,23000.0,816000.0,11199.0,951300.0,720.0,581000.0,1058181.0,1714000.0,,,1280.0,82000.0,300.0,287643.0,2364500.0,12824000.0,635500.0,,3868200.0,,2466.0,10000.0,14272924.0,2161458.0,396354.0,8162000.0,5000.0,768568.0,144525739.0,46150000.0,,21559000.0,29000.0,660000.0,1075071.0,689351.0,102000.0,166800.0,6618496.0,,601799.0,1379828.0,822912.0,34382.0,137900.0,,,,600893.0,0.0,4246470.0,941051.0,1053000.0,,46207161.0,928707.0,,1359919.0,1885365.0,103100.0,34450.0,168136.0,1128161.0,,8400.0,1358916.0,1512446.0,364.0,15297.0,3076606.0,7497200.0,43200.0,9545688.0,,217700.0,1600.0,319100.0,560.0,5910000.0,348820.0,400.0,9960398.0,215000.0,,104000.0,3333307.0,31041.0,80.0,231500.0,,2351155.0,,
1966,58094508.0,1647606.0,330.0,470.0,111.0,1472546.0,1083.0,347.0,235000.0,60.0,276486.0,11451453.0,,380594.0,30.0,16146429.0,1005000.0,3976604.0,540.0,186963.0,382622.0,4989.0,19000.0,,37000.0,997541.0,450000.0,272700.0,420.0,1318250.0,1031288.0,,421000.0,893013.0,5241583.0,50500.0,227818.0,9316600.0,9639.0,1110000.0,45000.0,608900.0,2914060.0,51816.0,,195460.0,,869745.0,70991.0,55.0,,150.0,143995.0,1175075.0,972025.0,101827.0,87291.0,65697.0,14688514.0,3300.0,,260882.0,10.0,0.0,135800.0,,491808.0,2344.0,5559819.0,25976.0,1010000.0,140521.0,,36500.0,18000.0,2000.0,,1119000.0,218900.0,,457.0,,,,163000.0,,169400.0,568029.0,,486.0,5633711.0,100747.0,,3885741.0,3698778.0,84370.0,284968.0,1257800.0,3058.0,,65400.0,0.0,20000.0,892000.0,35016.0,874400.0,415.0,634000.0,1121485.0,1849000.0,,,1380.0,79000.0,430.0,255016.0,3717400.0,12239000.0,661700.0,30.0,3939700.0,,2527.0,9939.0,15338686.0,2400079.0,438641.0,5921000.0,5000.0,753429.0,145256325.0,53830000.0,,24086600.0,26000.0,710000.0,1025393.0,629765.0,101000.0,165400.0,8779100.0,,499394.0,1489952.0,850666.0,37557.0,141840.0,,,,469912.0,0.0,4357030.0,922300.0,1064000.0,,53900991.0,970000.0,,1115002.0,1005040.0,25400.0,31000.0,298330.0,1201500.0,,8300.0,1752051.0,1327600.0,426.0,15640.0,3337148.0,10905300.0,45400.0,9963620.0,,224900.0,1700.0,256500.0,830.0,6546200.0,341850.0,420.0,10968387.0,228000.0,,94200.0,3694231.0,30758.0,5.0,249000.0,,3581813.0,,
1967,58157008.0,1843767.0,350.0,2516.0,110.0,1827622.0,1255.0,427.0,250000.0,65.0,312949.0,12901037.0,,316940.0,30.0,13943515.0,1035200.0,4651419.0,540.0,190683.0,376922.0,3647.0,22000.0,,43100.0,1270441.0,455000.0,303025.0,430.0,1584500.0,1267501.0,,434000.0,982600.0,4868363.0,46548.0,640600.0,8408840.0,7938.0,1073000.0,49300.0,533324.0,3416130.0,87681.0,,201797.0,,993067.0,88474.0,55.0,,160.0,148615.0,1015309.0,887000.0,112662.0,93871.0,65548.0,17549484.0,3500.0,,312424.0,10.0,0.0,149900.0,,603390.0,2569.0,5732467.0,23611.0,1330000.0,371636.0,,83050.0,11000.0,2000.0,,1150000.0,247200.0,,457.0,,,,133000.0,,229100.0,649140.0,,896.0,10788534.0,121565.0,,2296726.0,2106043.0,88883.0,219208.0,1267400.0,6713.0,,67300.0,0.0,22000.0,893000.0,65079.0,864000.0,476.0,698000.0,1345293.0,1720000.0,,,930.0,82000.0,450.0,312540.0,2369101.0,12408000.0,684900.0,18.0,3987300.0,,4223.0,12650.0,17941145.0,2254095.0,453861.0,6969000.0,5000.0,783139.0,163230958.0,55850000.0,,27642200.0,25500.0,609000.0,1102178.0,639422.0,96500.0,167300.0,7623570.0,,612933.0,1619153.0,876803.0,64409.0,144900.0,,,,717800.0,0.0,4824750.0,971300.0,1073000.0,,55938474.0,991615.0,,2366307.0,1989200.0,48913.0,28450.0,191527.0,1884301.0,,8300.0,1889469.0,1244700.0,279.0,16328.0,3161727.0,12038100.0,47600.0,10745911.0,,254000.0,1850.0,253000.0,1000.0,6619000.0,345950.0,420.0,10528204.0,232000.0,,95900.0,4113351.0,32552.0,10.0,276000.0,,3220091.0,,
1968,62563000.0,1966100.0,380.0,4640.0,85.0,2095720.0,1356.0,506.0,243000.0,69.0,286099.0,12910243.0,,381759.0,25.0,16724399.0,1060800.0,5906727.0,540.0,309992.0,379491.0,3112.0,11000.0,,27700.0,1160634.0,484000.0,303700.0,440.0,1325900.0,929102.0,,409000.0,876200.0,5052156.0,50000.0,559863.0,7764911.0,3175.0,1214000.0,52100.0,457324.0,3834050.0,52019.0,,166323.0,,1029562.0,74119.0,55.0,,160.0,143990.0,837114.0,908700.0,100922.0,91447.0,85624.0,18323234.0,3500.0,,289993.0,10.0,0.0,154000.0,,648542.0,2314.0,6320406.0,17209.0,1159000.0,588329.0,,48150.0,10000.0,2000.0,,1160000.0,236500.0,,376.0,,,,212600.0,770.0,186000.0,682616.0,,500.0,5754409.0,126857.0,,4182914.0,3872922.0,83739.0,227000.0,1394400.0,7018.0,,70200.0,0.0,25000.0,823000.0,25490.0,853000.0,625.0,631130.0,950000.0,1662000.0,,,980.0,83000.0,470.0,253666.0,3166050.0,13379200.0,680900.0,30.0,3893200.0,,6506.0,14302.0,18167832.0,2503488.0,464768.0,7035000.0,7500.0,680264.0,155618493.0,51870000.0,,26261800.0,23500.0,628000.0,974796.0,730823.0,96500.0,158726.0,7862168.0,,803660.0,1732800.0,1009066.0,53709.0,150500.0,,,,478900.0,0.0,4743830.0,1038500.0,1284774.0,,51944119.0,1043791.0,,1150900.0,3761730.0,20029.0,27450.0,221764.0,1215431.0,,8200.0,2001496.0,1207200.0,174.0,13156.0,3333000.0,10273700.0,50800.0,9672810.0,,271600.0,1850.0,262000.0,1449.0,6155700.0,362150.0,430.0,11497678.0,215000.0,3.0,99220.0,4280998.0,26099.0,14.0,260200.0,,2697554.0,,
1969,68056000.0,2163600.0,400.0,2640.0,100.0,2059974.0,1768.0,458.0,247000.0,86.0,274066.0,12781884.0,,407036.0,25.0,17654621.0,1056100.0,6416264.0,530.0,345864.0,382064.0,3876.0,7000.0,,17600.0,1110309.0,618000.0,297000.0,460.0,1350500.0,983286.0,,451000.0,1020558.0,6076027.0,55000.0,658520.0,8771026.0,3629.0,1190000.0,48500.0,474500.0,3065800.0,103022.0,,168738.0,,909321.0,73295.0,55.0,,160.0,145965.0,919208.0,942900.0,126753.0,85250.0,86602.0,17865878.0,3500.0,,271948.0,10.0,0.0,117600.0,,339205.0,1903.0,6346706.0,11272.0,1127700.0,519528.0,,40950.0,8800.0,1323.0,,1177000.0,261500.0,,462.0,,,,152400.0,762.0,159000.0,675797.0,,600.0,5732700.0,116506.0,,3782982.0,3437118.0,87504.0,219000.0,1783700.0,7711.0,,71800.0,0.0,26000.0,830000.0,49404.0,856034.0,405.0,626167.0,1386740.0,1947000.0,,,1000.0,87156.0,490.0,291988.0,2292880.0,13864500.0,671000.0,45.0,4168400.0,,4498.0,16556.0,18574238.0,2463871.0,472515.0,8454000.0,4000.0,765652.0,162054078.0,51120000.0,,26995100.0,20000.0,776000.0,939939.0,773045.0,86500.0,151988.0,8406381.0,,630686.0,2008200.0,972690.0,60516.0,154400.0,,,,688010.0,0.0,5401860.0,1040400.0,1614384.0,,51193295.0,997973.0,,1874900.0,2569600.0,42761.0,25110.0,257253.0,1891469.0,,8200.0,2455796.0,954610.0,83.0,15707.0,3298015.0,11112000.0,52000.0,10215446.0,,292000.0,1850.0,271000.0,1754.0,6381000.0,366500.0,430.0,11122156.0,223000.0,5.0,114220.0,4725669.0,36418.0,31.0,314800.0,,3453423.0,,
1970,72068000.0,2459200.0,450.0,1141.0,225.0,1839980.0,1860.0,1288.0,234800.0,78.0,297243.0,14300970.0,,510264.0,21.0,19536461.0,1081900.0,5815200.0,530.0,294767.0,384638.0,4401.0,924.0,,34600.0,951047.0,534000.0,300000.0,470.0,1504937.0,1374154.0,,450000.0,819841.0,4873098.0,58600.0,258350.0,7811484.0,1361.0,1130000.0,55100.0,808700.0,4026170.0,56794.0,,222190.0,,917897.0,86310.0,55.0,,160.0,110745.0,814094.0,987028.0,55269.0,82694.0,85615.0,15959827.0,3500.0,,280147.0,10.0,0.0,137000.0,,457701.0,1671.0,5719462.0,11087.0,971700.0,621380.0,,30050.0,8000.0,1584.0,,1065000.0,285900.0,,529.0,,,,185400.0,850.0,224800.0,716447.0,,800.0,6739697.0,110267.0,,5059382.0,4764615.0,56419.0,308000.0,2007700.0,15876.0,,73600.0,0.0,25000.0,687000.0,11170.0,806915.0,192.0,577915.0,1103160.0,1949000.0,,,1180.0,85188.0,510.0,339694.0,2825220.0,11654300.0,630000.0,60.0,4262300.0,,4059.0,16208.0,18703740.0,2339659.0,483175.0,8619000.0,4000.0,805827.0,146396630.0,58460000.0,,30478400.0,20000.0,724000.0,719827.0,831683.0,88200.0,124984.0,7210489.0,,814395.0,2017363.0,696208.0,65317.0,158840.0,,,,443038.0,0.0,5645980.0,990000.0,1633000.0,,58546310.0,1028833.0,,2016000.0,2411060.0,5637.0,23923.0,350895.0,1380041.0,,8000.0,2260128.0,695210.0,240.0,16941.0,3355000.0,14595000.0,52200.0,9029650.0,,297000.0,1900.0,257300.0,1600.0,5641580.0,362200.0,430.0,11924565.0,219000.0,8.0,87020.0,4073717.0,28261.0,23.0,276300.0,,3690725.0,,
