,India,Bolivia (Plurinational State of),Peru,Guyana,Cameroon,Malaysia,Comoros,Tonga,Dominican Republic,Guadeloupe,Brazil,Samoa,United Republic of Tanzania,Indonesia,Pacific Islands Trust Territory,Liberia,Sri Lanka,Uganda,Sao Tome and Principe,Togo,Venezuela (Bolivarian Republic of),Melanesia,Papua New Guinea,Belize,Democratic Republic of the Congo,Vanuatu,Guatemala,Thailand,American Samoa,Nigeria,Madagascar,Saint Lucia,Suriname,Haiti,Costa Rica,Guinea,Cuba,El Salvador,Dominica,Fiji,Equatorial Guinea,Congo,Gabon,Grenada,Ecuador,Honduras,Panama,Mexico,Côte d'Ivoire,Colombia,Angola,Trinidad and Tobago,Jamaica,Solomon Islands,Micronesia (Federated States of),Philippines,Polynesia,Central African Republic,Sierra Leone,Saint Vincent and the Grenadines,Martinique,Micronesia,Ghana,Nicaragua,Timor-Leste
1961,-1.0,3187.0,4800.0,371.0,1976.0,4615.0,4100.0,-1.0,4647.0,2000.0,3287.0,4830.0,4500.0,1541.0,3750.0,1031.0,2418.0,222.0,2935.0,7700.0,2414.0,3456.0,3376.0,2125.0,3867.0,5100.0,3571.0,-1.0,794.0,2814.0,3333.0,6977.0,1910.0,5556.0,3655.0,1000.0,2000.0,7500.0,4000.0,4286.0,2889.0,3000.0,3190.0,5000.0,2005.0,7799.0,2889.0,3962.0,3269.0,4333.0,2500.0,3515.0,4003.0,5000.0,-1.0,3540.0,4801.0,233.0,4733.0,1600.0,5000.0,3750.0,2364.0,1316.0,1333.0
1962,-1.0,3157.0,4480.0,357.0,2000.0,4615.0,4000.0,-1.0,4431.0,2500.0,3020.0,4172.0,3000.0,1216.0,3750.0,1277.0,2656.0,250.0,3000.0,7600.0,2701.0,4587.0,4562.0,2000.0,4333.0,5063.0,3571.0,-1.0,875.0,2600.0,2778.0,6897.0,3137.0,5556.0,4214.0,1200.0,1910.0,7500.0,2000.0,4286.0,3433.0,2100.0,3360.0,5600.0,2014.0,7760.0,2857.0,4330.0,3971.0,4412.0,2500.0,3358.0,3800.0,4800.0,-1.0,3491.0,4150.0,220.0,4780.0,1800.0,5000.0,3750.0,2378.0,1316.0,1333.0
1963,-1.0,3463.0,4802.0,363.0,2237.0,4000.0,4182.0,-1.0,4755.0,2500.0,3055.0,5041.0,2000.0,1237.0,3750.0,1585.0,3058.0,250.0,2438.0,8176.0,2967.0,4835.0,4844.0,2417.0,3733.0,4700.0,3571.0,-1.0,1000.0,3186.0,2222.0,6897.0,3199.0,5600.0,3567.0,1200.0,1864.0,7500.0,4000.0,4444.0,3667.0,2667.0,3600.0,5200.0,1969.0,7849.0,2500.0,4389.0,3938.0,4486.0,2143.0,3661.0,3803.0,5000.0,-1.0,3817.0,5001.0,222.0,4729.0,1943.0,10000.0,3750.0,2351.0,1316.0,1333.0
1964,-1.0,3431.0,5618.0,357.0,2400.0,4250.0,4483.0,-1.0,5153.0,2660.0,3155.0,5041.0,1500.0,1233.0,5000.0,1619.0,2712.0,273.0,3344.0,7955.0,2924.0,3360.0,3323.0,2381.0,3429.0,5150.0,3529.0,-1.0,200.0,4261.0,2880.0,6897.0,2757.0,5600.0,3400.0,1333.0,1720.0,7500.0,4000.0,4444.0,3900.0,3667.0,4000.0,5600.0,2319.0,7778.0,2368.0,2934.0,4515.0,4432.0,2143.0,2358.0,3293.0,5120.0,-1.0,4341.0,4994.0,218.0,4543.0,2050.0,4000.0,5000.0,3141.0,1316.0,1333.0
1965,-1.0,3633.0,3849.0,367.0,2074.0,6000.0,4125.0,-1.0,3571.0,3000.0,3334.0,3833.0,1000.0,1317.0,5556.0,1412.0,2040.0,273.0,2781.0,6500.0,2882.0,5103.0,5110.0,2500.0,3071.0,4971.0,3529.0,-1.0,500.0,2637.0,3114.0,6667.0,2371.0,5556.0,2533.0,1333.0,1958.0,7500.0,2500.0,4375.0,3933.0,2667.0,2170.0,5111.0,2079.0,7757.0,1944.0,3031.0,3724.0,4572.0,2857.0,2531.0,4011.0,5000.0,-1.0,4272.0,3779.0,222.0,4257.0,2000.0,5000.0,5556.0,2272.0,1316.0,1333.0
1966,-1.0,3272.0,4885.0,363.0,2190.0,8500.0,4313.0,-1.0,3732.0,2280.0,3793.0,3625.0,1000.0,1506.0,5000.0,1451.0,2192.0,267.0,3406.0,7409.0,2846.0,5179.0,5189.0,2222.0,3533.0,5000.0,3529.0,-1.0,1111.0,3817.0,3289.0,7143.0,2112.0,5556.0,3100.0,1333.0,1835.0,7500.0,2500.0,4500.0,4244.0,2923.0,1901.0,4889.0,2820.0,7797.0,1429.0,3346.0,4366.0,4684.0,2143.0,2708.0,4263.0,4850.0,-1.0,4255.0,3597.0,233.0,4534.0,2000.0,5000.0,5000.0,2823.0,1316.0,1333.0
1967,-1.0,3599.0,5230.0,366.0,2447.0,7500.0,4828.0,-1.0,3454.0,2000.0,4115.0,4125.0,2000.0,1344.0,5000.0,1430.0,2451.0,329.0,3406.0,7335.0,2954.0,4763.0,4756.0,2500.0,3267.0,5000.0,3333.0,-1.0,2500.0,3400.0,3541.0,7143.0,2070.0,5625.0,2400.0,1333.0,1621.0,7500.0,2500.0,4500.0,3733.0,3813.0,1846.0,6133.0,3062.0,7841.0,1471.0,3649.0,4096.0,4595.0,2857.0,2642.0,4005.0,4960.0,-1.0,3977.0,4109.0,288.0,4299.0,2000.0,6000.0,5000.0,2921.0,1538.0,1333.0
1968,-1.0,3600.0,4895.0,364.0,2757.0,7833.0,3818.0,-1.0,3635.0,2000.0,3451.0,3883.0,4000.0,1271.0,5400.0,2291.0,2356.0,430.0,3212.0,7143.0,2771.0,4577.0,4561.0,2333.0,3000.0,5000.0,3529.0,-1.0,2857.0,2740.0,3634.0,7143.0,1298.0,5556.0,2800.0,1333.0,1763.0,7500.0,2500.0,4444.0,3725.0,4293.0,1900.0,5138.0,3892.0,7851.0,1515.0,3803.0,3893.0,4615.0,2500.0,3437.0,4842.0,4977.0,-1.0,4447.0,3873.0,211.0,4199.0,2000.0,5000.0,5400.0,2515.0,1500.0,1333.0
1969,-1.0,3562.0,5701.0,377.0,2893.0,9167.0,4554.0,-1.0,3689.0,2000.0,4825.0,4912.0,4000.0,1756.0,6000.0,2133.0,1803.0,700.0,2758.0,7867.0,2593.0,4805.0,4802.0,2400.0,3063.0,5000.0,3571.0,-1.0,3429.0,3154.0,3688.0,7143.0,2134.0,5625.0,1538.0,1333.0,1402.0,7500.0,2500.0,4444.0,3111.0,3983.0,1746.0,6112.0,2102.0,7798.0,1818.0,3754.0,4672.0,4479.0,1500.0,1732.0,4823.0,4850.0,-1.0,4783.0,4896.0,272.0,4202.0,2000.0,5000.0,6000.0,2857.0,1500.0,1333.0
1970,-1.0,3514.0,4956.0,388.0,3430.0,8000.0,4364.0,-1.0,3602.0,2000.0,4439.0,3714.0,4000.0,2144.0,5000.0,1801.0,2043.0,1205.0,2939.0,8455.0,2675.0,4770.0,4799.0,2125.0,2870.0,3889.0,4286.0,-1.0,4000.0,4354.0,3571.0,7143.0,2074.0,5273.0,1400.0,1333.0,1478.0,7500.0,2500.0,4538.0,3889.0,4480.0,2438.0,5852.0,2347.0,10000.0,2012.0,3796.0,4431.0,4158.0,1113.0,3107.0,4081.0,5038.0,-1.0,5119.0,3717.0,365.0,4233.0,2000.0,-1.0,5000.0,2798.0,1333.0,1333.0
1971,-1.0,5327.0,5049.0,399.0,3496.0,6081.0,2667.0,-1.0,3600.0,2000.0,4885.0,4256.0,5000.0,2193.0,5000.0,2244.0,2237.0,725.0,3344.0,8529.0,2675.0,5222.0,5266.0,2222.0,2972.0,3000.0,4118.0,-1.0,3667.0,3666.0,3205.0,7143.0,1939.0,5000.0,2433.0,1333.0,1503.0,5150.0,2500.0,4444.0,2444.0,5065.0,2012.0,6369.0,3232.0,10000.0,1656.0,3337.0,5341.0,4286.0,2457.0,1884.0,4680.0,4958.0,-1.0,4865.0,4251.0,273.0,4336.0,2000.0,-1.0,5000.0,3133.0,1333.0,1333.0
1972,-1.0,5304.0,5092.0,371.0,3913.0,7692.0,4545.0,-1.0,3549.0,2000.0,5148.0,3400.0,6000.0,1698.0,5000.0,2274.0,1013.0,950.0,3150.0,6200.0,2480.0,4894.0,4950.0,2500.0,3095.0,3478.0,4444.0,-1.0,3667.0,3444.0,4000.0,7143.0,1465.0,5000.0,2778.0,1333.0,1583.0,7500.0,3000.0,4450.0,1429.0,5179.0,2012.0,5231.0,3111.0,10000.0,1575.0,4853.0,4210.0,4183.0,2857.0,2411.0,5006.0,4923.0,-1.0,5072.0,3403.0,409.0,4393.0,2000.0,-1.0,5000.0,2867.0,1333.0,1333.0
1973,-1.0,3028.0,5114.0,556.0,3718.0,9619.0,3167.0,-1.0,3590.0,1600.0,4708.0,2800.0,6000.0,2254.0,5000.0,2425.0,1346.0,1000.0,3424.0,5500.0,2712.0,3760.0,3782.0,2467.0,2794.0,3043.0,4444.0,-1.0,3333.0,3071.0,4000.0,6852.0,1241.0,5000.0,2933.0,1333.0,1585.0,7500.0,2857.0,4400.0,1714.0,5156.0,2060.0,4947.0,2974.0,10000.0,1563.0,4086.0,4196.0,4189.0,2333.0,1581.0,4648.0,5000.0,-1.0,5070.0,2806.0,333.0,4406.0,2055.0,-1.0,5000.0,2450.0,1333.0,1333.0
1974,-1.0,5101.0,5106.0,548.0,3554.0,8733.0,4750.0,-1.0,3579.0,2000.0,4766.0,3019.0,5833.0,3690.0,4808.0,2351.0,2228.0,500.0,3152.0,4028.0,2562.0,4698.0,4750.0,2500.0,2551.0,3043.0,4444.0,-1.0,3333.0,3057.0,4568.0,7143.0,1364.0,5000.0,2915.0,1333.0,1559.0,8514.0,3125.0,4900.0,1857.0,5907.0,1948.0,4772.0,4106.0,10000.0,1563.0,4226.0,5128.0,4231.0,2381.0,2081.0,4494.0,5190.0,-1.0,5942.0,3022.0,462.0,4238.0,2055.0,-1.0,4808.0,2751.0,1250.0,1333.0
1975,-1.0,5734.0,5091.0,533.0,2743.0,7576.0,3500.0,-1.0,3500.0,1950.0,6251.0,3200.0,6000.0,5316.0,4815.0,3329.0,2358.0,500.0,2394.0,4931.0,2697.0,4647.0,4694.0,2471.0,2650.0,3043.0,3350.0,-1.0,3000.0,3086.0,3823.0,7143.0,1372.0,5000.0,3656.0,2000.0,1564.0,6250.0,3053.0,4800.0,1429.0,7085.0,2068.0,4822.0,3279.0,10000.0,2025.0,4642.0,4641.0,4943.0,2381.0,2620.0,4944.0,4925.0,-1.0,5043.0,3198.0,500.0,4227.0,2055.0,-1.0,4815.0,2838.0,1299.0,1333.0
1976,-1.0,5793.0,5052.0,533.0,2020.0,6895.0,2500.0,-1.0,3499.0,1950.0,5691.0,3000.0,5926.0,4442.0,4821.0,2956.0,1663.0,1000.0,2121.0,3972.0,2081.0,4209.0,4241.0,2471.0,2687.0,3043.0,3911.0,-1.0,3000.0,2586.0,4076.0,7143.0,1487.0,5000.0,3367.0,2667.0,1555.0,6250.0,3200.0,4889.0,857.0,5613.0,1743.0,4933.0,2841.0,10000.0,2056.0,4285.0,4417.0,5358.0,1429.0,1625.0,4572.0,4957.0,-1.0,7980.0,3000.0,308.0,4136.0,2055.0,-1.0,4821.0,2513.0,1307.0,1333.0
1977,7895.0,5873.0,5122.0,533.0,2482.0,6486.0,3333.0,-1.0,3500.0,1250.0,6051.0,4400.0,6024.0,4297.0,4828.0,2205.0,1992.0,500.0,1667.0,4771.0,2350.0,3557.0,3563.0,2500.0,2626.0,3043.0,4744.0,-1.0,2667.0,2757.0,3525.0,7143.0,1564.0,5000.0,3847.0,2667.0,1478.0,8514.0,3350.0,5389.0,857.0,7191.0,1787.0,3880.0,3030.0,10000.0,2560.0,3950.0,4350.0,4696.0,1429.0,1673.0,4700.0,4743.0,-1.0,6542.0,4379.0,462.0,4195.0,2182.0,-1.0,4828.0,2312.0,1308.0,1333.0
1978,7937.0,5440.0,4958.0,533.0,2607.0,9629.0,2500.0,-1.0,3918.0,1250.0,6409.0,2482.0,6542.0,4378.0,4833.0,2527.0,2336.0,1000.0,2121.0,3600.0,2400.0,3614.0,3598.0,2500.0,2194.0,3704.0,5320.0,-1.0,2727.0,2243.0,2906.0,7143.0,2260.0,5000.0,3460.0,2667.0,1569.0,8500.0,3065.0,5591.0,845.0,5417.0,1767.0,3836.0,2510.0,10000.0,2483.0,6497.0,4302.0,5124.0,1053.0,1699.0,4923.0,5000.0,-1.0,7427.0,2485.0,500.0,4176.0,2182.0,-1.0,4833.0,2235.0,1613.0,1333.0
1979,8000.0,5012.0,4995.0,533.0,2870.0,10006.0,3000.0,-1.0,3596.0,1250.0,7415.0,3264.0,6111.0,5395.0,4839.0,2297.0,2591.0,1000.0,2273.0,4371.0,2498.0,3622.0,3600.0,2500.0,2864.0,3704.0,5597.0,-1.0,2727.0,2157.0,2931.0,7200.0,3879.0,5000.0,3455.0,2667.0,1547.0,8493.0,3292.0,5603.0,845.0,6600.0,2264.0,4102.0,2867.0,10000.0,2788.0,5692.0,5069.0,5152.0,1053.0,1314.0,4553.0,5150.0,-1.0,8504.0,3258.0,136.0,4141.0,2143.0,-1.0,4839.0,2340.0,1613.0,1333.0
