,Vanuatu,Haiti,Fiji,Panama,Pakistan,French Guiana,Thailand,Belize,Saint Kitts and Nevis,Guyana,Solomon Islands,Papua New Guinea,Somalia,Suriname,Equatorial Guinea,Niue,Brazil,Mozambique,El Salvador,Saint Lucia,Philippines,New Caledonia,Bahamas,Jamaica,Ecuador,Cabo Verde,Indonesia,Seychelles,Colombia,Sao Tome and Principe,Togo,Malaysia,Mexico,France,Timor-Leste,Nigeria,Micronesia,Congo,Martinique,Dominican Republic,Tonga,Puerto Rico,Peru,Ghana,"China, mainland",French Polynesia,India,Guinea-Bissau,Bosnia and Herzegovina,Cameroon,Tuvalu,Guatemala,Nauru,Cuba,Pacific Islands Trust Territory,Singapore,Micronesia (Federated States of),Dominica,Madagascar,United Republic of Tanzania,Samoa,Nepal,Guinea,Costa Rica,Bangladesh,Senegal,British Virgin Islands,Mauritius,Comoros,Benin,Cayman Islands,China,Cambodia,Guadeloupe,Honduras,Tokelau,Kenya,"China, Taiwan Province of",Réunion,Kiribati,Maldives,Trinidad and Tobago,Grenada,Wallis and Futuna Islands,Melanesia,Nicaragua,Viet Nam,Barbados,Marshall Islands,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),American Samoa,Brunei Darussalam,Cook Islands,Sierra Leone,Sri Lanka,Guam,Côte d'Ivoire,Polynesia,Myanmar,Liberia
1961,230000.0,20000.0,319015.0,36100.0,,-1.0,979000.0,1600.0,1800.0,52900.0,150000.0,610000.0,800.0,5756.0,6000.0,2370.0,271737.0,437700.0,19200.0,22220.0,5023200.0,22600.0,-1.0,150785.0,40200.0,8800.0,5650000.0,31900.0,27000.0,47000.0,35000.0,1220000.0,1059317.0,,12245.0,76000.0,167400.0,-1.0,275.0,42220.0,120000.0,14382.0,1000.0,236000.0,35000.0,168000.0,3328000.0,20000.0,,1750.0,3900.0,1000.0,1300.0,10000.0,89100.0,13000.0,,10000.0,13800.0,230856.0,104000.0,-1.0,18000.0,7600.0,49786.0,8000.0,20.0,17476.0,60000.0,40000.0,,35000.0,22680.0,1400.0,9615.0,1500.0,65000.0,-1.0,200.0,62000.0,6330.0,113000.0,6000.0,2000.0,1331615.0,2000.0,153400.0,1230.0,,21400.0,117000.0,6900.0,400.0,12000.0,1600.0,1948950.0,15000.0,12000.0,420670.0,40000.0,5000.0
1962,225000.0,21000.0,313027.0,35200.0,,-1.0,1005700.0,1200.0,1800.0,49376.0,150000.0,620000.0,800.0,5264.0,6000.0,3250.0,278894.0,392900.0,20200.0,24820.0,6427845.0,19400.0,-1.0,147500.0,37372.0,9000.0,5600000.0,34000.0,28000.0,51000.0,20000.0,1111000.0,1110675.0,,10288.0,72000.0,163000.0,-1.0,300.0,43488.0,80000.0,13452.0,1000.0,225000.0,38000.0,194300.0,3727631.0,20000.0,,1770.0,3900.0,1200.0,1300.0,10000.0,91400.0,12500.0,,9000.0,15000.0,222900.0,104000.0,-1.0,18000.0,7600.0,51819.0,8000.0,45.0,18000.0,60000.0,40000.0,,38000.0,26000.0,1400.0,9620.0,2050.0,65000.0,-1.0,200.0,55000.0,6460.0,103000.0,5800.0,2000.0,1327427.0,2800.0,148300.0,1260.0,,20500.0,128000.0,8000.0,452.0,12000.0,1650.0,2157300.0,15300.0,11700.0,409500.0,42000.0,5000.0
1963,254000.0,21000.0,326524.0,34300.0,,-1.0,979600.0,1300.0,1800.0,45900.0,155000.0,659000.0,1000.0,5846.0,6000.0,4770.0,321006.0,418600.0,21800.0,24760.0,7346115.0,22100.0,-1.0,133340.0,26200.0,9000.0,5510000.0,32500.0,29000.0,44400.0,25000.0,1114000.0,895591.0,,11323.0,78000.0,161900.0,-1.0,300.0,44820.0,95000.0,10263.0,1410.0,219000.0,40000.0,188600.0,3511000.0,20000.0,,1780.0,3900.0,1400.0,1300.0,7373.0,97800.0,11700.0,,10600.0,15000.0,250000.0,112000.0,-1.0,18000.0,7600.0,50803.0,10000.0,50.0,18000.0,58000.0,40000.0,,40000.0,27000.0,1400.0,9914.0,850.0,65000.0,-1.0,200.0,47000.0,6590.0,115200.0,6800.0,2000.0,1416624.0,4000.0,128840.0,1290.0,,20500.0,138000.0,9000.0,475.0,12500.0,1700.0,2096500.0,15800.0,14500.0,428620.0,45957.0,5000.0
1964,268000.0,22000.0,327220.0,33400.0,,-1.0,912400.0,1400.0,1700.0,45272.0,160000.0,658000.0,1500.0,5083.0,6000.0,6000.0,327054.0,389500.0,20900.0,26130.0,6868145.0,29200.0,-1.0,153709.0,15750.0,9400.0,5520000.0,42500.0,30000.0,49000.0,30000.0,1028000.0,925671.0,,11724.0,103000.0,166000.0,-1.0,400.0,48575.0,85000.0,11390.0,1529.0,224000.0,45000.0,182900.0,3746949.0,22000.0,,3310.0,3900.0,1600.0,1300.0,11703.0,97700.0,11000.0,,8000.0,15300.0,290000.0,126000.0,-1.0,18000.0,7600.0,62995.0,5000.0,,18000.0,59000.0,40000.0,,45000.0,30000.0,1400.0,11357.0,2600.0,65000.0,-1.0,200.0,51000.0,6730.0,102100.0,6600.0,2000.0,1442420.0,4200.0,123970.0,1320.0,,20500.0,150000.0,7000.0,452.0,12800.0,1750.0,2198000.0,16000.0,15500.0,428200.0,49003.0,5000.0
1965,210000.0,22000.0,260000.0,32600.0,,-1.0,855600.0,1400.0,1600.0,35561.0,156000.0,691000.0,2000.0,5183.0,6000.0,5000.0,344111.0,274600.0,21200.0,29125.0,6679465.0,24200.0,-1.0,162604.0,27200.0,9600.0,5450000.0,33700.0,31000.0,55000.0,20000.0,1080000.0,986493.0,,15748.0,99000.0,193000.0,-1.0,600.0,48460.0,81000.0,9588.0,9388.0,229424.0,50000.0,161200.0,3741005.0,23000.0,,5710.0,3900.0,1900.0,1500.0,12617.0,98700.0,11000.0,,10600.0,15600.0,273670.0,111000.0,-1.0,18000.0,7500.0,85348.0,3000.0,,18000.0,55000.0,40000.0,,50000.0,31000.0,1500.0,11400.0,2320.0,65000.0,-1.0,200.0,75000.0,6870.0,101800.0,6600.0,2000.0,1341200.0,5800.0,147300.0,1350.0,,21000.0,154737.0,6300.0,490.0,14000.0,1800.0,2017110.0,17800.0,17500.0,386720.0,49106.0,5000.0
1966,245000.0,21100.0,221952.0,31600.0,,-1.0,820000.0,1450.0,1600.0,43986.0,148000.0,710000.0,2500.0,5696.0,6000.0,4000.0,449471.0,291100.0,20800.0,31000.0,7526465.0,31000.0,-1.0,158002.0,23900.0,9800.0,5250000.0,37000.0,31000.0,45800.0,20000.0,1170000.0,1104992.0,,9544.0,89000.0,192100.0,-1.0,800.0,50025.0,100000.0,8976.0,13412.0,222413.0,51000.0,160500.0,3858000.0,25000.0,,2230.0,3900.0,2000.0,1500.0,11428.0,100300.0,19800.0,,12700.0,15500.0,276000.0,123000.0,-1.0,18000.0,15500.0,92461.0,4000.0,70.0,15000.0,60000.0,20000.0,76.0,51000.0,35000.0,1500.0,10845.0,1750.0,65000.0,-1.0,200.0,72000.0,9000.0,103300.0,7300.0,2000.0,1355952.0,4800.0,129500.0,1380.0,,23700.0,125000.0,7000.0,493.0,14000.0,1900.0,1705000.0,18300.0,22000.0,416150.0,42262.0,5500.0
1967,292000.0,22500.0,218345.0,30800.0,,-1.0,797000.0,1400.0,1550.0,36257.0,150000.0,658000.0,3000.0,6357.0,6000.0,3500.0,535664.0,388100.0,20200.0,34560.0,6323035.0,30000.0,-1.0,165613.0,14400.0,10000.0,5700000.0,37250.0,32000.0,45600.0,19000.0,1158000.0,1005658.0,,11897.0,86000.0,199500.0,-1.0,800.0,51359.0,100000.0,8840.0,14259.0,274000.0,52000.0,145800.0,3953503.0,27000.0,,1700.0,3400.0,2000.0,1500.0,10275.0,91200.0,19800.0,,11000.0,16000.0,290000.0,81000.0,-1.0,18000.0,16000.0,94493.0,4000.0,70.0,13000.0,62000.0,20000.0,76.0,52000.0,38000.0,1500.0,11959.0,1500.0,65000.0,-1.0,200.0,85000.0,10000.0,104600.0,7950.0,2000.0,1348345.0,3500.0,114840.0,1410.0,,24700.0,132800.0,7000.0,617.0,11200.0,1900.0,1836000.0,21800.0,30500.0,355400.0,41747.0,5620.0
1968,247000.0,22600.0,245041.0,30000.0,,-1.0,725000.0,1500.0,1550.0,55206.0,130000.0,703000.0,3500.0,6536.0,6000.0,3000.0,448828.0,407400.0,23400.0,35090.0,6134355.0,31900.0,-1.0,159158.0,18060.0,10200.0,5890000.0,36100.0,33000.0,40800.0,17900.0,1255000.0,1069245.0,,10119.0,91000.0,156000.0,-1.0,1300.0,52693.0,80000.0,10400.0,15993.0,268000.0,52000.0,139100.0,4120678.0,28000.0,,1750.0,3100.0,1500.0,1500.0,13032.0,77300.0,19800.0,,11200.0,14852.0,270000.0,117000.0,-1.0,18000.0,16000.0,80258.0,4000.0,70.0,10000.0,65000.0,20000.0,77.0,52000.0,49000.0,1600.0,13073.0,1650.0,75000.0,-1.0,200.0,54000.0,10500.0,113700.0,7300.0,2000.0,1356941.0,2800.0,97420.0,1440.0,,22000.0,133080.0,6500.0,633.0,19500.0,2000.0,1977000.0,23200.0,42000.0,371850.0,41459.0,5750.0
1969,266000.0,23700.0,281665.0,29300.0,,-1.0,721000.0,1550.0,1600.0,60805.0,157000.0,723000.0,4000.0,5916.0,6000.0,2800.0,426405.0,380000.0,22400.0,35510.0,5282700.0,27000.0,-1.0,137234.0,20000.0,10000.0,6070000.0,30100.0,34000.0,44000.0,20000.0,1186000.0,790116.0,,15987.0,83000.0,182650.0,-1.0,1500.0,54694.0,105000.0,8840.0,14191.0,167648.0,52000.0,192400.0,4352494.0,30000.0,,2100.0,2700.0,1400.0,1550.0,10884.0,102500.0,18900.0,,11500.0,16000.0,320000.0,133000.0,-1.0,18000.0,16000.0,83021.0,4000.0,60.0,8000.0,70000.0,20000.0,77.0,52000.0,44000.0,1600.0,14187.0,1640.0,75000.0,-1.0,200.0,55000.0,10642.0,118400.0,8000.0,2000.0,1454665.0,2000.0,86720.0,1470.0,,21000.0,142876.0,6000.0,636.0,14000.0,2000.0,1922000.0,23600.0,40000.0,459540.0,45344.0,5880.0
1970,240000.0,24200.0,248665.0,28300.0,,-1.0,713000.0,1600.0,1600.0,50000.0,181000.0,705000.0,4500.0,6057.0,6000.0,3500.0,426887.0,407400.0,28200.0,37530.0,5686160.0,15000.0,-1.0,141954.0,25000.0,9800.0,6260000.0,27350.0,35000.0,39500.0,17000.0,1291000.0,811157.0,,14786.0,83000.0,219600.0,-1.0,1800.0,56135.0,76000.0,9180.0,13937.0,302000.0,53000.0,176700.0,4514000.0,32000.0,,2500.0,2500.0,1500.0,1600.0,10230.0,138000.0,18900.0,,12300.0,18000.0,321400.0,104000.0,-1.0,18000.0,17600.0,56675.0,4000.0,60.0,8000.0,67000.0,20000.0,78.0,53000.0,44000.0,1600.0,15302.0,1660.0,80000.0,-1.0,200.0,59000.0,10271.0,93600.0,7350.0,2000.0,1389665.0,1700.0,118500.0,1500.0,,24000.0,146000.0,5800.0,500.0,14000.0,1900.0,1928000.0,21000.0,51500.0,386160.0,56179.0,6000.0
1971,264000.0,26000.0,250000.0,27700.0,,-1.0,706000.0,1650.0,1700.0,55744.0,184000.0,713000.0,5000.0,5784.0,6100.0,3400.0,436101.0,412000.0,41590.0,33160.0,7361760.0,21700.0,-1.0,170658.0,30000.0,9600.0,6650000.0,22432.0,36300.0,40000.0,12500.0,1220000.0,843730.0,,16072.0,97000.0,234450.0,-1.0,2000.0,57669.0,83000.0,9248.0,11957.0,302000.0,53000.0,164000.0,4550000.0,35000.0,,2600.0,3500.0,1900.0,1650.0,10578.0,140000.0,18360.0,,12700.0,23820.0,290000.0,150000.0,-1.0,18000.0,17600.0,57376.0,4000.0,50.0,7500.0,66000.0,20000.0,77.0,53000.0,42830.0,1700.0,16416.0,1700.0,75000.0,-1.0,220.0,71000.0,9049.0,103500.0,8250.0,2000.0,1432700.0,2000.0,125100.0,1526.0,,28000.0,151221.0,5500.0,636.0,14000.0,1900.0,2038000.0,21800.0,55000.0,427100.0,59263.0,6130.0
1972,164000.0,27300.0,260000.0,27200.0,,-1.0,699000.0,1700.0,1650.0,68469.0,176000.0,729000.0,5500.0,5680.0,6700.0,3400.0,418415.0,412000.0,40500.0,34770.0,9114340.0,26000.0,-1.0,138908.0,35000.0,9500.0,6530000.0,21582.0,37500.0,41000.0,12500.0,1157000.0,813740.0,,13871.0,86000.0,209350.0,-1.0,2000.0,59204.0,108000.0,9248.0,11448.0,295700.0,53000.0,145000.0,4455920.0,37000.0,,2250.0,1200.0,1900.0,1650.0,12103.0,140000.0,18000.0,,12000.0,25931.0,280000.0,150000.0,-1.0,18000.0,17600.0,58316.0,2000.0,50.0,6000.0,57000.0,20000.0,78.0,53000.0,43000.0,1700.0,17530.0,1550.0,80000.0,-1.0,20.0,45000.0,3663.0,104500.0,7650.0,2000.0,1355000.0,1300.0,116300.0,1560.0,,25000.0,154985.0,5100.0,550.0,11000.0,2000.0,2185000.0,22700.0,57500.0,427250.0,65484.0,6200.0
1973,196000.0,28400.0,250000.0,26593.0,,-1.0,691000.0,1800.0,1760.0,61094.0,178000.0,721000.0,6000.0,6080.0,6700.0,3600.0,355733.0,415000.0,41400.0,39000.0,7846185.0,26400.0,-1.0,116278.0,40000.0,9400.0,6660000.0,20606.0,38700.0,42000.0,12800.0,1097000.0,788968.0,,15418.0,99000.0,207600.0,-1.0,2000.0,60738.0,88000.0,9180.0,11514.0,305800.0,54000.0,113000.0,4346996.0,16500.0,,2000.0,1000.0,1900.0,1700.0,16784.0,114000.0,16200.0,,17200.0,28000.0,300000.0,137000.0,-1.0,18000.0,24000.0,57742.0,3000.0,50.0,5000.0,75000.0,20000.0,79.0,54000.0,43000.0,2075.0,16570.0,1600.0,80000.0,-1.0,20.0,68500.0,4774.0,99000.0,7900.0,2000.0,1371400.0,1300.0,133600.0,1590.0,,20000.0,160080.0,5000.0,710.0,11000.0,2200.0,1487000.0,23400.0,62500.0,362200.0,69584.0,6300.0
1974,274000.0,30000.0,253000.0,26023.0,,-1.0,684000.0,1800.0,1700.0,34000.0,180000.0,704000.0,6500.0,4800.0,6800.0,4600.0,325831.0,416000.0,44400.0,31700.0,5975000.0,20000.0,-1.0,121036.0,52692.0,9300.0,7000000.0,19573.0,40000.0,41000.0,13500.0,1081000.0,779272.0,,16056.0,99000.0,230150.0,-1.0,2000.0,62272.0,105000.0,8160.0,11975.0,306900.0,54000.0,100000.0,4479993.0,25000.0,,2000.0,4200.0,1900.0,1750.0,14181.0,115000.0,12600.0,,15800.0,27419.0,300000.0,156000.0,-1.0,18000.0,24000.0,61857.0,3500.0,40.0,5000.0,70000.0,20000.0,80.0,54000.0,41000.0,2075.0,16944.0,2700.0,70000.0,-1.0,20.0,90000.0,4274.0,59000.0,5600.0,2000.0,1431000.0,1300.0,127050.0,1610.0,,21500.0,158340.0,5000.0,500.0,11000.0,2300.0,1553000.0,23400.0,83000.0,390500.0,73187.0,6550.0
1975,260000.0,31400.0,226000.0,25453.0,,-1.0,842200.0,1850.0,1700.0,38000.0,183000.0,721000.0,7000.0,4420.0,6900.0,3300.0,313553.0,400000.0,45746.0,36200.0,9218985.0,18000.0,-1.0,105584.0,28310.0,9200.0,7230000.0,19287.0,41400.0,31000.0,13000.0,1277000.0,843768.0,,16000.0,99000.0,211300.0,-1.0,2000.0,63797.0,125000.0,9180.0,8431.0,311000.0,54000.0,162000.0,4331244.0,25000.0,,2000.0,1300.0,1900.0,1800.0,14494.0,145000.0,12600.0,,17100.0,33850.0,290000.0,143000.0,-1.0,18000.0,24500.0,61903.0,3700.0,41.0,5000.0,55000.0,20000.0,79.0,54000.0,40000.0,2075.0,17325.0,3000.0,64000.0,-1.0,20.0,40000.0,8159.0,77000.0,5800.0,2000.0,1408000.0,1300.0,123100.0,1620.0,,20500.0,153922.0,5000.0,263.0,11300.0,2500.0,1965000.0,24500.0,88000.0,455900.0,71393.0,6700.0
1976,280000.0,32500.0,248000.0,24944.0,,-1.0,900900.0,2000.0,1750.0,39000.0,183000.0,729000.0,7500.0,4400.0,7100.0,2300.0,302199.0,430000.0,47398.0,27800.0,11497000.0,15000.0,-1.0,101721.0,29950.0,9500.0,7980000.0,17681.0,42750.0,30000.0,13300.0,1228000.0,919679.0,,15000.0,90000.0,214600.0,-1.0,2246.0,64032.0,115000.0,9185.0,8289.0,229000.0,55000.0,143000.0,4284000.0,25500.0,,2000.0,1000.0,1900.0,1000.0,7886.0,125000.0,13300.0,,17000.0,35270.0,280000.0,130000.0,-1.0,18000.0,24500.0,65307.0,3900.0,42.0,5000.0,56500.0,20000.0,80.0,55000.0,42000.0,2075.0,17715.0,1500.0,65000.0,-1.0,50.0,63000.0,5426.0,79000.0,6000.0,2000.0,1455000.0,1300.0,155288.0,1630.0,,16500.0,154880.0,5000.0,148.0,11000.0,2500.0,1771000.0,25600.0,104500.0,410800.0,76872.0,6880.0
1977,334000.0,31000.0,277000.0,24445.0,,-1.0,927400.0,2100.0,1750.0,25200.0,180000.0,810000.0,8000.0,4400.0,7100.0,3000.0,307399.0,440000.0,60021.0,31200.0,10281000.0,18000.0,-1.0,139048.0,44738.0,9800.0,8150000.0,19394.0,50475.0,42000.0,13500.0,1124000.0,879308.0,,15000.0,92000.0,267200.0,-1.0,1775.0,72703.0,105000.0,9185.0,12432.0,152000.0,56000.0,113000.0,4022000.0,26000.0,,2500.0,1600.0,1975.0,1500.0,11676.0,175000.0,12400.0,,18000.0,32195.0,270000.0,147000.0,-1.0,18000.0,24500.0,68497.0,4000.0,43.0,5000.0,55000.0,20000.0,80.0,56000.0,42000.0,2375.0,18114.0,1000.0,75000.0,-1.0,50.0,64000.0,10083.0,79000.0,6100.0,2000.0,1619000.0,1300.0,192577.0,1650.0,,22800.0,159964.0,5000.0,285.0,10000.0,2500.0,1384000.0,26700.0,125000.0,387600.0,92668.0,7000.0
1978,350000.0,33000.0,245000.0,23956.0,,-1.0,843000.0,2300.0,1700.0,19875.0,185000.0,891000.0,8500.0,4515.0,7200.0,2500.0,307265.0,460000.0,60018.0,35350.0,10294000.0,15000.0,-1.0,142539.0,62608.0,9800.0,8210000.0,17846.0,51000.0,33000.0,13500.0,1034000.0,903082.0,,15000.0,92000.0,329400.0,-1.0,1775.0,66700.0,75000.0,9185.0,13901.0,159000.0,57000.0,103000.0,4257000.0,27000.0,,2700.0,4582.0,2400.0,1600.0,12205.0,220000.0,10800.0,,18500.0,34470.0,290000.0,125000.0,-1.0,18000.0,25000.0,66871.0,4100.0,45.0,5000.0,60000.0,20000.0,78.0,57000.0,36000.0,2775.0,19824.0,800.0,78000.0,-1.0,50.0,80000.0,6492.0,65000.0,7000.0,2500.0,1686000.0,1500.0,260893.0,1680.0,,30400.0,161223.0,5000.0,91.0,9000.0,2600.0,1677000.0,27800.0,151000.0,327382.0,91296.0,7000.0
1979,343000.0,33500.0,217000.0,23477.0,,-1.0,785000.0,2500.0,1700.0,27825.0,225000.0,810000.0,9000.0,5646.0,7200.0,3300.0,319664.0,480000.0,56373.0,38500.0,8449000.0,13000.0,-1.0,163431.0,62660.0,10000.0,8430000.0,22545.0,55000.0,42000.0,13800.0,1095000.0,811615.0,,14500.0,90000.0,323600.0,-1.0,1350.0,65366.0,75000.0,9526.0,15554.0,159000.0,58000.0,112000.0,4188000.0,27500.0,,2900.0,4700.0,2600.0,1700.0,15079.0,223000.0,10800.0,,18000.0,56170.0,300000.0,172000.0,-1.0,18000.0,24700.0,71839.0,4200.0,46.0,5000.0,64000.0,20000.0,80.0,58000.0,26000.0,2250.0,19468.0,1300.0,75000.0,-1.0,115.0,70000.0,2548.0,60000.0,7250.0,2500.0,1608000.0,1300.0,326461.0,1700.0,,27160.0,159309.0,4500.0,83.0,12500.0,2600.0,1819000.0,28900.0,180000.0,387800.0,96377.0,7000.0
1980,278000.0,34000.0,225000.0,23128.0,190.0,-1.0,671100.0,2700.0,1700.0,33550.0,215000.0,883000.0,10000.0,5479.0,7300.0,3300.0,341820.0,450000.0,54211.0,40000.0,9141000.0,14000.0,-1.0,192498.0,78484.0,10000.0,8660000.0,21610.0,65000.0,32000.0,14000.0,1188000.0,892871.0,,14000.0,90000.0,288800.0,-1.0,1350.0,73370.0,105000.0,9321.0,12417.0,174400.0,59000.0,150000.0,4250000.0,28000.0,,3000.0,4500.0,3000.0,1800.0,19387.0,196000.0,10800.0,,7000.0,68360.0,310000.0,182000.0,-1.0,18000.0,25000.0,76717.0,4250.0,47.0,5000.0,53000.0,20000.0,80.0,59000.0,30000.0,2650.0,14200.0,1500.0,70000.0,-1.0,86.0,61000.0,8860.0,39500.0,7200.0,2500.0,1615000.0,1300.0,311256.0,1720.0,,20400.0,159204.0,4600.0,104.0,10000.0,2600.0,1540000.0,30000.0,210000.0,463400.0,148341.0,7000.0
1981,356000.0,34000.0,210000.0,22706.0,191.0,-1.0,887300.0,2700.0,1750.0,34185.0,245000.0,811000.0,11000.0,6525.0,7300.0,3300.0,327664.0,430000.0,53751.0,18000.0,9837000.0,14000.0,-1.0,160952.0,79252.0,10000.0,9320000.0,21563.0,73000.0,30000.0,14000.0,1230000.0,864215.0,,14000.0,100000.0,288900.0,-1.0,1142.0,76705.0,98000.0,9321.0,12669.0,432500.0,60000.0,125000.0,4138500.0,28500.0,,3100.0,4582.0,2900.0,1900.0,17163.0,170000.0,9000.0,,6290.0,75020.0,320000.0,154000.0,-1.0,18000.0,26000.0,77275.0,4300.0,47.0,5000.0,43000.0,20000.0,80.0,60000.0,28000.0,2650.0,13000.0,1700.0,60000.0,-1.0,100.0,86000.0,8492.0,48000.0,7524.0,2500.0,1636000.0,1500.0,349100.0,1400.0,,18860.0,160832.0,4600.0,105.0,12000.0,2600.0,1716000.0,31000.0,225000.0,405682.0,112161.0,7000.0
1982,294000.0,35000.0,217000.0,22294.0,193.0,-1.0,1075900.0,2750.0,1750.0,38160.0,235000.0,812000.0,12000.0,7177.0,7400.0,3400.0,351564.0,420000.0,53751.0,25000.0,9107000.0,12000.0,-1.0,115885.0,71390.0,10000.0,8340000.0,18000.0,80000.0,37000.0,14000.0,1252000.0,1048050.0,,13500.0,110000.0,249900.0,-1.0,1158.0,80040.0,50000.0,8165.0,12553.0,337000.0,62000.0,145000.0,4767000.0,29000.0,,3200.0,2350.0,2900.0,1900.0,19858.0,140000.0,9000.0,,11000.0,75690.0,320000.0,213000.0,-1.0,18000.0,26300.0,77341.0,4400.0,48.0,5000.0,45000.0,20000.0,80.0,62000.0,30000.0,2650.0,12166.0,1900.0,34203.0,-1.0,200.0,76000.0,8800.0,54000.0,7100.0,2500.0,1570000.0,1700.0,401400.0,1400.0,,19990.0,160421.0,4700.0,694.0,12000.0,2650.0,1908000.0,32000.0,270000.0,434850.0,112285.0,7000.0
1983,314000.0,35500.0,233500.0,21888.0,193.0,-1.0,1101500.0,2800.0,1800.0,39750.0,230000.0,830000.0,12500.0,6753.0,7500.0,3000.0,317826.0,410000.0,73600.0,28000.0,8503000.0,13000.0,-1.0,111701.0,63028.0,10000.0,8360000.0,21000.0,92828.0,40000.0,14000.0,1233000.0,1147928.0,,13500.0,100000.0,240800.0,-1.0,1985.0,81374.0,50000.0,8165.0,11978.0,338800.0,65000.0,91000.0,4315200.0,30000.0,,3300.0,2500.0,2800.0,1800.0,22879.0,150000.0,7200.0,,17000.0,76810.0,320000.0,177000.0,-1.0,18000.0,26000.0,79256.0,4500.0,48.0,5000.0,46000.0,20000.0,65.0,65000.0,33000.0,2780.0,10000.0,2000.0,45000.0,-1.0,400.0,56000.0,10000.0,58000.0,6800.0,2500.0,1620500.0,1900.0,517700.0,1400.0,,17405.0,161063.0,4800.0,750.0,7000.0,2680.0,1758000.0,33000.0,295000.0,339800.0,147528.0,7000.0
