,Bangladesh,India,Thailand,Ghana,Viet Nam,New Zealand,Côte d'Ivoire,Malaysia,Australia & New Zealand,Sri Lanka
1961,6368.0,166500.0,700.0,-1.0,-1.0,-1.0,-1.0,48800.0,-1.0,136000.0
1962,6628.0,186400.0,1000.0,-1.0,-1.0,-1.0,-1.0,44500.0,-1.0,151000.0
1963,6497.0,175600.0,1500.0,-1.0,-1.0,-1.0,-1.0,44600.0,-1.0,147000.0
1964,8057.0,187400.0,2500.0,-1.0,-1.0,-1.0,-1.0,41200.0,-1.0,154000.0
1965,10916.0,187000.0,2000.0,-1.0,-1.0,-1.0,-1.0,43200.0,-1.0,141000.0
1966,11825.0,193000.0,1400.0,-1.0,-1.0,-1.0,-1.0,46800.0,-1.0,119000.0
1967,12085.0,197700.0,1800.0,-1.0,-1.0,-1.0,-1.0,46400.0,-1.0,129000.0
1968,10264.0,206000.0,2300.0,-1.0,-1.0,-1.0,-1.0,50200.0,-1.0,138000.0
1969,10618.0,217700.0,1000.0,-1.0,-1.0,-1.0,-1.0,47500.0,-1.0,135000.0
1970,7248.0,225700.0,1000.0,-1.0,-1.0,-1.0,-1.0,51700.0,-1.0,135000.0
1971,7338.0,227500.0,2300.0,-1.0,-1.0,-1.0,-1.0,48800.0,-1.0,143000.0
1972,7458.0,222800.0,2800.0,-1.0,-1.0,-1.0,-1.0,46300.0,-1.0,153000.0
1973,7389.0,217400.0,3000.0,-1.0,-1.0,-1.0,-1.0,43900.0,-1.0,104000.0
1974,7911.0,224000.0,5000.0,-1.0,-1.0,-1.0,-1.0,43300.0,-1.0,109000.0
1975,7916.0,216600.0,5000.0,-1.0,-1.0,-1.0,-1.0,51100.0,-1.0,138000.0
1976,8353.0,214200.0,5000.0,-1.0,-1.0,-1.0,-1.0,49200.0,-1.0,124000.0
1977,8761.0,201100.0,3500.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,97000.0
1978,8553.0,212900.0,3500.0,-1.0,-1.0,-1.0,-1.0,41400.0,-1.0,117000.0
1979,9188.0,209400.0,6000.0,-1.0,-1.0,-1.0,-1.0,43900.0,-1.0,127000.0
1980,9812.0,212500.0,7000.0,-1.0,-1.0,-1.0,-1.0,47600.0,-1.0,108000.0
1981,9883.0,206900.0,5000.0,-1.0,-1.0,-1.0,-1.0,49200.0,-1.0,120000.0
1982,9892.0,238400.0,2500.0,-1.0,-1.0,-1.0,-1.0,50100.0,-1.0,134000.0
1983,10137.0,215800.0,4000.0,-1.0,-1.0,-1.0,-1.0,49400.0,-1.0,123000.0
1984,10622.0,256800.0,7000.0,-1.0,-1.0,-1.0,-1.0,48000.0,-1.0,103000.0
1985,10617.0,251500.0,4500.0,-1.0,-1.0,-1.0,-1.0,48400.0,-1.0,147000.0
1986,10658.0,236900.0,5700.0,-1.0,-1.0,-1.0,-1.0,46700.0,-1.0,162000.0
1987,10566.0,270100.0,6100.0,-1.0,-1.0,-1.0,-1.0,40900.0,-1.0,122000.0
1988,11006.0,317300.0,8000.0,-1.0,-1.0,-1.0,-1.0,45400.0,-1.0,103000.0
1989,10699.0,347700.0,7800.0,-1.0,-1.0,-1.0,-1.0,45300.0,-1.0,132000.0
1990,10433.0,361500.0,8900.0,27500.0,-1.0,-1.0,-1.0,45400.0,-1.0,135000.0
1991,9710.0,374500.0,8900.0,28100.0,-1.0,-1.0,-1.0,40100.0,-1.0,116000.0
1992,10441.0,417600.0,8900.0,27500.0,-1.0,0.0,-1.0,41800.0,0.0,122000.0
1993,11855.0,444700.0,10000.0,28750.0,-1.0,0.0,-1.0,42100.0,0.0,117000.0
1994,12000.0,494100.0,9000.0,32400.0,-1.0,0.0,-1.0,40700.0,0.0,140000.0
1995,12190.0,481100.0,8000.0,30600.0,291300.0,0.0,-1.0,41000.0,0.0,147000.0
1996,11390.0,485000.0,8000.0,37000.0,329500.0,0.0,-1.0,37100.0,0.0,135000.0
1997,11410.0,472500.0,8000.0,36900.0,277700.0,0.0,1500.0,35600.0,0.0,140000.0
1998,11420.0,465700.0,8000.0,38800.0,241000.0,-1.0,2000.0,30200.0,-1.0,134000.0
1999,11390.0,454000.0,9000.0,38800.0,276000.0,-1.0,2000.0,29800.0,-1.0,150000.0
2000,11390.0,468000.0,9000.0,39400.0,221200.0,-1.0,2000.0,29400.0,-1.0,164700.0
2001,11390.0,450000.0,14000.0,39400.0,223000.0,-1.0,2000.0,28500.0,-1.0,147300.0
2002,11130.0,447000.0,20000.0,39400.0,228800.0,-1.0,2000.0,28500.0,-1.0,127250.0
2003,11250.0,531500.0,32000.0,39400.0,230000.0,-1.0,2000.0,23900.0,-1.0,136300.0
2004,11260.0,419000.0,46000.0,39400.0,232650.0,-1.0,2000.0,25700.0,-1.0,177200.0
2005,11250.0,441500.0,40000.0,39400.0,235000.0,-1.0,2000.0,23400.0,-1.0,202000.0
2006,11260.0,509500.0,40000.0,39400.0,250000.0,-1.0,2000.0,23400.0,-1.0,148100.0
2007,11260.0,545000.0,50000.0,39400.0,259000.0,-1.0,2000.0,23400.0,-1.0,152600.0
2008,11260.0,507000.0,50000.0,39400.0,274000.0,-1.0,2050.0,22204.0,-1.0,150000.0
2009,9945.0,541000.0,60000.0,39400.0,282000.0,-1.0,2100.0,18400.0,-1.0,162000.0
2010,10420.0,542000.0,50000.0,39400.0,291000.0,-1.0,2200.0,22000.0,-1.0,155000.0
2011,10240.0,514000.0,50000.0,39400.0,300400.0,-1.0,2100.0,22500.0,-1.0,148000.0
2012,10420.0,528000.0,60000.0,39505.0,318300.0,-1.0,2100.0,24300.0,-1.0,150000.0
2013,10420.0,596500.0,60000.0,39893.0,326000.0,-1.0,2100.0,24200.0,-1.0,147000.0
2014,10300.0,544300.0,56000.0,39835.0,303500.0,-1.0,2120.0,22280.0,-1.0,152400.0
