,South Africa,Australia & New Zealand,Australia,Iraq,Madagascar,The former Yugoslav Republic of Macedonia,United Republic of Tanzania,South Sudan,Kenya,Guyana,Senegal,Uganda,Croatia,Mozambique,Occupied Palestinian Territory,Burkina Faso,Serbia and Montenegro,Niger,Sudan (former),Serbia,Slovenia,Philippines,Zimbabwe,Malawi,Jamaica,Swaziland,Japan,Trinidad and Tobago,Egypt,Sudan,Haiti,Democratic Republic of the Congo,Nigeria,Mali,Mauritania,Hungary,Russian Federation,Yugoslav SFR,Peru,United States of America,"China, mainland",Sri Lanka,Cyprus,Guinea-Bissau,Bosnia and Herzegovina,Cameroon,Myanmar,China
1961,15800.0,,,2100.0,4000.0,,16000.0,,-1.0,-1.0,12000.0,45000.0,,-1.0,-1.0,74219.0,,50000.0,-1.0,,,5000.0,590.0,25000.0,245.0,1000.0,15100.0,250.0,2796.0,,27000.0,29000.0,431000.0,20000.0,7650.0,-1.0,,39700.0,-1.0,33503.0,-1.0,1250.0,310.0,-1.0,,-1.0,10251.0,-1.0
1962,7600.0,,,2500.0,3000.0,,18000.0,,-1.0,-1.0,13200.0,50000.0,,-1.0,-1.0,91491.0,,73500.0,-1.0,,,5400.0,295.0,26000.0,255.0,1000.0,14400.0,300.0,3490.0,,28000.0,31000.0,508000.0,20000.0,7650.0,-1.0,,32500.0,-1.0,28468.0,-1.0,1535.0,305.0,-1.0,,-1.0,10300.0,-1.0
1963,8400.0,,,3300.0,3000.0,,20248.0,,-1.0,-1.0,14000.0,45000.0,,-1.0,-1.0,93853.0,,80000.0,-1.0,,,5242.0,290.0,27000.0,265.0,1000.0,13100.0,454.0,5602.0,,29000.0,33000.0,611000.0,20000.0,7650.0,-1.0,,33200.0,-1.0,33122.0,-1.0,2397.0,277.0,-1.0,,-1.0,10356.0,-1.0
1964,7800.0,,,5473.0,3200.0,,9746.0,,-1.0,-1.0,17000.0,50000.0,,-1.0,-1.0,103303.0,,86028.0,-1.0,,,7606.0,154.0,28000.0,250.0,1000.0,11400.0,227.0,6985.0,,30000.0,35000.0,616000.0,20000.0,7650.0,-1.0,,34800.0,-1.0,21283.0,-1.0,2264.0,193.0,-1.0,,-1.0,13975.0,-1.0
1965,9500.0,,,6424.0,3000.0,,7390.0,,-1.0,-1.0,14000.0,40000.0,,-1.0,-1.0,97457.0,,76478.0,-1.0,,,7538.0,218.0,29000.0,210.0,1000.0,10600.0,227.0,6513.0,,32000.0,35000.0,646000.0,20000.0,7650.0,-1.0,,23600.0,-1.0,24059.0,-1.0,2420.0,498.0,-1.0,,-1.0,7278.0,-1.0
1966,9600.0,,,6588.0,3500.0,,12821.0,,-1.0,-1.0,18200.0,23369.0,,-1.0,-1.0,102219.0,,67600.0,-1.0,,,7180.0,,30000.0,400.0,1000.0,10300.0,136.0,5678.0,,34000.0,36000.0,580000.0,20000.0,7650.0,-1.0,,17000.0,-1.0,22670.0,-1.0,2580.0,203.0,-1.0,,-1.0,5517.0,-1.0
1967,15300.0,,,8414.0,3600.0,,8347.0,,-1.0,-1.0,30350.0,61000.0,,-1.0,-1.0,105813.0,,77000.0,-1.0,,,7640.0,,31000.0,625.0,1100.0,8490.0,136.0,10000.0,,34000.0,36000.0,550000.0,20000.0,7650.0,-1.0,,12300.0,-1.0,21718.0,-1.0,2898.0,254.0,-1.0,,-1.0,5845.0,-1.0
1968,13600.0,,,7049.0,3400.0,,12267.0,,-1.0,-1.0,17100.0,64000.0,,-1.0,-1.0,110877.0,,74200.0,-1.0,,,8392.0,,32000.0,591.0,900.0,8600.0,181.0,8000.0,,36000.0,37000.0,648000.0,20000.0,7650.0,-1.0,,12500.0,-1.0,0.0,-1.0,2472.0,203.0,-1.0,,-1.0,6098.0,-1.0
1969,19100.0,,,5030.0,3834.0,,17996.0,,-1.0,-1.0,22600.0,55640.0,,-1.0,-1.0,106006.0,,83300.0,-1.0,,,7078.0,,33000.0,419.0,1000.0,7500.0,181.0,7000.0,,38000.0,36400.0,931000.0,20000.0,7650.0,-1.0,,10400.0,-1.0,,-1.0,2447.0,203.0,-1.0,,-1.0,7623.0,-1.0
1970,10300.0,,,6774.0,3500.0,,12098.0,,-1.0,-1.0,17800.0,50000.0,,-1.0,-1.0,108876.0,,84300.0,-1.0,,,9150.0,,34000.0,468.0,1000.0,7500.0,227.0,6000.0,,40000.0,39700.0,884000.0,20000.0,7650.0,-1.0,,10500.0,-1.0,,-1.0,3182.0,254.0,-1.0,,-1.0,7620.0,-1.0
