,Ukraine,Germany,Chile,Belarus,USSR,Estonia,Bulgaria,United States of America,Romania,Azerbaijan,France,Poland,Canada,The former Yugoslav Republic of Macedonia,Spain,Tunisia,Latvia
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,8680.0,-1.0,-1.0,-1,-1,50.0,-1.0,-1,-1.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,8320.0,-1.0,-1.0,-1,-1,45.0,-1.0,-1,-1.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,8140.0,-1.0,-1.0,-1,-1,80.0,-1.0,-1,-1.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,8340.0,-1.0,-1.0,-1,-1,80.0,-1.0,-1,-1.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,8350.0,-1.0,-1.0,-1,-1,100.0,-1.0,-1,-1.0,-1.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,8400.0,-1.0,-1.0,-1,-1,100.0,-1.0,-1,-1.0,-1.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,8580.0,-1.0,-1.0,-1,-1,100.0,-1.0,-1,-1.0,-1.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,8590.0,-1.0,-1.0,-1,-1,105.0,-1.0,-1,-1.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,8610.0,-1.0,-1.0,-1,-1,105.0,-1.0,-1,-1.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,8780.0,-1.0,-1.0,-1,-1,240.0,-1.0,-1,-1.0,-1.0
1971,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9060.0,-1.0,-1.0,-1,-1,500.0,-1.0,-1,-1.0,-1.0
1972,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9150.0,-1.0,-1.0,-1,-1,310.0,-1.0,-1,-1.0,-1.0
1973,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9350.0,-1.0,-1.0,-1,-1,400.0,-1.0,-1,-1.0,-1.0
1974,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9470.0,-1.0,-1.0,-1,-1,380.0,-1.0,-1,-1.0,-1.0
1975,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9430.0,-1.0,-1.0,-1,-1,400.0,-1.0,-1,-1.0,-1.0
1976,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9350.0,-1.0,-1.0,-1,-1,520.0,-1.0,-1,-1.0,-1.0
1977,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9110.0,-1.0,-1.0,-1,-1,550.0,-1.0,-1,-1.0,-1.0
1978,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9350.0,-1.0,-1.0,-1,-1,640.0,-1.0,-1,-1.0,-1.0
1979,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9390.0,-1.0,-1.0,-1,-1,650.0,-1.0,-1,-1.0,-1.0
1980,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9390.0,-1.0,-1.0,-1,-1,490.0,-1.0,-1,-1.0,-1.0
1981,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9390.0,-1.0,-1.0,-1,-1,690.0,-1.0,-1,-1.0,-1.0
1982,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9470.0,-1.0,-1.0,-1,-1,540.0,-1.0,-1,-1.0,-1.0
1983,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9750.0,-1.0,-1.0,-1,-1,760.0,-1.0,-1,-1.0,-1.0
1984,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,9960.0,-1.0,-1.0,-1,-1,540.0,-1.0,-1,-1.0,-1.0
1985,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,10400.0,-1.0,-1.0,-1,-1,680.0,-1.0,-1,-1.0,-1.0
1986,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,10640.0,-1.0,-1.0,-1,-1,700.0,-1.0,-1,-1.0,-1.0
1987,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,10800.0,-1.0,-1.0,-1,-1,960.0,-1.0,-1,-1.0,-1.0
1988,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,11050.0,-1.0,-1.0,-1,-1,886.0,-1.0,-1,-1.0,-1.0
1989,-1.0,-1.0,-1.0,-1.0,715.0,-1,-1.0,11129.0,-1.0,-1.0,-1,-1,983.0,-1.0,-1,8.0,-1.0
1990,-1.0,-1.0,0.0,-1.0,800.0,-1,-1.0,11250.0,-1.0,-1.0,-1,-1,997.0,-1.0,-1,8.0,-1.0
1991,-1.0,-1.0,1516.0,-1.0,1000.0,-1,-1.0,11450.0,-1.0,-1.0,-1,-1,995.0,-1.0,-1,8.0,-1.0
1992,-1.0,-1.0,1516.0,400.0,-1.0,-1,-1.0,11775.0,-1.0,200.0,-1,-1,1033.0,-1.0,-1,8.0,1500.0
1993,-1.0,-1.0,1516.0,500.0,-1.0,-1,-1.0,11940.0,-1.0,200.0,-1,-1,1054.0,-1.0,-1,8.0,1500.0
1994,-1.0,-1.0,1516.0,400.0,-1.0,-1,-1.0,12590.0,-1.0,200.0,-1,-1,1072.0,23.0,-1,8.0,1500.0
1995,-1.0,-1.0,1516.0,400.0,-1.0,-1,-1.0,13270.0,-1.0,200.0,-1,-1,1616.0,50.0,-1,8.0,1500.0
1996,-1.0,-1.0,1516.0,500.0,-1.0,-1,-1.0,13760.0,-1.0,200.0,-1,-1,1443.0,20.0,-1,8.0,800.0
1997,-1.0,-1.0,1516.0,700.0,-1.0,-1,-1.0,14450.0,-1.0,200.0,-1,-1,1655.0,30.0,-1,8.0,2000.0
1998,-1.0,-1.0,1516.0,1200.0,-1.0,-1,-1.0,14810.0,-1.0,300.0,-1,-1,1888.0,50.0,-1,8.0,2000.0
1999,-1.0,-1.0,1516.0,900.0,-1.0,-1,-1.0,15176.0,-1.0,300.0,-1,-1,1945.0,20.0,-1,8.0,2000.0
2000,500.0,-1.0,1516.0,900.0,-1.0,-1,-1.0,14812.0,100.0,300.0,-1,-1,1947.0,28.0,-1,8.0,1600.0
2001,500.0,-1.0,1516.0,700.0,-1.0,-1,-1.0,14407.0,134.0,400.0,-1,-1,2382.0,28.0,-1,8.0,2500.0
2002,500.0,-1.0,1516.0,700.0,-1.0,-1,-1.0,15945.0,130.0,500.0,-1,-1,2588.0,20.0,-1,8.0,1500.0
2003,500.0,-1.0,1528.0,500.0,-1.0,-1,-1.0,16026.0,120.0,300.0,-1,-1,3185.0,20.0,-1,8.0,900.0
2004,300.0,-1.0,665.0,900.0,-1.0,-1,-1.0,15864.0,100.0,250.0,-1,-1,3389.0,20.0,-1,8.0,800.0
2005,500.0,0.0,1361.0,800.0,-1.0,-1,-1.0,15783.0,104.0,400.0,-1,-1,2829.0,35.0,-1,11.0,700.0
2006,500.0,0.0,3816.0,900.0,-1.0,-1,100.0,15580.0,101.0,500.0,-1,-1,3780.0,50.0,-1,13.0,909.0
2007,500.0,0.0,5660.0,700.0,-1.0,-1,100.0,15419.0,98.0,600.0,-1,-1,3952.0,42.0,-1,12.0,836.0
2008,400.0,0.0,5949.0,900.0,-1.0,-1,100.0,15459.0,100.0,500.0,-1,-1,4425.0,43.0,-1,14.0,400.0
2009,500.0,0.0,6775.0,1600.0,-1.0,-1,90.0,15580.0,98.0,500.0,-1,-1,4552.0,44.0,-1,13.0,400.0
2010,450.0,0.0,7298.0,1600.0,-1.0,-1,85.0,15580.0,96.0,500.0,-1,-1,4676.0,54.0,-1,40.0,449.0
2011,300.0,0.0,7298.0,1400.0,-1.0,-1,81.0,15580.0,94.0,500.0,-1,-1,5131.0,46.0,-1,30.0,361.0
2012,250.0,0.0,12376.0,1600.0,-1.0,-1,70.0,16309.0,80.0,500.0,-1,-1,5764.0,50.0,-1,26.0,303.0
2013,200.0,0.0,14723.0,1600.0,-1.0,-1,75.0,16997.0,89.0,500.0,-1,-1,5928.0,48.0,-1,26.0,272.0
2014,200.0,0.0,14476.0,18000.0,-1.0,-1,75.0,16430.0,80.0,600.0,-1,-1,6292.0,48.0,-1,28.0,267.0
