,USSR,Romania,Chile,Belarus,United States of America,The former Yugoslav Republic of Macedonia,Latvia,Azerbaijan,Canada,Tunisia,Bulgaria,Ukraine
1961,,,,,64611.0,,,,65200.0,,,
1962,,,,,72209.0,,,,53333.0,,,
1963,,,,,69905.0,,,,60625.0,,,
1964,,,,,72036.0,,,,59000.0,,,
1965,,,,,77290.0,,,,70300.0,,,
1966,,,,,84864.0,,,,81500.0,,,
1967,,,,,74240.0,,,,110500.0,,,
1968,,,,,77454.0,,,,138190.0,,,
1969,,,,,96044.0,,,,123810.0,,,
1970,,,,,105214.0,,,,111917.0,,,
1971,,,,,113387.0,,,,95920.0,,,
1972,,,,,103012.0,,,,114806.0,,,
1973,,,,,101891.0,,,,132225.0,,,
1974,,,,,107099.0,,,,112368.0,,,
1975,,,,,99814.0,,,,143525.0,,,
1976,,,,,116784.0,,,,124962.0,,,
1977,,,,,104670.0,,,,125127.0,,,
1978,,,,,119267.0,,,,111891.0,,,
1979,,,,,119585.0,,,,114308.0,,,
1980,,,,,130309.0,,,,118755.0,,,
1981,,,,,125261.0,,,,115188.0,,,
1982,,,,,145565.0,,,,132037.0,,,
1983,,,,,138913.0,,,,111211.0,,,
1984,,,,,151285.0,,,,113407.0,,,
1985,,,,,152019.0,,,,120368.0,,,
1986,,,,,157331.0,,,,121257.0,,,
1987,,,,,142500.0,,,,118260.0,,,
1988,,,,,167511.0,,,,141456.0,,,
1989,69930.0,,,,152754.0,,,,114303.0,62500.0,,
1990,81125.0,,,,136756.0,,,,164403.0,61250.0,,
1991,84900.0,,,,167162.0,,,,177789.0,62649.0,,
1992,,,,25000.0,160255.0,,33333.0,35000.0,194676.0,62707.0,,
1993,,,,20000.0,148918.0,,80000.0,30000.0,148292.0,62765.0,,
1994,,,,25000.0,168681.0,43221.0,46667.0,30000.0,236567.0,62823.0,,
1995,,,,25000.0,143361.0,40000.0,93333.0,30000.0,152351.0,62881.0,,
1996,,,,20000.0,154012.0,50000.0,70000.0,25000.0,159321.0,62939.0,,
1997,,,,28571.0,172595.0,44790.0,70000.0,30000.0,150816.0,62996.0,,
1998,,,,25000.0,166612.0,40000.0,20000.0,33333.0,191631.0,62812.0,,
1999,,,,27778.0,190034.0,50000.0,16500.0,33333.0,183445.0,62704.0,,
2000,,50000.0,,22222.0,174921.0,46914.0,35000.0,43333.0,163380.0,62500.0,,10000.0
2001,,59907.0,,20000.0,167811.0,48375.0,21200.0,37500.0,146029.0,62500.0,,10000.0
2002,,61569.0,,21429.0,161866.0,47875.0,24667.0,50000.0,199235.0,62722.0,,6000.0
2003,,83333.0,,20000.0,175313.0,48609.0,24444.0,46667.0,165309.0,62710.0,,1000.0
2004,,50000.0,,33333.0,176589.0,49547.0,33750.0,36000.0,197079.0,62678.0,,3333.0
2005,,62950.0,89640.0,37500.0,179449.0,50496.0,28571.0,45000.0,239908.0,62650.0,,10000.0
2006,,63430.0,44549.0,44444.0,200886.0,50000.0,23100.0,60000.0,203942.0,62651.0,10000.0,10000.0
2007,,64304.0,38869.0,57143.0,192801.0,52464.0,22736.0,56667.0,167915.0,62711.0,10000.0,10000.0
2008,,65178.0,58833.0,66667.0,230801.0,53495.0,22911.0,44000.0,164267.0,62854.0,10000.0,15000.0
2009,,66053.0,59041.0,46875.0,201264.0,54527.0,22399.0,44000.0,190633.0,63109.0,10795.0,6000.0
2010,,66927.0,76733.0,51875.0,198212.0,55561.0,21758.0,48000.0,161260.0,62500.0,11158.0,6667.0
2011,,67802.0,101398.0,56429.0,224575.0,56594.0,21875.0,44000.0,168166.0,66667.0,11509.0,10000.0
2012,,68676.0,63025.0,40625.0,246674.0,60000.0,22285.0,48000.0,244762.0,65198.0,12857.0,28000.0
2013,,69551.0,55695.0,5625.0,239059.0,58882.0,22718.0,50000.0,227859.0,64383.0,11962.0,40000.0
2014,,70426.0,56645.0,4444.0,231904.0,59904.0,23138.0,46667.0,279777.0,64240.0,12000.0,20000.0
