,Austria,Slovakia,Japan,Poland,USSR,Norway,Denmark,Switzerland,Estonia,The former Yugoslav Republic of Macedonia,United States of America,Belgium,Latvia,Czechoslovakia,France,Czechia,Australia,Republic of Moldova,Italy,Zimbabwe,Hungary,Ireland,Russian Federation,Bulgaria,Yugoslav SFR,Sweden,Netherlands,Romania,Finland,Greece,Australia & New Zealand,Slovenia,Uzbekistan,Chile,New Zealand,Belgium-Luxembourg,United Kingdom,Spain,Lithuania,Kyrgyzstan,Germany,Ukraine,Azerbaijan
1961,19000.0,,-1.0,41200.0,6000.0,17648.0,1800.0,-1.0,,,333.0,,,14000.0,7350.0,,998.0,,100.0,-1.0,1100.0,,,1000.0,500.0,,14082.0,-1.0,8900.0,-1.0,1098.0,,,,100.0,2600.0,21438.0,-1.0,,,143988.0,,
1962,20000.0,,-1.0,33700.0,6000.0,20332.0,2600.0,-1.0,,,478.0,,,11000.0,7550.0,,1398.0,,100.0,-1.0,1300.0,,,1000.0,500.0,,14674.0,-1.0,7500.0,-1.0,1490.0,,,,92.0,3200.0,23674.0,-1.0,,,129721.0,,
1963,20000.0,,-1.0,36000.0,8000.0,20031.0,3184.0,-1.0,,,530.0,,,17000.0,8000.0,,1340.0,,100.0,-1.0,2100.0,,,1000.0,400.0,,16985.0,-1.0,7500.0,-1.0,1416.0,,,,76.0,4700.0,32006.0,-1.0,,,167199.0,,
1964,21000.0,,-1.0,36800.0,9000.0,19278.0,3844.0,-1.0,,,555.0,,,13858.0,7710.0,,1044.0,,100.0,-1.0,2100.0,,,1000.0,300.0,,15594.0,-1.0,9200.0,-1.0,1176.0,,,,132.0,4700.0,29770.0,-1.0,,,156415.0,,
1965,21000.0,,-1.0,35700.0,9000.0,17245.0,3204.0,-1.0,,,689.0,,,15025.0,6790.0,,1332.0,,200.0,-1.0,2037.0,,,1000.0,600.0,,11135.0,-1.0,8900.0,-1.0,1512.0,,,,180.0,3450.0,29872.0,-1.0,,,144259.0,,
1966,22000.0,,-1.0,39700.0,8000.0,17432.0,3385.0,-1.0,,,876.0,,,17117.0,7007.0,,1231.0,,100.0,-1.0,1725.0,,,1000.0,350.0,,8005.0,-1.0,7100.0,-1.0,1397.0,,,,166.0,4700.0,18593.0,-1.0,,,167130.0,,
1967,22000.0,,-1.0,40600.0,12000.0,16101.0,2739.0,-1.0,,,668.0,,,13991.0,6621.0,,980.0,,100.0,-1.0,3106.0,,,1000.0,520.0,,7094.0,-1.0,7600.0,-1.0,1174.0,,,,194.0,3400.0,7823.0,-1.0,,,127656.0,,
1968,23000.0,,-1.0,43800.0,16000.0,17011.0,4165.0,-1.0,,,345.0,,,16928.0,7445.0,,1197.0,,100.0,-1.0,3248.0,,,1000.0,450.0,,9417.0,-1.0,6800.0,-1.0,1420.0,,,,223.0,5400.0,14936.0,-1.0,,,166435.0,,
1969,24400.0,,-1.0,44200.0,15000.0,15913.0,3864.0,-1.0,,,400.0,,,18436.0,7792.0,,936.0,,100.0,-1.0,3871.0,,,1163.0,60.0,,9000.0,-1.0,9900.0,-1.0,1159.0,,,,223.0,5400.0,26112.0,-1.0,,,160950.0,,
1970,24782.0,,-1.0,51860.0,24000.0,15826.0,3143.0,-1.0,,,247.0,,,20953.0,6370.0,,1015.0,,,-1.0,3839.0,,,2000.0,100.0,,6726.0,-1.0,10000.0,-1.0,1225.0,,,,210.0,6350.0,21845.0,-1.0,,,162324.0,,
