,Austria,Slovakia,Japan,Poland,USSR,Norway,Denmark,Switzerland,Estonia,The former Yugoslav Republic of Macedonia,United States of America,Belgium,Latvia,Czechoslovakia,France,Czechia,Australia,Republic of Moldova,Italy,Hungary,Ireland,Russian Federation,Bulgaria,Yugoslav SFR,Sweden,Germany,Romania,Finland,Australia & New Zealand,Slovenia,Uzbekistan,Chile,New Zealand,Belgium-Luxembourg,United Kingdom,Kyrgyzstan,Netherlands,Ukraine,Azerbaijan
1961,,,,,30000.0,,,,,,35426.0,,,,49033.0,,27342.0,,,,,,14286.0,,,,,,28154.0,,,,40000.0,,71460.0,,,,
1962,,,,,30000.0,,,,,,49278.0,,,,46519.0,,36501.0,,,,,,14286.0,,,,,,36609.0,,,,38333.0,,78913.0,,,,
1963,,,,,30769.0,,,,,,50476.0,,,,48338.0,,33838.0,,,,,,14286.0,,,,,,33555.0,,,,29231.0,,91446.0,,,,
1964,,,,,34615.0,,,,,,57216.0,,,,45702.0,,29408.0,,,,,,14286.0,,,,,,30388.0,,,,41250.0,,85057.0,,,,
1965,,,,,34615.0,,,,,,74086.0,,,,54320.0,,42968.0,,,,,,14286.0,,,,,,43200.0,,,,45000.0,,85349.0,,,,
1966,,,,,30769.0,,,,,,94194.0,,,,57434.0,,43808.0,,,,,,13333.0,,,,,,43793.0,,,,43684.0,,61977.0,,,,
1967,,,,,36364.0,,,,,,71828.0,,,,52340.0,,44144.0,,,,,,14286.0,,,,,,45504.0,,,,53889.0,,28447.0,,,,
1968,,,,,45714.0,,,,,,42593.0,,,,57181.0,,50084.0,,,,,,13889.0,,,,,,50534.0,,,,53095.0,,54313.0,,,,
1969,,,,,42857.0,,,,,,47059.0,,,,60591.0,,40000.0,,,,,,14029.0,,,,,,41541.0,,,,49556.0,,87040.0,,,,
1970,,,,,40000.0,,,,,,35797.0,,,,53083.0,,42647.0,,,,,,20661.0,,,,,,42535.0,,,,42000.0,,72817.0,,,,
1971,,,,,42857.0,,,,,,39130.0,,,,62083.0,,47899.0,,,,,,19080.0,,,,,,45300.0,,,,35323.0,,82977.0,,,,
1972,,,,,40000.0,,,,,,14462.0,,,,46947.0,,34310.0,,,,,,17303.0,,,,,,35431.0,,,,38642.0,,92123.0,,,,
1973,,,,,43333.0,,,,,,31304.0,,,,49262.0,,40046.0,,,,,,17770.0,,,,,,39902.0,,,,39556.0,,74850.0,,,,
