,USSR,Haiti,Bahrain,Fiji,Pakistan,Thailand,Rwanda,Guyana,Democratic People's Republic of Korea,Lebanon,Albania,Niger,"China, Hong Kong SAR",Serbia,Hungary,Colombia,Spain,India,Malta,Jamaica,Indonesia,Republic of Moldova,Jordan,Saudi Arabia,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Yemen,France,Republic of Korea,United Arab Emirates,Congo,Martinique,Dominican Republic,Syrian Arab Republic,Iran (Islamic Republic of),Peru,Ghana,"China, mainland",Madagascar,Algeria,Kazakhstan,Lithuania,Portugal,Netherlands,Austria,Puerto Rico,United States of America,Romania,Philippines,Iraq,Sri Lanka,Belgium,Libya,Costa Rica,Italy,Qatar,Senegal,Mauritius,Uzbekistan,China,Sudan (former),Morocco,Antigua and Barbuda,Honduras,Kyrgyzstan,Gabon,Cyprus,"China, Taiwan Province of",Israel,Réunion,Japan,Egypt,Trinidad and Tobago,Georgia,Azerbaijan,Oman,Turkey,Cameroon,Tunisia,Occupied Palestinian Territory,Sudan,Venezuela (Bolivarian Republic of),American Samoa,Brunei Darussalam,Mexico,Kuwait,Guadeloupe,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Ukraine
1961,,100000.0,,50000.0,,57471.0,,,110000.0,216667.0,,,100000.0,,,133333.0,234286.0,66000.0,,44444.0,30435.0,,142700.0,80000.0,50000.0,,74777.0,,199930.0,90668.0,,,200000.0,43740.0,87500.0,,,20000.0,85714.0,37500.0,,,,,1428571.0,,,141600.0,,20000.0,109589.0,70373.0,,20000.0,,234989.0,,,133333.0,,85677.0,250000.0,140000.0,70000.0,,,,142857.0,74950.0,308594.0,,167341.0,201555.0,200000.0,,,,156522.0,,,,,114286.0,,,83943.0,,,120219.0,,,213333.0,
1962,,100000.0,,50000.0,,55682.0,,,115000.0,215385.0,,,114286.0,,,135000.0,233939.0,67308.0,,44444.0,30000.0,,137696.0,80000.0,50000.0,,95278.0,,196277.0,89558.0,,,200000.0,45260.0,95119.0,,,20000.0,91714.0,32000.0,,,,,1428571.0,,,176011.0,,23913.0,108108.0,86220.0,,20000.0,,234997.0,,,152000.0,,91624.0,250000.0,147059.0,50000.0,,,,142857.0,73528.0,321918.0,,185447.0,209790.0,200000.0,,,,156118.0,,,,,125000.0,,,83597.0,,,120219.0,,,210256.0,
1963,,100000.0,,50000.0,,54783.0,,,120000.0,180000.0,,,134667.0,,,135246.0,231471.0,67901.0,,47895.0,30400.0,,127321.0,90000.0,50000.0,,93944.0,,172394.0,86859.0,,,181818.0,45922.0,95113.0,,,30000.0,95667.0,32000.0,,,,,1428571.0,,,141407.0,,24264.0,115583.0,73055.0,,20000.0,,233916.0,,,156560.0,,95555.0,250000.0,147059.0,60000.0,,,,142857.0,76128.0,482972.0,,197510.0,212935.0,195043.0,,,,155738.0,,,,,100000.0,,,82873.0,,,120000.0,,,210256.0,
1964,,100000.0,,50000.0,,54911.0,,,109091.0,181250.0,,,101385.0,,,136885.0,226765.0,67647.0,,49000.0,29630.0,,119484.0,90000.0,50000.0,,103245.0,,211599.0,99750.0,,,218182.0,45660.0,87368.0,,,40000.0,94815.0,34000.0,,,,,1428571.0,,,151830.0,,24547.0,153760.0,87697.0,,20000.0,,234218.0,,,130109.0,,94717.0,250000.0,147059.0,50000.0,,,,142857.0,80205.0,419355.0,,204449.0,217990.0,201125.0,,,,156250.0,,,,,100000.0,,,83576.0,,,120000.0,,,210000.0,
1965,,100000.0,,50000.0,,50647.0,,,109091.0,142857.0,,,141455.0,,,137097.0,231765.0,68571.0,,50800.0,30000.0,,124607.0,90000.0,50000.0,,114545.0,,218692.0,47372.0,,,200000.0,45545.0,89332.0,,,52835.0,100000.0,34000.0,,,,,1428571.0,,,171896.0,,28291.0,145456.0,86280.0,,20000.0,,239495.0,,,131930.0,,99877.0,247826.0,145833.0,45000.0,,,,124255.0,80624.0,271667.0,,207867.0,221749.0,195400.0,,,,157059.0,,,,,100000.0,,,83596.0,,,118182.0,,,210000.0,
1966,,100000.0,,50000.0,,53191.0,,,113636.0,146402.0,,,111111.0,,,138710.0,227353.0,68333.0,,46897.0,29655.0,,152266.0,90000.0,50000.0,,126142.0,,218189.0,99138.0,160000.0,,300000.0,45855.0,92430.0,,,62159.0,102308.0,30000.0,,,,,1428571.0,,,172102.0,,29596.0,150307.0,87960.0,,20000.0,,241925.0,,,151040.0,,102172.0,252174.0,142857.0,50000.0,,,,189907.0,81308.0,261345.0,,223862.0,224872.0,202857.0,,,,155390.0,,,,,100300.0,,,83510.0,,,118182.0,,,209877.0,
1967,,100000.0,,50000.0,,52000.0,,,108333.0,130066.0,,,111111.0,,,139683.0,246486.0,68421.0,,53529.0,30000.0,,203833.0,90000.0,50000.0,,135047.0,,219748.0,108960.0,156250.0,,375000.0,44621.0,103155.0,,,66042.0,103846.0,30000.0,,,,,1428571.0,,,175183.0,,30853.0,175538.0,75567.0,,20000.0,,242672.0,,,137536.0,,103696.0,252174.0,142857.0,50000.0,,,,184727.0,82129.0,260000.0,,247408.0,223268.0,217833.0,,,,161538.0,,,,,114000.0,,,84279.0,,,116667.0,,,243129.0,
1968,,100000.0,,50000.0,,52105.0,,,112500.0,150527.0,,,111111.0,,,142857.0,236389.0,70000.0,,38182.0,30994.0,,156977.0,90000.0,50000.0,,140238.0,,232540.0,119611.0,200000.0,,350000.0,45759.0,120032.0,,,66043.0,113725.0,33333.0,,,,,1428571.0,,,165518.0,,36666.0,127113.0,82313.0,,20833.0,,243459.0,,,140902.0,,113514.0,250000.0,142857.0,75000.0,,,,171923.0,83526.0,271667.0,,258350.0,216311.0,222105.0,,,,162480.0,,,,,119907.0,,,87289.0,,142000.0,116667.0,,,277653.0,
1969,,100000.0,,50000.0,,51979.0,,,112500.0,113073.0,,,181818.0,,,143750.0,234279.0,70000.0,,36000.0,31579.0,,107202.0,90000.0,50000.0,,154535.0,,232215.0,124551.0,250000.0,,382000.0,45350.0,109341.0,,,37500.0,117647.0,33333.0,,,,,1428571.0,,,161514.0,,33806.0,133933.0,67145.0,,20000.0,,248525.0,,,149318.0,,117495.0,254167.0,142857.0,50000.0,,,,166929.0,95505.0,244654.0,,253881.0,241237.0,220222.0,,,,180332.0,,,,,123256.0,,,156105.0,,145000.0,120000.0,,,289284.0,
1970,,100000.0,,50000.0,,52083.0,,,107692.0,115812.0,,,111111.0,,,146875.0,213497.0,72195.0,,62069.0,33333.0,,104714.0,90000.0,50000.0,,161097.0,,236533.0,106159.0,200000.0,,400000.0,44952.0,110767.0,,,25000.0,124857.0,33333.0,,,,,1428571.0,,,176688.0,,38800.0,126672.0,66280.0,,20000.0,,251538.0,,,166906.0,,124642.0,250000.0,142857.0,50000.0,,,,172789.0,105353.0,388136.0,,260578.0,216227.0,223778.0,,,,179775.0,,,,,124812.0,,,164423.0,,86667.0,120000.0,,,262131.0,
1971,,100000.0,,50000.0,,51959.0,,,115385.0,138170.0,,,181818.0,,,147692.0,206400.0,74038.0,,55238.0,34000.0,,166806.0,123870.0,50000.0,,165159.0,,231200.0,123385.0,215500.0,,416667.0,42582.0,134423.0,,,25000.0,126000.0,31250.0,,,,,1428571.0,,,178675.0,,40342.0,118828.0,73650.0,,20222.0,,258487.0,,,152472.0,,125776.0,238095.0,142857.0,50000.0,,,,172789.0,100868.0,221023.0,,268719.0,221186.0,250000.0,,,,180292.0,,,,,115436.0,,,212734.0,,66667.0,123077.0,,,313832.0,
1972,,100879.0,,50000.0,,55000.0,,,114286.0,162508.0,,,200000.0,,,150769.0,213636.0,75476.0,,58636.0,33333.0,,144653.0,107922.0,50000.0,,164388.0,,254128.0,121138.0,178500.0,,500000.0,43567.0,131636.0,,,20000.0,117949.0,31250.0,,,,,1428571.0,,,189560.0,,33928.0,128780.0,82640.0,,20680.0,,257145.0,,,141905.0,,117799.0,250000.0,142857.0,48750.0,,,,157764.0,100122.0,317188.0,,278377.0,212171.0,250000.0,,,,179931.0,,,,,123590.0,,,190892.0,,200000.0,123077.0,,,317237.0,
