,South Africa,Israel,Australia & New Zealand,Australia,Iraq,Pakistan,Libya,Italy,Qatar,Senegal,Lebanon,Yemen,Albania,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Slovenia,Chile,Malta,Argentina,Colombia,Spain,Syrian Arab Republic,India,Cyprus,Slovakia,Ecuador,Japan,Jordan,Afghanistan,Venezuela (Bolivarian Republic of),Egypt,The former Yugoslav Republic of Macedonia,Mexico,Azerbaijan,France,Tunisia,Croatia,Montenegro,Turkey,Cameroon,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,Greece,China,Kuwait,"China, mainland",Tajikistan,Algeria,United Arab Emirates,Bosnia and Herzegovina,Portugal,Brazil
1961,600.0,1000.0,117.0,117.0,-1.0,,-1.0,96000.0,,,2800.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,-1.0,49800.0,10000.0,900.0,300.0,,-1.0,-1.0,7000.0,3200.0,122.0,574.0,,800.0,,160.0,24000.0,,,41619.0,-1.0,70.0,-1.0,5500.0,620.0,8175.0,25000.0,-1.0,,-1.0,,41000.0,,,300000.0,2800.0
1962,600.0,940.0,107.0,107.0,-1.0,,-1.0,92000.0,,,3900.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,-1.0,48100.0,20000.0,900.0,310.0,,-1.0,-1.0,7000.0,3200.0,138.0,776.0,,805.0,,160.0,19000.0,,,40525.0,-1.0,70.0,-1.0,5500.0,620.0,7900.0,25000.0,-1.0,,-1.0,,39000.0,,,300000.0,2993.0
1963,600.0,820.0,104.0,104.0,-1.0,,-1.0,78800.0,,,3900.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,-1.0,47700.0,20000.0,900.0,315.0,,-1.0,-1.0,7000.0,3200.0,158.0,779.0,,872.0,,160.0,18000.0,,,40694.0,-1.0,70.0,-1.0,5500.0,620.0,7920.0,25000.0,-1.0,,-1.0,,39000.0,,,300000.0,3051.0
1964,600.0,770.0,87.0,87.0,-1.0,,-1.0,72700.0,,,3500.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,-1.0,44600.0,20000.0,900.0,315.0,,-1.0,-1.0,7000.0,3380.0,179.0,843.0,,892.0,,250.0,14000.0,,,40813.0,-1.0,70.0,-1.0,5500.0,620.0,8050.0,25000.0,-1.0,,-1.0,,39000.0,,,300000.0,3107.0
1965,600.0,690.0,73.0,73.0,-1.0,,-1.0,63000.0,,,3140.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,-1.0,47300.0,20000.0,900.0,320.0,,-1.0,-1.0,7000.0,3570.0,204.0,843.0,,1035.0,,250.0,14000.0,,,40938.0,-1.0,70.0,-1.0,5500.0,620.0,7990.0,25000.0,-1.0,,-1.0,,29000.0,,,300000.0,3140.0
1966,600.0,600.0,69.0,69.0,-1.0,,-1.0,55300.0,,,1900.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,-1.0,41800.0,22482.0,900.0,322.0,,-1.0,-1.0,7595.0,3940.0,232.0,840.0,,1098.0,,275.0,18000.0,,,41250.0,-1.0,70.0,-1.0,7000.0,655.0,7850.0,23000.0,-1.0,,-1.0,,31000.0,,,200000.0,2987.0
1967,600.0,600.0,65.0,65.0,-1.0,,-1.0,52500.0,,,1507.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,-1.0,39800.0,22445.0,900.0,325.0,,-1.0,-1.0,7358.0,4400.0,264.0,840.0,,1104.0,,236.0,16000.0,,,41206.0,-1.0,70.0,-1.0,7000.0,734.0,7446.0,23000.0,-1.0,,-1.0,,29000.0,,,200000.0,3004.0
1968,600.0,600.0,59.0,59.0,-1.0,,-1.0,49200.0,,,1507.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,-1.0,41400.0,22548.0,900.0,327.0,,-1.0,-1.0,1340.0,4300.0,300.0,4261.0,,1152.0,,251.0,18000.0,,,34981.0,-1.0,70.0,-1.0,7000.0,568.0,6800.0,23000.0,-1.0,,-1.0,,29000.0,,,200000.0,3134.0
1969,600.0,500.0,59.0,59.0,-1.0,,-1.0,43000.0,,,1520.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,-1.0,40300.0,22566.0,900.0,328.0,,-1.0,-1.0,1705.0,4370.0,320.0,4621.0,,1309.0,,274.0,14000.0,,,36206.0,-1.0,70.0,-1.0,7000.0,777.0,6760.0,20000.0,-1.0,,-1.0,,14000.0,,,200000.0,3053.0
1970,600.0,600.0,55.0,55.0,-1.0,,-1.0,39000.0,,,1376.0,,-1.0,,-1.0,,,-1.0,,,-1.0,-1.0,-1.0,30800.0,21629.0,900.0,330.0,,-1.0,-1.0,910.0,4400.0,350.0,2941.0,,1597.0,,280.0,13000.0,,,38206.0,-1.0,70.0,-1.0,7000.0,713.0,6720.0,20000.0,-1.0,,-1.0,,33000.0,,,200000.0,3044.0
