,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Croatia,Cameroon,Israel,Armenia,Syrian Arab Republic,Brazil,Yugoslav SFR,Pakistan,The former Yugoslav Republic of Macedonia,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,South Africa,Spain,France,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Algeria,Slovenia,United Arab Emirates,Tajikistan,Argentina,India,Morocco,Qatar,Mexico,Ecuador,Jordan,Bosnia and Herzegovina,China,Tunisia,Malta,Colombia,Libya,Albania,Lebanon,Uzbekistan,Occupied Palestinian Territory,Azerbaijan,Montenegro,Chile,Greece,Australia,Portugal,Egypt,"China, mainland",Italy,Turkey
1961,71429.0,80645.0,-1.0,-1.0,-1.0,-1.0,23000.0,-1.0,28000.0,57407.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,24590.0,79600.0,28917.0,40964.0,208125.0,59316.0,69725.0,18182.0,15122.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,66438.0,-1.0,30000.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,60714.0,-1.0,-1.0,-1.0,-1.0,-1.0,67704.0,59316.0,9000.0,93345.0,-1.0,33240.0,48944.0
1962,71429.0,80645.0,-1.0,-1.0,-1.0,-1.0,23404.0,-1.0,27500.0,57812.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,25435.0,81935.0,32017.0,34719.0,231250.0,60374.0,82278.0,18182.0,14872.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,73578.0,-1.0,30000.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,64103.0,-1.0,-1.0,-1.0,-1.0,-1.0,69581.0,60374.0,9367.0,60863.0,-1.0,30913.0,51830.0
1963,71429.0,80645.0,-1.0,-1.0,-1.0,-1.0,23171.0,-1.0,22000.0,59594.0,-1.0,-1.0,-1.0,-1.0,25000.0,-1.0,25949.0,78635.0,34083.0,29979.0,267375.0,73654.0,71970.0,18182.0,15128.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,79094.0,-1.0,27143.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,64103.0,-1.0,-1.0,-1.0,-1.0,-1.0,68971.0,73654.0,10767.0,79320.0,-1.0,36193.0,51160.0
1964,71429.0,80645.0,-1.0,-1.0,-1.0,-1.0,23377.0,-1.0,26500.0,56884.0,-1.0,-1.0,-1.0,-1.0,28698.0,-1.0,26816.0,64508.0,33083.0,32511.0,184000.0,76322.0,75776.0,18182.0,14872.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,79103.0,-1.0,30143.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,68571.0,-1.0,-1.0,-1.0,-1.0,-1.0,66156.0,76322.0,12200.0,21922.0,-1.0,37772.0,50474.0
1965,71429.0,80645.0,-1.0,-1.0,-1.0,-1.0,23188.0,-1.0,34000.0,64350.0,-1.0,-1.0,-1.0,-1.0,30252.0,-1.0,27549.0,36188.0,33233.0,31078.0,149200.0,75479.0,70088.0,18182.0,14828.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,79652.0,-1.0,27571.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,68949.0,-1.0,-1.0,-1.0,-1.0,-1.0,65100.0,75479.0,10667.0,50961.0,-1.0,39143.0,51297.0
1966,71429.0,81924.0,-1.0,-1.0,-1.0,-1.0,23333.0,-1.0,24019.0,68346.0,-1.0,-1.0,-1.0,-1.0,30457.0,-1.0,28319.0,34720.0,29733.0,34761.0,124836.0,77246.0,78353.0,18571.0,14861.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,81056.0,-1.0,21593.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,61500.0,-1.0,-1.0,-1.0,-1.0,-1.0,71717.0,77246.0,5000.0,35714.0,-1.0,43653.0,52121.0
1967,71429.0,88665.0,-1.0,-1.0,-1.0,-1.0,24167.0,-1.0,23168.0,68286.0,-1.0,-1.0,-1.0,-1.0,33182.0,-1.0,29129.0,37508.0,29200.0,37462.0,130932.0,85692.0,51414.0,18571.0,15240.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,81721.0,-1.0,24397.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,89230.0,-1.0,-1.0,-1.0,-1.0,-1.0,61960.0,85692.0,5000.0,23810.0,-1.0,45143.0,56302.0
1968,71429.0,89331.0,-1.0,-1.0,-1.0,-1.0,23333.0,-1.0,23649.0,65667.0,-1.0,-1.0,-1.0,-1.0,34186.0,-1.0,30000.0,38838.0,29750.0,37029.0,124064.0,97797.0,68838.0,18571.0,15418.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,81380.0,-1.0,61157.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,88859.0,-1.0,-1.0,-1.0,-1.0,-1.0,71542.0,97797.0,5295.0,23469.0,-1.0,44715.0,61462.0
1969,64286.0,74479.0,-1.0,-1.0,-1.0,-1.0,28000.0,-1.0,22216.0,72031.0,-1.0,-1.0,-1.0,-1.0,34096.0,-1.0,30000.0,37165.0,28667.0,39156.0,116642.0,88136.0,78506.0,18571.0,15236.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,68014.0,-1.0,34997.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,85993.0,-1.0,-1.0,-1.0,-1.0,-1.0,76958.0,88136.0,4145.0,23804.0,-1.0,51628.0,59382.0
1970,64286.0,92342.0,-1.0,-1.0,-1.0,-1.0,22500.0,-1.0,20185.0,72599.0,-1.0,-1.0,-1.0,-1.0,32727.0,-1.0,30857.0,55424.0,24867.0,33084.0,114286.0,108545.0,66958.0,18571.0,15276.0,-1.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,71616.0,-1.0,33802.0,-1.0,-1.0,10615.0,-1.0,-1.0,-1.0,-1.0,78794.0,-1.0,-1.0,-1.0,-1.0,-1.0,72012.0,108545.0,6895.0,47603.0,-1.0,50769.0,56012.0
1971,63750.0,88890.0,-1.0,-1.0,-1.0,-1.0,26000.0,-1.0,27461.0,78011.0,-1.0,-1.0,-1.0,-1.0,25909.0,-1.0,31321.0,64277.0,26567.0,31787.0,124667.0,84800.0,62300.0,18750.0,15040.0,-1.0,30000.0,-1.0,-1.0,22222.0,-1.0,-1.0,71883.0,-1.0,36654.0,-1.0,-1.0,10375.0,-1.0,-1.0,-1.0,-1.0,78563.0,-1.0,-1.0,-1.0,-1.0,-1.0,77477.0,84800.0,7765.0,51381.0,-1.0,56346.0,52384.0
