,Austria,"China, Taiwan Province of",Japan,Poland,USSR,Belarus,Denmark,Angola,Republic of Korea,Egypt,Togo,Belgium,Greece,Czechoslovakia,Lithuania,France,Czechia,Australia,Romania,Italy,Bosnia and Herzegovina,Hungary,Germany,Russian Federation,Portugal,Yugoslav SFR,Sweden,Estonia,China,Slovakia,Latvia,Australia & New Zealand,"China, mainland",Chile,Argentina,Belgium-Luxembourg,United Kingdom,Spain,Croatia,Bulgaria,Netherlands,Ukraine,New Zealand
1961,88.0,2406.0,11200.0,111000.0,1625000.0,,876.0,,291.0,12059.0,,,848.0,46213.0,,52000.0,,168.0,27600.0,7275.0,,7014.0,25701.0,,271.0,7900.0,1837.0,,37406.0,,,381.0,35000.0,2000.0,2905.0,26645.0,-1.0,5312.0,,7640.0,21663.0,,213.0
1962,67.0,3089.0,11200.0,131000.0,1697000.0,,1046.0,,715.0,11370.0,,,740.0,47403.0,,60351.0,,522.0,29200.0,6662.0,,8146.0,26570.0,,273.0,5840.0,1875.0,,43089.0,,,785.0,40000.0,2000.0,3930.0,32696.0,-1.0,7310.0,,8249.0,23956.0,,263.0
1963,,3986.0,8730.0,116000.0,1465000.0,,1425.0,,653.0,10944.0,,,550.0,51585.0,,73903.0,,69.0,30300.0,6019.0,,8749.0,17752.0,,270.0,5880.0,1937.0,,43986.0,,,272.0,40000.0,2000.0,2130.0,33917.0,-1.0,6220.0,,8385.0,26608.0,,203.0
1964,,4517.0,8120.0,125000.0,1569000.0,,1445.0,,562.0,13916.0,,,480.0,51208.0,,79099.0,,295.0,25000.0,5094.0,,9478.0,12089.0,,271.0,5370.0,2180.0,,49517.0,,,503.0,45000.0,2000.0,3146.0,39187.0,-1.0,2894.0,,8568.0,30651.0,,208.0
1965,,5524.0,5240.0,113700.0,1476000.0,,1178.0,,829.0,10857.0,,,380.0,40774.0,,60277.0,,-1.0,22785.0,4647.0,,10621.0,14445.0,,287.0,4840.0,1405.0,,50524.0,,,115.0,45000.0,2000.0,3320.0,27012.0,-1.0,957.0,,8902.0,21623.0,,115.0
1966,,4168.0,3000.0,105700.0,1403000.0,,783.0,,1173.0,10082.0,,,290.0,35570.0,,62085.0,,-1.0,29400.0,3950.0,,10947.0,16098.0,,290.0,4400.0,,,44168.0,,,180.0,40000.0,2000.0,3660.0,23554.0,-1.0,1270.0,,9038.0,18317.0,,180.0
1967,,3964.0,1040.0,122600.0,1375000.0,,617.0,,915.0,10108.0,,,241.0,34831.0,,55576.0,,-1.0,32500.0,3694.0,,10789.0,15063.0,,313.0,4150.0,,,43964.0,,,170.0,40000.0,2000.0,3600.0,14012.0,-1.0,447.0,,11237.0,9529.0,,170.0
1968,,4489.0,405.0,116600.0,1334000.0,,337.0,,974.0,15123.0,,,120.0,38776.0,,31271.0,,-1.0,34275.0,1353.0,,8227.0,10762.0,,307.0,3180.0,,,49489.0,,,150.0,45000.0,2000.0,3500.0,14621.0,-1.0,416.0,,12305.0,10370.0,,150.0
1969,,3256.0,400.0,99800.0,1309000.0,,267.0,,1065.0,16383.0,,,90.0,37072.0,,42276.0,,-1.0,34798.0,1137.0,,8586.0,10446.0,,279.0,2806.0,,,46256.0,,,200.0,43000.0,2000.0,5000.0,15576.0,-1.0,280.0,,9775.0,8940.0,,200.0
1970,,3125.0,350.0,98300.0,1284000.0,,132.0,,862.0,8417.0,,,100.0,30019.0,,39703.0,,-1.0,35800.0,875.0,,10678.0,10649.0,,131.0,2218.0,,,48125.0,,,200.0,45000.0,1700.0,3650.0,8203.0,-1.0,89.0,,9002.0,5188.0,,200.0
1971,,3378.0,350.0,100500.0,1244000.0,,0.0,,552.0,9662.0,,,100.0,25518.0,,41500.0,,-1.0,40300.0,823.0,,11773.0,11166.0,,177.0,2048.0,,,47378.0,,,200.0,44000.0,1500.0,3100.0,12453.0,-1.0,53.0,,9197.0,7118.0,,200.0
1972,,2712.0,300.0,96400.0,1251000.0,,,,22.0,14703.0,,,100.0,25180.0,,34200.0,,-1.0,46200.0,2724.0,,9249.0,8995.0,,197.0,1631.0,,,45712.0,,,200.0,43000.0,1500.0,3400.0,8051.0,-1.0,146.0,,8354.0,6099.0,,200.0
1973,,2677.0,300.0,77300.0,1248000.0,,,,,17643.0,,,,29551.0,,33100.0,,-1.0,47900.0,2575.0,,6314.0,3847.0,,201.0,1284.0,,,47677.0,,,210.0,45000.0,1400.0,2150.0,6647.0,-1.0,168.0,,7017.0,4955.0,,210.0
1974,,3501.0,250.0,73900.0,1210000.0,,,,,19744.0,,,,28424.0,,38400.0,,-1.0,51200.0,1994.0,,5824.0,2198.0,,178.0,920.0,,,49501.0,,,210.0,46000.0,1500.0,2600.0,9066.0,-1.0,494.0,,6576.0,7388.0,,210.0
1975,,4031.0,250.0,79069.0,1215000.0,,,,,22684.0,,,,30906.0,,48000.0,,-1.0,59900.0,2567.0,,8009.0,1951.0,,60.0,629.0,,,52031.0,,,210.0,48000.0,1800.0,2270.0,9291.0,-1.0,21.0,,5878.0,5126.0,,210.0
1976,,3161.0,200.0,86545.0,1214000.0,,106.0,,,19950.0,,,,30047.0,,63000.0,,-1.0,65900.0,5199.0,,7453.0,1395.0,,53.0,568.0,,,53161.0,,,210.0,50000.0,1900.0,2450.0,8999.0,-1.0,14.0,,6621.0,5337.0,,210.0
1977,,2795.0,200.0,62346.0,1209000.0,,71.0,,,24638.0,,,,32834.0,,57195.0,,-1.0,65200.0,10232.0,,7870.0,559.0,,30.0,569.0,,,53795.0,,,205.0,51000.0,1900.0,2250.0,9987.0,-1.0,409.0,,4353.0,5711.0,,205.0
1978,,1924.0,150.0,83922.0,1197000.0,,41.0,,,25211.0,,,,31738.0,,49723.0,,-1.0,67600.0,2608.0,,7896.0,472.0,,20.0,383.0,,,54724.0,,,216.0,52800.0,2000.0,2450.0,8548.0,-1.0,35.0,,4804.0,5170.0,,216.0
1979,,3000.0,150.0,100905.0,1046000.0,,40.0,,,28790.0,,,,31224.0,,50438.0,,-1.0,66600.0,1745.0,,6652.0,286.0,,13.0,412.0,,,103000.0,,,156.0,100000.0,2000.0,2250.0,7288.0,-1.0,10.0,,4526.0,3603.0,,156.0
1980,,3000.0,100.0,82144.0,1119600.0,,,,,28570.0,,,,30417.0,,49000.0,,-1.0,70900.0,1562.0,,3906.0,0.0,,25.0,310.0,,,113000.0,,,8.0,110000.0,2000.0,2200.0,7257.0,-1.0,4.0,,5625.0,4058.0,,8.0
1981,,3000.0,100.0,58668.0,946000.0,,,,,21840.0,,,,28003.0,,44000.0,,-1.0,73300.0,1397.0,,4214.0,-1.0,,48.0,291.0,,,118000.0,,,0.0,115000.0,2000.0,2250.0,6352.0,-1.0,1.0,,6236.0,2905.0,,0.0
