,Senegal,Mali,Benin,Guinea-Bissau,Côte d'Ivoire,Nigeria,Gambia,Burkina Faso,Niger,Guinea
1961,-1.0,20000.0,1875.0,18000.0,4000.0,33000.0,6000.0,15258.0,350.0,80000.0
1962,-1.0,20000.0,2000.0,18500.0,5000.0,36000.0,6000.0,1706.0,350.0,85000.0
1963,-1.0,20000.0,2335.0,19000.0,8600.0,37000.0,6000.0,8600.0,350.0,75000.0
1964,-1.0,20000.0,2275.0,18000.0,7900.0,38000.0,6500.0,11600.0,370.0,80000.0
1965,-1.0,20000.0,2000.0,17000.0,7000.0,38000.0,6500.0,10000.0,370.0,80000.0
1966,-1.0,27363.0,2300.0,10000.0,7000.0,39000.0,6500.0,10000.0,400.0,80000.0
1967,-1.0,27500.0,2300.0,10000.0,7500.0,40000.0,6500.0,9615.0,400.0,82000.0
1968,-1.0,28000.0,2400.0,10000.0,7500.0,41000.0,6800.0,9400.0,500.0,80000.0
1969,-1.0,35000.0,2400.0,9000.0,7500.0,25000.0,6800.0,10000.0,500.0,80000.0
1970,-1.0,47000.0,2000.0,9000.0,1900.0,18000.0,7000.0,11090.0,500.0,78000.0
1971,-1.0,28000.0,2000.0,9000.0,1900.0,18000.0,7000.0,8200.0,500.0,82000.0
1972,-1.0,37000.0,2550.0,8000.0,1900.0,14000.0,7000.0,10000.0,600.0,82000.0
1973,-1.0,40000.0,1492.0,8000.0,1900.0,14000.0,7400.0,8000.0,800.0,80000.0
1974,-1.0,45000.0,2700.0,8000.0,1900.0,17000.0,1500.0,6580.0,800.0,78000.0
1975,-1.0,50000.0,2000.0,9000.0,2025.0,16000.0,1200.0,9000.0,900.0,78000.0
1976,-1.0,48000.0,2000.0,10000.0,2025.0,14000.0,900.0,9000.0,1300.0,80000.0
1977,-1.0,45000.0,2000.0,8000.0,2085.0,14000.0,600.0,9000.0,1000.0,78000.0
1978,-1.0,39100.0,2000.0,8000.0,2150.0,16000.0,900.0,9579.0,1400.0,75000.0
1979,-1.0,17300.0,2000.0,8000.0,2150.0,16000.0,200.0,3481.0,2450.0,80000.0
1980,-1.0,25700.0,2000.0,8000.0,5400.0,18000.0,1300.0,5667.0,2600.0,80000.0
1981,-1.0,49100.0,2000.0,5000.0,5680.0,20000.0,2200.0,4676.0,900.0,78000.0
1982,-1.0,23500.0,2000.0,5000.0,5975.0,20000.0,1200.0,5783.0,2300.0,75000.0
1983,-1.0,49700.0,1388.0,5000.0,6285.0,18000.0,400.0,6359.0,1500.0,78000.0
1984,-1.0,24535.0,2580.0,7000.0,6611.0,23000.0,100.0,4858.0,2500.0,110000.0
1985,-1.0,20488.0,2897.0,5000.0,6954.0,25000.0,300.0,7042.0,2700.0,112000.0
1986,-1.0,17242.0,3299.0,4000.0,7314.0,27000.0,200.0,6515.0,1000.0,113000.0
1987,-1.0,15589.0,3657.0,3000.0,7694.0,26000.0,390.0,5237.0,1748.0,115000.0
1988,-1.0,20184.0,3342.0,1878.0,8093.0,30000.0,-1.0,9260.0,3000.0,115213.0
1989,-1.0,18929.0,2918.0,1280.0,8512.0,35000.0,-1.0,12422.0,3400.0,96405.0
1990,-1.0,21768.0,4171.0,1574.0,8954.0,39000.0,-1.0,12700.0,622.0,85096.0
1991,-1.0,40506.0,3958.0,1082.0,9418.0,43000.0,-1.0,14400.0,571.0,75084.0
1992,-1.0,20898.0,3155.0,1353.0,9907.0,47000.0,-1.0,13600.0,300.0,66278.0
1993,-1.0,29735.0,2700.0,1983.0,10421.0,50000.0,-1.0,22554.0,700.0,87000.0
1994,-1.0,19271.0,2500.0,2439.0,10961.0,55000.0,-1.0,16380.0,800.0,82847.0
1995,-1.0,22179.0,1429.0,1705.0,11530.0,58000.0,-1.0,11610.0,900.0,103026.0
1996,-1.0,14992.0,1801.0,1843.0,12128.0,64000.0,-1.0,10839.0,1400.0,106941.0
1997,2546.0,15116.0,1613.0,2262.0,12757.0,66000.0,-1.0,10752.0,1200.0,110860.0
1998,1485.0,16393.0,1532.0,3900.0,13031.0,68000.0,-1.0,14424.0,1238.0,115073.0
1999,3053.0,31252.0,1511.0,4332.0,13310.0,71000.0,-1.0,13343.0,1331.0,119445.0
2000,1064.0,22738.0,2069.0,3938.0,13596.0,76000.0,-1.0,17758.0,1400.0,179154.0
2001,809.0,21398.0,1676.0,2851.0,13887.0,80000.0,-1.0,12320.0,1568.0,178429.0
