,Senegal,Benin,Guinea-Bissau,Côte d'Ivoire,Nigeria,Gambia,Burkina Faso,Niger,Guinea
1961,0.0,120.0,300.0,400.0,936.0,300.0,234.0,14.0,1200.0
1962,0.0,120.0,300.0,450.0,962.0,300.0,678.0,14.0,1200.0
1963,0.0,120.0,360.0,450.0,988.0,300.0,576.0,14.0,1200.0
1964,0.0,120.0,360.0,450.0,1001.0,325.0,576.0,14.0,1200.0
1965,0.0,120.0,375.0,450.0,1027.0,325.0,576.0,15.0,1200.0
1966,0.0,120.0,375.0,475.0,1040.0,325.0,544.0,15.0,1200.0
1967,0.0,120.0,375.0,475.0,1053.0,325.0,573.0,16.0,1200.0
1968,0.0,120.0,300.0,469.0,585.0,340.0,1440.0,16.0,1200.0
1969,0.0,111.0,300.0,93.0,364.0,340.0,1595.0,16.0,1200.0
1970,0.0,111.0,300.0,93.0,351.0,350.0,727.0,16.0,1200.0
1971,0.0,128.0,270.0,93.0,325.0,350.0,900.0,18.0,1200.0
1972,0.0,112.0,270.0,93.0,338.0,350.0,720.0,18.0,1200.0
1973,0.0,135.0,270.0,100.0,351.0,370.0,474.0,50.0,1200.0
1974,0.0,90.0,270.0,104.0,338.0,75.0,468.0,64.0,1200.0
1975,0.0,90.0,270.0,104.0,325.0,60.0,468.0,86.0,1200.0
1976,0.0,90.0,225.0,104.0,325.0,45.0,468.0,50.0,1200.0
1977,0.0,90.0,225.0,105.0,351.0,30.0,470.0,64.0,1200.0
1978,0.0,90.0,225.0,106.0,351.0,45.0,422.0,66.0,1200.0
1979,0.0,90.0,225.0,230.0,390.0,10.0,364.0,68.0,1200.0
1980,0.0,90.0,150.0,240.0,416.0,65.0,322.0,52.0,1200.0
1981,0.0,90.0,150.0,255.0,416.0,110.0,425.0,116.0,1200.0
1982,0.0,61.0,150.0,263.0,390.0,60.0,553.0,133.0,1200.0
1983,0.0,58.0,150.0,280.0,455.0,20.0,614.0,120.0,1500.0
1984,0.0,67.0,105.0,300.0,494.0,5.0,430.0,126.0,1500.0
1985,0.0,73.0,75.0,350.0,572.0,15.0,461.0,80.0,1500.0
1986,0.0,78.0,60.0,350.0,598.0,10.0,444.0,108.0,1500.0
1987,0.0,87.0,36.0,350.0,689.0,20.0,675.0,120.0,1462.0
1988,0.0,68.0,42.0,375.0,780.0,0.0,688.0,120.0,1550.0
1989,0.0,84.0,53.0,400.0,845.0,0.0,702.0,63.0,1700.0
1990,0.0,82.0,26.0,425.0,936.0,0.0,911.0,19.0,1862.0
1991,0.0,85.0,33.0,450.0,1014.0,0.0,774.0,9.0,2039.0
1992,0.0,63.0,43.0,350.0,1062.0,0.0,810.0,24.0,2175.0
1993,0.0,54.0,53.0,375.0,1209.0,0.0,845.0,26.0,2000.0
1994,0.0,32.0,45.0,425.0,1404.0,0.0,627.0,30.0,1924.0
1995,0.0,46.0,50.0,475.0,1625.0,0.0,538.0,46.0,1944.0
1996,0.0,42.0,61.0,550.0,1651.0,0.0,702.0,40.0,1964.0
1997,60.0,40.0,98.0,509.0,1703.0,0.0,689.0,48.0,1984.0
1998,89.0,39.0,105.0,520.0,1742.0,0.0,596.0,47.0,2004.0
1999,43.0,54.0,98.0,531.0,1729.0,0.0,576.0,46.0,2434.0
2000,28.0,44.0,72.0,542.0,1859.0,0.0,652.0,49.0,2412.0
2001,37.0,54.0,53.0,554.0,2158.0,0.0,435.0,49.0,2518.0
2002,40.0,41.0,38.0,452.0,2145.0,0.0,401.0,50.0,2628.0
2003,47.0,40.0,53.0,468.0,2340.0,0.0,427.0,49.0,2744.0
2004,44.0,48.0,68.0,483.0,2574.0,0.0,379.0,52.0,2864.0
2005,29.0,44.0,54.0,325.0,2275.0,0.0,482.0,105.0,2990.0
2006,40.0,41.0,7.0,338.0,1573.0,0.0,651.0,80.0,3121.0
2007,136.0,47.0,10.0,325.0,1547.0,0.0,859.0,224.0,3565.0
2008,83.0,26.0,11.0,350.0,1690.0,0.0,1209.0,51.0,4575.0
2009,33.0,22.0,9.0,375.0,2080.0,0.0,809.0,227.0,4696.0
2010,49.0,18.0,9.0,371.0,2080.0,0.0,781.0,232.0,5155.0
2011,36.0,27.0,9.0,375.0,2145.0,0.0,966.0,227.0,6640.0
2012,49.0,29.0,10.0,375.0,2145.0,0.0,884.0,208.0,6831.0
2013,66.0,29.0,17.0,332.0,2347.0,0.0,410.0,145.0,6893.0
2014,66.0,29.0,17.0,332.0,2347.0,0.0,410.0,145.0,6893.0
