,Fiji,South Africa,Pakistan,Georgia,Azerbaijan,Uganda,Barbados,New Zealand,Niue,Bahamas,Jordan,Bolivia (Plurinational State of),Iraq,Armenia,Gambia,Saudi Arabia,Belize,Chad,Mexico,Seychelles,Malaysia,Argentina,Thailand,Madagascar,Lesotho,Peru,Tonga,Brunei Darussalam,Cook Islands,Uruguay,Zimbabwe,Venezuela (Bolivarian Republic of),Dominican Republic,Lao People's Democratic Republic,French Polynesia,Morocco,Faroe Islands,Democratic Republic of the Congo,Grenada,Guatemala,Comoros,Sri Lanka,Saint Pierre and Miquelon,Kazakhstan,France,Dominica,Finland,Poland,Democratic People's Republic of Korea,Burundi,Jamaica,Republic of Moldova,Algeria,United Republic of Tanzania,Republic of Korea,Spain,Singapore,"China, Macao SAR",Ghana,Lithuania,American Samoa,Cameroon,Kyrgyzstan,Togo,Hungary,Italy,Switzerland,Swaziland,Niger,Bulgaria,Guinea-Bissau,Ecuador,Uzbekistan,Turkmenistan,Saint Vincent and the Grenadines,Benin,Tunisia,Iceland,Burkina Faso,Philippines,Central African Republic,Guinea,Indonesia,Romania,New Caledonia,Bangladesh,Honduras,Solomon Islands,"China, mainland",Gabon,Malawi,Austria,Egypt,Viet Nam,Greece,Japan,Sweden,United Kingdom,Estonia,Mongolia,Paraguay,Netherlands,Nigeria,El Salvador,Saint Lucia,Chile,Mauritania,Sao Tome and Principe,United Arab Emirates,Saint Kitts and Nevis,Suriname,Costa Rica,Mozambique,"China, Taiwan Province of",Namibia,Lebanon,Rwanda,Kuwait,Turkey,Belarus,Trinidad and Tobago,"China, Hong Kong SAR",United States of America,Russian Federation,Ireland,Nauru,Côte d'Ivoire,Norway,Portugal,Angola,India,Occupied Palestinian Territory,Germany,Bermuda,Iran (Islamic Republic of),Sudan (former),Botswana,Aruba,Panama,Denmark,Ukraine,Cuba,Congo,Canada,Vanuatu,Nicaragua,Tajikistan,Senegal,Haiti,Sierra Leone,Syrian Arab Republic,Nepal,Israel,Antigua and Barbuda,Cyprus,Malta,Papua New Guinea,Australia,Guyana,Latvia,Colombia,Mauritius,Samoa,Mali,Brazil,Kenya,Djibouti
1961,26393.0,102101.0,429374.0,,,19909.0,39447.0,323548.0,1674.0,63306.0,112056.0,43709.0,286983.0,,5422.0,237985.0,12719.0,6700.0,79013.0,10025.0,448177.0,109305.0,40706.0,9318.0,11630.0,150791.0,5011.0,16564.0,5248.0,75354.0,57854.0,506558.0,16512.0,54061.0,42042.0,289963.0,17015.0,42496.0,8743.0,32258.0,3676.0,381934.0,2622.0,,5989227.0,7344.0,659421.0,3005759.0,107166.0,2337.0,84360.0,,450811.0,52062.0,218890.0,1048458.0,1101023.0,57981.0,96439.0,,4806.0,18253.0,,3506.0,1115775.0,5870044.0,2932813.0,18093.0,3258.0,161195.0,3275.0,22149.0,,,5273.0,7059.0,166000.0,51932.0,9963.0,243021.0,3550.0,15237.0,390114.0,39112.0,33631.0,246517.0,18412.0,4027.0,2531405.0,11231.0,7567.0,1143775.0,331378.0,87912.0,428112.0,4949716.0,1388850.0,24544980.0,,11282.0,50362.0,3674376.0,74314.0,37778.0,8650.0,229739.0,20195.0,6302.0,11398.0,11158.0,17618.0,18897.0,17011.0,196600.0,42207.0,322551.0,483.0,173623.0,408387.0,,99334.0,1242725.0,9506452.0,,687277.0,2100.0,42554.0,1017059.0,423156.0,24068.0,1975725.0,,17208774.0,60530.0,217158.0,73906.0,29903.0,,31117.0,1719086.0,,334963.0,10922.0,3405540.0,3773.0,14124.0,,139875.0,19536.0,21795.0,131696.0,4140.0,329287.0,11694.0,65262.0,150323.0,26276.0,204964.0,38442.0,,80431.0,77942.0,7099.0,17149.0,586916.0,70270.0,6444.0
1962,28449.0,80156.0,307398.0,,,21564.0,39707.0,325144.0,1462.0,64273.0,89336.0,48059.0,143612.0,,6364.0,283962.0,15743.0,8066.0,117946.0,9104.0,430863.0,133519.0,44832.0,9742.0,12576.0,147930.0,3145.0,17388.0,5277.0,58636.0,45675.0,448703.0,31318.0,68293.0,44156.0,278237.0,20273.0,50635.0,9376.0,40751.0,5146.0,349980.0,2269.0,,7559008.0,7978.0,825985.0,2721315.0,25759.0,2957.0,92863.0,,382663.0,58029.0,207789.0,1039511.0,1155223.0,59026.0,112629.0,,4922.0,19074.0,,8375.0,1511785.0,4999080.0,3145844.0,18093.0,7089.0,239773.0,2788.0,19545.0,,,5922.0,8818.0,138611.0,59424.0,11709.0,187072.0,3772.0,19199.0,380373.0,61169.0,33677.0,159946.0,18274.0,3886.0,2125625.0,12817.0,8338.0,1511390.0,469793.0,170303.0,310086.0,5589968.0,1676851.0,26773642.0,,15092.0,60294.0,4045719.0,96641.0,50440.0,9107.0,209912.0,20470.0,5658.0,12535.0,10819.0,19652.0,20653.0,31855.0,144665.0,44217.0,374307.0,483.0,156336.0,331930.0,,104039.0,1490286.0,9295166.0,,679091.0,2332.0,42218.0,1176602.0,375105.0,25636.0,2056370.0,,20933020.0,58165.0,135315.0,60479.0,47183.0,,29925.0,2338183.0,,391463.0,12582.0,3700614.0,4058.0,15820.0,,144477.0,26151.0,28101.0,122271.0,3704.0,358764.0,12621.0,73428.0,151616.0,27134.0,199356.0,38022.0,,60286.0,81634.0,7103.0,13660.0,690712.0,63498.0,8025.0
1963,32048.0,204307.0,349029.0,,,18838.0,44084.0,332613.0,1420.0,65055.0,146087.0,46233.0,124570.0,,4915.0,262110.0,16417.0,9433.0,288970.0,9081.0,466412.0,96448.0,48253.0,11413.0,21122.0,132640.0,3665.0,20312.0,5882.0,47603.0,59734.0,439552.0,42467.0,76613.0,46152.0,190665.0,19432.0,105076.0,9265.0,43167.0,5425.0,327124.0,2175.0,,7732931.0,8302.0,1102172.0,3392667.0,26766.0,2330.0,94219.0,,300500.0,38969.0,484381.0,1315939.0,1296650.0,57505.0,70053.0,,5280.0,15871.0,,5285.0,1388367.0,6756200.0,2997549.0,20405.0,5162.0,360580.0,3777.0,19548.0,,,7557.0,9274.0,73299.0,55110.0,12773.0,324311.0,4691.0,28744.0,380222.0,83244.0,32999.0,425650.0,20175.0,3992.0,2314629.0,12690.0,4105.0,1337001.0,526894.0,319586.0,440582.0,6889592.0,1718224.0,24972450.0,,7330.0,55842.0,4212175.0,71072.0,51119.0,9003.0,285101.0,20047.0,5606.0,14362.0,10791.0,20922.0,21041.0,32889.0,222405.0,46277.0,365778.0,761.0,140085.0,402604.0,,105943.0,1426081.0,9416050.0,,654436.0,2151.0,57178.0,1168258.0,445959.0,33874.0,2380052.0,,16879010.0,67721.0,149892.0,70015.0,49972.0,,35828.0,1708686.0,,464778.0,13627.0,3439023.0,4432.0,16849.0,,152522.0,34597.0,28249.0,73644.0,4143.0,371171.0,12614.0,43186.0,159312.0,28764.0,208194.0,36139.0,,41174.0,84222.0,7315.0,9266.0,685454.0,42172.0,4909.0
1964,35762.0,177461.0,361743.0,,,27135.0,44238.0,331522.0,1481.0,75142.0,93696.0,36749.0,193150.0,,4682.0,309976.0,17145.0,9385.0,94318.0,8392.0,485772.0,113063.0,47764.0,11701.0,19982.0,162784.0,4858.0,25341.0,6652.0,115024.0,92505.0,710624.0,47037.0,78107.0,55928.0,203986.0,17688.0,76740.0,9534.0,43839.0,5354.0,517605.0,2227.0,,8130168.0,8537.0,769426.0,3295266.0,16521.0,2504.0,110449.0,,296233.0,26090.0,247521.0,1451651.0,1093462.0,55590.0,66604.0,,4567.0,17048.0,,5560.0,1240490.0,6491386.0,3187148.0,21851.0,4740.0,572144.0,5312.0,29233.0,,,8824.0,8831.0,66920.0,61603.0,13386.0,340664.0,4301.0,28348.0,358083.0,263818.0,36886.0,313927.0,21720.0,5160.0,2493175.0,13869.0,7450.0,1505394.0,528572.0,259819.0,426435.0,8262559.0,1580499.0,24191181.0,,15961.0,50592.0,4149618.0,84756.0,56561.0,12490.0,197166.0,22062.0,5484.0,15116.0,12147.0,21039.0,26935.0,27789.0,216740.0,47282.0,385364.0,1422.0,154067.0,68861.0,,113994.0,1474047.0,8838079.0,,728248.0,3039.0,82727.0,1116111.0,466950.0,39092.0,3138158.0,,19289372.0,59747.0,235569.0,76920.0,54884.0,,42747.0,2146966.0,,529779.0,15122.0,3431605.0,4125.0,32618.0,,179156.0,41071.0,21781.0,88027.0,4990.0,336019.0,13483.0,62394.0,162935.0,30675.0,241453.0,42027.0,,68752.0,85336.0,8168.0,6905.0,807563.0,44825.0,6128.0
1965,43404.0,120543.0,670040.0,,,34076.0,42517.0,307065.0,1523.0,75092.0,105736.0,43280.0,270543.0,,5431.0,361762.0,14790.0,8996.0,101457.0,8050.0,458339.0,115387.0,47078.0,36013.0,27117.0,193626.0,4997.0,22146.0,6186.0,32491.0,76779.0,630725.0,31579.0,58061.0,70492.0,224932.0,19133.0,84921.0,10722.0,39362.0,8040.0,434613.0,2458.0,,8493659.0,8724.0,756694.0,3237856.0,56702.0,3640.0,111184.0,,275220.0,31571.0,268205.0,2001420.0,1187987.0,53926.0,76743.0,,5079.0,27574.0,,4854.0,1524714.0,9090023.0,3516970.0,23585.0,4424.0,366778.0,5274.0,26092.0,,,8099.0,9114.0,92938.0,66476.0,10562.0,480400.0,4413.0,25662.0,79815.0,54728.0,37594.0,136304.0,28290.0,5188.0,2451056.0,13764.0,12861.0,1959674.0,514979.0,267077.0,511517.0,9313991.0,1464412.0,24381757.0,,22807.0,45379.0,4361227.0,81972.0,71924.0,12340.0,243975.0,20432.0,6030.0,16617.0,11745.0,21636.0,27823.0,35400.0,237274.0,48337.0,482530.0,2775.0,311695.0,165291.0,,118279.0,1479070.0,9083918.0,,1163433.0,2887.0,88255.0,1278950.0,566025.0,41619.0,3722608.0,,20562217.0,64095.0,333646.0,94749.0,58825.0,,35376.0,1906455.0,,478871.0,14345.0,3580646.0,4731.0,36221.0,,178295.0,31890.0,34527.0,85959.0,3778.0,364367.0,14982.0,60994.0,148963.0,37302.0,247112.0,41008.0,,64398.0,85246.0,8392.0,16054.0,607215.0,84488.0,9338.0
1966,37682.0,513305.0,324728.0,,,38544.0,42323.0,321262.0,1568.0,85989.0,155044.0,43703.0,164728.0,,5290.0,365805.0,17441.0,8888.0,62537.0,9069.0,473992.0,105683.0,59980.0,16513.0,31115.0,189979.0,5239.0,30080.0,8467.0,45035.0,95026.0,589594.0,45282.0,47241.0,89380.0,308737.0,22696.0,109707.0,10997.0,37482.0,6396.0,455063.0,6832.0,,8806032.0,9120.0,746206.0,2599154.0,100144.0,5097.0,122707.0,,444130.0,36787.0,253175.0,2626467.0,1293422.0,53520.0,121816.0,,4800.0,21653.0,,7904.0,985066.0,9929374.0,3722914.0,22735.0,6507.0,447186.0,6124.0,29653.0,,,8569.0,12950.0,95596.0,66583.0,14321.0,300144.0,7440.0,27123.0,133552.0,56259.0,39903.0,303852.0,28867.0,5511.0,2418834.0,16531.0,10595.0,1781466.0,622619.0,513643.0,561977.0,10248636.0,1730820.0,23642897.0,,14560.0,46110.0,4395627.0,131801.0,78733.0,13925.0,390977.0,24022.0,5898.0,22451.0,11464.0,24222.0,30100.0,33086.0,206438.0,48387.0,410975.0,4964.0,229160.0,128645.0,,122368.0,1624650.0,9832319.0,,1123084.0,3484.0,113945.0,1384764.0,791845.0,40646.0,4782016.0,,21784256.0,66902.0,184917.0,75244.0,64816.0,,39311.0,1901619.0,,466149.0,15317.0,3697352.0,4457.0,41985.0,,169722.0,27199.0,44908.0,152221.0,3800.0,483737.0,13841.0,64945.0,162804.0,42259.0,331361.0,45449.0,,95505.0,82270.0,11047.0,12837.0,768400.0,109387.0,11535.0
1967,38225.0,330788.0,552895.0,,,30050.0,45628.0,270575.0,1680.0,93654.0,96444.0,53724.0,244304.0,,6994.0,369856.0,18600.0,12538.0,45476.0,9214.0,511298.0,153061.0,59321.0,9976.0,19244.0,199499.0,5769.0,31059.0,8871.0,96438.0,55729.0,683255.0,52709.0,55580.0,82029.0,373183.0,22306.0,96625.0,11055.0,44298.0,5704.0,465100.0,7496.0,,8595038.0,9240.0,828497.0,2589100.0,136273.0,4098.0,130373.0,,445200.0,32451.0,362524.0,2633908.0,1317478.0,48434.0,89851.0,,6206.0,33659.0,,7179.0,945204.0,9488533.0,3828222.0,18429.0,7062.0,207698.0,6980.0,38443.0,,,8484.0,11837.0,157860.0,68643.0,13204.0,414770.0,9496.0,14819.0,190662.0,56954.0,42098.0,340123.0,33324.0,7019.0,1773713.0,17752.0,8527.0,1356546.0,723641.0,652689.0,551660.0,11016185.0,1607008.0,23632678.0,,14090.0,53101.0,4499807.0,113240.0,65944.0,13700.0,252650.0,24353.0,6404.0,24958.0,11734.0,27459.0,42275.0,35745.0,310434.0,49342.0,471543.0,3608.0,257789.0,10069.0,,130183.0,1547526.0,10344843.0,,897114.0,4230.0,65436.0,1436681.0,655165.0,29616.0,4889315.0,,21191650.0,66507.0,124933.0,82937.0,39781.0,,33005.0,2048434.0,,498424.0,17883.0,4147026.0,5590.0,48106.0,,156086.0,21068.0,43262.0,121777.0,3739.0,403978.0,13322.0,77402.0,136527.0,43910.0,286212.0,46103.0,,56771.0,86850.0,6975.0,8813.0,809046.0,39022.0,9515.0
1968,38543.0,97898.0,586374.0,,,19321.0,43961.0,241133.0,1380.0,96062.0,119210.0,48085.0,235453.0,,7982.0,326494.0,19311.0,10945.0,65990.0,10875.0,568580.0,87033.0,61854.0,11704.0,25422.0,247682.0,6564.0,31306.0,5090.0,75385.0,56583.0,826883.0,66613.0,41500.0,95334.0,296063.0,23781.0,82836.0,11948.0,50787.0,7221.0,415635.0,7979.0,,7783210.0,10010.0,767190.0,2660094.0,68517.0,5507.0,144299.0,,438058.0,31136.0,548674.0,2257815.0,1490917.0,47788.0,112840.0,,6112.0,40852.0,,7961.0,1118761.0,9904933.0,3553049.0,25092.0,3600.0,522829.0,4834.0,36846.0,,,9293.0,11891.0,122311.0,75398.0,12981.0,317292.0,9082.0,20218.0,335864.0,90187.0,45141.0,334330.0,37438.0,5882.0,1769825.0,18091.0,7293.0,1252691.0,585828.0,763819.0,468642.0,11888155.0,1698884.0,23493821.0,,13590.0,57837.0,5064855.0,103784.0,86025.0,14788.0,297552.0,24600.0,6392.0,43581.0,11935.0,30629.0,46573.0,33141.0,479836.0,50045.0,427502.0,5216.0,282243.0,3088.0,,114032.0,1616892.0,10873197.0,,953305.0,3199.0,83818.0,1432409.0,733288.0,54552.0,2890735.0,,20929740.0,75790.0,288917.0,99757.0,59196.0,,40564.0,1711814.0,,495537.0,19706.0,4035470.0,5112.0,51240.0,,168080.0,26987.0,39832.0,157184.0,6001.0,503850.0,15858.0,70759.0,164980.0,51978.0,291014.0,45903.0,,80765.0,86567.0,8975.0,13769.0,861578.0,38548.0,8889.0
1969,42532.0,242213.0,135028.0,,,40453.0,45621.0,204938.0,1340.0,107972.0,107055.0,41901.0,163574.0,,8999.0,355271.0,20206.0,11170.0,56778.0,9375.0,547245.0,252749.0,69476.0,25970.0,32084.0,236345.0,7309.0,35865.0,9990.0,52378.0,37709.0,760711.0,56962.0,30924.0,88096.0,150372.0,23317.0,90683.0,13073.0,40362.0,7301.0,404022.0,8347.0,,8500854.0,10461.0,764221.0,2614347.0,98489.0,4830.0,158115.0,,298933.0,26456.0,970477.0,2295473.0,1420868.0,48928.0,93529.0,,6900.0,41057.0,,8624.0,889918.0,9899760.0,3824077.0,26569.0,6924.0,532360.0,12636.0,32802.0,,,9468.0,16492.0,161318.0,68890.0,12988.0,324998.0,9768.0,14335.0,350160.0,105700.0,52573.0,376565.0,31760.0,5151.0,1446506.0,20634.0,7353.0,1094002.0,404542.0,779301.0,759649.0,12837693.0,1682808.0,24445891.0,,31370.0,45608.0,5659066.0,127599.0,67034.0,15090.0,435459.0,25348.0,6137.0,40767.0,10694.0,31201.0,51502.0,42159.0,620402.0,51503.0,491632.0,5395.0,271676.0,202002.0,,165563.0,1671842.0,10882287.0,,751066.0,2796.0,83020.0,1220848.0,812765.0,51749.0,2093915.0,23428.0,21659420.0,70568.0,65876.0,59504.0,51677.0,,40204.0,1314685.0,,497238.0,20034.0,4269545.0,5727.0,31832.0,,204716.0,20596.0,38308.0,109268.0,6936.0,498535.0,17638.0,97407.0,180956.0,52084.0,355429.0,54524.0,,87440.0,87525.0,9569.0,19353.0,787796.0,27376.0,8771.0
1970,30537.0,263391.0,172263.0,,,26159.0,48903.0,220709.0,1308.0,109747.0,128320.0,52629.0,180972.0,,9252.0,427986.0,20955.0,14761.0,424271.0,10537.0,599394.0,103178.0,66943.0,20246.0,30190.0,183386.0,6894.0,35221.0,11472.0,52776.0,41283.0,883196.0,38615.0,49347.0,95567.0,227563.0,23762.0,118684.0,14094.0,62649.0,8489.0,507954.0,8773.0,,8886319.0,11346.0,800797.0,3094291.0,117603.0,5769.0,190611.0,,308151.0,33865.0,908637.0,2190436.0,1495663.0,54653.0,141720.0,,8138.0,53833.0,,11241.0,768376.0,9782250.0,4172479.0,26099.0,9249.0,392476.0,10065.0,40728.0,,,10015.0,15104.0,176033.0,73485.0,17195.0,266720.0,9845.0,21191.0,498414.0,252621.0,57655.0,479929.0,37319.0,6345.0,2026707.0,23986.0,40434.0,1110009.0,339100.0,983119.0,432456.0,15061473.0,1870109.0,25199624.0,,39570.0,45334.0,6214306.0,170184.0,58586.0,17247.0,270760.0,28463.0,7213.0,51355.0,11489.0,36960.0,60324.0,46999.0,761680.0,53713.0,602826.0,8841.0,321141.0,524552.0,,137765.0,1717775.0,12085232.0,,820195.0,3154.0,119969.0,1592188.0,814831.0,68482.0,2104975.0,29570.0,26598651.0,78338.0,84425.0,109323.0,64148.0,,44923.0,1668936.0,,542343.0,16699.0,4086223.0,5697.0,40224.0,,211118.0,27259.0,62668.0,245136.0,367.0,626223.0,18853.0,132410.0,173625.0,62241.0,321357.0,51467.0,,86954.0,88360.0,9147.0,34674.0,683029.0,40377.0,15001.0
