,Kenya,Peru,"China, Taiwan Province of",Niue,Saudi Arabia,Malaysia,Cuba,Malta,Philippines,Syrian Arab Republic,Martinique,United Republic of Tanzania,Nepal,Ethiopia,Pakistan,Republic of Korea,Greece,Afghanistan,Zimbabwe,Malawi,Trinidad and Tobago,Uzbekistan,Cyprus,Thailand,Japan,New Zealand,Yemen,Guyana,Portugal,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Guatemala,French Polynesia,Mauritius,United Arab Emirates,Nigeria,Kyrgyzstan,French Guiana,Suriname,Algeria,Georgia,India,Zambia,Morocco,Bhutan,Qatar,Gabon,Grenada,Ecuador,Honduras,Egypt,Israel,Mexico,China,Tunisia,Côte d'Ivoire,Colombia,Nicaragua,Albania,Spain,Micronesia (Federated States of),Occupied Palestinian Territory,Azerbaijan,Polynesia,Kazakhstan,South Africa,Sierra Leone,Samoa,Australia,France,Jordan,Micronesia,Ghana,Guinea,"China, mainland",Angola,Swaziland,Italy,Turkey
1961,20.0,-1.0,394.0,4.0,1000.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1,-1.0,400.0,730.0,-1.0,140.0,-1.0,-1.0,200.0,-1.0,5430.0,5.0,-1.0,-1.0,-1,5.0,-1.0,800.0,6000.0,8.0,-1.0,-1.0,300000.0,-1.0,-1.0,-1.0,-1.0,-1,2000.0,-1,-1.0,-1.0,-1.0,120.0,-1.0,1400.0,-1.0,-1.0,-1.0,-1.0,4294.0,0.0,500.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,172.0,-1.0,-1.0,-1.0,160.0,-1.0,-1,-1.0,-1,-1,25000.0,3900.0,14000.0,-1.0,3600.0,1203.0
1962,20.0,-1.0,452.0,4.0,1050.0,1400.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1,-1.0,400.0,730.0,-1.0,140.0,-1.0,-1.0,200.0,-1.0,6060.0,9.0,-1.0,-1.0,-1,9.0,-1.0,850.0,6400.0,8.0,-1.0,-1.0,300000.0,-1.0,-1.0,-1.0,-1.0,-1,2500.0,-1,-1.0,-1.0,-1.0,120.0,-1.0,1580.0,-1.0,-1.0,-1.0,-1.0,4802.0,0.0,500.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,172.0,-1.0,-1.0,-1.0,160.0,-1.0,-1,-1.0,-1,-1,27000.0,4350.0,14000.0,-1.0,3600.0,1170.0
1963,20.0,-1.0,511.0,5.0,1100.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1,-1.0,400.0,730.0,-1.0,160.0,-1.0,-1.0,200.0,-1.0,6860.0,15.0,-1.0,-1.0,-1,15.0,-1.0,900.0,6900.0,8.0,-1.0,-1.0,300000.0,-1.0,-1.0,-1.0,-1.0,-1,2500.0,-1,-1.0,-1.0,-1.0,120.0,-1.0,1730.0,-1.0,-1.0,-1.0,-1.0,4411.0,0.0,500.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,173.0,-1.0,-1.0,-1.0,160.0,-1.0,-1,-1.0,-1,-1,29000.0,3900.0,14000.0,-1.0,3600.0,1650.0
1964,20.0,-1.0,441.0,6.0,1150.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1,-1.0,400.0,780.0,-1.0,160.0,-1.0,-1.0,200.0,-1.0,7570.0,30.0,-1.0,-1.0,-1,30.0,-1.0,950.0,7700.0,8.0,-1.0,-1.0,300000.0,-1.0,-1.0,-1.0,-1.0,-1,2500.0,-1,-1.0,-1.0,-1.0,120.0,-1.0,2235.0,-1.0,-1.0,-1.0,-1.0,5641.0,0.0,500.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,174.0,-1.0,-1.0,-1.0,160.0,-1.0,-1,-1.0,-1,-1,30000.0,5200.0,14000.0,-1.0,3400.0,2603.0
1965,20.0,-1.0,612.0,7.0,1200.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1.0,-1.0,-1,-1.0,400.0,820.0,-1.0,180.0,-1.0,-1.0,200.0,-1.0,8070.0,40.0,-1.0,-1.0,-1,40.0,-1.0,1000.0,7200.0,8.0,-1.0,-1.0,300000.0,-1.0,-1.0,-1.0,-1.0,-1,2500.0,-1,-1.0,-1.0,-1.0,120.0,-1.0,2683.0,-1.0,-1.0,-1.0,-1.0,6262.0,0.0,800.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,175.0,-1.0,-1.0,-1.0,160.0,-1.0,-1,-1.0,-1,-1,31500.0,5650.0,14000.0,-1.0,3300.0,2607.0
1966,20.0,-1.0,586.0,-1.0,1250.0,1400.0,-1.0,-1.0,-1.0,500.0,-1.0,10000.0,-1.0,-1.0,-1,-1.0,400.0,900.0,-1.0,200.0,-1.0,-1.0,200.0,-1.0,8700.0,54.0,-1.0,-1.0,-1,54.0,-1.0,1400.0,8900.0,8.0,-1.0,-1.0,300000.0,-1.0,-1.0,-1.0,-1.0,-1,2500.0,-1,-1.0,-1.0,-1.0,120.0,-1.0,3289.0,-1.0,-1.0,-1.0,-1.0,6586.0,0.0,800.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,168.0,-1.0,-1.0,-1.0,160.0,-1.0,-1,10.0,-1,-1,32000.0,6000.0,14000.0,-1.0,3420.0,2767.0
1967,20.0,-1.0,741.0,-1.0,1290.0,1600.0,-1.0,-1.0,-1.0,500.0,-1.0,15000.0,-1.0,-1.0,-1,-1.0,400.0,1010.0,-1.0,200.0,-1.0,-1.0,200.0,-1.0,4330.0,73.0,-1.0,-1.0,-1,73.0,-1.0,1800.0,9400.0,8.0,-1.0,-1.0,300000.0,-1.0,-1.0,-1.0,-1.0,-1,2500.0,-1,-1.0,-1.0,-1.0,120.0,-1.0,3109.0,-1.0,-1.0,-1.0,-1.0,6741.0,0.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,168.0,-1.0,-1.0,-1.0,160.0,-1.0,-1,13.0,-1,-1,32300.0,6000.0,14000.0,-1.0,3340.0,2007.0
1968,20.0,-1.0,736.0,-1.0,1310.0,1200.0,-1.0,-1.0,-1.0,517.0,-1.0,17000.0,-1.0,-1.0,-1,-1.0,400.0,990.0,-1.0,220.0,-1.0,-1.0,200.0,-1.0,4880.0,80.0,-1.0,-1.0,-1,80.0,-1.0,2300.0,9400.0,8.0,-1.0,-1.0,300000.0,-1.0,-1.0,-1.0,-1.0,-1,5000.0,-1,-1.0,-1.0,-1.0,120.0,-1.0,3876.0,-1.0,-1.0,-1.0,-1.0,6736.0,0.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,168.0,-1.0,-1.0,-1.0,160.0,-1.0,-1,9.0,-1,-1,32600.0,6000.0,14000.0,-1.0,3430.0,1443.0
1969,20.0,-1.0,771.0,-1.0,1320.0,1200.0,-1.0,-1.0,-1.0,546.0,-1.0,25000.0,-1.0,-1.0,-1,-1.0,400.0,1000.0,-1.0,230.0,-1.0,-1.0,200.0,-1.0,5390.0,134.0,-1.0,-1.0,-1,134.0,-1.0,2600.0,8700.0,8.0,-1.0,-1.0,300000.0,-1.0,-1.0,-1.0,-1.0,-1,5000.0,-1,-1.0,-1.0,-1.0,120.0,-1.0,3453.0,-1.0,-1.0,-1.0,-1.0,6771.0,0.0,1800.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,168.0,-1.0,-1.0,-1.0,160.0,-1.0,-1,-1.0,-1,-1,33000.0,6000.0,14000.0,-1.0,3510.0,1497.0
1970,20.0,1176.0,369.0,-1.0,1330.0,2200.0,-1.0,-1.0,-1.0,715.0,-1.0,41000.0,-1.0,-1.0,-1,-1.0,400.0,1010.0,-1.0,240.0,-1.0,-1.0,200.0,-1.0,5990.0,154.0,-1.0,-1.0,-1,154.0,-1.0,2800.0,8600.0,9.0,-1.0,-1.0,450000.0,-1.0,-1.0,-1.0,-1.0,-1,5000.0,-1,-1.0,-1.0,-1.0,120.0,-1.0,3573.0,-1.0,-1.0,-1.0,-1.0,5869.0,0.0,2000.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,169.0,-1.0,-1.0,-1.0,160.0,-1.0,-1,-1.0,-1,-1,33300.0,5500.0,14000.0,-1.0,3580.0,1543.0
